context: I'm going to separate Takeo-kun and Yamato-san. response:	You should tell him how you feel.
context: I'm going to separate Takeo-kun and Yamato-san.\You should tell him how you feel. response:	Tell him how I feel?
context: I'm going to separate Takeo-kun and Yamato-san.\You should tell him how you feel.\Tell him how I feel? response:	Tell Takeo?
context: I'm going to separate Takeo-kun and Yamato-san.\You should tell him how you feel.\Tell him how I feel?\Tell Takeo? response:	Your head almost exploded, just considering it. You still have strong feelings for him!
context: I'm going to separate Takeo-kun and Yamato-san.\You should tell him how you feel.\Tell him how I feel?\Tell Takeo?\Your head almost exploded, just considering it. You still have strong feelings for him! response:	I don't!
context: I'm going to separate Takeo-kun and Yamato-san.\You should tell him how you feel.\Tell him how I feel?\Tell Takeo?\Your head almost exploded, just considering it. You still have strong feelings for him!\I don't! response:	I'm over it, okay?
context: I'm going to separate Takeo-kun and Yamato-san.\You should tell him how you feel.\Tell him how I feel?\Tell Takeo?\Your head almost exploded, just considering it. You still have strong feelings for him!\I don't!\I'm over it, okay? response:	I want you to stop hurting yourself,
context: I'm going to separate Takeo-kun and Yamato-san.\You should tell him how you feel.\Tell him how I feel?\Tell Takeo?\Your head almost exploded, just considering it. You still have strong feelings for him!\I don't!\I'm over it, okay?\I want you to stop hurting yourself, response:	She's shaking...
context: You should tell him how you feel.\Tell him how I feel?\Tell Takeo?\Your head almost exploded, just considering it. You still have strong feelings for him!\I don't!\I'm over it, okay?\I want you to stop hurting yourself,\She's shaking... response:	picking Nishino Kana songs at karaoke and all that!
context: Tell him how I feel?\Tell Takeo?\Your head almost exploded, just considering it. You still have strong feelings for him!\I don't!\I'm over it, okay?\I want you to stop hurting yourself,\She's shaking...\picking Nishino Kana songs at karaoke and all that! response:	Th-Th-That's not true...
context: Tell Takeo?\Your head almost exploded, just considering it. You still have strong feelings for him!\I don't!\I'm over it, okay?\I want you to stop hurting yourself,\She's shaking...\picking Nishino Kana songs at karaoke and all that!\Th-Th-That's not true... response:	They're fighting.
context: Your head almost exploded, just considering it. You still have strong feelings for him!\I don't!\I'm over it, okay?\I want you to stop hurting yourself,\She's shaking...\picking Nishino Kana songs at karaoke and all that!\Th-Th-That's not true...\They're fighting. response:	Yeah.
context: I don't!\I'm over it, okay?\I want you to stop hurting yourself,\She's shaking...\picking Nishino Kana songs at karaoke and all that!\Th-Th-That's not true...\They're fighting.\Yeah. response:	I just like her songs!
context: I'm over it, okay?\I want you to stop hurting yourself,\She's shaking...\picking Nishino Kana songs at karaoke and all that!\Th-Th-That's not true...\They're fighting.\Yeah.\I just like her songs! response:	I do think he's a good guy,
context: I want you to stop hurting yourself,\She's shaking...\picking Nishino Kana songs at karaoke and all that!\Th-Th-That's not true...\They're fighting.\Yeah.\I just like her songs!\I do think he's a good guy, response:	Everyone in the seminar knows.
context: She's shaking...\picking Nishino Kana songs at karaoke and all that!\Th-Th-That's not true...\They're fighting.\Yeah.\I just like her songs!\I do think he's a good guy,\Everyone in the seminar knows. response:	but I guess not everything works out.
context: picking Nishino Kana songs at karaoke and all that!\Th-Th-That's not true...\They're fighting.\Yeah.\I just like her songs!\I do think he's a good guy,\Everyone in the seminar knows.\but I guess not everything works out. response:	Let's be honest here.
context: Th-Th-That's not true...\They're fighting.\Yeah.\I just like her songs!\I do think he's a good guy,\Everyone in the seminar knows.\but I guess not everything works out.\Let's be honest here. response:	We should get going!
context: They're fighting.\Yeah.\I just like her songs!\I do think he's a good guy,\Everyone in the seminar knows.\but I guess not everything works out.\Let's be honest here.\We should get going! response:	Let's go!
context: Yeah.\I just like her songs!\I do think he's a good guy,\Everyone in the seminar knows.\but I guess not everything works out.\Let's be honest here.\We should get going!\Let's go! response:	I'm done talking about this!
context: I just like her songs!\I do think he's a good guy,\Everyone in the seminar knows.\but I guess not everything works out.\Let's be honest here.\We should get going!\Let's go!\I'm done talking about this! response:	I won't be alone with Takeo,
context: I do think he's a good guy,\Everyone in the seminar knows.\but I guess not everything works out.\Let's be honest here.\We should get going!\Let's go!\I'm done talking about this!\I won't be alone with Takeo, response:	understand?
context: Everyone in the seminar knows.\but I guess not everything works out.\Let's be honest here.\We should get going!\Let's go!\I'm done talking about this!\I won't be alone with Takeo,\understand? response:	Sorry about that.
context: but I guess not everything works out.\Let's be honest here.\We should get going!\Let's go!\I'm done talking about this!\I won't be alone with Takeo,\understand?\Sorry about that. response:	Let's go.
context: Let's be honest here.\We should get going!\Let's go!\I'm done talking about this!\I won't be alone with Takeo,\understand?\Sorry about that.\Let's go. response:	Sorry Sorry
context: We should get going!\Let's go!\I'm done talking about this!\I won't be alone with Takeo,\understand?\Sorry about that.\Let's go.\Sorry Sorry response:	How will I ever get a chance,
context: Let's go!\I'm done talking about this!\I won't be alone with Takeo,\understand?\Sorry about that.\Let's go.\Sorry Sorry\How will I ever get a chance, response:	if you don't settle this?
context: I'm done talking about this!\I won't be alone with Takeo,\understand?\Sorry about that.\Let's go.\Sorry Sorry\How will I ever get a chance,\if you don't settle this? response:	My Jinx
context: I won't be alone with Takeo,\understand?\Sorry about that.\Let's go.\Sorry Sorry\How will I ever get a chance,\if you don't settle this?\My Jinx response:	What a crowd.
context: understand?\Sorry about that.\Let's go.\Sorry Sorry\How will I ever get a chance,\if you don't settle this?\My Jinx\What a crowd. response:	I wonder if everyone's going to MM Land.
context: Sorry about that.\Let's go.\Sorry Sorry\How will I ever get a chance,\if you don't settle this?\My Jinx\What a crowd.\I wonder if everyone's going to MM Land. response:	It's a long weekend, after all.
context: Let's go.\Sorry Sorry\How will I ever get a chance,\if you don't settle this?\My Jinx\What a crowd.\I wonder if everyone's going to MM Land.\It's a long weekend, after all. response:	I hope they won't stop letting people in.
context: Sorry Sorry\How will I ever get a chance,\if you don't settle this?\My Jinx\What a crowd.\I wonder if everyone's going to MM Land.\It's a long weekend, after all.\I hope they won't stop letting people in. response:	Oh, crap.
context: How will I ever get a chance,\if you don't settle this?\My Jinx\What a crowd.\I wonder if everyone's going to MM Land.\It's a long weekend, after all.\I hope they won't stop letting people in.\Oh, crap. response:	I forgot my cell.
context: if you don't settle this?\My Jinx\What a crowd.\I wonder if everyone's going to MM Land.\It's a long weekend, after all.\I hope they won't stop letting people in.\Oh, crap.\I forgot my cell. response:	It's okay!
context: My Jinx\What a crowd.\I wonder if everyone's going to MM Land.\It's a long weekend, after all.\I hope they won't stop letting people in.\Oh, crap.\I forgot my cell.\It's okay! response:	I have mine!
context: What a crowd.\I wonder if everyone's going to MM Land.\It's a long weekend, after all.\I hope they won't stop letting people in.\Oh, crap.\I forgot my cell.\It's okay!\I have mine! response:	I have mine, too.
context: I wonder if everyone's going to MM Land.\It's a long weekend, after all.\I hope they won't stop letting people in.\Oh, crap.\I forgot my cell.\It's okay!\I have mine!\I have mine, too. response:	I'm not sure how that helps.
context: It's a long weekend, after all.\I hope they won't stop letting people in.\Oh, crap.\I forgot my cell.\It's okay!\I have mine!\I have mine, too.\I'm not sure how that helps. response:	If you get separated from the group, just look for Takeo.
context: I hope they won't stop letting people in.\Oh, crap.\I forgot my cell.\It's okay!\I have mine!\I have mine, too.\I'm not sure how that helps.\If you get separated from the group, just look for Takeo. response:	Yeah
context: Oh, crap.\I forgot my cell.\It's okay!\I have mine!\I have mine, too.\I'm not sure how that helps.\If you get separated from the group, just look for Takeo.\Yeah response:	That works!
context: I forgot my cell.\It's okay!\I have mine!\I have mine, too.\I'm not sure how that helps.\If you get separated from the group, just look for Takeo.\Yeah\That works! response:	You guys don't have to look for me, even if I get lost.
context: It's okay!\I have mine!\I have mine, too.\I'm not sure how that helps.\If you get separated from the group, just look for Takeo.\Yeah\That works!\You guys don't have to look for me, even if I get lost. response:	Hey, Suna!
context: I have mine!\I have mine, too.\I'm not sure how that helps.\If you get separated from the group, just look for Takeo.\Yeah\That works!\You guys don't have to look for me, even if I get lost.\Hey, Suna! response:	Don't be a stranger!
context: I have mine, too.\I'm not sure how that helps.\If you get separated from the group, just look for Takeo.\Yeah\That works!\You guys don't have to look for me, even if I get lost.\Hey, Suna!\Don't be a stranger! response:	Give me your passports, everyone!
context: I'm not sure how that helps.\If you get separated from the group, just look for Takeo.\Yeah\That works!\You guys don't have to look for me, even if I get lost.\Hey, Suna!\Don't be a stranger!\Give me your passports, everyone! response:	I'll go get us speedpasses.
context: If you get separated from the group, just look for Takeo.\Yeah\That works!\You guys don't have to look for me, even if I get lost.\Hey, Suna!\Don't be a stranger!\Give me your passports, everyone!\I'll go get us speedpasses. response:	I'll come, too!
context: Yeah\That works!\You guys don't have to look for me, even if I get lost.\Hey, Suna!\Don't be a stranger!\Give me your passports, everyone!\I'll go get us speedpasses.\I'll come, too! response:	If you have help, it'll be easier.
context: That works!\You guys don't have to look for me, even if I get lost.\Hey, Suna!\Don't be a stranger!\Give me your passports, everyone!\I'll go get us speedpasses.\I'll come, too!\If you have help, it'll be easier. response:	Huh?
context: You guys don't have to look for me, even if I get lost.\Hey, Suna!\Don't be a stranger!\Give me your passports, everyone!\I'll go get us speedpasses.\I'll come, too!\If you have help, it'll be easier.\Huh? response:	It's fine
context: Hey, Suna!\Don't be a stranger!\Give me your passports, everyone!\I'll go get us speedpasses.\I'll come, too!\If you have help, it'll be easier.\Huh?\It's fine response:	Where should I go?
context: Don't be a stranger!\Give me your passports, everyone!\I'll go get us speedpasses.\I'll come, too!\If you have help, it'll be easier.\Huh?\It's fine\Where should I go? response:	Oh, he's back
context: Give me your passports, everyone!\I'll go get us speedpasses.\I'll come, too!\If you have help, it'll be easier.\Huh?\It's fine\Where should I go?\Oh, he's back response:	You know, you're a really cool guy, once I got used to your sheer size.
context: I'll go get us speedpasses.\I'll come, too!\If you have help, it'll be easier.\Huh?\It's fine\Where should I go?\Oh, he's back\You know, you're a really cool guy, once I got used to your sheer size. response:	Yeah?
context: I'll come, too!\If you have help, it'll be easier.\Huh?\It's fine\Where should I go?\Oh, he's back\You know, you're a really cool guy, once I got used to your sheer size.\Yeah? response:	Wow, that looks super good on you, Takeo-kun!
context: If you have help, it'll be easier.\Huh?\It's fine\Where should I go?\Oh, he's back\You know, you're a really cool guy, once I got used to your sheer size.\Yeah?\Wow, that looks super good on you, Takeo-kun! response:	That looks like a claw-game claw on you.
context: Huh?\It's fine\Where should I go?\Oh, he's back\You know, you're a really cool guy, once I got used to your sheer size.\Yeah?\Wow, that looks super good on you, Takeo-kun!\That looks like a claw-game claw on you. response:	You're super good, too, Yamato.
context: It's fine\Where should I go?\Oh, he's back\You know, you're a really cool guy, once I got used to your sheer size.\Yeah?\Wow, that looks super good on you, Takeo-kun!\That looks like a claw-game claw on you.\You're super good, too, Yamato. response:	You aren't going to try one on, Sunakawa-san?
context: Where should I go?\Oh, he's back\You know, you're a really cool guy, once I got used to your sheer size.\Yeah?\Wow, that looks super good on you, Takeo-kun!\That looks like a claw-game claw on you.\You're super good, too, Yamato.\You aren't going to try one on, Sunakawa-san? response:	Those aren't for me.
context: Oh, he's back\You know, you're a really cool guy, once I got used to your sheer size.\Yeah?\Wow, that looks super good on you, Takeo-kun!\That looks like a claw-game claw on you.\You're super good, too, Yamato.\You aren't going to try one on, Sunakawa-san?\Those aren't for me. response:	Aw, come on... We're trying to forget the real world here.
context: You know, you're a really cool guy, once I got used to your sheer size.\Yeah?\Wow, that looks super good on you, Takeo-kun!\That looks like a claw-game claw on you.\You're super good, too, Yamato.\You aren't going to try one on, Sunakawa-san?\Those aren't for me.\Aw, come on... We're trying to forget the real world here. response:	Who said?
context: Yeah?\Wow, that looks super good on you, Takeo-kun!\That looks like a claw-game claw on you.\You're super good, too, Yamato.\You aren't going to try one on, Sunakawa-san?\Those aren't for me.\Aw, come on... We're trying to forget the real world here.\Who said? response:	I think it'd look good on you, though.
context: Wow, that looks super good on you, Takeo-kun!\That looks like a claw-game claw on you.\You're super good, too, Yamato.\You aren't going to try one on, Sunakawa-san?\Those aren't for me.\Aw, come on... We're trying to forget the real world here.\Who said?\I think it'd look good on you, though. response:	What?
context: That looks like a claw-game claw on you.\You're super good, too, Yamato.\You aren't going to try one on, Sunakawa-san?\Those aren't for me.\Aw, come on... We're trying to forget the real world here.\Who said?\I think it'd look good on you, though.\What? response:	Nothing.
context: You're super good, too, Yamato.\You aren't going to try one on, Sunakawa-san?\Those aren't for me.\Aw, come on... We're trying to forget the real world here.\Who said?\I think it'd look good on you, though.\What?\Nothing. response:	Hey, guys,
context: You aren't going to try one on, Sunakawa-san?\Those aren't for me.\Aw, come on... We're trying to forget the real world here.\Who said?\I think it'd look good on you, though.\What?\Nothing.\Hey, guys, response:	let's go on that ride that drops you straight down.
context: Those aren't for me.\Aw, come on... We're trying to forget the real world here.\Who said?\I think it'd look good on you, though.\What?\Nothing.\Hey, guys,\let's go on that ride that drops you straight down. response:	Wow! We're dropping straight down!
context: Aw, come on... We're trying to forget the real world here.\Who said?\I think it'd look good on you, though.\What?\Nothing.\Hey, guys,\let's go on that ride that drops you straight down.\Wow! We're dropping straight down! response:	Wow! So fast!
context: Who said?\I think it'd look good on you, though.\What?\Nothing.\Hey, guys,\let's go on that ride that drops you straight down.\Wow! We're dropping straight down!\Wow! So fast! response:	This is fun.
context: I think it'd look good on you, though.\What?\Nothing.\Hey, guys,\let's go on that ride that drops you straight down.\Wow! We're dropping straight down!\Wow! So fast!\This is fun. response:	I don't remember amusement parks being this fun.
context: What?\Nothing.\Hey, guys,\let's go on that ride that drops you straight down.\Wow! We're dropping straight down!\Wow! So fast!\This is fun.\I don't remember amusement parks being this fun. response:	Takeo-kun, this is so much fun!
context: Nothing.\Hey, guys,\let's go on that ride that drops you straight down.\Wow! We're dropping straight down!\Wow! So fast!\This is fun.\I don't remember amusement parks being this fun.\Takeo-kun, this is so much fun! response:	I'm laughing so much, my face hurts.
context: Hey, guys,\let's go on that ride that drops you straight down.\Wow! We're dropping straight down!\Wow! So fast!\This is fun.\I don't remember amusement parks being this fun.\Takeo-kun, this is so much fun!\I'm laughing so much, my face hurts. response:	Me, too!
context: let's go on that ride that drops you straight down.\Wow! We're dropping straight down!\Wow! So fast!\This is fun.\I don't remember amusement parks being this fun.\Takeo-kun, this is so much fun!\I'm laughing so much, my face hurts.\Me, too! response:	On Alert
context: Wow! We're dropping straight down!\Wow! So fast!\This is fun.\I don't remember amusement parks being this fun.\Takeo-kun, this is so much fun!\I'm laughing so much, my face hurts.\Me, too!\On Alert response:	Oh, it's MM!
context: Wow! So fast!\This is fun.\I don't remember amusement parks being this fun.\Takeo-kun, this is so much fun!\I'm laughing so much, my face hurts.\Me, too!\On Alert\Oh, it's MM! response:	Takeo-kun, let's take a picture together!
context: This is fun.\I don't remember amusement parks being this fun.\Takeo-kun, this is so much fun!\I'm laughing so much, my face hurts.\Me, too!\On Alert\Oh, it's MM!\Takeo-kun, let's take a picture together! response:	Top 3 Jinxes at MM Land 1: Breakup chance 100 if take photo with MM 2: Breakup chance 100 if watch Sparkly Parade together 3: Breakup chance 200 if go on date at MM Land
context: I don't remember amusement parks being this fun.\Takeo-kun, this is so much fun!\I'm laughing so much, my face hurts.\Me, too!\On Alert\Oh, it's MM!\Takeo-kun, let's take a picture together!\Top 3 Jinxes at MM Land 1: Breakup chance 100 if take photo with MM 2: Breakup chance 100 if watch Sparkly Parade together 3: Breakup chance 200 if go on date at MM Land response:	The top three jinxes at MM Land!
context: Takeo-kun, this is so much fun!\I'm laughing so much, my face hurts.\Me, too!\On Alert\Oh, it's MM!\Takeo-kun, let's take a picture together!\Top 3 Jinxes at MM Land 1: Breakup chance 100 if take photo with MM 2: Breakup chance 100 if watch Sparkly Parade together 3: Breakup chance 200 if go on date at MM Land\The top three jinxes at MM Land! response:	W-Would it be a date if I'm just hanging out with you?
context: I'm laughing so much, my face hurts.\Me, too!\On Alert\Oh, it's MM!\Takeo-kun, let's take a picture together!\Top 3 Jinxes at MM Land 1: Breakup chance 100 if take photo with MM 2: Breakup chance 100 if watch Sparkly Parade together 3: Breakup chance 200 if go on date at MM Land\The top three jinxes at MM Land!\W-Would it be a date if I'm just hanging out with you? response:	3: Breakup chance 200 if go on date at MM Land
context: Me, too!\On Alert\Oh, it's MM!\Takeo-kun, let's take a picture together!\Top 3 Jinxes at MM Land 1: Breakup chance 100 if take photo with MM 2: Breakup chance 100 if watch Sparkly Parade together 3: Breakup chance 200 if go on date at MM Land\The top three jinxes at MM Land!\W-Would it be a date if I'm just hanging out with you?\3: Breakup chance 200 if go on date at MM Land response:	Then why not go on a ride with me?
context: On Alert\Oh, it's MM!\Takeo-kun, let's take a picture together!\Top 3 Jinxes at MM Land 1: Breakup chance 100 if take photo with MM 2: Breakup chance 100 if watch Sparkly Parade together 3: Breakup chance 200 if go on date at MM Land\The top three jinxes at MM Land!\W-Would it be a date if I'm just hanging out with you?\3: Breakup chance 200 if go on date at MM Land\Then why not go on a ride with me? response:	Why you?
context: Oh, it's MM!\Takeo-kun, let's take a picture together!\Top 3 Jinxes at MM Land 1: Breakup chance 100 if take photo with MM 2: Breakup chance 100 if watch Sparkly Parade together 3: Breakup chance 200 if go on date at MM Land\The top three jinxes at MM Land!\W-Would it be a date if I'm just hanging out with you?\3: Breakup chance 200 if go on date at MM Land\Then why not go on a ride with me?\Why you? response:	Yamato-san, come with me!
context: Takeo-kun, let's take a picture together!\Top 3 Jinxes at MM Land 1: Breakup chance 100 if take photo with MM 2: Breakup chance 100 if watch Sparkly Parade together 3: Breakup chance 200 if go on date at MM Land\The top three jinxes at MM Land!\W-Would it be a date if I'm just hanging out with you?\3: Breakup chance 200 if go on date at MM Land\Then why not go on a ride with me?\Why you?\Yamato-san, come with me! response:	Boo.
context: Top 3 Jinxes at MM Land 1: Breakup chance 100 if take photo with MM 2: Breakup chance 100 if watch Sparkly Parade together 3: Breakup chance 200 if go on date at MM Land\The top three jinxes at MM Land!\W-Would it be a date if I'm just hanging out with you?\3: Breakup chance 200 if go on date at MM Land\Then why not go on a ride with me?\Why you?\Yamato-san, come with me!\Boo. response:	Want to go on a ride?
context: The top three jinxes at MM Land!\W-Would it be a date if I'm just hanging out with you?\3: Breakup chance 200 if go on date at MM Land\Then why not go on a ride with me?\Why you?\Yamato-san, come with me!\Boo.\Want to go on a ride? response:	Sure.
context: W-Would it be a date if I'm just hanging out with you?\3: Breakup chance 200 if go on date at MM Land\Then why not go on a ride with me?\Why you?\Yamato-san, come with me!\Boo.\Want to go on a ride?\Sure. response:	Suna, what's a jinx, anyway?
context: 3: Breakup chance 200 if go on date at MM Land\Then why not go on a ride with me?\Why you?\Yamato-san, come with me!\Boo.\Want to go on a ride?\Sure.\Suna, what's a jinx, anyway? response:	It's more that it's the reality.
context: Then why not go on a ride with me?\Why you?\Yamato-san, come with me!\Boo.\Want to go on a ride?\Sure.\Suna, what's a jinx, anyway?\It's more that it's the reality. response:	Reality?
context: Why you?\Yamato-san, come with me!\Boo.\Want to go on a ride?\Sure.\Suna, what's a jinx, anyway?\It's more that it's the reality.\Reality? response:	Between couples who, after coming here, stay together and those who'll break up...
context: Yamato-san, come with me!\Boo.\Want to go on a ride?\Sure.\Suna, what's a jinx, anyway?\It's more that it's the reality.\Reality?\Between couples who, after coming here, stay together and those who'll break up... response:	Naturally, there'll be more of the latter.
context: Boo.\Want to go on a ride?\Sure.\Suna, what's a jinx, anyway?\It's more that it's the reality.\Reality?\Between couples who, after coming here, stay together and those who'll break up...\Naturally, there'll be more of the latter. response:	I think it's more common for relationships to not work out.
context: Want to go on a ride?\Sure.\Suna, what's a jinx, anyway?\It's more that it's the reality.\Reality?\Between couples who, after coming here, stay together and those who'll break up...\Naturally, there'll be more of the latter.\I think it's more common for relationships to not work out. response:	Reality, huh?
context: Sure.\Suna, what's a jinx, anyway?\It's more that it's the reality.\Reality?\Between couples who, after coming here, stay together and those who'll break up...\Naturally, there'll be more of the latter.\I think it's more common for relationships to not work out.\Reality, huh? response:	Yeah, I can see that...
context: Suna, what's a jinx, anyway?\It's more that it's the reality.\Reality?\Between couples who, after coming here, stay together and those who'll break up...\Naturally, there'll be more of the latter.\I think it's more common for relationships to not work out.\Reality, huh?\Yeah, I can see that... response:	Ever since we started dating,
context: It's more that it's the reality.\Reality?\Between couples who, after coming here, stay together and those who'll break up...\Naturally, there'll be more of the latter.\I think it's more common for relationships to not work out.\Reality, huh?\Yeah, I can see that...\Ever since we started dating, response:	we've had so much fun.
context: Reality?\Between couples who, after coming here, stay together and those who'll break up...\Naturally, there'll be more of the latter.\I think it's more common for relationships to not work out.\Reality, huh?\Yeah, I can see that...\Ever since we started dating,\we've had so much fun. response:	I've probably just forgotten about how things usually go in reality.
context: Between couples who, after coming here, stay together and those who'll break up...\Naturally, there'll be more of the latter.\I think it's more common for relationships to not work out.\Reality, huh?\Yeah, I can see that...\Ever since we started dating,\we've had so much fun.\I've probably just forgotten about how things usually go in reality. response:	I heard you a lot back there.
context: Naturally, there'll be more of the latter.\I think it's more common for relationships to not work out.\Reality, huh?\Yeah, I can see that...\Ever since we started dating,\we've had so much fun.\I've probably just forgotten about how things usually go in reality.\I heard you a lot back there. response:	I'm easily spooked by stuff that jumps out at you.
context: I think it's more common for relationships to not work out.\Reality, huh?\Yeah, I can see that...\Ever since we started dating,\we've had so much fun.\I've probably just forgotten about how things usually go in reality.\I heard you a lot back there.\I'm easily spooked by stuff that jumps out at you. response:	I'm starving...
context: Reality, huh?\Yeah, I can see that...\Ever since we started dating,\we've had so much fun.\I've probably just forgotten about how things usually go in reality.\I heard you a lot back there.\I'm easily spooked by stuff that jumps out at you.\I'm starving... response:	Takeo-kun, let's go get something to eat.
context: Yeah, I can see that...\Ever since we started dating,\we've had so much fun.\I've probably just forgotten about how things usually go in reality.\I heard you a lot back there.\I'm easily spooked by stuff that jumps out at you.\I'm starving...\Takeo-kun, let's go get something to eat. response:	What? What?
context: Ever since we started dating,\we've had so much fun.\I've probably just forgotten about how things usually go in reality.\I heard you a lot back there.\I'm easily spooked by stuff that jumps out at you.\I'm starving...\Takeo-kun, let's go get something to eat.\What? What? response:	Do you have a problem with it, if it's just Takeo-kun and me?
context: we've had so much fun.\I've probably just forgotten about how things usually go in reality.\I heard you a lot back there.\I'm easily spooked by stuff that jumps out at you.\I'm starving...\Takeo-kun, let's go get something to eat.\What? What?\Do you have a problem with it, if it's just Takeo-kun and me? response:	Takeo-kun, how did you guys start dating?
context: I've probably just forgotten about how things usually go in reality.\I heard you a lot back there.\I'm easily spooked by stuff that jumps out at you.\I'm starving...\Takeo-kun, let's go get something to eat.\What? What?\Do you have a problem with it, if it's just Takeo-kun and me?\Takeo-kun, how did you guys start dating? response:	Who confessed their feelings first?
context: I heard you a lot back there.\I'm easily spooked by stuff that jumps out at you.\I'm starving...\Takeo-kun, let's go get something to eat.\What? What?\Do you have a problem with it, if it's just Takeo-kun and me?\Takeo-kun, how did you guys start dating?\Who confessed their feelings first? response:	I guess Yamato, in a way.
context: I'm easily spooked by stuff that jumps out at you.\I'm starving...\Takeo-kun, let's go get something to eat.\What? What?\Do you have a problem with it, if it's just Takeo-kun and me?\Takeo-kun, how did you guys start dating?\Who confessed their feelings first?\I guess Yamato, in a way. response:	Oh, okay.
