context: Chikusei-so response:	4/29 Tokyo Sport Uni Track Meet!!
context: Chikusei-so\4/29 Tokyo Sport Uni Track Meet!! response:	Run with the Wind
context: Chikusei-so\4/29 Tokyo Sport Uni Track Meet!!\Run with the Wind response:	He's late, isn't he?
context: Chikusei-so\4/29 Tokyo Sport Uni Track Meet!!\Run with the Wind\He's late, isn't he? response:	Thanks for waiting.
context: Chikusei-so\4/29 Tokyo Sport Uni Track Meet!!\Run with the Wind\He's late, isn't he?\Thanks for waiting. response:	Are you trying to kill us?!
context: Chikusei-so\4/29 Tokyo Sport Uni Track Meet!!\Run with the Wind\He's late, isn't he?\Thanks for waiting.\Are you trying to kill us?! response:	I was nervous since it'd been a while.
context: Chikusei-so\4/29 Tokyo Sport Uni Track Meet!!\Run with the Wind\He's late, isn't he?\Thanks for waiting.\Are you trying to kill us?!\I was nervous since it'd been a while. response:	I think changing lanes had my heart pounding harder than the meet.
context: Chikusei-so\4/29 Tokyo Sport Uni Track Meet!!\Run with the Wind\He's late, isn't he?\Thanks for waiting.\Are you trying to kill us?!\I was nervous since it'd been a while.\I think changing lanes had my heart pounding harder than the meet. response:	What's wrong? Get in.
context: 4/29 Tokyo Sport Uni Track Meet!!\Run with the Wind\He's late, isn't he?\Thanks for waiting.\Are you trying to kill us?!\I was nervous since it'd been a while.\I think changing lanes had my heart pounding harder than the meet.\What's wrong? Get in. response:	There's not much time.
context: Run with the Wind\He's late, isn't he?\Thanks for waiting.\Are you trying to kill us?!\I was nervous since it'd been a while.\I think changing lanes had my heart pounding harder than the meet.\What's wrong? Get in.\There's not much time. response:	Haiji, are you driving us there?
context: He's late, isn't he?\Thanks for waiting.\Are you trying to kill us?!\I was nervous since it'd been a while.\I think changing lanes had my heart pounding harder than the meet.\What's wrong? Get in.\There's not much time.\Haiji, are you driving us there? response:	That was my intention.
context: Thanks for waiting.\Are you trying to kill us?!\I was nervous since it'd been a while.\I think changing lanes had my heart pounding harder than the meet.\What's wrong? Get in.\There's not much time.\Haiji, are you driving us there?\That was my intention. response:	Isn't there anyone else here who can drive?!
context: Are you trying to kill us?!\I was nervous since it'd been a while.\I think changing lanes had my heart pounding harder than the meet.\What's wrong? Get in.\There's not much time.\Haiji, are you driving us there?\That was my intention.\Isn't there anyone else here who can drive?! response:	Come on! Get in.
context: I was nervous since it'd been a while.\I think changing lanes had my heart pounding harder than the meet.\What's wrong? Get in.\There's not much time.\Haiji, are you driving us there?\That was my intention.\Isn't there anyone else here who can drive?!\Come on! Get in. response:	What's wrong with you guys?!
context: I think changing lanes had my heart pounding harder than the meet.\What's wrong? Get in.\There's not much time.\Haiji, are you driving us there?\That was my intention.\Isn't there anyone else here who can drive?!\Come on! Get in.\What's wrong with you guys?! response:	I've got mine.
context: What's wrong? Get in.\There's not much time.\Haiji, are you driving us there?\That was my intention.\Isn't there anyone else here who can drive?!\Come on! Get in.\What's wrong with you guys?!\I've got mine. response:	Hurry up and get your licenses!
context: There's not much time.\Haiji, are you driving us there?\That was my intention.\Isn't there anyone else here who can drive?!\Come on! Get in.\What's wrong with you guys?!\I've got mine.\Hurry up and get your licenses! response:	Yeah, you, too.
context: Haiji, are you driving us there?\That was my intention.\Isn't there anyone else here who can drive?!\Come on! Get in.\What's wrong with you guys?!\I've got mine.\Hurry up and get your licenses!\Yeah, you, too. response:	Bear Your Fangs at the Summit
context: That was my intention.\Isn't there anyone else here who can drive?!\Come on! Get in.\What's wrong with you guys?!\I've got mine.\Hurry up and get your licenses!\Yeah, you, too.\Bear Your Fangs at the Summit response:	Tokyo Sport University
context: Isn't there anyone else here who can drive?!\Come on! Get in.\What's wrong with you guys?!\I've got mine.\Hurry up and get your licenses!\Yeah, you, too.\Bear Your Fangs at the Summit\Tokyo Sport University response:	Are you okay, Prince?
context: Come on! Get in.\What's wrong with you guys?!\I've got mine.\Hurry up and get your licenses!\Yeah, you, too.\Bear Your Fangs at the Summit\Tokyo Sport University\Are you okay, Prince? response:	That took longer than expected.
context: What's wrong with you guys?!\I've got mine.\Hurry up and get your licenses!\Yeah, you, too.\Bear Your Fangs at the Summit\Tokyo Sport University\Are you okay, Prince?\That took longer than expected. response:	I'll check us in.
context: I've got mine.\Hurry up and get your licenses!\Yeah, you, too.\Bear Your Fangs at the Summit\Tokyo Sport University\Are you okay, Prince?\That took longer than expected.\I'll check us in. response:	Everyone else get ready.
context: Hurry up and get your licenses!\Yeah, you, too.\Bear Your Fangs at the Summit\Tokyo Sport University\Are you okay, Prince?\That took longer than expected.\I'll check us in.\Everyone else get ready. response:	How can he say that after driving like he did?
context: Yeah, you, too.\Bear Your Fangs at the Summit\Tokyo Sport University\Are you okay, Prince?\That took longer than expected.\I'll check us in.\Everyone else get ready.\How can he say that after driving like he did? response:	One of us needs to get a license before we train anymore.
context: Bear Your Fangs at the Summit\Tokyo Sport University\Are you okay, Prince?\That took longer than expected.\I'll check us in.\Everyone else get ready.\How can he say that after driving like he did?\One of us needs to get a license before we train anymore. response:	Does anyone have a plastic bag?!
context: Tokyo Sport University\Are you okay, Prince?\That took longer than expected.\I'll check us in.\Everyone else get ready.\How can he say that after driving like he did?\One of us needs to get a license before we train anymore.\Does anyone have a plastic bag?! response:	Just stick it into some bushes.
context: Are you okay, Prince?\That took longer than expected.\I'll check us in.\Everyone else get ready.\How can he say that after driving like he did?\One of us needs to get a license before we train anymore.\Does anyone have a plastic bag?!\Just stick it into some bushes. response:	We can't do that!
context: That took longer than expected.\I'll check us in.\Everyone else get ready.\How can he say that after driving like he did?\One of us needs to get a license before we train anymore.\Does anyone have a plastic bag?!\Just stick it into some bushes.\We can't do that! response:	Where's the bathroom?
context: I'll check us in.\Everyone else get ready.\How can he say that after driving like he did?\One of us needs to get a license before we train anymore.\Does anyone have a plastic bag?!\Just stick it into some bushes.\We can't do that!\Where's the bathroom? response:	I see the friendly jogging club is as lively as ever.
