context: So, it's going pretty well with your girlfriend? response:	Yeah, it is. T-To tell the truth...
context: So, it's going pretty well with your girlfriend?\Yeah, it is. T-To tell the truth... response:	I'm thinking of proposing to her
context: So, it's going pretty well with your girlfriend?\Yeah, it is. T-To tell the truth...\I'm thinking of proposing to her response:	once this business deal goes through.
context: So, it's going pretty well with your girlfriend?\Yeah, it is. T-To tell the truth...\I'm thinking of proposing to her\once this business deal goes through. response:	Well, that's a reason to celebrate.
context: So, it's going pretty well with your girlfriend?\Yeah, it is. T-To tell the truth...\I'm thinking of proposing to her\once this business deal goes through.\Well, that's a reason to celebrate. response:	If Her Flag Breaks
context: So, it's going pretty well with your girlfriend?\Yeah, it is. T-To tell the truth...\I'm thinking of proposing to her\once this business deal goes through.\Well, that's a reason to celebrate.\If Her Flag Breaks response:	Episode 1
context: So, it's going pretty well with your girlfriend?\Yeah, it is. T-To tell the truth...\I'm thinking of proposing to her\once this business deal goes through.\Well, that's a reason to celebrate.\If Her Flag Breaks\Episode 1 response:	I'm Going to Marry Her Once I Leave This School
context: So, it's going pretty well with your girlfriend?\Yeah, it is. T-To tell the truth...\I'm thinking of proposing to her\once this business deal goes through.\Well, that's a reason to celebrate.\If Her Flag Breaks\Episode 1\I'm Going to Marry Her Once I Leave This School response:	Hatagaya Academy High School
context: Yeah, it is. T-To tell the truth...\I'm thinking of proposing to her\once this business deal goes through.\Well, that's a reason to celebrate.\If Her Flag Breaks\Episode 1\I'm Going to Marry Her Once I Leave This School\Hatagaya Academy High School response:	I don't get it...
context: I'm thinking of proposing to her\once this business deal goes through.\Well, that's a reason to celebrate.\If Her Flag Breaks\Episode 1\I'm Going to Marry Her Once I Leave This School\Hatagaya Academy High School\I don't get it... response:	Students of Hatagaya Academy!
context: once this business deal goes through.\Well, that's a reason to celebrate.\If Her Flag Breaks\Episode 1\I'm Going to Marry Her Once I Leave This School\Hatagaya Academy High School\I don't get it...\Students of Hatagaya Academy! response:	What happened there?
context: Well, that's a reason to celebrate.\If Her Flag Breaks\Episode 1\I'm Going to Marry Her Once I Leave This School\Hatagaya Academy High School\I don't get it...\Students of Hatagaya Academy!\What happened there? response:	I don't think it was just a normal accident.
context: If Her Flag Breaks\Episode 1\I'm Going to Marry Her Once I Leave This School\Hatagaya Academy High School\I don't get it...\Students of Hatagaya Academy!\What happened there?\I don't think it was just a normal accident. response:	I want to know.
context: Episode 1\I'm Going to Marry Her Once I Leave This School\Hatagaya Academy High School\I don't get it...\Students of Hatagaya Academy!\What happened there?\I don't think it was just a normal accident.\I want to know. response:	Stand.
context: I'm Going to Marry Her Once I Leave This School\Hatagaya Academy High School\I don't get it...\Students of Hatagaya Academy!\What happened there?\I don't think it was just a normal accident.\I want to know.\Stand. response:	Bow.
context: Hatagaya Academy High School\I don't get it...\Students of Hatagaya Academy!\What happened there?\I don't think it was just a normal accident.\I want to know.\Stand.\Bow. response:	Take your seats.
context: I don't get it...\Students of Hatagaya Academy!\What happened there?\I don't think it was just a normal accident.\I want to know.\Stand.\Bow.\Take your seats. response:	And that kid...
context: Students of Hatagaya Academy!\What happened there?\I don't think it was just a normal accident.\I want to know.\Stand.\Bow.\Take your seats.\And that kid... response:	He was wearing our uniform...
context: What happened there?\I don't think it was just a normal accident.\I want to know.\Stand.\Bow.\Take your seats.\And that kid...\He was wearing our uniform... response:	But Hatagaya Academy has classes from
context: I don't think it was just a normal accident.\I want to know.\Stand.\Bow.\Take your seats.\And that kid...\He was wearing our uniform...\But Hatagaya Academy has classes from response:	kindergarten all the way to college.
context: I want to know.\Stand.\Bow.\Take your seats.\And that kid...\He was wearing our uniform...\But Hatagaya Academy has classes from\kindergarten all the way to college. response:	Okay, everyone.
context: Stand.\Bow.\Take your seats.\And that kid...\He was wearing our uniform...\But Hatagaya Academy has classes from\kindergarten all the way to college.\Okay, everyone. response:	You're all going to
context: Bow.\Take your seats.\And that kid...\He was wearing our uniform...\But Hatagaya Academy has classes from\kindergarten all the way to college.\Okay, everyone.\You're all going to response:	meet a new friend today.
context: Take your seats.\And that kid...\He was wearing our uniform...\But Hatagaya Academy has classes from\kindergarten all the way to college.\Okay, everyone.\You're all going to\meet a new friend today. response:	All right. Go ahead and come in.
context: And that kid...\He was wearing our uniform...\But Hatagaya Academy has classes from\kindergarten all the way to college.\Okay, everyone.\You're all going to\meet a new friend today.\All right. Go ahead and come in. response:	I won't be able to find him that easi
context: He was wearing our uniform...\But Hatagaya Academy has classes from\kindergarten all the way to college.\Okay, everyone.\You're all going to\meet a new friend today.\All right. Go ahead and come in.\I won't be able to find him that easi response:	Hatate Souta
context: But Hatagaya Academy has classes from\kindergarten all the way to college.\Okay, everyone.\You're all going to\meet a new friend today.\All right. Go ahead and come in.\I won't be able to find him that easi\Hatate Souta response:	My name is Hatate Souta.
context: kindergarten all the way to college.\Okay, everyone.\You're all going to\meet a new friend today.\All right. Go ahead and come in.\I won't be able to find him that easi\Hatate Souta\My name is Hatate Souta. response:	Nice to meet all of you.
context: Okay, everyone.\You're all going to\meet a new friend today.\All right. Go ahead and come in.\I won't be able to find him that easi\Hatate Souta\My name is Hatate Souta.\Nice to meet all of you. response:	She stood up and then sat right back down...
context: You're all going to\meet a new friend today.\All right. Go ahead and come in.\I won't be able to find him that easi\Hatate Souta\My name is Hatate Souta.\Nice to meet all of you.\She stood up and then sat right back down... response:	Was she stretching?
