context: Hey! Come one, come all! response:	Cigarettes
context: Hey! Come one, come all!\Cigarettes response:	I got shells for sale!
context: Hey! Come one, come all!\Cigarettes\I got shells for sale! response:	20 yen
context: Hey! Come one, come all!\Cigarettes\I got shells for sale!\20 yen response:	Step right up!
context: Hey! Come one, come all!\Cigarettes\I got shells for sale!\20 yen\Step right up! response:	His place should be around here.
context: Hey! Come one, come all!\Cigarettes\I got shells for sale!\20 yen\Step right up!\His place should be around here. response:	Please make sure to find him today!
context: Hey! Come one, come all!\Cigarettes\I got shells for sale!\20 yen\Step right up!\His place should be around here.\Please make sure to find him today! response:	I'm sick of spending the night at campsites.
context: Hey! Come one, come all!\Cigarettes\I got shells for sale!\20 yen\Step right up!\His place should be around here.\Please make sure to find him today!\I'm sick of spending the night at campsites. response:	Yeah, yeah.
context: Cigarettes\I got shells for sale!\20 yen\Step right up!\His place should be around here.\Please make sure to find him today!\I'm sick of spending the night at campsites.\Yeah, yeah. response:	20 yen
context: I got shells for sale!\20 yen\Step right up!\His place should be around here.\Please make sure to find him today!\I'm sick of spending the night at campsites.\Yeah, yeah.\20 yen response:	What the heck is this?
context: 20 yen\Step right up!\His place should be around here.\Please make sure to find him today!\I'm sick of spending the night at campsites.\Yeah, yeah.\20 yen\What the heck is this? response:	I got shells for sale!
context: Step right up!\His place should be around here.\Please make sure to find him today!\I'm sick of spending the night at campsites.\Yeah, yeah.\20 yen\What the heck is this?\I got shells for sale! response:	Step right up!
context: His place should be around here.\Please make sure to find him today!\I'm sick of spending the night at campsites.\Yeah, yeah.\20 yen\What the heck is this?\I got shells for sale!\Step right up! response:	Gramma!
context: Please make sure to find him today!\I'm sick of spending the night at campsites.\Yeah, yeah.\20 yen\What the heck is this?\I got shells for sale!\Step right up!\Gramma! response:	Oh, she's back.
context: I'm sick of spending the night at campsites.\Yeah, yeah.\20 yen\What the heck is this?\I got shells for sale!\Step right up!\Gramma!\Oh, she's back. response:	Hey, step right up!
context: Yeah, yeah.\20 yen\What the heck is this?\I got shells for sale!\Step right up!\Gramma!\Oh, she's back.\Hey, step right up! response:	Dog
context: 20 yen\What the heck is this?\I got shells for sale!\Step right up!\Gramma!\Oh, she's back.\Hey, step right up!\Dog response:	Why so competitive?
context: What the heck is this?\I got shells for sale!\Step right up!\Gramma!\Oh, she's back.\Hey, step right up!\Dog\Why so competitive? response:	Playing shop keeper, huh?
context: I got shells for sale!\Step right up!\Gramma!\Oh, she's back.\Hey, step right up!\Dog\Why so competitive?\Playing shop keeper, huh? response:	What're you selling?
context: Step right up!\Gramma!\Oh, she's back.\Hey, step right up!\Dog\Why so competitive?\Playing shop keeper, huh?\What're you selling? response:	Shells.
context: Gramma!\Oh, she's back.\Hey, step right up!\Dog\Why so competitive?\Playing shop keeper, huh?\What're you selling?\Shells. response:	May I have one, too?
context: Oh, she's back.\Hey, step right up!\Dog\Why so competitive?\Playing shop keeper, huh?\What're you selling?\Shells.\May I have one, too? response:	Yes, here.
context: Hey, step right up!\Dog\Why so competitive?\Playing shop keeper, huh?\What're you selling?\Shells.\May I have one, too?\Yes, here. response:	You like children?
context: Dog\Why so competitive?\Playing shop keeper, huh?\What're you selling?\Shells.\May I have one, too?\Yes, here.\You like children? response:	For publicity's sake.
context: Why so competitive?\Playing shop keeper, huh?\What're you selling?\Shells.\May I have one, too?\Yes, here.\You like children?\For publicity's sake. response:	You're a pretty nasty guy.
