context: I can't take any more... I'm at my limit... response:	Let me off...
context: I can't take any more... I'm at my limit...\Let me off... response:	You just need to suck it up for another two hours! Hang in there, Natsu!
context: I can't take any more... I'm at my limit...\Let me off...\You just need to suck it up for another two hours! Hang in there, Natsu! response:	What a pathetic man!
context: I can't take any more... I'm at my limit...\Let me off...\You just need to suck it up for another two hours! Hang in there, Natsu!\What a pathetic man! response:	You people...
context: I can't take any more... I'm at my limit...\Let me off...\You just need to suck it up for another two hours! Hang in there, Natsu!\What a pathetic man!\You people... response:	Wendy, lay another Troia on the poor guy!
context: I can't take any more... I'm at my limit...\Let me off...\You just need to suck it up for another two hours! Hang in there, Natsu!\What a pathetic man!\You people...\Wendy, lay another Troia on the poor guy! response:	At this rate, Natsu will melt into nothingness before we reach our destination!
context: I can't take any more... I'm at my limit...\Let me off...\You just need to suck it up for another two hours! Hang in there, Natsu!\What a pathetic man!\You people...\Wendy, lay another Troia on the poor guy!\At this rate, Natsu will melt into nothingness before we reach our destination! response:	All right, then...
context: I can't take any more... I'm at my limit...\Let me off...\You just need to suck it up for another two hours! Hang in there, Natsu!\What a pathetic man!\You people...\Wendy, lay another Troia on the poor guy!\At this rate, Natsu will melt into nothingness before we reach our destination!\All right, then... response:	Troia!
context: Let me off...\You just need to suck it up for another two hours! Hang in there, Natsu!\What a pathetic man!\You people...\Wendy, lay another Troia on the poor guy!\At this rate, Natsu will melt into nothingness before we reach our destination!\All right, then...\Troia! response:	Huh? It's not working!
context: You just need to suck it up for another two hours! Hang in there, Natsu!\What a pathetic man!\You people...\Wendy, lay another Troia on the poor guy!\At this rate, Natsu will melt into nothingness before we reach our destination!\All right, then...\Troia!\Huh? It's not working! response:	The Truly Evil Jiggle Butt Gang!
context: What a pathetic man!\You people...\Wendy, lay another Troia on the poor guy!\At this rate, Natsu will melt into nothingness before we reach our destination!\All right, then...\Troia!\Huh? It's not working!\The Truly Evil Jiggle Butt Gang! response:	I'm gonna die! Do something!
context: You people...\Wendy, lay another Troia on the poor guy!\At this rate, Natsu will melt into nothingness before we reach our destination!\All right, then...\Troia!\Huh? It's not working!\The Truly Evil Jiggle Butt Gang!\I'm gonna die! Do something! response:	Huh? That's strange!
context: Wendy, lay another Troia on the poor guy!\At this rate, Natsu will melt into nothingness before we reach our destination!\All right, then...\Troia!\Huh? It's not working!\The Truly Evil Jiggle Butt Gang!\I'm gonna die! Do something!\Huh? That's strange! response:	I'll try it once more!
context: At this rate, Natsu will melt into nothingness before we reach our destination!\All right, then...\Troia!\Huh? It's not working!\The Truly Evil Jiggle Butt Gang!\I'm gonna die! Do something!\Huh? That's strange!\I'll try it once more! response:	It's not really making a difference...
context: All right, then...\Troia!\Huh? It's not working!\The Truly Evil Jiggle Butt Gang!\I'm gonna die! Do something!\Huh? That's strange!\I'll try it once more!\It's not really making a difference... response:	Troia! Troia! Troia!
context: Troia!\Huh? It's not working!\The Truly Evil Jiggle Butt Gang!\I'm gonna die! Do something!\Huh? That's strange!\I'll try it once more!\It's not really making a difference...\Troia! Troia! Troia! response:	It's not having any effect!
context: Huh? It's not working!\The Truly Evil Jiggle Butt Gang!\I'm gonna die! Do something!\Huh? That's strange!\I'll try it once more!\It's not really making a difference...\Troia! Troia! Troia!\It's not having any effect! response:	Why not?!
context: The Truly Evil Jiggle Butt Gang!\I'm gonna die! Do something!\Huh? That's strange!\I'll try it once more!\It's not really making a difference...\Troia! Troia! Troia!\It's not having any effect!\Why not?! response:	Usually, he feels better right away...
context: I'm gonna die! Do something!\Huh? That's strange!\I'll try it once more!\It's not really making a difference...\Troia! Troia! Troia!\It's not having any effect!\Why not?!\Usually, he feels better right away... response:	A power shortage?
