context: Auw! response:	eye catch
context: Auw!\eye catch response:	H!
context: Auw!\eye catch\H! response:	O?!
context: Auw!\eye catch\H!\O?! response:	I do fall in love!
context: Auw!\eye catch\H!\O?!\I do fall in love! response:	I just realised it for the first time
context: Auw!\eye catch\H!\O?!\I do fall in love!\I just realised it for the first time response:	That I had fallen in love
context: Auw!\eye catch\H!\O?!\I do fall in love!\I just realised it for the first time\That I had fallen in love response:	Twenty-four hours a day thinking of you, you and nothing more than you!
context: Auw!\eye catch\H!\O?!\I do fall in love!\I just realised it for the first time\That I had fallen in love\Twenty-four hours a day thinking of you, you and nothing more than you! response:	It's something I wasn't consciously aware of
context: eye catch\H!\O?!\I do fall in love!\I just realised it for the first time\That I had fallen in love\Twenty-four hours a day thinking of you, you and nothing more than you!\It's something I wasn't consciously aware of response:	Somehow ( somehow) I'm feeling different from the usual
context: H!\O?!\I do fall in love!\I just realised it for the first time\That I had fallen in love\Twenty-four hours a day thinking of you, you and nothing more than you!\It's something I wasn't consciously aware of\Somehow ( somehow) I'm feeling different from the usual response:	With you ( the two of us) and our dull chatter
context: O?!\I do fall in love!\I just realised it for the first time\That I had fallen in love\Twenty-four hours a day thinking of you, you and nothing more than you!\It's something I wasn't consciously aware of\Somehow ( somehow) I'm feeling different from the usual\With you ( the two of us) and our dull chatter response:	Don't tell me ( mutual love?) Nope, it's a one-sided crush
context: I do fall in love!\I just realised it for the first time\That I had fallen in love\Twenty-four hours a day thinking of you, you and nothing more than you!\It's something I wasn't consciously aware of\Somehow ( somehow) I'm feeling different from the usual\With you ( the two of us) and our dull chatter\Don't tell me ( mutual love?) Nope, it's a one-sided crush response:	This is bad! Our gazes met!
context: I just realised it for the first time\That I had fallen in love\Twenty-four hours a day thinking of you, you and nothing more than you!\It's something I wasn't consciously aware of\Somehow ( somehow) I'm feeling different from the usual\With you ( the two of us) and our dull chatter\Don't tell me ( mutual love?) Nope, it's a one-sided crush\This is bad! Our gazes met! response:	What, what? Why is my heart pounding like this?
