context: Heroes are powerful. response:	Heroes are lonely...
context: Heroes are powerful.\Heroes are lonely... response:	He was just like that, too.
context: Heroes are powerful.\Heroes are lonely...\He was just like that, too. response:	My hero was just like that.
context: Heroes are powerful.\Heroes are lonely...\He was just like that, too.\My hero was just like that. response:	Was that good?
context: Heroes are powerful.\Heroes are lonely...\He was just like that, too.\My hero was just like that.\Was that good? response:	He was disqualified the instant he stopped playing.
context: Heroes are powerful.\Heroes are lonely...\He was just like that, too.\My hero was just like that.\Was that good?\He was disqualified the instant he stopped playing. response:	Only scattered applause. A confused audience...
context: Heroes are powerful.\Heroes are lonely...\He was just like that, too.\My hero was just like that.\Was that good?\He was disqualified the instant he stopped playing.\Only scattered applause. A confused audience... response:	Well, why not? Only one person matters to me.
context: Heroes are powerful.\Heroes are lonely...\He was just like that, too.\My hero was just like that.\Was that good?\He was disqualified the instant he stopped playing.\Only scattered applause. A confused audience...\Well, why not? Only one person matters to me. response:	Will it reach her?
context: Heroes are lonely...\He was just like that, too.\My hero was just like that.\Was that good?\He was disqualified the instant he stopped playing.\Only scattered applause. A confused audience...\Well, why not? Only one person matters to me.\Will it reach her? response:	I hope it reaches her.
context: He was just like that, too.\My hero was just like that.\Was that good?\He was disqualified the instant he stopped playing.\Only scattered applause. A confused audience...\Well, why not? Only one person matters to me.\Will it reach her?\I hope it reaches her. response:	There will now be an intermission.
context: My hero was just like that.\Was that good?\He was disqualified the instant he stopped playing.\Only scattered applause. A confused audience...\Well, why not? Only one person matters to me.\Will it reach her?\I hope it reaches her.\There will now be an intermission. response:	A competition is...
context: Was that good?\He was disqualified the instant he stopped playing.\Only scattered applause. A confused audience...\Well, why not? Only one person matters to me.\Will it reach her?\I hope it reaches her.\There will now be an intermission.\A competition is... response:	A competition is a sacred garden of music.
context: He was disqualified the instant he stopped playing.\Only scattered applause. A confused audience...\Well, why not? Only one person matters to me.\Will it reach her?\I hope it reaches her.\There will now be an intermission.\A competition is...\A competition is a sacred garden of music. response:	Under no circumstances is it a place to find yourself.
context: Only scattered applause. A confused audience...\Well, why not? Only one person matters to me.\Will it reach her?\I hope it reaches her.\There will now be an intermission.\A competition is...\A competition is a sacred garden of music.\Under no circumstances is it a place to find yourself. response:	Still the same prickly old geezer, huh?
context: Well, why not? Only one person matters to me.\Will it reach her?\I hope it reaches her.\There will now be an intermission.\A competition is...\A competition is a sacred garden of music.\Under no circumstances is it a place to find yourself.\Still the same prickly old geezer, huh? response:	And he's escalated with old age. God help us. Hey, Mr. Mediocre!
context: Will it reach her?\I hope it reaches her.\There will now be an intermission.\A competition is...\A competition is a sacred garden of music.\Under no circumstances is it a place to find yourself.\Still the same prickly old geezer, huh?\And he's escalated with old age. God help us. Hey, Mr. Mediocre! response:	Seto-san?
context: I hope it reaches her.\There will now be an intermission.\A competition is...\A competition is a sacred garden of music.\Under no circumstances is it a place to find yourself.\Still the same prickly old geezer, huh?\And he's escalated with old age. God help us. Hey, Mr. Mediocre!\Seto-san? response:	It's Hiroko-san, remember?
context: There will now be an intermission.\A competition is...\A competition is a sacred garden of music.\Under no circumstances is it a place to find yourself.\Still the same prickly old geezer, huh?\And he's escalated with old age. God help us. Hey, Mr. Mediocre!\Seto-san?\It's Hiroko-san, remember? response:	S-S-S-Sorry!
context: A competition is...\A competition is a sacred garden of music.\Under no circumstances is it a place to find yourself.\Still the same prickly old geezer, huh?\And he's escalated with old age. God help us. Hey, Mr. Mediocre!\Seto-san?\It's Hiroko-san, remember?\S-S-S-Sorry! response:	You cut your hair.
context: A competition is a sacred garden of music.\Under no circumstances is it a place to find yourself.\Still the same prickly old geezer, huh?\And he's escalated with old age. God help us. Hey, Mr. Mediocre!\Seto-san?\It's Hiroko-san, remember?\S-S-S-Sorry!\You cut your hair. response:	For a second, I didn't recognize you.
context: Under no circumstances is it a place to find yourself.\Still the same prickly old geezer, huh?\And he's escalated with old age. God help us. Hey, Mr. Mediocre!\Seto-san?\It's Hiroko-san, remember?\S-S-S-Sorry!\You cut your hair.\For a second, I didn't recognize you. response:	Hey, a woman changes her'do every time she finds a man.
context: Still the same prickly old geezer, huh?\And he's escalated with old age. God help us. Hey, Mr. Mediocre!\Seto-san?\It's Hiroko-san, remember?\S-S-S-Sorry!\You cut your hair.\For a second, I didn't recognize you.\Hey, a woman changes her'do every time she finds a man. response:	And besides, it's been two years.
context: And he's escalated with old age. God help us. Hey, Mr. Mediocre!\Seto-san?\It's Hiroko-san, remember?\S-S-S-Sorry!\You cut your hair.\For a second, I didn't recognize you.\Hey, a woman changes her'do every time she finds a man.\And besides, it's been two years. response:	Who's the stunner?
context: Seto-san?\It's Hiroko-san, remember?\S-S-S-Sorry!\You cut your hair.\For a second, I didn't recognize you.\Hey, a woman changes her'do every time she finds a man.\And besides, it's been two years.\Who's the stunner? response:	Somehow I think I've seen her before...
context: It's Hiroko-san, remember?\S-S-S-Sorry!\You cut your hair.\For a second, I didn't recognize you.\Hey, a woman changes her'do every time she finds a man.\And besides, it's been two years.\Who's the stunner?\Somehow I think I've seen her before... response:	Damn you, Kousei, keeping her from me. I thought you were my friend!
context: S-S-S-Sorry!\You cut your hair.\For a second, I didn't recognize you.\Hey, a woman changes her'do every time she finds a man.\And besides, it's been two years.\Who's the stunner?\Somehow I think I've seen her before...\Damn you, Kousei, keeping her from me. I thought you were my friend! response:	She's that lady who was always with Kousei's mom.
context: You cut your hair.\For a second, I didn't recognize you.\Hey, a woman changes her'do every time she finds a man.\And besides, it's been two years.\Who's the stunner?\Somehow I think I've seen her before...\Damn you, Kousei, keeping her from me. I thought you were my friend!\She's that lady who was always with Kousei's mom. response:	Hiroko Seto. She's Japan's leading pianist.
context: For a second, I didn't recognize you.\Hey, a woman changes her'do every time she finds a man.\And besides, it's been two years.\Who's the stunner?\Somehow I think I've seen her before...\Damn you, Kousei, keeping her from me. I thought you were my friend!\She's that lady who was always with Kousei's mom.\Hiroko Seto. She's Japan's leading pianist. response:	Hello, Koharu-chan. Do you remember me?
context: Hey, a woman changes her'do every time she finds a man.\And besides, it's been two years.\Who's the stunner?\Somehow I think I've seen her before...\Damn you, Kousei, keeping her from me. I thought you were my friend!\She's that lady who was always with Kousei's mom.\Hiroko Seto. She's Japan's leading pianist.\Hello, Koharu-chan. Do you remember me? response:	Since she was classmates with Arima-kun's mother, Saki Arima, in college,
context: And besides, it's been two years.\Who's the stunner?\Somehow I think I've seen her before...\Damn you, Kousei, keeping her from me. I thought you were my friend!\She's that lady who was always with Kousei's mom.\Hiroko Seto. She's Japan's leading pianist.\Hello, Koharu-chan. Do you remember me?\Since she was classmates with Arima-kun's mother, Saki Arima, in college, response:	it makes sense that they would know each other.
context: Who's the stunner?\Somehow I think I've seen her before...\Damn you, Kousei, keeping her from me. I thought you were my friend!\She's that lady who was always with Kousei's mom.\Hiroko Seto. She's Japan's leading pianist.\Hello, Koharu-chan. Do you remember me?\Since she was classmates with Arima-kun's mother, Saki Arima, in college,\it makes sense that they would know each other. response:	Here, there are all these Kouseis that I know nothing about.
context: Somehow I think I've seen her before...\Damn you, Kousei, keeping her from me. I thought you were my friend!\She's that lady who was always with Kousei's mom.\Hiroko Seto. She's Japan's leading pianist.\Hello, Koharu-chan. Do you remember me?\Since she was classmates with Arima-kun's mother, Saki Arima, in college,\it makes sense that they would know each other.\Here, there are all these Kouseis that I know nothing about. response:	Huh? Huh? Hiroko-san, everyone's staring!
context: Damn you, Kousei, keeping her from me. I thought you were my friend!\She's that lady who was always with Kousei's mom.\Hiroko Seto. She's Japan's leading pianist.\Hello, Koharu-chan. Do you remember me?\Since she was classmates with Arima-kun's mother, Saki Arima, in college,\it makes sense that they would know each other.\Here, there are all these Kouseis that I know nothing about.\Huh? Huh? Hiroko-san, everyone's staring! response:	Hey, Hiroko. Hold him, will you?
context: She's that lady who was always with Kousei's mom.\Hiroko Seto. She's Japan's leading pianist.\Hello, Koharu-chan. Do you remember me?\Since she was classmates with Arima-kun's mother, Saki Arima, in college,\it makes sense that they would know each other.\Here, there are all these Kouseis that I know nothing about.\Huh? Huh? Hiroko-san, everyone's staring!\Hey, Hiroko. Hold him, will you? response:	Huh? How do I do that?
