context: I've been thinking, and well, response:	I thought maybe I could do the play after all...
context: I've been thinking, and well,\I thought maybe I could do the play after all... response:	Really? You'll do it?
context: I've been thinking, and well,\I thought maybe I could do the play after all...\Really? You'll do it? response:	Yeah, I thought, if I was going to keep thinking...
context: I've been thinking, and well,\I thought maybe I could do the play after all...\Really? You'll do it?\Yeah, I thought, if I was going to keep thinking... response:	Uh-huh! I'm so glad!
context: I've been thinking, and well,\I thought maybe I could do the play after all...\Really? You'll do it?\Yeah, I thought, if I was going to keep thinking...\Uh-huh! I'm so glad! response:	It'll be my debut as an actress.
context: I've been thinking, and well,\I thought maybe I could do the play after all...\Really? You'll do it?\Yeah, I thought, if I was going to keep thinking...\Uh-huh! I'm so glad!\It'll be my debut as an actress. response:	Yay, it's going to be on stage!
context: I've been thinking, and well,\I thought maybe I could do the play after all...\Really? You'll do it?\Yeah, I thought, if I was going to keep thinking...\Uh-huh! I'm so glad!\It'll be my debut as an actress.\Yay, it's going to be on stage! response:	No! I don't want to be involved in such an after school special thing!
context: I've been thinking, and well,\I thought maybe I could do the play after all...\Really? You'll do it?\Yeah, I thought, if I was going to keep thinking...\Uh-huh! I'm so glad!\It'll be my debut as an actress.\Yay, it's going to be on stage!\No! I don't want to be involved in such an after school special thing! response:	Maho-san!
context: I thought maybe I could do the play after all...\Really? You'll do it?\Yeah, I thought, if I was going to keep thinking...\Uh-huh! I'm so glad!\It'll be my debut as an actress.\Yay, it's going to be on stage!\No! I don't want to be involved in such an after school special thing!\Maho-san! response:	Maho, you thought that screenplay was good too, didn't you?
context: Really? You'll do it?\Yeah, I thought, if I was going to keep thinking...\Uh-huh! I'm so glad!\It'll be my debut as an actress.\Yay, it's going to be on stage!\No! I don't want to be involved in such an after school special thing!\Maho-san!\Maho, you thought that screenplay was good too, didn't you? response:	The characters were originally inspired...
context: Yeah, I thought, if I was going to keep thinking...\Uh-huh! I'm so glad!\It'll be my debut as an actress.\Yay, it's going to be on stage!\No! I don't want to be involved in such an after school special thing!\Maho-san!\Maho, you thought that screenplay was good too, didn't you?\The characters were originally inspired... response:	No matter what we always say about her, Aya-chan really observes us well.
context: Uh-huh! I'm so glad!\It'll be my debut as an actress.\Yay, it's going to be on stage!\No! I don't want to be involved in such an after school special thing!\Maho-san!\Maho, you thought that screenplay was good too, didn't you?\The characters were originally inspired...\No matter what we always say about her, Aya-chan really observes us well. response:	Ever since I read it,
context: It'll be my debut as an actress.\Yay, it's going to be on stage!\No! I don't want to be involved in such an after school special thing!\Maho-san!\Maho, you thought that screenplay was good too, didn't you?\The characters were originally inspired...\No matter what we always say about her, Aya-chan really observes us well.\Ever since I read it, response:	the Professor's been inside my head, and talks.
context: Yay, it's going to be on stage!\No! I don't want to be involved in such an after school special thing!\Maho-san!\Maho, you thought that screenplay was good too, didn't you?\The characters were originally inspired...\No matter what we always say about her, Aya-chan really observes us well.\Ever since I read it,\the Professor's been inside my head, and talks. response:	This must mean that the role is starting to come alive inside you.
context: No! I don't want to be involved in such an after school special thing!\Maho-san!\Maho, you thought that screenplay was good too, didn't you?\The characters were originally inspired...\No matter what we always say about her, Aya-chan really observes us well.\Ever since I read it,\the Professor's been inside my head, and talks.\This must mean that the role is starting to come alive inside you. response:	It's wonderful.
