context: Help me! response:	Help me...!
context: Help me!\Help me...! response:	Move, Nameless.
context: Help me!\Help me...!\Move, Nameless. response:	The Young Master has arrived.
context: Help me!\Help me...!\Move, Nameless.\The Young Master has arrived. response:	Yes.
context: Help me!\Help me...!\Move, Nameless.\The Young Master has arrived.\Yes. response:	They're approaching!
context: Help me!\Help me...!\Move, Nameless.\The Young Master has arrived.\Yes.\They're approaching! response:	Yukina-san!
context: Help me!\Help me...!\Move, Nameless.\The Young Master has arrived.\Yes.\They're approaching!\Yukina-san! response:	Taking evasive maneuvers!
context: Help me!\Help me...!\Move, Nameless.\The Young Master has arrived.\Yes.\They're approaching!\Yukina-san!\Taking evasive maneuvers! response:	Aim!
context: Help me...!\Move, Nameless.\The Young Master has arrived.\Yes.\They're approaching!\Yukina-san!\Taking evasive maneuvers!\Aim! response:	Fire!
context: Move, Nameless.\The Young Master has arrived.\Yes.\They're approaching!\Yukina-san!\Taking evasive maneuvers!\Aim!\Fire! response:	Nameless!
context: The Young Master has arrived.\Yes.\They're approaching!\Yukina-san!\Taking evasive maneuvers!\Aim!\Fire!\Nameless! response:	Are you awake?
context: Yes.\They're approaching!\Yukina-san!\Taking evasive maneuvers!\Aim!\Fire!\Nameless!\Are you awake? response:	Ikoma...
context: They're approaching!\Yukina-san!\Taking evasive maneuvers!\Aim!\Fire!\Nameless!\Are you awake?\Ikoma... response:	Yeah... I was lucky.
context: Yukina-san!\Taking evasive maneuvers!\Aim!\Fire!\Nameless!\Are you awake?\Ikoma...\Yeah... I was lucky. response:	Does it hurt?
context: Taking evasive maneuvers!\Aim!\Fire!\Nameless!\Are you awake?\Ikoma...\Yeah... I was lucky.\Does it hurt? response:	Yeah.
context: Aim!\Fire!\Nameless!\Are you awake?\Ikoma...\Yeah... I was lucky.\Does it hurt?\Yeah. response:	Hold on.
context: Fire!\Nameless!\Are you awake?\Ikoma...\Yeah... I was lucky.\Does it hurt?\Yeah.\Hold on. response:	Damn it...!
context: Nameless!\Are you awake?\Ikoma...\Yeah... I was lucky.\Does it hurt?\Yeah.\Hold on.\Damn it...! response:	Why did it come... to this?!
context: Are you awake?\Ikoma...\Yeah... I was lucky.\Does it hurt?\Yeah.\Hold on.\Damn it...!\Why did it come... to this?! response:	This is all my fault. Go ahead and say it.
context: Ikoma...\Yeah... I was lucky.\Does it hurt?\Yeah.\Hold on.\Damn it...!\Why did it come... to this?!\This is all my fault. Go ahead and say it. response:	Yeah, that's right.
context: Yeah... I was lucky.\Does it hurt?\Yeah.\Hold on.\Damn it...!\Why did it come... to this?!\This is all my fault. Go ahead and say it.\Yeah, that's right. response:	You ruined my plan.
context: Does it hurt?\Yeah.\Hold on.\Damn it...!\Why did it come... to this?!\This is all my fault. Go ahead and say it.\Yeah, that's right.\You ruined my plan. response:	But... I was stupid too.
context: Yeah.\Hold on.\Damn it...!\Why did it come... to this?!\This is all my fault. Go ahead and say it.\Yeah, that's right.\You ruined my plan.\But... I was stupid too. response:	I let go of the crane controls... when I saw you fall.
context: Hold on.\Damn it...!\Why did it come... to this?!\This is all my fault. Go ahead and say it.\Yeah, that's right.\You ruined my plan.\But... I was stupid too.\I let go of the crane controls... when I saw you fall. response:	We're both idiots.
context: Damn it...!\Why did it come... to this?!\This is all my fault. Go ahead and say it.\Yeah, that's right.\You ruined my plan.\But... I was stupid too.\I let go of the crane controls... when I saw you fall.\We're both idiots. response:	I'm sure everyone's fed up with us by now.
context: Why did it come... to this?!\This is all my fault. Go ahead and say it.\Yeah, that's right.\You ruined my plan.\But... I was stupid too.\I let go of the crane controls... when I saw you fall.\We're both idiots.\I'm sure everyone's fed up with us by now. response:	That's why we can't die like this.
