context: Why do I feel this way? response:	It's the first time this has ever happened.
context: Why do I feel this way?\It's the first time this has ever happened. response:	I don't know what I want to do,
context: Why do I feel this way?\It's the first time this has ever happened.\I don't know what I want to do, response:	what I should do...
context: Why do I feel this way?\It's the first time this has ever happened.\I don't know what I want to do,\what I should do... response:	How do I get rid of this strange feeling?
context: Why do I feel this way?\It's the first time this has ever happened.\I don't know what I want to do,\what I should do...\How do I get rid of this strange feeling? response:	Shizuku, Takaya How are you doing? Are you still working hard? Your mother is so busy that she's going to die soon. I want some of Shizuku's pork squares when I make it home.
context: Why do I feel this way?\It's the first time this has ever happened.\I don't know what I want to do,\what I should do...\How do I get rid of this strange feeling?\Shizuku, Takaya How are you doing? Are you still working hard? Your mother is so busy that she's going to die soon. I want some of Shizuku's pork squares when I make it home. response:	Oh, is it from Yoshino-san?
context: Why do I feel this way?\It's the first time this has ever happened.\I don't know what I want to do,\what I should do...\How do I get rid of this strange feeling?\Shizuku, Takaya How are you doing? Are you still working hard? Your mother is so busy that she's going to die soon. I want some of Shizuku's pork squares when I make it home.\Oh, is it from Yoshino-san? response:	What'd she say?
context: Why do I feel this way?\It's the first time this has ever happened.\I don't know what I want to do,\what I should do...\How do I get rid of this strange feeling?\Shizuku, Takaya How are you doing? Are you still working hard? Your mother is so busy that she's going to die soon. I want some of Shizuku's pork squares when I make it home.\Oh, is it from Yoshino-san?\What'd she say? response:	She wants to know how Takaya and I are doing.
context: It's the first time this has ever happened.\I don't know what I want to do,\what I should do...\How do I get rid of this strange feeling?\Shizuku, Takaya How are you doing? Are you still working hard? Your mother is so busy that she's going to die soon. I want some of Shizuku's pork squares when I make it home.\Oh, is it from Yoshino-san?\What'd she say?\She wants to know how Takaya and I are doing. response:	Anything for me?
context: I don't know what I want to do,\what I should do...\How do I get rid of this strange feeling?\Shizuku, Takaya How are you doing? Are you still working hard? Your mother is so busy that she's going to die soon. I want some of Shizuku's pork squares when I make it home.\Oh, is it from Yoshino-san?\What'd she say?\She wants to know how Takaya and I are doing.\Anything for me? response:	I don't see anything.
context: what I should do...\How do I get rid of this strange feeling?\Shizuku, Takaya How are you doing? Are you still working hard? Your mother is so busy that she's going to die soon. I want some of Shizuku's pork squares when I make it home.\Oh, is it from Yoshino-san?\What'd she say?\She wants to know how Takaya and I are doing.\Anything for me?\I don't see anything. response:	Are you still working hard?
context: How do I get rid of this strange feeling?\Shizuku, Takaya How are you doing? Are you still working hard? Your mother is so busy that she's going to die soon. I want some of Shizuku's pork squares when I make it home.\Oh, is it from Yoshino-san?\What'd she say?\She wants to know how Takaya and I are doing.\Anything for me?\I don't see anything.\Are you still working hard? response:	Girls Feeling Melancholy
context: Shizuku, Takaya How are you doing? Are you still working hard? Your mother is so busy that she's going to die soon. I want some of Shizuku's pork squares when I make it home.\Oh, is it from Yoshino-san?\What'd she say?\She wants to know how Takaya and I are doing.\Anything for me?\I don't see anything.\Are you still working hard?\Girls Feeling Melancholy response:	Handouts?
context: Oh, is it from Yoshino-san?\What'd she say?\She wants to know how Takaya and I are doing.\Anything for me?\I don't see anything.\Are you still working hard?\Girls Feeling Melancholy\Handouts? response:	Okay, I'll give them to the teacher.
context: What'd she say?\She wants to know how Takaya and I are doing.\Anything for me?\I don't see anything.\Are you still working hard?\Girls Feeling Melancholy\Handouts?\Okay, I'll give them to the teacher. response:	Thanks, Oyama-san!
context: She wants to know how Takaya and I are doing.\Anything for me?\I don't see anything.\Are you still working hard?\Girls Feeling Melancholy\Handouts?\Okay, I'll give them to the teacher.\Thanks, Oyama-san! response:	S-Sure...
context: Anything for me?\I don't see anything.\Are you still working hard?\Girls Feeling Melancholy\Handouts?\Okay, I'll give them to the teacher.\Thanks, Oyama-san!\S-Sure... response:	All yours, then!
context: I don't see anything.\Are you still working hard?\Girls Feeling Melancholy\Handouts?\Okay, I'll give them to the teacher.\Thanks, Oyama-san!\S-Sure...\All yours, then! response:	It's Oshima.
context: Are you still working hard?\Girls Feeling Melancholy\Handouts?\Okay, I'll give them to the teacher.\Thanks, Oyama-san!\S-Sure...\All yours, then!\It's Oshima. response:	New Message To: Yuu-chan Sub: Can't take it anymore I still don't have any friends, and people are calling me Oyama-san. I should have gone to the same high school as you.
context: Girls Feeling Melancholy\Handouts?\Okay, I'll give them to the teacher.\Thanks, Oyama-san!\S-Sure...\All yours, then!\It's Oshima.\New Message To: Yuu-chan Sub: Can't take it anymore I still don't have any friends, and people are calling me Oyama-san. I should have gone to the same high school as you. response:	Right before school began,
context: Handouts?\Okay, I'll give them to the teacher.\Thanks, Oyama-san!\S-Sure...\All yours, then!\It's Oshima.\New Message To: Yuu-chan Sub: Can't take it anymore I still don't have any friends, and people are calling me Oyama-san. I should have gone to the same high school as you.\Right before school began, response:	I got sick and had to be hospitalized.
context: Okay, I'll give them to the teacher.\Thanks, Oyama-san!\S-Sure...\All yours, then!\It's Oshima.\New Message To: Yuu-chan Sub: Can't take it anymore I still don't have any friends, and people are calling me Oyama-san. I should have gone to the same high school as you.\Right before school began,\I got sick and had to be hospitalized. response:	It was a week before I was able to come to school,
context: Thanks, Oyama-san!\S-Sure...\All yours, then!\It's Oshima.\New Message To: Yuu-chan Sub: Can't take it anymore I still don't have any friends, and people are calling me Oyama-san. I should have gone to the same high school as you.\Right before school began,\I got sick and had to be hospitalized.\It was a week before I was able to come to school, response:	and everybody had already formed their little groups.
context: S-Sure...\All yours, then!\It's Oshima.\New Message To: Yuu-chan Sub: Can't take it anymore I still don't have any friends, and people are calling me Oyama-san. I should have gone to the same high school as you.\Right before school began,\I got sick and had to be hospitalized.\It was a week before I was able to come to school,\and everybody had already formed their little groups. response:	Having missed my chance to join in, I was left all alone.
context: All yours, then!\It's Oshima.\New Message To: Yuu-chan Sub: Can't take it anymore I still don't have any friends, and people are calling me Oyama-san. I should have gone to the same high school as you.\Right before school began,\I got sick and had to be hospitalized.\It was a week before I was able to come to school,\and everybody had already formed their little groups.\Having missed my chance to join in, I was left all alone. response:	It's so hard to breathe in this classroom.
context: It's Oshima.\New Message To: Yuu-chan Sub: Can't take it anymore I still don't have any friends, and people are calling me Oyama-san. I should have gone to the same high school as you.\Right before school began,\I got sick and had to be hospitalized.\It was a week before I was able to come to school,\and everybody had already formed their little groups.\Having missed my chance to join in, I was left all alone.\It's so hard to breathe in this classroom. response:	I find myself thinking that I'm worthless.
context: New Message To: Yuu-chan Sub: Can't take it anymore I still don't have any friends, and people are calling me Oyama-san. I should have gone to the same high school as you.\Right before school began,\I got sick and had to be hospitalized.\It was a week before I was able to come to school,\and everybody had already formed their little groups.\Having missed my chance to join in, I was left all alone.\It's so hard to breathe in this classroom.\I find myself thinking that I'm worthless. response:	Read Message From: Yuu-chan Sub:
context: Right before school began,\I got sick and had to be hospitalized.\It was a week before I was able to come to school,\and everybody had already formed their little groups.\Having missed my chance to join in, I was left all alone.\It's so hard to breathe in this classroom.\I find myself thinking that I'm worthless.\Read Message From: Yuu-chan Sub: response:	LOLZ Want some cheese with that whine? They seriously call you Oyama-san? ROFLMAO
context: I got sick and had to be hospitalized.\It was a week before I was able to come to school,\and everybody had already formed their little groups.\Having missed my chance to join in, I was left all alone.\It's so hard to breathe in this classroom.\I find myself thinking that I'm worthless.\Read Message From: Yuu-chan Sub:\LOLZ Want some cheese with that whine? They seriously call you Oyama-san? ROFLMAO response:	Sorry, Yuu-chan...
context: It was a week before I was able to come to school,\and everybody had already formed their little groups.\Having missed my chance to join in, I was left all alone.\It's so hard to breathe in this classroom.\I find myself thinking that I'm worthless.\Read Message From: Yuu-chan Sub:\LOLZ Want some cheese with that whine? They seriously call you Oyama-san? ROFLMAO\Sorry, Yuu-chan... response:	I can't understand what you're saying anymore...
context: and everybody had already formed their little groups.\Having missed my chance to join in, I was left all alone.\It's so hard to breathe in this classroom.\I find myself thinking that I'm worthless.\Read Message From: Yuu-chan Sub:\LOLZ Want some cheese with that whine? They seriously call you Oyama-san? ROFLMAO\Sorry, Yuu-chan...\I can't understand what you're saying anymore... response:	Oh, look over there.
context: Having missed my chance to join in, I was left all alone.\It's so hard to breathe in this classroom.\I find myself thinking that I'm worthless.\Read Message From: Yuu-chan Sub:\LOLZ Want some cheese with that whine? They seriously call you Oyama-san? ROFLMAO\Sorry, Yuu-chan...\I can't understand what you're saying anymore...\Oh, look over there. response:	It's Yoshida-kun.
context: It's so hard to breathe in this classroom.\I find myself thinking that I'm worthless.\Read Message From: Yuu-chan Sub:\LOLZ Want some cheese with that whine? They seriously call you Oyama-san? ROFLMAO\Sorry, Yuu-chan...\I can't understand what you're saying anymore...\Oh, look over there.\It's Yoshida-kun. response:	Na
context: I find myself thinking that I'm worthless.\Read Message From: Yuu-chan Sub:\LOLZ Want some cheese with that whine? They seriously call you Oyama-san? ROFLMAO\Sorry, Yuu-chan...\I can't understand what you're saying anymore...\Oh, look over there.\It's Yoshida-kun.\Na response:	Nagoya...
context: Read Message From: Yuu-chan Sub:\LOLZ Want some cheese with that whine? They seriously call you Oyama-san? ROFLMAO\Sorry, Yuu-chan...\I can't understand what you're saying anymore...\Oh, look over there.\It's Yoshida-kun.\Na\Nagoya... response:	That's impossible.
context: LOLZ Want some cheese with that whine? They seriously call you Oyama-san? ROFLMAO\Sorry, Yuu-chan...\I can't understand what you're saying anymore...\Oh, look over there.\It's Yoshida-kun.\Na\Nagoya...\That's impossible. response:	It's probably a prank.
context: Sorry, Yuu-chan...\I can't understand what you're saying anymore...\Oh, look over there.\It's Yoshida-kun.\Na\Nagoya...\That's impossible.\It's probably a prank. response:	A-And...
context: I can't understand what you're saying anymore...\Oh, look over there.\It's Yoshida-kun.\Na\Nagoya...\That's impossible.\It's probably a prank.\A-And... response:	It's boiled!
context: Oh, look over there.\It's Yoshida-kun.\Na\Nagoya...\That's impossible.\It's probably a prank.\A-And...\It's boiled! response:	He's so fine...
context: It's Yoshida-kun.\Na\Nagoya...\That's impossible.\It's probably a prank.\A-And...\It's boiled!\He's so fine... response:	Yuu-chan, I think I'm in love.
context: Na\Nagoya...\That's impossible.\It's probably a prank.\A-And...\It's boiled!\He's so fine...\Yuu-chan, I think I'm in love. response:	But you know...
context: Nagoya...\That's impossible.\It's probably a prank.\A-And...\It's boiled!\He's so fine...\Yuu-chan, I think I'm in love.\But you know... response:	Yoshida-kun is always with that girl.
context: That's impossible.\It's probably a prank.\A-And...\It's boiled!\He's so fine...\Yuu-chan, I think I'm in love.\But you know...\Yoshida-kun is always with that girl. response:	Are they a couple?
context: It's probably a prank.\A-And...\It's boiled!\He's so fine...\Yuu-chan, I think I'm in love.\But you know...\Yoshida-kun is always with that girl.\Are they a couple? response:	Okay!
context: A-And...\It's boiled!\He's so fine...\Yuu-chan, I think I'm in love.\But you know...\Yoshida-kun is always with that girl.\Are they a couple?\Okay! response:	Let's decide on our class officers for the second term!
context: It's boiled!\He's so fine...\Yuu-chan, I think I'm in love.\But you know...\Yoshida-kun is always with that girl.\Are they a couple?\Okay!\Let's decide on our class officers for the second term! response:	Class Representative Asst. Class Representative Treasurer Secretary
context: He's so fine...\Yuu-chan, I think I'm in love.\But you know...\Yoshida-kun is always with that girl.\Are they a couple?\Okay!\Let's decide on our class officers for the second term!\Class Representative Asst. Class Representative Treasurer Secretary response:	I'll take volunteers,
context: Yuu-chan, I think I'm in love.\But you know...\Yoshida-kun is always with that girl.\Are they a couple?\Okay!\Let's decide on our class officers for the second term!\Class Representative Asst. Class Representative Treasurer Secretary\I'll take volunteers, response:	but we don't have any so nominate away!
context: But you know...\Yoshida-kun is always with that girl.\Are they a couple?\Okay!\Let's decide on our class officers for the second term!\Class Representative Asst. Class Representative Treasurer Secretary\I'll take volunteers,\but we don't have any so nominate away! response:	First come, first serve!
context: Yoshida-kun is always with that girl.\Are they a couple?\Okay!\Let's decide on our class officers for the second term!\Class Representative Asst. Class Representative Treasurer Secretary\I'll take volunteers,\but we don't have any so nominate away!\First come, first serve! response:	Let's start!
context: Are they a couple?\Okay!\Let's decide on our class officers for the second term!\Class Representative Asst. Class Representative Treasurer Secretary\I'll take volunteers,\but we don't have any so nominate away!\First come, first serve!\Let's start! response:	Ooh! I think Shimoyanagi-kun would make a good class rep!
context: Okay!\Let's decide on our class officers for the second term!\Class Representative Asst. Class Representative Treasurer Secretary\I'll take volunteers,\but we don't have any so nominate away!\First come, first serve!\Let's start!\Ooh! I think Shimoyanagi-kun would make a good class rep! response:	Wait! Hey!
