context: Five, four... response:	Three, two...
context: Five, four...\Three, two... response:	One, zero.
context: Five, four...\Three, two...\One, zero. response:	It's taking you too long to line the pins up with the shear line.
context: Five, four...\Three, two...\One, zero.\It's taking you too long to line the pins up with the shear line. response:	I'm sorry I have to keep asking you to help me with this, Miss Dorothy.
context: Five, four...\Three, two...\One, zero.\It's taking you too long to line the pins up with the shear line.\I'm sorry I have to keep asking you to help me with this, Miss Dorothy. response:	Oh, it's not your fault.
context: Five, four...\Three, two...\One, zero.\It's taking you too long to line the pins up with the shear line.\I'm sorry I have to keep asking you to help me with this, Miss Dorothy.\Oh, it's not your fault. response:	I mean, the other options...
context: Five, four...\Three, two...\One, zero.\It's taking you too long to line the pins up with the shear line.\I'm sorry I have to keep asking you to help me with this, Miss Dorothy.\Oh, it's not your fault.\I mean, the other options... response:	Watch.
context: Five, four...\Three, two...\One, zero.\It's taking you too long to line the pins up with the shear line.\I'm sorry I have to keep asking you to help me with this, Miss Dorothy.\Oh, it's not your fault.\I mean, the other options...\Watch. response:	All right.
context: Three, two...\One, zero.\It's taking you too long to line the pins up with the shear line.\I'm sorry I have to keep asking you to help me with this, Miss Dorothy.\Oh, it's not your fault.\I mean, the other options...\Watch.\All right. response:	Um, how did you do that?
context: One, zero.\It's taking you too long to line the pins up with the shear line.\I'm sorry I have to keep asking you to help me with this, Miss Dorothy.\Oh, it's not your fault.\I mean, the other options...\Watch.\All right.\Um, how did you do that? response:	Watch closely.
context: It's taking you too long to line the pins up with the shear line.\I'm sorry I have to keep asking you to help me with this, Miss Dorothy.\Oh, it's not your fault.\I mean, the other options...\Watch.\All right.\Um, how did you do that?\Watch closely. response:	See?
context: I'm sorry I have to keep asking you to help me with this, Miss Dorothy.\Oh, it's not your fault.\I mean, the other options...\Watch.\All right.\Um, how did you do that?\Watch closely.\See? response:	No, I, um...
context: Oh, it's not your fault.\I mean, the other options...\Watch.\All right.\Um, how did you do that?\Watch closely.\See?\No, I, um... response:	There. Now you try.
context: I mean, the other options...\Watch.\All right.\Um, how did you do that?\Watch closely.\See?\No, I, um...\There. Now you try. response:	They're just not cut out to be teachers.
context: Watch.\All right.\Um, how did you do that?\Watch closely.\See?\No, I, um...\There. Now you try.\They're just not cut out to be teachers. response:	I believe they are saying rude things about us.
context: All right.\Um, how did you do that?\Watch closely.\See?\No, I, um...\There. Now you try.\They're just not cut out to be teachers.\I believe they are saying rude things about us. response:	I think it's fair to get angry.
context: Um, how did you do that?\Watch closely.\See?\No, I, um...\There. Now you try.\They're just not cut out to be teachers.\I believe they are saying rude things about us.\I think it's fair to get angry. response:	Maybe we should go with something simpler.
context: Watch closely.\See?\No, I, um...\There. Now you try.\They're just not cut out to be teachers.\I believe they are saying rude things about us.\I think it's fair to get angry.\Maybe we should go with something simpler. response:	You really like that song, don't you, Miss Dorothy?
context: See?\No, I, um...\There. Now you try.\They're just not cut out to be teachers.\I believe they are saying rude things about us.\I think it's fair to get angry.\Maybe we should go with something simpler.\You really like that song, don't you, Miss Dorothy? response:	Was I singing?
context: No, I, um...\There. Now you try.\They're just not cut out to be teachers.\I believe they are saying rude things about us.\I think it's fair to get angry.\Maybe we should go with something simpler.\You really like that song, don't you, Miss Dorothy?\Was I singing? response:	Yes! You hum that tune all the time.
context: There. Now you try.\They're just not cut out to be teachers.\I believe they are saying rude things about us.\I think it's fair to get angry.\Maybe we should go with something simpler.\You really like that song, don't you, Miss Dorothy?\Was I singing?\Yes! You hum that tune all the time. response:	Do I?
context: They're just not cut out to be teachers.\I believe they are saying rude things about us.\I think it's fair to get angry.\Maybe we should go with something simpler.\You really like that song, don't you, Miss Dorothy?\Was I singing?\Yes! You hum that tune all the time.\Do I? response:	Not him, either.
context: I believe they are saying rude things about us.\I think it's fair to get angry.\Maybe we should go with something simpler.\You really like that song, don't you, Miss Dorothy?\Was I singing?\Yes! You hum that tune all the time.\Do I?\Not him, either. response:	The Kingdom Foreign Office's cipher?
context: I think it's fair to get angry.\Maybe we should go with something simpler.\You really like that song, don't you, Miss Dorothy?\Was I singing?\Yes! You hum that tune all the time.\Do I?\Not him, either.\The Kingdom Foreign Office's cipher? response:	Yes. It's been planted inside the liaison's body.
context: Maybe we should go with something simpler.\You really like that song, don't you, Miss Dorothy?\Was I singing?\Yes! You hum that tune all the time.\Do I?\Not him, either.\The Kingdom Foreign Office's cipher?\Yes. It's been planted inside the liaison's body. response:	Inside the body? And you want me to grab the liaison and remove the cipher?
context: You really like that song, don't you, Miss Dorothy?\Was I singing?\Yes! You hum that tune all the time.\Do I?\Not him, either.\The Kingdom Foreign Office's cipher?\Yes. It's been planted inside the liaison's body.\Inside the body? And you want me to grab the liaison and remove the cipher? response:	He's already dead.
context: Was I singing?\Yes! You hum that tune all the time.\Do I?\Not him, either.\The Kingdom Foreign Office's cipher?\Yes. It's been planted inside the liaison's body.\Inside the body? And you want me to grab the liaison and remove the cipher?\He's already dead. response:	He should be taken to the morgue in the next few days.
context: Yes! You hum that tune all the time.\Do I?\Not him, either.\The Kingdom Foreign Office's cipher?\Yes. It's been planted inside the liaison's body.\Inside the body? And you want me to grab the liaison and remove the cipher?\He's already dead.\He should be taken to the morgue in the next few days. response:	You want me to raid a corpse.
context: Do I?\Not him, either.\The Kingdom Foreign Office's cipher?\Yes. It's been planted inside the liaison's body.\Inside the body? And you want me to grab the liaison and remove the cipher?\He's already dead.\He should be taken to the morgue in the next few days.\You want me to raid a corpse. response:	It's better than killing, I'd say.
context: Not him, either.\The Kingdom Foreign Office's cipher?\Yes. It's been planted inside the liaison's body.\Inside the body? And you want me to grab the liaison and remove the cipher?\He's already dead.\He should be taken to the morgue in the next few days.\You want me to raid a corpse.\It's better than killing, I'd say. response:	Numbers one and two on my list of least favorite spy jobs.
context: The Kingdom Foreign Office's cipher?\Yes. It's been planted inside the liaison's body.\Inside the body? And you want me to grab the liaison and remove the cipher?\He's already dead.\He should be taken to the morgue in the next few days.\You want me to raid a corpse.\It's better than killing, I'd say.\Numbers one and two on my list of least favorite spy jobs. response:	What's the target's name?
context: Yes. It's been planted inside the liaison's body.\Inside the body? And you want me to grab the liaison and remove the cipher?\He's already dead.\He should be taken to the morgue in the next few days.\You want me to raid a corpse.\It's better than killing, I'd say.\Numbers one and two on my list of least favorite spy jobs.\What's the target's name? response:	We don't know.
