context: Weird' response:	I was pretty sure'
context: Weird'\I was pretty sure' response:	I felt Clow's aura here.
context: Weird'\I was pretty sure'\I felt Clow's aura here. response:	It's like as if nothing ever happened.
context: Weird'\I was pretty sure'\I felt Clow's aura here.\It's like as if nothing ever happened. response:	Hey Sakura,
context: Weird'\I was pretty sure'\I felt Clow's aura here.\It's like as if nothing ever happened.\Hey Sakura, response:	there's nothing around here at all.
context: Weird'\I was pretty sure'\I felt Clow's aura here.\It's like as if nothing ever happened.\Hey Sakura,\there's nothing around here at all. response:	It's raining.
context: Weird'\I was pretty sure'\I felt Clow's aura here.\It's like as if nothing ever happened.\Hey Sakura,\there's nothing around here at all.\It's raining. response:	This isn't going to do much right now.
context: Weird'\I was pretty sure'\I felt Clow's aura here.\It's like as if nothing ever happened.\Hey Sakura,\there's nothing around here at all.\It's raining.\This isn't going to do much right now. response:	Shall we retreat for now?
context: I was pretty sure'\I felt Clow's aura here.\It's like as if nothing ever happened.\Hey Sakura,\there's nothing around here at all.\It's raining.\This isn't going to do much right now.\Shall we retreat for now? response:	Sakura and her friends are going home.
context: I felt Clow's aura here.\It's like as if nothing ever happened.\Hey Sakura,\there's nothing around here at all.\It's raining.\This isn't going to do much right now.\Shall we retreat for now?\Sakura and her friends are going home. response:	Is that ok?
context: It's like as if nothing ever happened.\Hey Sakura,\there's nothing around here at all.\It's raining.\This isn't going to do much right now.\Shall we retreat for now?\Sakura and her friends are going home.\Is that ok? response:	It would seem that you have a plan.
context: Hey Sakura,\there's nothing around here at all.\It's raining.\This isn't going to do much right now.\Shall we retreat for now?\Sakura and her friends are going home.\Is that ok?\It would seem that you have a plan. response:	I'm soaking wet.
context: there's nothing around here at all.\It's raining.\This isn't going to do much right now.\Shall we retreat for now?\Sakura and her friends are going home.\Is that ok?\It would seem that you have a plan.\I'm soaking wet. response:	I'm transforming.
context: It's raining.\This isn't going to do much right now.\Shall we retreat for now?\Sakura and her friends are going home.\Is that ok?\It would seem that you have a plan.\I'm soaking wet.\I'm transforming. response:	Wait Yue, let me go first.
context: This isn't going to do much right now.\Shall we retreat for now?\Sakura and her friends are going home.\Is that ok?\It would seem that you have a plan.\I'm soaking wet.\I'm transforming.\Wait Yue, let me go first. response:	It wouldn't be good if Yukito saw me like this.
context: Shall we retreat for now?\Sakura and her friends are going home.\Is that ok?\It would seem that you have a plan.\I'm soaking wet.\I'm transforming.\Wait Yue, let me go first.\It wouldn't be good if Yukito saw me like this. response:	Hurry up then.
context: Sakura and her friends are going home.\Is that ok?\It would seem that you have a plan.\I'm soaking wet.\I'm transforming.\Wait Yue, let me go first.\It wouldn't be good if Yukito saw me like this.\Hurry up then. response:	Umm Yue-san.
context: Is that ok?\It would seem that you have a plan.\I'm soaking wet.\I'm transforming.\Wait Yue, let me go first.\It wouldn't be good if Yukito saw me like this.\Hurry up then.\Umm Yue-san. response:	' Please come in.' I'm ok.
context: It would seem that you have a plan.\I'm soaking wet.\I'm transforming.\Wait Yue, let me go first.\It wouldn't be good if Yukito saw me like this.\Hurry up then.\Umm Yue-san.\' Please come in.' I'm ok. response:	But, you'll catch a cold'
context: I'm soaking wet.\I'm transforming.\Wait Yue, let me go first.\It wouldn't be good if Yukito saw me like this.\Hurry up then.\Umm Yue-san.\' Please come in.' I'm ok.\But, you'll catch a cold' response:	I don't catch colds.
context: I'm transforming.\Wait Yue, let me go first.\It wouldn't be good if Yukito saw me like this.\Hurry up then.\Umm Yue-san.\' Please come in.' I'm ok.\But, you'll catch a cold'\I don't catch colds. response:	' Ah, I feel Clow's aura.' No good!
context: Wait Yue, let me go first.\It wouldn't be good if Yukito saw me like this.\Hurry up then.\Umm Yue-san.\' Please come in.' I'm ok.\But, you'll catch a cold'\I don't catch colds.\' Ah, I feel Clow's aura.' No good! response:	I can't transform!
context: It wouldn't be good if Yukito saw me like this.\Hurry up then.\Umm Yue-san.\' Please come in.' I'm ok.\But, you'll catch a cold'\I don't catch colds.\' Ah, I feel Clow's aura.' No good!\I can't transform! response:	What?
context: Hurry up then.\Umm Yue-san.\' Please come in.' I'm ok.\But, you'll catch a cold'\I don't catch colds.\' Ah, I feel Clow's aura.' No good!\I can't transform!\What? response:	I can't transform to Yukito.
context: Umm Yue-san.\' Please come in.' I'm ok.\But, you'll catch a cold'\I don't catch colds.\' Ah, I feel Clow's aura.' No good!\I can't transform!\What?\I can't transform to Yukito. response:	Now what will you do,
context: ' Please come in.' I'm ok.\But, you'll catch a cold'\I don't catch colds.\' Ah, I feel Clow's aura.' No good!\I can't transform!\What?\I can't transform to Yukito.\Now what will you do, response:	Sakura-san?
context: But, you'll catch a cold'\I don't catch colds.\' Ah, I feel Clow's aura.' No good!\I can't transform!\What?\I can't transform to Yukito.\Now what will you do,\Sakura-san? response:	Why don't you fold your wings?
context: I don't catch colds.\' Ah, I feel Clow's aura.' No good!\I can't transform!\What?\I can't transform to Yukito.\Now what will you do,\Sakura-san?\Why don't you fold your wings? response:	I'm totally soaked'
