context: This is the first meeting of the Council of 101 in ten years. response:	Members of the Council. Why have you brought us here?
context: This is the first meeting of the Council of 101 in ten years.\Members of the Council. Why have you brought us here? response:	You know very well why.
context: This is the first meeting of the Council of 101 in ten years.\Members of the Council. Why have you brought us here?\You know very well why. response:	This is about your country's invasion of JIOR.
context: This is the first meeting of the Council of 101 in ten years.\Members of the Council. Why have you brought us here?\You know very well why.\This is about your country's invasion of JIOR. response:	I believed that the Council's rule was to not get involved in inter-human conflicts.
context: This is the first meeting of the Council of 101 in ten years.\Members of the Council. Why have you brought us here?\You know very well why.\This is about your country's invasion of JIOR.\I believed that the Council's rule was to not get involved in inter-human conflicts. response:	That weapon... Valvrave, it was called?
context: This is the first meeting of the Council of 101 in ten years.\Members of the Council. Why have you brought us here?\You know very well why.\This is about your country's invasion of JIOR.\I believed that the Council's rule was to not get involved in inter-human conflicts.\That weapon... Valvrave, it was called? response:	Our own investigation has confirmed a level 3 event.
context: This is the first meeting of the Council of 101 in ten years.\Members of the Council. Why have you brought us here?\You know very well why.\This is about your country's invasion of JIOR.\I believed that the Council's rule was to not get involved in inter-human conflicts.\That weapon... Valvrave, it was called?\Our own investigation has confirmed a level 3 event. response:	You disobeyed the Magius?
context: This is the first meeting of the Council of 101 in ten years.\Members of the Council. Why have you brought us here?\You know very well why.\This is about your country's invasion of JIOR.\I believed that the Council's rule was to not get involved in inter-human conflicts.\That weapon... Valvrave, it was called?\Our own investigation has confirmed a level 3 event.\You disobeyed the Magius? response:	We know everything.
context: Members of the Council. Why have you brought us here?\You know very well why.\This is about your country's invasion of JIOR.\I believed that the Council's rule was to not get involved in inter-human conflicts.\That weapon... Valvrave, it was called?\Our own investigation has confirmed a level 3 event.\You disobeyed the Magius?\We know everything. response:	You violated what is the exclusive domain of the Magius and kept it from us.
context: You know very well why.\This is about your country's invasion of JIOR.\I believed that the Council's rule was to not get involved in inter-human conflicts.\That weapon... Valvrave, it was called?\Our own investigation has confirmed a level 3 event.\You disobeyed the Magius?\We know everything.\You violated what is the exclusive domain of the Magius and kept it from us. response:	We... were careless and did not realize
context: This is about your country's invasion of JIOR.\I believed that the Council's rule was to not get involved in inter-human conflicts.\That weapon... Valvrave, it was called?\Our own investigation has confirmed a level 3 event.\You disobeyed the Magius?\We know everything.\You violated what is the exclusive domain of the Magius and kept it from us.\We... were careless and did not realize response:	that it was related to the Magius.
context: I believed that the Council's rule was to not get involved in inter-human conflicts.\That weapon... Valvrave, it was called?\Our own investigation has confirmed a level 3 event.\You disobeyed the Magius?\We know everything.\You violated what is the exclusive domain of the Magius and kept it from us.\We... were careless and did not realize\that it was related to the Magius. response:	We simply intended for it to be a military threat.
context: That weapon... Valvrave, it was called?\Our own investigation has confirmed a level 3 event.\You disobeyed the Magius?\We know everything.\You violated what is the exclusive domain of the Magius and kept it from us.\We... were careless and did not realize\that it was related to the Magius.\We simply intended for it to be a military threat. response:	Captain Cain Dressel.
context: Our own investigation has confirmed a level 3 event.\You disobeyed the Magius?\We know everything.\You violated what is the exclusive domain of the Magius and kept it from us.\We... were careless and did not realize\that it was related to the Magius.\We simply intended for it to be a military threat.\Captain Cain Dressel. response:	He was your right-hand man in the recent revolution
context: You disobeyed the Magius?\We know everything.\You violated what is the exclusive domain of the Magius and kept it from us.\We... were careless and did not realize\that it was related to the Magius.\We simply intended for it to be a military threat.\Captain Cain Dressel.\He was your right-hand man in the recent revolution response:	and has commanded an enforcement unit.
context: We know everything.\You violated what is the exclusive domain of the Magius and kept it from us.\We... were careless and did not realize\that it was related to the Magius.\We simply intended for it to be a military threat.\Captain Cain Dressel.\He was your right-hand man in the recent revolution\and has commanded an enforcement unit. response:	I don't believe it...
context: You violated what is the exclusive domain of the Magius and kept it from us.\We... were careless and did not realize\that it was related to the Magius.\We simply intended for it to be a military threat.\Captain Cain Dressel.\He was your right-hand man in the recent revolution\and has commanded an enforcement unit.\I don't believe it... response:	He is a Magius. For ten years now.
context: We... were careless and did not realize\that it was related to the Magius.\We simply intended for it to be a military threat.\Captain Cain Dressel.\He was your right-hand man in the recent revolution\and has commanded an enforcement unit.\I don't believe it...\He is a Magius. For ten years now. response:	And now... you will be one, too.
context: that it was related to the Magius.\We simply intended for it to be a military threat.\Captain Cain Dressel.\He was your right-hand man in the recent revolution\and has commanded an enforcement unit.\I don't believe it...\He is a Magius. For ten years now.\And now... you will be one, too. response:	Cast off the old flesh and take on the new.
context: We simply intended for it to be a military threat.\Captain Cain Dressel.\He was your right-hand man in the recent revolution\and has commanded an enforcement unit.\I don't believe it...\He is a Magius. For ten years now.\And now... you will be one, too.\Cast off the old flesh and take on the new. response:	Cast off the old flesh and take on the new...
context: Captain Cain Dressel.\He was your right-hand man in the recent revolution\and has commanded an enforcement unit.\I don't believe it...\He is a Magius. For ten years now.\And now... you will be one, too.\Cast off the old flesh and take on the new.\Cast off the old flesh and take on the new... response:	What's going on?
context: He was your right-hand man in the recent revolution\and has commanded an enforcement unit.\I don't believe it...\He is a Magius. For ten years now.\And now... you will be one, too.\Cast off the old flesh and take on the new.\Cast off the old flesh and take on the new...\What's going on? response:	Now you've made me angry.
context: and has commanded an enforcement unit.\I don't believe it...\He is a Magius. For ten years now.\And now... you will be one, too.\Cast off the old flesh and take on the new.\Cast off the old flesh and take on the new...\What's going on?\Now you've made me angry. response:	What?
context: I don't believe it...\He is a Magius. For ten years now.\And now... you will be one, too.\Cast off the old flesh and take on the new.\Cast off the old flesh and take on the new...\What's going on?\Now you've made me angry.\What? response:	Unit 6? Who's piloting it?
context: He is a Magius. For ten years now.\And now... you will be one, too.\Cast off the old flesh and take on the new.\Cast off the old flesh and take on the new...\What's going on?\Now you've made me angry.\What?\Unit 6? Who's piloting it? response:	Don't worry, Shoko-chan. I'll wrap this up in no time.
context: And now... you will be one, too.\Cast off the old flesh and take on the new.\Cast off the old flesh and take on the new...\What's going on?\Now you've made me angry.\What?\Unit 6? Who's piloting it?\Don't worry, Shoko-chan. I'll wrap this up in no time. response:	Another new model?
context: Cast off the old flesh and take on the new.\Cast off the old flesh and take on the new...\What's going on?\Now you've made me angry.\What?\Unit 6? Who's piloting it?\Don't worry, Shoko-chan. I'll wrap this up in no time.\Another new model? response:	It won't help them!
context: Cast off the old flesh and take on the new...\What's going on?\Now you've made me angry.\What?\Unit 6? Who's piloting it?\Don't worry, Shoko-chan. I'll wrap this up in no time.\Another new model?\It won't help them! response:	Hey!
context: What's going on?\Now you've made me angry.\What?\Unit 6? Who's piloting it?\Don't worry, Shoko-chan. I'll wrap this up in no time.\Another new model?\It won't help them!\Hey! response:	Well, I'll be! You've got something that lets you cheat!
context: Now you've made me angry.\What?\Unit 6? Who's piloting it?\Don't worry, Shoko-chan. I'll wrap this up in no time.\Another new model?\It won't help them!\Hey!\Well, I'll be! You've got something that lets you cheat! response:	The Captain stole it, I see.
context: What?\Unit 6? Who's piloting it?\Don't worry, Shoko-chan. I'll wrap this up in no time.\Another new model?\It won't help them!\Hey!\Well, I'll be! You've got something that lets you cheat!\The Captain stole it, I see. response:	A-drei! We're getting out of here!
context: Unit 6? Who's piloting it?\Don't worry, Shoko-chan. I'll wrap this up in no time.\Another new model?\It won't help them!\Hey!\Well, I'll be! You've got something that lets you cheat!\The Captain stole it, I see.\A-drei! We're getting out of here! response:	What about the Ideal's escape pod?
context: Don't worry, Shoko-chan. I'll wrap this up in no time.\Another new model?\It won't help them!\Hey!\Well, I'll be! You've got something that lets you cheat!\The Captain stole it, I see.\A-drei! We're getting out of here!\What about the Ideal's escape pod? response:	We can't use it! The engine was destroyed!
context: Another new model?\It won't help them!\Hey!\Well, I'll be! You've got something that lets you cheat!\The Captain stole it, I see.\A-drei! We're getting out of here!\What about the Ideal's escape pod?\We can't use it! The engine was destroyed! response:	JIORans!
context: It won't help them!\Hey!\Well, I'll be! You've got something that lets you cheat!\The Captain stole it, I see.\A-drei! We're getting out of here!\What about the Ideal's escape pod?\We can't use it! The engine was destroyed!\JIORans! response:	Haruto!
context: Hey!\Well, I'll be! You've got something that lets you cheat!\The Captain stole it, I see.\A-drei! We're getting out of here!\What about the Ideal's escape pod?\We can't use it! The engine was destroyed!\JIORans!\Haruto! response:	Pino! Pino!
context: Well, I'll be! You've got something that lets you cheat!\The Captain stole it, I see.\A-drei! We're getting out of here!\What about the Ideal's escape pod?\We can't use it! The engine was destroyed!\JIORans!\Haruto!\Pino! Pino! response:	Big Brother! Big Brother!
context: The Captain stole it, I see.\A-drei! We're getting out of here!\What about the Ideal's escape pod?\We can't use it! The engine was destroyed!\JIORans!\Haruto!\Pino! Pino!\Big Brother! Big Brother! response:	Just as I thought. This is the original pair?
context: A-drei! We're getting out of here!\What about the Ideal's escape pod?\We can't use it! The engine was destroyed!\JIORans!\Haruto!\Pino! Pino!\Big Brother! Big Brother!\Just as I thought. This is the original pair? response:	It's no use! The controls aren't responding!
context: What about the Ideal's escape pod?\We can't use it! The engine was destroyed!\JIORans!\Haruto!\Pino! Pino!\Big Brother! Big Brother!\Just as I thought. This is the original pair?\It's no use! The controls aren't responding! response:	What's this engine?
context: We can't use it! The engine was destroyed!\JIORans!\Haruto!\Pino! Pino!\Big Brother! Big Brother!\Just as I thought. This is the original pair?\It's no use! The controls aren't responding!\What's this engine? response:	Big Brother?
context: JIORans!\Haruto!\Pino! Pino!\Big Brother! Big Brother!\Just as I thought. This is the original pair?\It's no use! The controls aren't responding!\What's this engine?\Big Brother? response:	Big Brother!
context: Haruto!\Pino! Pino!\Big Brother! Big Brother!\Just as I thought. This is the original pair?\It's no use! The controls aren't responding!\What's this engine?\Big Brother?\Big Brother! response:	The power is too high? Plu!
context: Pino! Pino!\Big Brother! Big Brother!\Just as I thought. This is the original pair?\It's no use! The controls aren't responding!\What's this engine?\Big Brother?\Big Brother!\The power is too high? Plu! response:	It won't do to become shipwrecked on our maiden voyage.
context: Big Brother! Big Brother!\Just as I thought. This is the original pair?\It's no use! The controls aren't responding!\What's this engine?\Big Brother?\Big Brother!\The power is too high? Plu!\It won't do to become shipwrecked on our maiden voyage. response:	Kriemhild! Do you read me?
context: Just as I thought. This is the original pair?\It's no use! The controls aren't responding!\What's this engine?\Big Brother?\Big Brother!\The power is too high? Plu!\It won't do to become shipwrecked on our maiden voyage.\Kriemhild! Do you read me? response:	Prepare for fighting retreat! Prepare for fighting retreat!
context: It's no use! The controls aren't responding!\What's this engine?\Big Brother?\Big Brother!\The power is too high? Plu!\It won't do to become shipwrecked on our maiden voyage.\Kriemhild! Do you read me?\Prepare for fighting retreat! Prepare for fighting retreat! response:	We will fall back while providing cover for the Captain!
context: What's this engine?\Big Brother?\Big Brother!\The power is too high? Plu!\It won't do to become shipwrecked on our maiden voyage.\Kriemhild! Do you read me?\Prepare for fighting retreat! Prepare for fighting retreat!\We will fall back while providing cover for the Captain! response:	This stupid gear is too heavy!
context: Big Brother?\Big Brother!\The power is too high? Plu!\It won't do to become shipwrecked on our maiden voyage.\Kriemhild! Do you read me?\Prepare for fighting retreat! Prepare for fighting retreat!\We will fall back while providing cover for the Captain!\This stupid gear is too heavy! response:	Withdraw, Q-vier! I know you can hear me!
context: Big Brother!\The power is too high? Plu!\It won't do to become shipwrecked on our maiden voyage.\Kriemhild! Do you read me?\Prepare for fighting retreat! Prepare for fighting retreat!\We will fall back while providing cover for the Captain!\This stupid gear is too heavy!\Withdraw, Q-vier! I know you can hear me! response:	Let me keep fighting right up until the last minute!
context: The power is too high? Plu!\It won't do to become shipwrecked on our maiden voyage.\Kriemhild! Do you read me?\Prepare for fighting retreat! Prepare for fighting retreat!\We will fall back while providing cover for the Captain!\This stupid gear is too heavy!\Withdraw, Q-vier! I know you can hear me!\Let me keep fighting right up until the last minute! response:	Withdraw!
context: It won't do to become shipwrecked on our maiden voyage.\Kriemhild! Do you read me?\Prepare for fighting retreat! Prepare for fighting retreat!\We will fall back while providing cover for the Captain!\This stupid gear is too heavy!\Withdraw, Q-vier! I know you can hear me!\Let me keep fighting right up until the last minute!\Withdraw! response:	What just happened? What the hell are the Valvraves?
context: Kriemhild! Do you read me?\Prepare for fighting retreat! Prepare for fighting retreat!\We will fall back while providing cover for the Captain!\This stupid gear is too heavy!\Withdraw, Q-vier! I know you can hear me!\Let me keep fighting right up until the last minute!\Withdraw!\What just happened? What the hell are the Valvraves? response:	All this means is that we didn't lose.
context: Prepare for fighting retreat! Prepare for fighting retreat!\We will fall back while providing cover for the Captain!\This stupid gear is too heavy!\Withdraw, Q-vier! I know you can hear me!\Let me keep fighting right up until the last minute!\Withdraw!\What just happened? What the hell are the Valvraves?\All this means is that we didn't lose. response:	True Calendar year 71.
context: We will fall back while providing cover for the Captain!\This stupid gear is too heavy!\Withdraw, Q-vier! I know you can hear me!\Let me keep fighting right up until the last minute!\Withdraw!\What just happened? What the hell are the Valvraves?\All this means is that we didn't lose.\True Calendar year 71. response:	It's been two months since Module 77 withstood Dorssia's attacks
context: This stupid gear is too heavy!\Withdraw, Q-vier! I know you can hear me!\Let me keep fighting right up until the last minute!\Withdraw!\What just happened? What the hell are the Valvraves?\All this means is that we didn't lose.\True Calendar year 71.\It's been two months since Module 77 withstood Dorssia's attacks response:	and arrived at the neutral territory of the Moon.
context: Withdraw, Q-vier! I know you can hear me!\Let me keep fighting right up until the last minute!\Withdraw!\What just happened? What the hell are the Valvraves?\All this means is that we didn't lose.\True Calendar year 71.\It's been two months since Module 77 withstood Dorssia's attacks\and arrived at the neutral territory of the Moon. response:	They appealed to the international community, denouncing the Dorssian occupation of JIOR as unjust
context: Let me keep fighting right up until the last minute!\Withdraw!\What just happened? What the hell are the Valvraves?\All this means is that we didn't lose.\True Calendar year 71.\It's been two months since Module 77 withstood Dorssia's attacks\and arrived at the neutral territory of the Moon.\They appealed to the international community, denouncing the Dorssian occupation of JIOR as unjust response:	and proclaiming themselves to be the legitimate representatives of JIOR.
context: Withdraw!\What just happened? What the hell are the Valvraves?\All this means is that we didn't lose.\True Calendar year 71.\It's been two months since Module 77 withstood Dorssia's attacks\and arrived at the neutral territory of the Moon.\They appealed to the international community, denouncing the Dorssian occupation of JIOR as unjust\and proclaiming themselves to be the legitimate representatives of JIOR. response:	The world celebrated them as tragic heroes.
context: What just happened? What the hell are the Valvraves?\All this means is that we didn't lose.\True Calendar year 71.\It's been two months since Module 77 withstood Dorssia's attacks\and arrived at the neutral territory of the Moon.\They appealed to the international community, denouncing the Dorssian occupation of JIOR as unjust\and proclaiming themselves to be the legitimate representatives of JIOR.\The world celebrated them as tragic heroes. response:	Haruto Tokishima became the symbol of the struggle against Dorssian oppression.
context: All this means is that we didn't lose.\True Calendar year 71.\It's been two months since Module 77 withstood Dorssia's attacks\and arrived at the neutral territory of the Moon.\They appealed to the international community, denouncing the Dorssian occupation of JIOR as unjust\and proclaiming themselves to be the legitimate representatives of JIOR.\The world celebrated them as tragic heroes.\Haruto Tokishima became the symbol of the struggle against Dorssian oppression. response:	Saki Rukino's songs became bestsellers that were sung
