context: The High School National Ogura Hundred Poets Karuta Championship begins. response:	We'll win every match
context: The High School National Ogura Hundred Poets Karuta Championship begins.\We'll win every match response:	and become number one in Japan!
context: The High School National Ogura Hundred Poets Karuta Championship begins.\We'll win every match\and become number one in Japan! response:	Chihaya Furu
context: The High School National Ogura Hundred Poets Karuta Championship begins.\We'll win every match\and become number one in Japan!\Chihaya Furu response:	Verse 8
context: The High School National Ogura Hundred Poets Karuta Championship begins.\We'll win every match\and become number one in Japan!\Chihaya Furu\Verse 8 response:	Which shines over Mount Mikasa
context: The High School National Ogura Hundred Poets Karuta Championship begins.\We'll win every match\and become number one in Japan!\Chihaya Furu\Verse 8\Which shines over Mount Mikasa response:	Wh-Why am I dressed like this?
context: The High School National Ogura Hundred Poets Karuta Championship begins.\We'll win every match\and become number one in Japan!\Chihaya Furu\Verse 8\Which shines over Mount Mikasa\Wh-Why am I dressed like this? response:	You're asking why?
context: The High School National Ogura Hundred Poets Karuta Championship begins.\We'll win every match\and become number one in Japan!\Chihaya Furu\Verse 8\Which shines over Mount Mikasa\Wh-Why am I dressed like this?\You're asking why? response:	Did you forget what happened last year?
context: We'll win every match\and become number one in Japan!\Chihaya Furu\Verse 8\Which shines over Mount Mikasa\Wh-Why am I dressed like this?\You're asking why?\Did you forget what happened last year? response:	Right, right
context: and become number one in Japan!\Chihaya Furu\Verse 8\Which shines over Mount Mikasa\Wh-Why am I dressed like this?\You're asking why?\Did you forget what happened last year?\Right, right response:	When you suddenly collapsed last year,
context: Chihaya Furu\Verse 8\Which shines over Mount Mikasa\Wh-Why am I dressed like this?\You're asking why?\Did you forget what happened last year?\Right, right\When you suddenly collapsed last year, response:	it was because you were overwhelmed by the heat and your nerves.
context: Verse 8\Which shines over Mount Mikasa\Wh-Why am I dressed like this?\You're asking why?\Did you forget what happened last year?\Right, right\When you suddenly collapsed last year,\it was because you were overwhelmed by the heat and your nerves. response:	So this year, we'll make sure the heat isn't an issue.
context: Which shines over Mount Mikasa\Wh-Why am I dressed like this?\You're asking why?\Did you forget what happened last year?\Right, right\When you suddenly collapsed last year,\it was because you were overwhelmed by the heat and your nerves.\So this year, we'll make sure the heat isn't an issue. response:	It's okay.
context: Wh-Why am I dressed like this?\You're asking why?\Did you forget what happened last year?\Right, right\When you suddenly collapsed last year,\it was because you were overwhelmed by the heat and your nerves.\So this year, we'll make sure the heat isn't an issue.\It's okay. response:	I'm not wearing a hakama this year.
context: You're asking why?\Did you forget what happened last year?\Right, right\When you suddenly collapsed last year,\it was because you were overwhelmed by the heat and your nerves.\So this year, we'll make sure the heat isn't an issue.\It's okay.\I'm not wearing a hakama this year. response:	But...
context: Did you forget what happened last year?\Right, right\When you suddenly collapsed last year,\it was because you were overwhelmed by the heat and your nerves.\So this year, we'll make sure the heat isn't an issue.\It's okay.\I'm not wearing a hakama this year.\But... response:	Plus, this is my second time at Omi Jingu.
context: Right, right\When you suddenly collapsed last year,\it was because you were overwhelmed by the heat and your nerves.\So this year, we'll make sure the heat isn't an issue.\It's okay.\I'm not wearing a hakama this year.\But...\Plus, this is my second time at Omi Jingu. response:	We're back.
context: When you suddenly collapsed last year,\it was because you were overwhelmed by the heat and your nerves.\So this year, we'll make sure the heat isn't an issue.\It's okay.\I'm not wearing a hakama this year.\But...\Plus, this is my second time at Omi Jingu.\We're back. response:	This is our second national championship.
context: it was because you were overwhelmed by the heat and your nerves.\So this year, we'll make sure the heat isn't an issue.\It's okay.\I'm not wearing a hakama this year.\But...\Plus, this is my second time at Omi Jingu.\We're back.\This is our second national championship. response:	What kinds of matches will we play?
