context: Tatooin Station response:	In the days off we had after the sports festival,
context: Tatooin Station\In the days off we had after the sports festival, response:	we were to let our injuries recover,
context: Tatooin Station\In the days off we had after the sports festival,\we were to let our injuries recover, response:	and then we would start regular classes again today.
context: Tatooin Station\In the days off we had after the sports festival,\we were to let our injuries recover,\and then we would start regular classes again today. response:	That's what I thought, but...
context: Tatooin Station\In the days off we had after the sports festival,\we were to let our injuries recover,\and then we would start regular classes again today.\That's what I thought, but... response:	Excuse me... excuse me!
context: Tatooin Station\In the days off we had after the sports festival,\we were to let our injuries recover,\and then we would start regular classes again today.\That's what I thought, but...\Excuse me... excuse me! response:	Midoriya from the hero class!
context: Tatooin Station\In the days off we had after the sports festival,\we were to let our injuries recover,\and then we would start regular classes again today.\That's what I thought, but...\Excuse me... excuse me!\Midoriya from the hero class! response:	Good job at the sports festival! You were so close!
context: Tatooin Station\In the days off we had after the sports festival,\we were to let our injuries recover,\and then we would start regular classes again today.\That's what I thought, but...\Excuse me... excuse me!\Midoriya from the hero class!\Good job at the sports festival! You were so close! response:	Huh?
context: In the days off we had after the sports festival,\we were to let our injuries recover,\and then we would start regular classes again today.\That's what I thought, but...\Excuse me... excuse me!\Midoriya from the hero class!\Good job at the sports festival! You were so close!\Huh? response:	You were in the top eight, right?
context: we were to let our injuries recover,\and then we would start regular classes again today.\That's what I thought, but...\Excuse me... excuse me!\Midoriya from the hero class!\Good job at the sports festival! You were so close!\Huh?\You were in the top eight, right? response:	You were so cool!
context: and then we would start regular classes again today.\That's what I thought, but...\Excuse me... excuse me!\Midoriya from the hero class!\Good job at the sports festival! You were so close!\Huh?\You were in the top eight, right?\You were so cool! response:	He's smaller than I expected.
context: That's what I thought, but...\Excuse me... excuse me!\Midoriya from the hero class!\Good job at the sports festival! You were so close!\Huh?\You were in the top eight, right?\You were so cool!\He's smaller than I expected. response:	He reminds me of when I was young.
context: Excuse me... excuse me!\Midoriya from the hero class!\Good job at the sports festival! You were so close!\Huh?\You were in the top eight, right?\You were so cool!\He's smaller than I expected.\He reminds me of when I was young. response:	Yeah, it's like he's trying really hard.
