context: The reality of the destruction around us fills our mind response:	The raging rain sounds like a storm of tears
context: The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears response:	that your eyes were given to you to acknowledge others,
context: The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others, response:	that your eyes were given to you to acknowledge others,
context: The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others, response:	that your eyes were given to you to acknowledge others,
context: The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others, response:	that your eyes were given to you to acknowledge others,
context: The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others, response:	that your eyes were given to you to acknowledge others,
context: The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others, response:	that your voice was given to you to tell others how you feel
context: The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your voice was given to you to tell others how you feel response:	All living things
context: The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your voice was given to you to tell others how you feel\All living things response:	bear witness to my song
context: that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your voice was given to you to tell others how you feel\All living things\bear witness to my song response:	Your heart contains all its truth
context: that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your voice was given to you to tell others how you feel\All living things\bear witness to my song\Your heart contains all its truth response:	Even when all you see in your path are storms
context: that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your voice was given to you to tell others how you feel\All living things\bear witness to my song\Your heart contains all its truth\Even when all you see in your path are storms response:	remember that your strength is no coincidence
context: that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your voice was given to you to tell others how you feel\All living things\bear witness to my song\Your heart contains all its truth\Even when all you see in your path are storms\remember that your strength is no coincidence response:	Mana will be reborn by consuming Inori.
context: that your eyes were given to you to acknowledge others,\that your voice was given to you to tell others how you feel\All living things\bear witness to my song\Your heart contains all its truth\Even when all you see in your path are storms\remember that your strength is no coincidence\Mana will be reborn by consuming Inori. response:	Our lost Eve...
context: that your voice was given to you to tell others how you feel\All living things\bear witness to my song\Your heart contains all its truth\Even when all you see in your path are storms\remember that your strength is no coincidence\Mana will be reborn by consuming Inori.\Our lost Eve... response:	You're too late,
context: All living things\bear witness to my song\Your heart contains all its truth\Even when all you see in your path are storms\remember that your strength is no coincidence\Mana will be reborn by consuming Inori.\Our lost Eve...\You're too late, response:	Shu.
context: bear witness to my song\Your heart contains all its truth\Even when all you see in your path are storms\remember that your strength is no coincidence\Mana will be reborn by consuming Inori.\Our lost Eve...\You're too late,\Shu. response:	That can't be!
context: Your heart contains all its truth\Even when all you see in your path are storms\remember that your strength is no coincidence\Mana will be reborn by consuming Inori.\Our lost Eve...\You're too late,\Shu.\That can't be! response:	What's going on?
context: Even when all you see in your path are storms\remember that your strength is no coincidence\Mana will be reborn by consuming Inori.\Our lost Eve...\You're too late,\Shu.\That can't be!\What's going on? response:	What's this light?!
context: remember that your strength is no coincidence\Mana will be reborn by consuming Inori.\Our lost Eve...\You're too late,\Shu.\That can't be!\What's going on?\What's this light?! response:	Something's starting to happen!
context: Mana will be reborn by consuming Inori.\Our lost Eve...\You're too late,\Shu.\That can't be!\What's going on?\What's this light?!\Something's starting to happen! response:	There's no doubt about it.
context: Our lost Eve...\You're too late,\Shu.\That can't be!\What's going on?\What's this light?!\Something's starting to happen!\There's no doubt about it. response:	Okay. We'll hold them off here.
context: You're too late,\Shu.\That can't be!\What's going on?\What's this light?!\Something's starting to happen!\There's no doubt about it.\Okay. We'll hold them off here. response:	You go up as quickly as possible.
context: Shu.\That can't be!\What's going on?\What's this light?!\Something's starting to happen!\There's no doubt about it.\Okay. We'll hold them off here.\You go up as quickly as possible. response:	Ayase! Cover them!
context: That can't be!\What's going on?\What's this light?!\Something's starting to happen!\There's no doubt about it.\Okay. We'll hold them off here.\You go up as quickly as possible.\Ayase! Cover them! response:	Roger! But...
context: What's going on?\What's this light?!\Something's starting to happen!\There's no doubt about it.\Okay. We'll hold them off here.\You go up as quickly as possible.\Ayase! Cover them!\Roger! But... response:	You really got me last time.
context: What's this light?!\Something's starting to happen!\There's no doubt about it.\Okay. We'll hold them off here.\You go up as quickly as possible.\Ayase! Cover them!\Roger! But...\You really got me last time. response:	But this time will be different!
context: Something's starting to happen!\There's no doubt about it.\Okay. We'll hold them off here.\You go up as quickly as possible.\Ayase! Cover them!\Roger! But...\You really got me last time.\But this time will be different! response:	Now, I have the Gespenst!
context: There's no doubt about it.\Okay. We'll hold them off here.\You go up as quickly as possible.\Ayase! Cover them!\Roger! But...\You really got me last time.\But this time will be different!\Now, I have the Gespenst! response:	Tsugumi, you still can't take back control?
context: Okay. We'll hold them off here.\You go up as quickly as possible.\Ayase! Cover them!\Roger! But...\You really got me last time.\But this time will be different!\Now, I have the Gespenst!\Tsugumi, you still can't take back control? response:	The defenses suddenly got stronger!
context: You go up as quickly as possible.\Ayase! Cover them!\Roger! But...\You really got me last time.\But this time will be different!\Now, I have the Gespenst!\Tsugumi, you still can't take back control?\The defenses suddenly got stronger! response:	I keep trying to erase it, but it keeps coming back like a zombie!
context: Ayase! Cover them!\Roger! But...\You really got me last time.\But this time will be different!\Now, I have the Gespenst!\Tsugumi, you still can't take back control?\The defenses suddenly got stronger!\I keep trying to erase it, but it keeps coming back like a zombie! response:	Someone on par with Tsugumi...
context: Roger! But...\You really got me last time.\But this time will be different!\Now, I have the Gespenst!\Tsugumi, you still can't take back control?\The defenses suddenly got stronger!\I keep trying to erase it, but it keeps coming back like a zombie!\Someone on par with Tsugumi... response:	Kenji...
context: You really got me last time.\But this time will be different!\Now, I have the Gespenst!\Tsugumi, you still can't take back control?\The defenses suddenly got stronger!\I keep trying to erase it, but it keeps coming back like a zombie!\Someone on par with Tsugumi...\Kenji... response:	Is that you?
