context: Forest Exhibition response:	29th Suimei High School Culture Festival
context: Forest Exhibition\29th Suimei High School Culture Festival response:	Chocolate Banana
context: Forest Exhibition\29th Suimei High School Culture Festival\Chocolate Banana response:	Come visit us.
context: Forest Exhibition\29th Suimei High School Culture Festival\Chocolate Banana\Come visit us. response:	That looks delicious.
context: Forest Exhibition\29th Suimei High School Culture Festival\Chocolate Banana\Come visit us.\That looks delicious. response:	Thank you very much.
context: Forest Exhibition\29th Suimei High School Culture Festival\Chocolate Banana\Come visit us.\That looks delicious.\Thank you very much. response:	You're really getting the hang of this, Sora
context: Forest Exhibition\29th Suimei High School Culture Festival\Chocolate Banana\Come visit us.\That looks delicious.\Thank you very much.\You're really getting the hang of this, Sora response:	You've got the eyes of a fish that's been rotting in the sun!
context: Forest Exhibition\29th Suimei High School Culture Festival\Chocolate Banana\Come visit us.\That looks delicious.\Thank you very much.\You're really getting the hang of this, Sora\You've got the eyes of a fish that's been rotting in the sun! response:	Hang in there!
context: 29th Suimei High School Culture Festival\Chocolate Banana\Come visit us.\That looks delicious.\Thank you very much.\You're really getting the hang of this, Sora\You've got the eyes of a fish that's been rotting in the sun!\Hang in there! response:	Nyapollon's not finished yet, so I've been pulling all-nighters.
context: Chocolate Banana\Come visit us.\That looks delicious.\Thank you very much.\You're really getting the hang of this, Sora\You've got the eyes of a fish that's been rotting in the sun!\Hang in there!\Nyapollon's not finished yet, so I've been pulling all-nighters. response:	Thank you.
context: Come visit us.\That looks delicious.\Thank you very much.\You're really getting the hang of this, Sora\You've got the eyes of a fish that's been rotting in the sun!\Hang in there!\Nyapollon's not finished yet, so I've been pulling all-nighters.\Thank you. response:	I have a quota to meet at the chocolate banana cafe, too.
context: That looks delicious.\Thank you very much.\You're really getting the hang of this, Sora\You've got the eyes of a fish that's been rotting in the sun!\Hang in there!\Nyapollon's not finished yet, so I've been pulling all-nighters.\Thank you.\I have a quota to meet at the chocolate banana cafe, too. response:	You... You should have a banana, too.
context: Thank you very much.\You're really getting the hang of this, Sora\You've got the eyes of a fish that's been rotting in the sun!\Hang in there!\Nyapollon's not finished yet, so I've been pulling all-nighters.\Thank you.\I have a quota to meet at the chocolate banana cafe, too.\You... You should have a banana, too. response:	They're really nutritious.
context: You're really getting the hang of this, Sora\You've got the eyes of a fish that's been rotting in the sun!\Hang in there!\Nyapollon's not finished yet, so I've been pulling all-nighters.\Thank you.\I have a quota to meet at the chocolate banana cafe, too.\You... You should have a banana, too.\They're really nutritious. response:	Kanda-kun, are you okay?
context: You've got the eyes of a fish that's been rotting in the sun!\Hang in there!\Nyapollon's not finished yet, so I've been pulling all-nighters.\Thank you.\I have a quota to meet at the chocolate banana cafe, too.\You... You should have a banana, too.\They're really nutritious.\Kanda-kun, are you okay? response:	N-Nanami!
context: Hang in there!\Nyapollon's not finished yet, so I've been pulling all-nighters.\Thank you.\I have a quota to meet at the chocolate banana cafe, too.\You... You should have a banana, too.\They're really nutritious.\Kanda-kun, are you okay?\N-Nanami! response:	What? Don't stare like that.
context: Nyapollon's not finished yet, so I've been pulling all-nighters.\Thank you.\I have a quota to meet at the chocolate banana cafe, too.\You... You should have a banana, too.\They're really nutritious.\Kanda-kun, are you okay?\N-Nanami!\What? Don't stare like that. response:	Oh, um... you look great. Yeah.
context: Thank you.\I have a quota to meet at the chocolate banana cafe, too.\You... You should have a banana, too.\They're really nutritious.\Kanda-kun, are you okay?\N-Nanami!\What? Don't stare like that.\Oh, um... you look great. Yeah. response:	Really great! Doesn't she, Sorata?
context: I have a quota to meet at the chocolate banana cafe, too.\You... You should have a banana, too.\They're really nutritious.\Kanda-kun, are you okay?\N-Nanami!\What? Don't stare like that.\Oh, um... you look great. Yeah.\Really great! Doesn't she, Sorata? response:	Yeah, just great...
context: You... You should have a banana, too.\They're really nutritious.\Kanda-kun, are you okay?\N-Nanami!\What? Don't stare like that.\Oh, um... you look great. Yeah.\Really great! Doesn't she, Sorata?\Yeah, just great... response:	This guy's operating on autopilot.
context: They're really nutritious.\Kanda-kun, are you okay?\N-Nanami!\What? Don't stare like that.\Oh, um... you look great. Yeah.\Really great! Doesn't she, Sorata?\Yeah, just great...\This guy's operating on autopilot. response:	I'll work hard enough for both of us.
context: Kanda-kun, are you okay?\N-Nanami!\What? Don't stare like that.\Oh, um... you look great. Yeah.\Really great! Doesn't she, Sorata?\Yeah, just great...\This guy's operating on autopilot.\I'll work hard enough for both of us. response:	You can go to Nyapollon's prep room.
context: N-Nanami!\What? Don't stare like that.\Oh, um... you look great. Yeah.\Really great! Doesn't she, Sorata?\Yeah, just great...\This guy's operating on autopilot.\I'll work hard enough for both of us.\You can go to Nyapollon's prep room. response:	What? But...
context: What? Don't stare like that.\Oh, um... you look great. Yeah.\Really great! Doesn't she, Sorata?\Yeah, just great...\This guy's operating on autopilot.\I'll work hard enough for both of us.\You can go to Nyapollon's prep room.\What? But... response:	I don't have anything to do on Nyapollon right now,
context: Oh, um... you look great. Yeah.\Really great! Doesn't she, Sorata?\Yeah, just great...\This guy's operating on autopilot.\I'll work hard enough for both of us.\You can go to Nyapollon's prep room.\What? But...\I don't have anything to do on Nyapollon right now, response:	so at least let me help you out.
context: Really great! Doesn't she, Sorata?\Yeah, just great...\This guy's operating on autopilot.\I'll work hard enough for both of us.\You can go to Nyapollon's prep room.\What? But...\I don't have anything to do on Nyapollon right now,\so at least let me help you out. response:	You could've at least told me it looked good on me.
context: Yeah, just great...\This guy's operating on autopilot.\I'll work hard enough for both of us.\You can go to Nyapollon's prep room.\What? But...\I don't have anything to do on Nyapollon right now,\so at least let me help you out.\You could've at least told me it looked good on me. response:	Nanami?
context: This guy's operating on autopilot.\I'll work hard enough for both of us.\You can go to Nyapollon's prep room.\What? But...\I don't have anything to do on Nyapollon right now,\so at least let me help you out.\You could've at least told me it looked good on me.\Nanami? response:	Bring us a ton of customers!
context: I'll work hard enough for both of us.\You can go to Nyapollon's prep room.\What? But...\I don't have anything to do on Nyapollon right now,\so at least let me help you out.\You could've at least told me it looked good on me.\Nanami?\Bring us a ton of customers! response:	I'm going to make loads of these!
context: You can go to Nyapollon's prep room.\What? But...\I don't have anything to do on Nyapollon right now,\so at least let me help you out.\You could've at least told me it looked good on me.\Nanami?\Bring us a ton of customers!\I'm going to make loads of these! response:	Nyapollon Prep Room
context: What? But...\I don't have anything to do on Nyapollon right now,\so at least let me help you out.\You could've at least told me it looked good on me.\Nanami?\Bring us a ton of customers!\I'm going to make loads of these!\Nyapollon Prep Room response:	I wish I could just shut down all culture festivals...
context: I don't have anything to do on Nyapollon right now,\so at least let me help you out.\You could've at least told me it looked good on me.\Nanami?\Bring us a ton of customers!\I'm going to make loads of these!\Nyapollon Prep Room\I wish I could just shut down all culture festivals... response:	where I don't get to run around with girls.
context: so at least let me help you out.\You could've at least told me it looked good on me.\Nanami?\Bring us a ton of customers!\I'm going to make loads of these!\Nyapollon Prep Room\I wish I could just shut down all culture festivals...\where I don't get to run around with girls. response:	Jin-san, you were that excited about all this?
context: You could've at least told me it looked good on me.\Nanami?\Bring us a ton of customers!\I'm going to make loads of these!\Nyapollon Prep Room\I wish I could just shut down all culture festivals...\where I don't get to run around with girls.\Jin-san, you were that excited about all this? response:	Haunted houses? Crepes?
context: Nanami?\Bring us a ton of customers!\I'm going to make loads of these!\Nyapollon Prep Room\I wish I could just shut down all culture festivals...\where I don't get to run around with girls.\Jin-san, you were that excited about all this?\Haunted houses? Crepes? response:	Wonderful little blind spots...
context: Bring us a ton of customers!\I'm going to make loads of these!\Nyapollon Prep Room\I wish I could just shut down all culture festivals...\where I don't get to run around with girls.\Jin-san, you were that excited about all this?\Haunted houses? Crepes?\Wonderful little blind spots... response:	appear all over the school during a culture festival.
context: I'm going to make loads of these!\Nyapollon Prep Room\I wish I could just shut down all culture festivals...\where I don't get to run around with girls.\Jin-san, you were that excited about all this?\Haunted houses? Crepes?\Wonderful little blind spots...\appear all over the school during a culture festival. response:	Which means...
context: Nyapollon Prep Room\I wish I could just shut down all culture festivals...\where I don't get to run around with girls.\Jin-san, you were that excited about all this?\Haunted houses? Crepes?\Wonderful little blind spots...\appear all over the school during a culture festival.\Which means... response:	some really thrilling play becomes possible.
context: I wish I could just shut down all culture festivals...\where I don't get to run around with girls.\Jin-san, you were that excited about all this?\Haunted houses? Crepes?\Wonderful little blind spots...\appear all over the school during a culture festival.\Which means...\some really thrilling play becomes possible. response:	I've never experienced anything more thrilling than this.
context: where I don't get to run around with girls.\Jin-san, you were that excited about all this?\Haunted houses? Crepes?\Wonderful little blind spots...\appear all over the school during a culture festival.\Which means...\some really thrilling play becomes possible.\I've never experienced anything more thrilling than this. response:	Four days until opening, and I've got even more...
context: Jin-san, you were that excited about all this?\Haunted houses? Crepes?\Wonderful little blind spots...\appear all over the school during a culture festival.\Which means...\some really thrilling play becomes possible.\I've never experienced anything more thrilling than this.\Four days until opening, and I've got even more... response:	blocking to do for the drama sequences.
context: Haunted houses? Crepes?\Wonderful little blind spots...\appear all over the school during a culture festival.\Which means...\some really thrilling play becomes possible.\I've never experienced anything more thrilling than this.\Four days until opening, and I've got even more...\blocking to do for the drama sequences. response:	Nyapollon Production Schedule Four days until opening!
context: Wonderful little blind spots...\appear all over the school during a culture festival.\Which means...\some really thrilling play becomes possible.\I've never experienced anything more thrilling than this.\Four days until opening, and I've got even more...\blocking to do for the drama sequences.\Nyapollon Production Schedule Four days until opening! response:	It's so thrilling, I wish I could just pass out.
context: appear all over the school during a culture festival.\Which means...\some really thrilling play becomes possible.\I've never experienced anything more thrilling than this.\Four days until opening, and I've got even more...\blocking to do for the drama sequences.\Nyapollon Production Schedule Four days until opening!\It's so thrilling, I wish I could just pass out. response:	Opening!!
context: Which means...\some really thrilling play becomes possible.\I've never experienced anything more thrilling than this.\Four days until opening, and I've got even more...\blocking to do for the drama sequences.\Nyapollon Production Schedule Four days until opening!\It's so thrilling, I wish I could just pass out.\Opening!! response:	I feel the same way, but the demon...
context: some really thrilling play becomes possible.\I've never experienced anything more thrilling than this.\Four days until opening, and I've got even more...\blocking to do for the drama sequences.\Nyapollon Production Schedule Four days until opening!\It's so thrilling, I wish I could just pass out.\Opening!!\I feel the same way, but the demon... response:	who won't allow that is about to show up.
context: I've never experienced anything more thrilling than this.\Four days until opening, and I've got even more...\blocking to do for the drama sequences.\Nyapollon Production Schedule Four days until opening!\It's so thrilling, I wish I could just pass out.\Opening!!\I feel the same way, but the demon...\who won't allow that is about to show up. response:	No one's sleeping on the job in here, are they?!
context: Four days until opening, and I've got even more...\blocking to do for the drama sequences.\Nyapollon Production Schedule Four days until opening!\It's so thrilling, I wish I could just pass out.\Opening!!\I feel the same way, but the demon...\who won't allow that is about to show up.\No one's sleeping on the job in here, are they?! response:	Here, you two!
