context: This is Morioh City Radio. response:	Your host, once again, is me, your neighbor, Kai Harada.
context: This is Morioh City Radio.\Your host, once again, is me, your neighbor, Kai Harada. response:	Now, then...
context: This is Morioh City Radio.\Your host, once again, is me, your neighbor, Kai Harada.\Now, then... response:	Look at those smooth spokes shining as they spin!
context: This is Morioh City Radio.\Your host, once again, is me, your neighbor, Kai Harada.\Now, then...\Look at those smooth spokes shining as they spin! response:	Last week's topic was, The King of Terror is supposed to come from the sky this July.
context: This is Morioh City Radio.\Your host, once again, is me, your neighbor, Kai Harada.\Now, then...\Look at those smooth spokes shining as they spin!\Last week's topic was, The King of Terror is supposed to come from the sky this July. response:	This mountain bike was a gift to celebrate me getting into high school.
context: This is Morioh City Radio.\Your host, once again, is me, your neighbor, Kai Harada.\Now, then...\Look at those smooth spokes shining as they spin!\Last week's topic was, The King of Terror is supposed to come from the sky this July.\This mountain bike was a gift to celebrate me getting into high school. response:	What are the citizens of Morioh City going to do?
context: This is Morioh City Radio.\Your host, once again, is me, your neighbor, Kai Harada.\Now, then...\Look at those smooth spokes shining as they spin!\Last week's topic was, The King of Terror is supposed to come from the sky this July.\This mountain bike was a gift to celebrate me getting into high school.\What are the citizens of Morioh City going to do? response:	Getting new stuff is always exciting.
context: This is Morioh City Radio.\Your host, once again, is me, your neighbor, Kai Harada.\Now, then...\Look at those smooth spokes shining as they spin!\Last week's topic was, The King of Terror is supposed to come from the sky this July.\This mountain bike was a gift to celebrate me getting into high school.\What are the citizens of Morioh City going to do?\Getting new stuff is always exciting. response:	All right, let's get to the replies.
context: Your host, once again, is me, your neighbor, Kai Harada.\Now, then...\Look at those smooth spokes shining as they spin!\Last week's topic was, The King of Terror is supposed to come from the sky this July.\This mountain bike was a gift to celebrate me getting into high school.\What are the citizens of Morioh City going to do?\Getting new stuff is always exciting.\All right, let's get to the replies. response:	This one's from RIP Big Bro.
context: Now, then...\Look at those smooth spokes shining as they spin!\Last week's topic was, The King of Terror is supposed to come from the sky this July.\This mountain bike was a gift to celebrate me getting into high school.\What are the citizens of Morioh City going to do?\Getting new stuff is always exciting.\All right, let's get to the replies.\This one's from RIP Big Bro. response:	I'm not gonna be able to take the bus to school for a while!
context: Look at those smooth spokes shining as they spin!\Last week's topic was, The King of Terror is supposed to come from the sky this July.\This mountain bike was a gift to celebrate me getting into high school.\What are the citizens of Morioh City going to do?\Getting new stuff is always exciting.\All right, let's get to the replies.\This one's from RIP Big Bro.\I'm not gonna be able to take the bus to school for a while! response:	I wonder what happened to his big bro?
