context: I don't want you to go! response:	I'm just going to do laundry.
context: I don't want you to go!\I'm just going to do laundry. response:	You're lying! You're going to sneak off and go see another girl.
context: I don't want you to go!\I'm just going to do laundry.\You're lying! You're going to sneak off and go see another girl. response:	I won't see anyone, okay? I'll be right back!
context: I don't want you to go!\I'm just going to do laundry.\You're lying! You're going to sneak off and go see another girl.\I won't see anyone, okay? I'll be right back! response:	Really?
context: I don't want you to go!\I'm just going to do laundry.\You're lying! You're going to sneak off and go see another girl.\I won't see anyone, okay? I'll be right back!\Really? response:	Really.
context: I don't want you to go!\I'm just going to do laundry.\You're lying! You're going to sneak off and go see another girl.\I won't see anyone, okay? I'll be right back!\Really?\Really. response:	Really, for real?
context: I don't want you to go!\I'm just going to do laundry.\You're lying! You're going to sneak off and go see another girl.\I won't see anyone, okay? I'll be right back!\Really?\Really.\Really, for real? response:	Really, for real, really!
context: I don't want you to go!\I'm just going to do laundry.\You're lying! You're going to sneak off and go see another girl.\I won't see anyone, okay? I'll be right back!\Really?\Really.\Really, for real?\Really, for real, really! response:	So you behave, okay?
context: I'm just going to do laundry.\You're lying! You're going to sneak off and go see another girl.\I won't see anyone, okay? I'll be right back!\Really?\Really.\Really, for real?\Really, for real, really!\So you behave, okay? response:	Yeah. I'll be lonely, but I'll be waiting.
context: You're lying! You're going to sneak off and go see another girl.\I won't see anyone, okay? I'll be right back!\Really?\Really.\Really, for real?\Really, for real, really!\So you behave, okay?\Yeah. I'll be lonely, but I'll be waiting. response:	Then...
context: I won't see anyone, okay? I'll be right back!\Really?\Really.\Really, for real?\Really, for real, really!\So you behave, okay?\Yeah. I'll be lonely, but I'll be waiting.\Then... response:	Saito...
context: Really?\Really.\Really, for real?\Really, for real, really!\So you behave, okay?\Yeah. I'll be lonely, but I'll be waiting.\Then...\Saito... response:	Hurry back.
context: Really.\Really, for real?\Really, for real, really!\So you behave, okay?\Yeah. I'll be lonely, but I'll be waiting.\Then...\Saito...\Hurry back. response:	Louise...
context: Really, for real?\Really, for real, really!\So you behave, okay?\Yeah. I'll be lonely, but I'll be waiting.\Then...\Saito...\Hurry back.\Louise... response:	A history of the couple's romance that starts from the first kiss
context: Really, for real, really!\So you behave, okay?\Yeah. I'll be lonely, but I'll be waiting.\Then...\Saito...\Hurry back.\Louise...\A history of the couple's romance that starts from the first kiss response:	You, the one who cast magic on this destiny, suddenly appeared
context: So you behave, okay?\Yeah. I'll be lonely, but I'll be waiting.\Then...\Saito...\Hurry back.\Louise...\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared response:	The sky where two moons never fade away
context: Yeah. I'll be lonely, but I'll be waiting.\Then...\Saito...\Hurry back.\Louise...\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away response:	That's an impossibility, right?
context: Then...\Saito...\Hurry back.\Louise...\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away\That's an impossibility, right? response:	This is the first time I've felt anything like this
context: Saito...\Hurry back.\Louise...\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away\That's an impossibility, right?\This is the first time I've felt anything like this response:	I'm feeling more and more at ease with this place
context: Hurry back.\Louise...\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away\That's an impossibility, right?\This is the first time I've felt anything like this\I'm feeling more and more at ease with this place response:	Even if you trip and become depressed
context: Louise...\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away\That's an impossibility, right?\This is the first time I've felt anything like this\I'm feeling more and more at ease with this place\Even if you trip and become depressed response:	I will always hold you tight with a squeeze
