context: I've been thinking this whole time. response:	What should I do for Norman's sake?
context: I've been thinking this whole time.\What should I do for Norman's sake? response:	The answer is...
context: I've been thinking this whole time.\What should I do for Norman's sake?\The answer is... response:	to do nothing.
context: I've been thinking this whole time.\What should I do for Norman's sake?\The answer is...\to do nothing. response:	Mom told me...
context: I've been thinking this whole time.\What should I do for Norman's sake?\The answer is...\to do nothing.\Mom told me... response:	to give up and free myself of the pain.
context: I've been thinking this whole time.\What should I do for Norman's sake?\The answer is...\to do nothing.\Mom told me...\to give up and free myself of the pain. response:	But...
context: I've been thinking this whole time.\What should I do for Norman's sake?\The answer is...\to do nothing.\Mom told me...\to give up and free myself of the pain.\But... response:	I will never, ever give up.
context: I've been thinking this whole time.\What should I do for Norman's sake?\The answer is...\to do nothing.\Mom told me...\to give up and free myself of the pain.\But...\I will never, ever give up. response:	I won't let Norman die in vain.
context: What should I do for Norman's sake?\The answer is...\to do nothing.\Mom told me...\to give up and free myself of the pain.\But...\I will never, ever give up.\I won't let Norman die in vain. response:	And you, Ray?
context: The answer is...\to do nothing.\Mom told me...\to give up and free myself of the pain.\But...\I will never, ever give up.\I won't let Norman die in vain.\And you, Ray? response:	So we're always thinking the same thing in the end.
context: to do nothing.\Mom told me...\to give up and free myself of the pain.\But...\I will never, ever give up.\I won't let Norman die in vain.\And you, Ray?\So we're always thinking the same thing in the end. response:	Let's run away, Ray.
context: Mom told me...\to give up and free myself of the pain.\But...\I will never, ever give up.\I won't let Norman die in vain.\And you, Ray?\So we're always thinking the same thing in the end.\Let's run away, Ray. response:	I came here to talk about that.
context: to give up and free myself of the pain.\But...\I will never, ever give up.\I won't let Norman die in vain.\And you, Ray?\So we're always thinking the same thing in the end.\Let's run away, Ray.\I came here to talk about that. response:	I wanted to talk to you, too.
context: But...\I will never, ever give up.\I won't let Norman die in vain.\And you, Ray?\So we're always thinking the same thing in the end.\Let's run away, Ray.\I came here to talk about that.\I wanted to talk to you, too. response:	These past two months, we couldn't really talk since we were worried about Mom watching us.
context: I will never, ever give up.\I won't let Norman die in vain.\And you, Ray?\So we're always thinking the same thing in the end.\Let's run away, Ray.\I came here to talk about that.\I wanted to talk to you, too.\These past two months, we couldn't really talk since we were worried about Mom watching us. response:	Yeah. I didn't want Mom to figure out our true intentions.
context: I won't let Norman die in vain.\And you, Ray?\So we're always thinking the same thing in the end.\Let's run away, Ray.\I came here to talk about that.\I wanted to talk to you, too.\These past two months, we couldn't really talk since we were worried about Mom watching us.\Yeah. I didn't want Mom to figure out our true intentions. response:	True intentions?
context: And you, Ray?\So we're always thinking the same thing in the end.\Let's run away, Ray.\I came here to talk about that.\I wanted to talk to you, too.\These past two months, we couldn't really talk since we were worried about Mom watching us.\Yeah. I didn't want Mom to figure out our true intentions.\True intentions? response:	Yeah. Mom is really cautious.
context: So we're always thinking the same thing in the end.\Let's run away, Ray.\I came here to talk about that.\I wanted to talk to you, too.\These past two months, we couldn't really talk since we were worried about Mom watching us.\Yeah. I didn't want Mom to figure out our true intentions.\True intentions?\Yeah. Mom is really cautious. response:	Even though we weren't doing anything, Mom never stopped watching us.
context: Let's run away, Ray.\I came here to talk about that.\I wanted to talk to you, too.\These past two months, we couldn't really talk since we were worried about Mom watching us.\Yeah. I didn't want Mom to figure out our true intentions.\True intentions?\Yeah. Mom is really cautious.\Even though we weren't doing anything, Mom never stopped watching us. response:	But we could use that against her.
context: I came here to talk about that.\I wanted to talk to you, too.\These past two months, we couldn't really talk since we were worried about Mom watching us.\Yeah. I didn't want Mom to figure out our true intentions.\True intentions?\Yeah. Mom is really cautious.\Even though we weren't doing anything, Mom never stopped watching us.\But we could use that against her. response:	If she's watching me, I could keep her eyes away from people other than me.
context: I wanted to talk to you, too.\These past two months, we couldn't really talk since we were worried about Mom watching us.\Yeah. I didn't want Mom to figure out our true intentions.\True intentions?\Yeah. Mom is really cautious.\Even though we weren't doing anything, Mom never stopped watching us.\But we could use that against her.\If she's watching me, I could keep her eyes away from people other than me. response:	Don and Gilda, huh?
context: These past two months, we couldn't really talk since we were worried about Mom watching us.\Yeah. I didn't want Mom to figure out our true intentions.\True intentions?\Yeah. Mom is really cautious.\Even though we weren't doing anything, Mom never stopped watching us.\But we could use that against her.\If she's watching me, I could keep her eyes away from people other than me.\Don and Gilda, huh? response:	Yeah. I left everything to them.
context: Yeah. I didn't want Mom to figure out our true intentions.\True intentions?\Yeah. Mom is really cautious.\Even though we weren't doing anything, Mom never stopped watching us.\But we could use that against her.\If she's watching me, I could keep her eyes away from people other than me.\Don and Gilda, huh?\Yeah. I left everything to them. response:	Training for the escape, and all other preparations.
