context: Saito, hurry up! response:	Come on!
context: Saito, hurry up!\Come on! response:	What's the big hurry?
context: Saito, hurry up!\Come on!\What's the big hurry? response:	Aquileia's bazaar is really popular,
context: Saito, hurry up!\Come on!\What's the big hurry?\Aquileia's bazaar is really popular, response:	so the good stuff gets snapped up fast!
context: Saito, hurry up!\Come on!\What's the big hurry?\Aquileia's bazaar is really popular,\so the good stuff gets snapped up fast! response:	If you can't move faster, I'll just go on without you.
context: Saito, hurry up!\Come on!\What's the big hurry?\Aquileia's bazaar is really popular,\so the good stuff gets snapped up fast!\If you can't move faster, I'll just go on without you. response:	Don't come crying to me if you get lost!
context: Saito, hurry up!\Come on!\What's the big hurry?\Aquileia's bazaar is really popular,\so the good stuff gets snapped up fast!\If you can't move faster, I'll just go on without you.\Don't come crying to me if you get lost! response:	As a Void Mage, I am responsible for this world.
context: Saito, hurry up!\Come on!\What's the big hurry?\Aquileia's bazaar is really popular,\so the good stuff gets snapped up fast!\If you can't move faster, I'll just go on without you.\Don't come crying to me if you get lost!\As a Void Mage, I am responsible for this world. response:	Louise... She has to contend with so much pressure...
context: Come on!\What's the big hurry?\Aquileia's bazaar is really popular,\so the good stuff gets snapped up fast!\If you can't move faster, I'll just go on without you.\Don't come crying to me if you get lost!\As a Void Mage, I am responsible for this world.\Louise... She has to contend with so much pressure... response:	It's so pretty!
context: What's the big hurry?\Aquileia's bazaar is really popular,\so the good stuff gets snapped up fast!\If you can't move faster, I'll just go on without you.\Don't come crying to me if you get lost!\As a Void Mage, I am responsible for this world.\Louise... She has to contend with so much pressure...\It's so pretty! response:	You didn't have to buy it for me.
context: Aquileia's bazaar is really popular,\so the good stuff gets snapped up fast!\If you can't move faster, I'll just go on without you.\Don't come crying to me if you get lost!\As a Void Mage, I am responsible for this world.\Louise... She has to contend with so much pressure...\It's so pretty!\You didn't have to buy it for me. response:	I do get my pay as a knight.
context: so the good stuff gets snapped up fast!\If you can't move faster, I'll just go on without you.\Don't come crying to me if you get lost!\As a Void Mage, I am responsible for this world.\Louise... She has to contend with so much pressure...\It's so pretty!\You didn't have to buy it for me.\I do get my pay as a knight. response:	I can afford it.
