context: Genes of Destiny response:	Please look after them.
context: Genes of Destiny\Please look after them. response:	Certainly!
context: Genes of Destiny\Please look after them.\Certainly! response:	Everyone, you gotta eat to keep up your strength!
context: Genes of Destiny\Please look after them.\Certainly!\Everyone, you gotta eat to keep up your strength! response:	Guys, we gotta eat to keep up our strength!
context: Genes of Destiny\Please look after them.\Certainly!\Everyone, you gotta eat to keep up your strength!\Guys, we gotta eat to keep up our strength! response:	Why are you repeating her?
context: Genes of Destiny\Please look after them.\Certainly!\Everyone, you gotta eat to keep up your strength!\Guys, we gotta eat to keep up our strength!\Why are you repeating her? response:	Huh?
context: Genes of Destiny\Please look after them.\Certainly!\Everyone, you gotta eat to keep up your strength!\Guys, we gotta eat to keep up our strength!\Why are you repeating her?\Huh? response:	I still can't believe it.
context: Genes of Destiny\Please look after them.\Certainly!\Everyone, you gotta eat to keep up your strength!\Guys, we gotta eat to keep up our strength!\Why are you repeating her?\Huh?\I still can't believe it. response:	What?
context: Please look after them.\Certainly!\Everyone, you gotta eat to keep up your strength!\Guys, we gotta eat to keep up our strength!\Why are you repeating her?\Huh?\I still can't believe it.\What? response:	They were here with us, but now they're gone...
context: Certainly!\Everyone, you gotta eat to keep up your strength!\Guys, we gotta eat to keep up our strength!\Why are you repeating her?\Huh?\I still can't believe it.\What?\They were here with us, but now they're gone... response:	I know...
context: Everyone, you gotta eat to keep up your strength!\Guys, we gotta eat to keep up our strength!\Why are you repeating her?\Huh?\I still can't believe it.\What?\They were here with us, but now they're gone...\I know... response:	Hey!
context: Guys, we gotta eat to keep up our strength!\Why are you repeating her?\Huh?\I still can't believe it.\What?\They were here with us, but now they're gone...\I know...\Hey! response:	Uh, um, none of us really know what to say...
context: Why are you repeating her?\Huh?\I still can't believe it.\What?\They were here with us, but now they're gone...\I know...\Hey!\Uh, um, none of us really know what to say... response:	I'm the same way.
context: Huh?\I still can't believe it.\What?\They were here with us, but now they're gone...\I know...\Hey!\Uh, um, none of us really know what to say...\I'm the same way. response:	I'm still trying to cope with what happened.
context: I still can't believe it.\What?\They were here with us, but now they're gone...\I know...\Hey!\Uh, um, none of us really know what to say...\I'm the same way.\I'm still trying to cope with what happened. response:	But Randy and Patrick fulfilled their mission.
context: What?\They were here with us, but now they're gone...\I know...\Hey!\Uh, um, none of us really know what to say...\I'm the same way.\I'm still trying to cope with what happened.\But Randy and Patrick fulfilled their mission. response:	Here.
context: They were here with us, but now they're gone...\I know...\Hey!\Uh, um, none of us really know what to say...\I'm the same way.\I'm still trying to cope with what happened.\But Randy and Patrick fulfilled their mission.\Here. response:	It's from Patrick.
context: I know...\Hey!\Uh, um, none of us really know what to say...\I'm the same way.\I'm still trying to cope with what happened.\But Randy and Patrick fulfilled their mission.\Here.\It's from Patrick. response:	He was planning on giving this to you.
context: Hey!\Uh, um, none of us really know what to say...\I'm the same way.\I'm still trying to cope with what happened.\But Randy and Patrick fulfilled their mission.\Here.\It's from Patrick.\He was planning on giving this to you. response:	He said it's your favorite.
context: Uh, um, none of us really know what to say...\I'm the same way.\I'm still trying to cope with what happened.\But Randy and Patrick fulfilled their mission.\Here.\It's from Patrick.\He was planning on giving this to you.\He said it's your favorite. response:	PREMIUM PICKLED SQUID GUTS
context: I'm the same way.\I'm still trying to cope with what happened.\But Randy and Patrick fulfilled their mission.\Here.\It's from Patrick.\He was planning on giving this to you.\He said it's your favorite.\PREMIUM PICKLED SQUID GUTS response:	Tamaki, he knew how you love that stuff.
context: I'm still trying to cope with what happened.\But Randy and Patrick fulfilled their mission.\Here.\It's from Patrick.\He was planning on giving this to you.\He said it's your favorite.\PREMIUM PICKLED SQUID GUTS\Tamaki, he knew how you love that stuff. response:	I-I'm gonna have some!
context: But Randy and Patrick fulfilled their mission.\Here.\It's from Patrick.\He was planning on giving this to you.\He said it's your favorite.\PREMIUM PICKLED SQUID GUTS\Tamaki, he knew how you love that stuff.\I-I'm gonna have some! response:	Are you okay?
context: Here.\It's from Patrick.\He was planning on giving this to you.\He said it's your favorite.\PREMIUM PICKLED SQUID GUTS\Tamaki, he knew how you love that stuff.\I-I'm gonna have some!\Are you okay? response:	Here is some water!
context: It's from Patrick.\He was planning on giving this to you.\He said it's your favorite.\PREMIUM PICKLED SQUID GUTS\Tamaki, he knew how you love that stuff.\I-I'm gonna have some!\Are you okay?\Here is some water! response:	It's good...
context: He was planning on giving this to you.\He said it's your favorite.\PREMIUM PICKLED SQUID GUTS\Tamaki, he knew how you love that stuff.\I-I'm gonna have some!\Are you okay?\Here is some water!\It's good... response:	It's super good!
context: He said it's your favorite.\PREMIUM PICKLED SQUID GUTS\Tamaki, he knew how you love that stuff.\I-I'm gonna have some!\Are you okay?\Here is some water!\It's good...\It's super good! response:	Excuse me!
context: PREMIUM PICKLED SQUID GUTS\Tamaki, he knew how you love that stuff.\I-I'm gonna have some!\Are you okay?\Here is some water!\It's good...\It's super good!\Excuse me! response:	Here is the data.
context: Tamaki, he knew how you love that stuff.\I-I'm gonna have some!\Are you okay?\Here is some water!\It's good...\It's super good!\Excuse me!\Here is the data. response:	The gate is located in the Outer Solar System.
context: I-I'm gonna have some!\Are you okay?\Here is some water!\It's good...\It's super good!\Excuse me!\Here is the data.\The gate is located in the Outer Solar System. response:	The Wulgaru are using this gate to invade Earth.
context: Are you okay?\Here is some water!\It's good...\It's super good!\Excuse me!\Here is the data.\The gate is located in the Outer Solar System.\The Wulgaru are using this gate to invade Earth. response:	So if we seize this gate, the invasion will come to a halt?
context: Here is some water!\It's good...\It's super good!\Excuse me!\Here is the data.\The gate is located in the Outer Solar System.\The Wulgaru are using this gate to invade Earth.\So if we seize this gate, the invasion will come to a halt? response:	The remaining Wulgaru would be unable
