context: 2:00 Work response:	2:00 Work
context: 2:00 Work\2:00 Work response:	2:27 Guest
context: 2:00 Work\2:00 Work\2:27 Guest response:	2:27 Guest
context: 2:00 Work\2:00 Work\2:27 Guest\2:27 Guest response:	3:53, 6:02 Banabana Fair
context: 2:00 Work\2:00 Work\2:27 Guest\2:27 Guest\3:53, 6:02 Banabana Fair response:	3:53, 6:02 Banabana Fair
context: 2:00 Work\2:00 Work\2:27 Guest\2:27 Guest\3:53, 6:02 Banabana Fair\3:53, 6:02 Banabana Fair response:	Marika
context: 2:00 Work\2:00 Work\2:27 Guest\2:27 Guest\3:53, 6:02 Banabana Fair\3:53, 6:02 Banabana Fair\Marika response:	Marika
context: 2:00 Work\2:00 Work\2:27 Guest\2:27 Guest\3:53, 6:02 Banabana Fair\3:53, 6:02 Banabana Fair\Marika\Marika response:	4:23, 6:26 Manager
context: 2:00 Work\2:27 Guest\2:27 Guest\3:53, 6:02 Banabana Fair\3:53, 6:02 Banabana Fair\Marika\Marika\4:23, 6:26 Manager response:	4:23, 6:26 Manager
context: 2:27 Guest\2:27 Guest\3:53, 6:02 Banabana Fair\3:53, 6:02 Banabana Fair\Marika\Marika\4:23, 6:26 Manager\4:23, 6:26 Manager response:	Out of Business
context: 2:27 Guest\3:53, 6:02 Banabana Fair\3:53, 6:02 Banabana Fair\Marika\Marika\4:23, 6:26 Manager\4:23, 6:26 Manager\Out of Business response:	Out of Business
context: 3:53, 6:02 Banabana Fair\3:53, 6:02 Banabana Fair\Marika\Marika\4:23, 6:26 Manager\4:23, 6:26 Manager\Out of Business\Out of Business response:	14:23 Salary
context: 3:53, 6:02 Banabana Fair\Marika\Marika\4:23, 6:26 Manager\4:23, 6:26 Manager\Out of Business\Out of Business\14:23 Salary response:	14:23 Salary
context: Marika\Marika\4:23, 6:26 Manager\4:23, 6:26 Manager\Out of Business\Out of Business\14:23 Salary\14:23 Salary response:	Eyecatch
context: Marika\4:23, 6:26 Manager\4:23, 6:26 Manager\Out of Business\Out of Business\14:23 Salary\14:23 Salary\Eyecatch response:	Eyecatch
