context: I didn't have the energy to come up with excuses response:	like the bed was too small or that I forgot my wallet.
context: I didn't have the energy to come up with excuses\like the bed was too small or that I forgot my wallet. response:	When I was unbearably lonely,
context: I didn't have the energy to come up with excuses\like the bed was too small or that I forgot my wallet.\When I was unbearably lonely, response:	it wasn't Ren...
context: I didn't have the energy to come up with excuses\like the bed was too small or that I forgot my wallet.\When I was unbearably lonely,\it wasn't Ren... response:	who I wanted to have by my side.
context: I didn't have the energy to come up with excuses\like the bed was too small or that I forgot my wallet.\When I was unbearably lonely,\it wasn't Ren...\who I wanted to have by my side. response:	Blinking eyes call the wind
context: I didn't have the energy to come up with excuses\like the bed was too small or that I forgot my wallet.\When I was unbearably lonely,\it wasn't Ren...\who I wanted to have by my side.\Blinking eyes call the wind response:	A smile clears all the noise away
context: I didn't have the energy to come up with excuses\like the bed was too small or that I forgot my wallet.\When I was unbearably lonely,\it wasn't Ren...\who I wanted to have by my side.\Blinking eyes call the wind\A smile clears all the noise away response:	The angel in your eyes whispers
context: I didn't have the energy to come up with excuses\like the bed was too small or that I forgot my wallet.\When I was unbearably lonely,\it wasn't Ren...\who I wanted to have by my side.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers response:	Everything begins now
context: like the bed was too small or that I forgot my wallet.\When I was unbearably lonely,\it wasn't Ren...\who I wanted to have by my side.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now response:	Can you feel it now Can you feel it now
context: When I was unbearably lonely,\it wasn't Ren...\who I wanted to have by my side.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now response:	It's like being caught in a wave
context: it wasn't Ren...\who I wanted to have by my side.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave response:	Pulling on my heart Pulling on my heart
context: who I wanted to have by my side.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart response:	Breath held, arms reaching out
context: Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out response:	Baby this world is different from yesterday's
context: A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's response:	You're the only one I can see
context: The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see response:	Baby my wish on a wing
context: Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing response:	This sky is torn
context: Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn response:	By a single overflowing word
context: It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word response:	Wow!
context: Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word\Wow! response:	What a great vocalist!
