context: I've lived in this world for a long time. response:	I see. You're leaving.
context: I've lived in this world for a long time.\I see. You're leaving. response:	Be well.
context: I've lived in this world for a long time.\I see. You're leaving.\Be well. response:	Oh look, it's the failure.
context: I've lived in this world for a long time.\I see. You're leaving.\Be well.\Oh look, it's the failure. response:	Don't bother with him.
context: I've lived in this world for a long time.\I see. You're leaving.\Be well.\Oh look, it's the failure.\Don't bother with him. response:	This is my daughter, Angelica.
context: I've lived in this world for a long time.\I see. You're leaving.\Be well.\Oh look, it's the failure.\Don't bother with him.\This is my daughter, Angelica. response:	Hello.
context: I've lived in this world for a long time.\I see. You're leaving.\Be well.\Oh look, it's the failure.\Don't bother with him.\This is my daughter, Angelica.\Hello. response:	Poor half-assed monster.
context: I've lived in this world for a long time.\I see. You're leaving.\Be well.\Oh look, it's the failure.\Don't bother with him.\This is my daughter, Angelica.\Hello.\Poor half-assed monster. response:	Nice to meet you, though we may not know each other for long.
context: I see. You're leaving.\Be well.\Oh look, it's the failure.\Don't bother with him.\This is my daughter, Angelica.\Hello.\Poor half-assed monster.\Nice to meet you, though we may not know each other for long. response:	The only one who would look just at me
context: Be well.\Oh look, it's the failure.\Don't bother with him.\This is my daughter, Angelica.\Hello.\Poor half-assed monster.\Nice to meet you, though we may not know each other for long.\The only one who would look just at me response:	was you.
context: Oh look, it's the failure.\Don't bother with him.\This is my daughter, Angelica.\Hello.\Poor half-assed monster.\Nice to meet you, though we may not know each other for long.\The only one who would look just at me\was you. response:	Have you heard? A dragon went on a rampage.
context: Don't bother with him.\This is my daughter, Angelica.\Hello.\Poor half-assed monster.\Nice to meet you, though we may not know each other for long.\The only one who would look just at me\was you.\Have you heard? A dragon went on a rampage. response:	Where? London?
context: This is my daughter, Angelica.\Hello.\Poor half-assed monster.\Nice to meet you, though we may not know each other for long.\The only one who would look just at me\was you.\Have you heard? A dragon went on a rampage.\Where? London? response:	I heard a human child tamed it.
context: Hello.\Poor half-assed monster.\Nice to meet you, though we may not know each other for long.\The only one who would look just at me\was you.\Have you heard? A dragon went on a rampage.\Where? London?\I heard a human child tamed it. response:	Not bad.
