context: Spring, response:	this is the season when flowers color the Jungfrau.
context: Spring,\this is the season when flowers color the Jungfrau. response:	Today's Universal Naturing TV is brought to you from Switzerland's Jungfrau mountain region.
context: Spring,\this is the season when flowers color the Jungfrau.\Today's Universal Naturing TV is brought to you from Switzerland's Jungfrau mountain region. response:	Two symbols denote the approaching springtime for the Swiss.
context: Spring,\this is the season when flowers color the Jungfrau.\Today's Universal Naturing TV is brought to you from Switzerland's Jungfrau mountain region.\Two symbols denote the approaching springtime for the Swiss. response:	One of them is the annual Sechselauten festival that takes place in the city of Zurich.
context: Spring,\this is the season when flowers color the Jungfrau.\Today's Universal Naturing TV is brought to you from Switzerland's Jungfrau mountain region.\Two symbols denote the approaching springtime for the Swiss.\One of them is the annual Sechselauten festival that takes place in the city of Zurich. response:	The other one is these blue flowers which bloom all at once here in the Jungfrau mountain region.
context: Spring,\this is the season when flowers color the Jungfrau.\Today's Universal Naturing TV is brought to you from Switzerland's Jungfrau mountain region.\Two symbols denote the approaching springtime for the Swiss.\One of them is the annual Sechselauten festival that takes place in the city of Zurich.\The other one is these blue flowers which bloom all at once here in the Jungfrau mountain region. response:	Incidentally, Jungfrau means young lady or virgin in German.
context: Spring,\this is the season when flowers color the Jungfrau.\Today's Universal Naturing TV is brought to you from Switzerland's Jungfrau mountain region.\Two symbols denote the approaching springtime for the Swiss.\One of them is the annual Sechselauten festival that takes place in the city of Zurich.\The other one is these blue flowers which bloom all at once here in the Jungfrau mountain region.\Incidentally, Jungfrau means young lady or virgin in German. response:	I suspect there are many of you who already knew that,
context: Spring,\this is the season when flowers color the Jungfrau.\Today's Universal Naturing TV is brought to you from Switzerland's Jungfrau mountain region.\Two symbols denote the approaching springtime for the Swiss.\One of them is the annual Sechselauten festival that takes place in the city of Zurich.\The other one is these blue flowers which bloom all at once here in the Jungfrau mountain region.\Incidentally, Jungfrau means young lady or virgin in German.\I suspect there are many of you who already knew that, response:	but are you familiar with the Kriegsjungfrauen, the fighting young ladies who live here?
context: this is the season when flowers color the Jungfrau.\Today's Universal Naturing TV is brought to you from Switzerland's Jungfrau mountain region.\Two symbols denote the approaching springtime for the Swiss.\One of them is the annual Sechselauten festival that takes place in the city of Zurich.\The other one is these blue flowers which bloom all at once here in the Jungfrau mountain region.\Incidentally, Jungfrau means young lady or virgin in German.\I suspect there are many of you who already knew that,\but are you familiar with the Kriegsjungfrauen, the fighting young ladies who live here? response:	That's great!
context: Today's Universal Naturing TV is brought to you from Switzerland's Jungfrau mountain region.\Two symbols denote the approaching springtime for the Swiss.\One of them is the annual Sechselauten festival that takes place in the city of Zurich.\The other one is these blue flowers which bloom all at once here in the Jungfrau mountain region.\Incidentally, Jungfrau means young lady or virgin in German.\I suspect there are many of you who already knew that,\but are you familiar with the Kriegsjungfrauen, the fighting young ladies who live here?\That's great! response:	That's it, smile just like that.
context: Two symbols denote the approaching springtime for the Swiss.\One of them is the annual Sechselauten festival that takes place in the city of Zurich.\The other one is these blue flowers which bloom all at once here in the Jungfrau mountain region.\Incidentally, Jungfrau means young lady or virgin in German.\I suspect there are many of you who already knew that,\but are you familiar with the Kriegsjungfrauen, the fighting young ladies who live here?\That's great!\That's it, smile just like that. response:	Mm, you're the best!
