context: Hm... response:	Deadly Queen... is what I've named it.
context: Hm...\Deadly Queen... is what I've named it. response:	I'm going to eliminate you now,
context: Hm...\Deadly Queen... is what I've named it.\I'm going to eliminate you now, response:	so I can sleep soundly again tonight.
context: Hm...\Deadly Queen... is what I've named it.\I'm going to eliminate you now,\so I can sleep soundly again tonight. response:	I warned you not to move!
context: Hm...\Deadly Queen... is what I've named it.\I'm going to eliminate you now,\so I can sleep soundly again tonight.\I warned you not to move! response:	Don't underestimate Harvest!
context: Hm...\Deadly Queen... is what I've named it.\I'm going to eliminate you now,\so I can sleep soundly again tonight.\I warned you not to move!\Don't underestimate Harvest! response:	There are this many?
context: Hm...\Deadly Queen... is what I've named it.\I'm going to eliminate you now,\so I can sleep soundly again tonight.\I warned you not to move!\Don't underestimate Harvest!\There are this many? response:	Not only that, but crushing three or four did no damage, either.
context: Hm...\Deadly Queen... is what I've named it.\I'm going to eliminate you now,\so I can sleep soundly again tonight.\I warned you not to move!\Don't underestimate Harvest!\There are this many?\Not only that, but crushing three or four did no damage, either. response:	If you move any more,
context: Deadly Queen... is what I've named it.\I'm going to eliminate you now,\so I can sleep soundly again tonight.\I warned you not to move!\Don't underestimate Harvest!\There are this many?\Not only that, but crushing three or four did no damage, either.\If you move any more, response:	I'll cut that something-or-other artery in your neck!
context: I'm going to eliminate you now,\so I can sleep soundly again tonight.\I warned you not to move!\Don't underestimate Harvest!\There are this many?\Not only that, but crushing three or four did no damage, either.\If you move any more,\I'll cut that something-or-other artery in your neck! response:	Oh, yeah! It's the one called the carotid!
context: so I can sleep soundly again tonight.\I warned you not to move!\Don't underestimate Harvest!\There are this many?\Not only that, but crushing three or four did no damage, either.\If you move any more,\I'll cut that something-or-other artery in your neck!\Oh, yeah! It's the one called the carotid! response:	I'm gonna cut it! My Harvest is invincible!
context: I warned you not to move!\Don't underestimate Harvest!\There are this many?\Not only that, but crushing three or four did no damage, either.\If you move any more,\I'll cut that something-or-other artery in your neck!\Oh, yeah! It's the one called the carotid!\I'm gonna cut it! My Harvest is invincible! response:	And it looks like your Stand
context: Don't underestimate Harvest!\There are this many?\Not only that, but crushing three or four did no damage, either.\If you move any more,\I'll cut that something-or-other artery in your neck!\Oh, yeah! It's the one called the carotid!\I'm gonna cut it! My Harvest is invincible!\And it looks like your Stand response:	is the type that has power, but can't go very far.
context: There are this many?\Not only that, but crushing three or four did no damage, either.\If you move any more,\I'll cut that something-or-other artery in your neck!\Oh, yeah! It's the one called the carotid!\I'm gonna cut it! My Harvest is invincible!\And it looks like your Stand\is the type that has power, but can't go very far. response:	Looks like its range is about one to two meters, right?
context: Not only that, but crushing three or four did no damage, either.\If you move any more,\I'll cut that something-or-other artery in your neck!\Oh, yeah! It's the one called the carotid!\I'm gonna cut it! My Harvest is invincible!\And it looks like your Stand\is the type that has power, but can't go very far.\Looks like its range is about one to two meters, right? response:	If you want to die, go ahead and try to move.
context: If you move any more,\I'll cut that something-or-other artery in your neck!\Oh, yeah! It's the one called the carotid!\I'm gonna cut it! My Harvest is invincible!\And it looks like your Stand\is the type that has power, but can't go very far.\Looks like its range is about one to two meters, right?\If you want to die, go ahead and try to move. response:	I see... So individual users have their own unique powers?
context: I'll cut that something-or-other artery in your neck!\Oh, yeah! It's the one called the carotid!\I'm gonna cut it! My Harvest is invincible!\And it looks like your Stand\is the type that has power, but can't go very far.\Looks like its range is about one to two meters, right?\If you want to die, go ahead and try to move.\I see... So individual users have their own unique powers? response:	Stand? Hmm... Stand, eh?
context: Oh, yeah! It's the one called the carotid!\I'm gonna cut it! My Harvest is invincible!\And it looks like your Stand\is the type that has power, but can't go very far.\Looks like its range is about one to two meters, right?\If you want to die, go ahead and try to move.\I see... So individual users have their own unique powers?\Stand? Hmm... Stand, eh? response:	By the way, my Deadly Queen also has a special power...
context: I'm gonna cut it! My Harvest is invincible!\And it looks like your Stand\is the type that has power, but can't go very far.\Looks like its range is about one to two meters, right?\If you want to die, go ahead and try to move.\I see... So individual users have their own unique powers?\Stand? Hmm... Stand, eh?\By the way, my Deadly Queen also has a special power... response:	He has something... Grab it!
