context: People do not live for the sake of clothing! response:	Satsuki Kiryuin is rising up to overthrow Life Fibers!
context: People do not live for the sake of clothing!\Satsuki Kiryuin is rising up to overthrow Life Fibers! response:	Honnouji Academy is the fortress I created in order to defeat you!
context: People do not live for the sake of clothing!\Satsuki Kiryuin is rising up to overthrow Life Fibers!\Honnouji Academy is the fortress I created in order to defeat you! response:	Remember that, Ragyo Kiryuin!
context: People do not live for the sake of clothing!\Satsuki Kiryuin is rising up to overthrow Life Fibers!\Honnouji Academy is the fortress I created in order to defeat you!\Remember that, Ragyo Kiryuin! response:	I pretended to obey you as I waited for this day to come!
context: People do not live for the sake of clothing!\Satsuki Kiryuin is rising up to overthrow Life Fibers!\Honnouji Academy is the fortress I created in order to defeat you!\Remember that, Ragyo Kiryuin!\I pretended to obey you as I waited for this day to come! response:	Fear is freedom! Subjugation is liberation!
context: People do not live for the sake of clothing!\Satsuki Kiryuin is rising up to overthrow Life Fibers!\Honnouji Academy is the fortress I created in order to defeat you!\Remember that, Ragyo Kiryuin!\I pretended to obey you as I waited for this day to come!\Fear is freedom! Subjugation is liberation! response:	Contradiction is truth! These are the truths of this world!
context: People do not live for the sake of clothing!\Satsuki Kiryuin is rising up to overthrow Life Fibers!\Honnouji Academy is the fortress I created in order to defeat you!\Remember that, Ragyo Kiryuin!\I pretended to obey you as I waited for this day to come!\Fear is freedom! Subjugation is liberation!\Contradiction is truth! These are the truths of this world! response:	Surrender to those truths, you pigs who fawn over clothing!
context: People do not live for the sake of clothing!\Satsuki Kiryuin is rising up to overthrow Life Fibers!\Honnouji Academy is the fortress I created in order to defeat you!\Remember that, Ragyo Kiryuin!\I pretended to obey you as I waited for this day to come!\Fear is freedom! Subjugation is liberation!\Contradiction is truth! These are the truths of this world!\Surrender to those truths, you pigs who fawn over clothing! response:	What foolishness!
context: Satsuki Kiryuin is rising up to overthrow Life Fibers!\Honnouji Academy is the fortress I created in order to defeat you!\Remember that, Ragyo Kiryuin!\I pretended to obey you as I waited for this day to come!\Fear is freedom! Subjugation is liberation!\Contradiction is truth! These are the truths of this world!\Surrender to those truths, you pigs who fawn over clothing!\What foolishness! response:	Learn your place!
context: Honnouji Academy is the fortress I created in order to defeat you!\Remember that, Ragyo Kiryuin!\I pretended to obey you as I waited for this day to come!\Fear is freedom! Subjugation is liberation!\Contradiction is truth! These are the truths of this world!\Surrender to those truths, you pigs who fawn over clothing!\What foolishness!\Learn your place! response:	Over my dead body!
context: Remember that, Ragyo Kiryuin!\I pretended to obey you as I waited for this day to come!\Fear is freedom! Subjugation is liberation!\Contradiction is truth! These are the truths of this world!\Surrender to those truths, you pigs who fawn over clothing!\What foolishness!\Learn your place!\Over my dead body! response:	Shackle Regalia MKII!
context: I pretended to obey you as I waited for this day to come!\Fear is freedom! Subjugation is liberation!\Contradiction is truth! These are the truths of this world!\Surrender to those truths, you pigs who fawn over clothing!\What foolishness!\Learn your place!\Over my dead body!\Shackle Regalia MKII! response:	THREE-STAR GOKU UNIFORM SHACKLE REGALIA MKII
context: Fear is freedom! Subjugation is liberation!\Contradiction is truth! These are the truths of this world!\Surrender to those truths, you pigs who fawn over clothing!\What foolishness!\Learn your place!\Over my dead body!\Shackle Regalia MKII!\THREE-STAR GOKU UNIFORM SHACKLE REGALIA MKII response:	Inumuta. Release everyone.
context: Contradiction is truth! These are the truths of this world!\Surrender to those truths, you pigs who fawn over clothing!\What foolishness!\Learn your place!\Over my dead body!\Shackle Regalia MKII!\THREE-STAR GOKU UNIFORM SHACKLE REGALIA MKII\Inumuta. Release everyone. response:	Understood.
context: Surrender to those truths, you pigs who fawn over clothing!\What foolishness!\Learn your place!\Over my dead body!\Shackle Regalia MKII!\THREE-STAR GOKU UNIFORM SHACKLE REGALIA MKII\Inumuta. Release everyone.\Understood. response:	What in the world happened?
context: What foolishness!\Learn your place!\Over my dead body!\Shackle Regalia MKII!\THREE-STAR GOKU UNIFORM SHACKLE REGALIA MKII\Inumuta. Release everyone.\Understood.\What in the world happened? response:	Man, what a relief! Dad! Mom! Guts!
context: Learn your place!\Over my dead body!\Shackle Regalia MKII!\THREE-STAR GOKU UNIFORM SHACKLE REGALIA MKII\Inumuta. Release everyone.\Understood.\What in the world happened?\Man, what a relief! Dad! Mom! Guts! response:	How did you
context: Over my dead body!\Shackle Regalia MKII!\THREE-STAR GOKU UNIFORM SHACKLE REGALIA MKII\Inumuta. Release everyone.\Understood.\What in the world happened?\Man, what a relief! Dad! Mom! Guts!\How did you response:	Jamming rounds that inhibit Life Fiber activity.
context: Shackle Regalia MKII!\THREE-STAR GOKU UNIFORM SHACKLE REGALIA MKII\Inumuta. Release everyone.\Understood.\What in the world happened?\Man, what a relief! Dad! Mom! Guts!\How did you\Jamming rounds that inhibit Life Fiber activity. response:	I made improvements to Nudist Beach's weaponry.
context: THREE-STAR GOKU UNIFORM SHACKLE REGALIA MKII\Inumuta. Release everyone.\Understood.\What in the world happened?\Man, what a relief! Dad! Mom! Guts!\How did you\Jamming rounds that inhibit Life Fiber activity.\I made improvements to Nudist Beach's weaponry. response:	You high school student scum...
context: Inumuta. Release everyone.\Understood.\What in the world happened?\Man, what a relief! Dad! Mom! Guts!\How did you\Jamming rounds that inhibit Life Fiber activity.\I made improvements to Nudist Beach's weaponry.\You high school student scum... response:	You'd do well to not underestimate them.
context: Understood.\What in the world happened?\Man, what a relief! Dad! Mom! Guts!\How did you\Jamming rounds that inhibit Life Fiber activity.\I made improvements to Nudist Beach's weaponry.\You high school student scum...\You'd do well to not underestimate them. response:	Every last student here has been trained as a warrior to fight you
context: What in the world happened?\Man, what a relief! Dad! Mom! Guts!\How did you\Jamming rounds that inhibit Life Fiber activity.\I made improvements to Nudist Beach's weaponry.\You high school student scum...\You'd do well to not underestimate them.\Every last student here has been trained as a warrior to fight you response:	no, to fight Life Fibers!
context: Man, what a relief! Dad! Mom! Guts!\How did you\Jamming rounds that inhibit Life Fiber activity.\I made improvements to Nudist Beach's weaponry.\You high school student scum...\You'd do well to not underestimate them.\Every last student here has been trained as a warrior to fight you\no, to fight Life Fibers! response:	Behold the power of Honnouji Academy!
context: How did you\Jamming rounds that inhibit Life Fiber activity.\I made improvements to Nudist Beach's weaponry.\You high school student scum...\You'd do well to not underestimate them.\Every last student here has been trained as a warrior to fight you\no, to fight Life Fibers!\Behold the power of Honnouji Academy! response:	Oh, so this was her plan...
context: Jamming rounds that inhibit Life Fiber activity.\I made improvements to Nudist Beach's weaponry.\You high school student scum...\You'd do well to not underestimate them.\Every last student here has been trained as a warrior to fight you\no, to fight Life Fibers!\Behold the power of Honnouji Academy!\Oh, so this was her plan... response:	I'm impressed, Satsuki! Good one!
context: I made improvements to Nudist Beach's weaponry.\You high school student scum...\You'd do well to not underestimate them.\Every last student here has been trained as a warrior to fight you\no, to fight Life Fibers!\Behold the power of Honnouji Academy!\Oh, so this was her plan...\I'm impressed, Satsuki! Good one! response:	I'm the one you're to face.
