context: Want to commit double suicide with me? response:	Just kidding... I just thought I'd say it.
context: Want to commit double suicide with me?\Just kidding... I just thought I'd say it. response:	You see, I...
context: Want to commit double suicide with me?\Just kidding... I just thought I'd say it.\You see, I... response:	Are you going to forget?
context: Want to commit double suicide with me?\Just kidding... I just thought I'd say it.\You see, I...\Are you going to forget? response:	Kousei, do you feel sick or something?
context: Want to commit double suicide with me?\Just kidding... I just thought I'd say it.\You see, I...\Are you going to forget?\Kousei, do you feel sick or something? response:	I'm okay.
context: Want to commit double suicide with me?\Just kidding... I just thought I'd say it.\You see, I...\Are you going to forget?\Kousei, do you feel sick or something?\I'm okay. response:	I'm asking because you don't look okay.
context: Want to commit double suicide with me?\Just kidding... I just thought I'd say it.\You see, I...\Are you going to forget?\Kousei, do you feel sick or something?\I'm okay.\I'm asking because you don't look okay. response:	Why don't we go visit Kao-chan?
context: Want to commit double suicide with me?\Just kidding... I just thought I'd say it.\You see, I...\Are you going to forget?\Kousei, do you feel sick or something?\I'm okay.\I'm asking because you don't look okay.\Why don't we go visit Kao-chan? response:	We haven't been able to go together lately.
context: Just kidding... I just thought I'd say it.\You see, I...\Are you going to forget?\Kousei, do you feel sick or something?\I'm okay.\I'm asking because you don't look okay.\Why don't we go visit Kao-chan?\We haven't been able to go together lately. response:	It's been a while, let's go!
context: You see, I...\Are you going to forget?\Kousei, do you feel sick or something?\I'm okay.\I'm asking because you don't look okay.\Why don't we go visit Kao-chan?\We haven't been able to go together lately.\It's been a while, let's go! response:	Hey, good idea.
context: Are you going to forget?\Kousei, do you feel sick or something?\I'm okay.\I'm asking because you don't look okay.\Why don't we go visit Kao-chan?\We haven't been able to go together lately.\It's been a while, let's go!\Hey, good idea. response:	I'm not going.
context: Kousei, do you feel sick or something?\I'm okay.\I'm asking because you don't look okay.\Why don't we go visit Kao-chan?\We haven't been able to go together lately.\It's been a while, let's go!\Hey, good idea.\I'm not going. response:	Did he have a fight with Kao-chan, maybe?
context: I'm okay.\I'm asking because you don't look okay.\Why don't we go visit Kao-chan?\We haven't been able to go together lately.\It's been a while, let's go!\Hey, good idea.\I'm not going.\Did he have a fight with Kao-chan, maybe? response:	You okay with that? Saying such a thing...
context: I'm asking because you don't look okay.\Why don't we go visit Kao-chan?\We haven't been able to go together lately.\It's been a while, let's go!\Hey, good idea.\I'm not going.\Did he have a fight with Kao-chan, maybe?\You okay with that? Saying such a thing... response:	What thing?
context: Why don't we go visit Kao-chan?\We haven't been able to go together lately.\It's been a while, let's go!\Hey, good idea.\I'm not going.\Did he have a fight with Kao-chan, maybe?\You okay with that? Saying such a thing...\What thing? response:	Like rubbing salt into your enemy's wounds.
context: We haven't been able to go together lately.\It's been a while, let's go!\Hey, good idea.\I'm not going.\Did he have a fight with Kao-chan, maybe?\You okay with that? Saying such a thing...\What thing?\Like rubbing salt into your enemy's wounds. response:	Enemy?
context: It's been a while, let's go!\Hey, good idea.\I'm not going.\Did he have a fight with Kao-chan, maybe?\You okay with that? Saying such a thing...\What thing?\Like rubbing salt into your enemy's wounds.\Enemy? response:	If he's having issues over music, then I don't know how to help him.
context: Hey, good idea.\I'm not going.\Did he have a fight with Kao-chan, maybe?\You okay with that? Saying such a thing...\What thing?\Like rubbing salt into your enemy's wounds.\Enemy?\If he's having issues over music, then I don't know how to help him. response:	I just think that Kousei will cheer up if he sees Kao-chan, so...
context: I'm not going.\Did he have a fight with Kao-chan, maybe?\You okay with that? Saying such a thing...\What thing?\Like rubbing salt into your enemy's wounds.\Enemy?\If he's having issues over music, then I don't know how to help him.\I just think that Kousei will cheer up if he sees Kao-chan, so... response:	Well, I don't think it'll kill you to dial it up a little.
context: Did he have a fight with Kao-chan, maybe?\You okay with that? Saying such a thing...\What thing?\Like rubbing salt into your enemy's wounds.\Enemy?\If he's having issues over music, then I don't know how to help him.\I just think that Kousei will cheer up if he sees Kao-chan, so...\Well, I don't think it'll kill you to dial it up a little. response:	For whose sake are you studying against your will?
context: You okay with that? Saying such a thing...\What thing?\Like rubbing salt into your enemy's wounds.\Enemy?\If he's having issues over music, then I don't know how to help him.\I just think that Kousei will cheer up if he sees Kao-chan, so...\Well, I don't think it'll kill you to dial it up a little.\For whose sake are you studying against your will? response:	For whose sake did you choose a higher-ranked high school?
context: What thing?\Like rubbing salt into your enemy's wounds.\Enemy?\If he's having issues over music, then I don't know how to help him.\I just think that Kousei will cheer up if he sees Kao-chan, so...\Well, I don't think it'll kill you to dial it up a little.\For whose sake are you studying against your will?\For whose sake did you choose a higher-ranked high school? response:	Choosing a high school near Okutsu Music College Affiliated High...
context: Like rubbing salt into your enemy's wounds.\Enemy?\If he's having issues over music, then I don't know how to help him.\I just think that Kousei will cheer up if he sees Kao-chan, so...\Well, I don't think it'll kill you to dial it up a little.\For whose sake are you studying against your will?\For whose sake did you choose a higher-ranked high school?\Choosing a high school near Okutsu Music College Affiliated High... response:	Who'd you do that for?
context: Enemy?\If he's having issues over music, then I don't know how to help him.\I just think that Kousei will cheer up if he sees Kao-chan, so...\Well, I don't think it'll kill you to dial it up a little.\For whose sake are you studying against your will?\For whose sake did you choose a higher-ranked high school?\Choosing a high school near Okutsu Music College Affiliated High...\Who'd you do that for? response:	Oh! W-Well, you know! Kousei's totally helpless on his own, so...
context: If he's having issues over music, then I don't know how to help him.\I just think that Kousei will cheer up if he sees Kao-chan, so...\Well, I don't think it'll kill you to dial it up a little.\For whose sake are you studying against your will?\For whose sake did you choose a higher-ranked high school?\Choosing a high school near Okutsu Music College Affiliated High...\Who'd you do that for?\Oh! W-Well, you know! Kousei's totally helpless on his own, so... response:	If only you'd be that honest and tell him that yourself.
