context: Move it! response:	We've waited and waited, but she hasn't come back.
context: Move it!\We've waited and waited, but she hasn't come back. response:	Fine, let her have it her way.
context: Move it!\We've waited and waited, but she hasn't come back.\Fine, let her have it her way. response:	All right, you bums! We're heading home!
context: Move it!\We've waited and waited, but she hasn't come back.\Fine, let her have it her way.\All right, you bums! We're heading home! response:	Back to Luna!
context: Move it!\We've waited and waited, but she hasn't come back.\Fine, let her have it her way.\All right, you bums! We're heading home!\Back to Luna! response:	All I could do was stand there and stare.
context: Move it!\We've waited and waited, but she hasn't come back.\Fine, let her have it her way.\All right, you bums! We're heading home!\Back to Luna!\All I could do was stand there and stare. response:	At the now masterless number 30, Champs Elysees.
context: Move it!\We've waited and waited, but she hasn't come back.\Fine, let her have it her way.\All right, you bums! We're heading home!\Back to Luna!\All I could do was stand there and stare.\At the now masterless number 30, Champs Elysees. response:	At the city blocks that had crumbled away like sandcastles built on the beach.
context: Move it!\We've waited and waited, but she hasn't come back.\Fine, let her have it her way.\All right, you bums! We're heading home!\Back to Luna!\All I could do was stand there and stare.\At the now masterless number 30, Champs Elysees.\At the city blocks that had crumbled away like sandcastles built on the beach. response:	At the silent blue sky that spread out above me.
context: We've waited and waited, but she hasn't come back.\Fine, let her have it her way.\All right, you bums! We're heading home!\Back to Luna!\All I could do was stand there and stare.\At the now masterless number 30, Champs Elysees.\At the city blocks that had crumbled away like sandcastles built on the beach.\At the silent blue sky that spread out above me. response:	That's right. The summer storm had come and gone.
context: Fine, let her have it her way.\All right, you bums! We're heading home!\Back to Luna!\All I could do was stand there and stare.\At the now masterless number 30, Champs Elysees.\At the city blocks that had crumbled away like sandcastles built on the beach.\At the silent blue sky that spread out above me.\That's right. The summer storm had come and gone. response:	Along with the end of our summer.
context: All right, you bums! We're heading home!\Back to Luna!\All I could do was stand there and stare.\At the now masterless number 30, Champs Elysees.\At the city blocks that had crumbled away like sandcastles built on the beach.\At the silent blue sky that spread out above me.\That's right. The summer storm had come and gone.\Along with the end of our summer. response:	Final Act: At the Shore
context: Back to Luna!\All I could do was stand there and stare.\At the now masterless number 30, Champs Elysees.\At the city blocks that had crumbled away like sandcastles built on the beach.\At the silent blue sky that spread out above me.\That's right. The summer storm had come and gone.\Along with the end of our summer.\Final Act: At the Shore response:	Five Years Later
context: All I could do was stand there and stare.\At the now masterless number 30, Champs Elysees.\At the city blocks that had crumbled away like sandcastles built on the beach.\At the silent blue sky that spread out above me.\That's right. The summer storm had come and gone.\Along with the end of our summer.\Final Act: At the Shore\Five Years Later response:	Well, well, if it isn't the good Chief Secretary.
context: At the now masterless number 30, Champs Elysees.\At the city blocks that had crumbled away like sandcastles built on the beach.\At the silent blue sky that spread out above me.\That's right. The summer storm had come and gone.\Along with the end of our summer.\Final Act: At the Shore\Five Years Later\Well, well, if it isn't the good Chief Secretary. response:	So, the Assistant Editor-in-Chief came in person, huh?
context: At the city blocks that had crumbled away like sandcastles built on the beach.\At the silent blue sky that spread out above me.\That's right. The summer storm had come and gone.\Along with the end of our summer.\Final Act: At the Shore\Five Years Later\Well, well, if it isn't the good Chief Secretary.\So, the Assistant Editor-in-Chief came in person, huh? response:	What a hard worker you are!
context: At the silent blue sky that spread out above me.\That's right. The summer storm had come and gone.\Along with the end of our summer.\Final Act: At the Shore\Five Years Later\Well, well, if it isn't the good Chief Secretary.\So, the Assistant Editor-in-Chief came in person, huh?\What a hard worker you are! response:	I was just worried about whether or not you're carrying out your duties properly.
context: That's right. The summer storm had come and gone.\Along with the end of our summer.\Final Act: At the Shore\Five Years Later\Well, well, if it isn't the good Chief Secretary.\So, the Assistant Editor-in-Chief came in person, huh?\What a hard worker you are!\I was just worried about whether or not you're carrying out your duties properly. response:	So, how's the peace treaty coming along?
context: Along with the end of our summer.\Final Act: At the Shore\Five Years Later\Well, well, if it isn't the good Chief Secretary.\So, the Assistant Editor-in-Chief came in person, huh?\What a hard worker you are!\I was just worried about whether or not you're carrying out your duties properly.\So, how's the peace treaty coming along? response:	Treaty Nearing Finalization At Long Last.
context: Final Act: At the Shore\Five Years Later\Well, well, if it isn't the good Chief Secretary.\So, the Assistant Editor-in-Chief came in person, huh?\What a hard worker you are!\I was just worried about whether or not you're carrying out your duties properly.\So, how's the peace treaty coming along?\Treaty Nearing Finalization At Long Last. response:	Something along those lines.
context: Five Years Later\Well, well, if it isn't the good Chief Secretary.\So, the Assistant Editor-in-Chief came in person, huh?\What a hard worker you are!\I was just worried about whether or not you're carrying out your duties properly.\So, how's the peace treaty coming along?\Treaty Nearing Finalization At Long Last.\Something along those lines. response:	Thanks to this treaty, the restoration of diplomatic relations between our Kingdom...
context: Well, well, if it isn't the good Chief Secretary.\So, the Assistant Editor-in-Chief came in person, huh?\What a hard worker you are!\I was just worried about whether or not you're carrying out your duties properly.\So, how's the peace treaty coming along?\Treaty Nearing Finalization At Long Last.\Something along those lines.\Thanks to this treaty, the restoration of diplomatic relations between our Kingdom... response:	So, this marathon of a war is finally gonna end, huh?
context: So, the Assistant Editor-in-Chief came in person, huh?\What a hard worker you are!\I was just worried about whether or not you're carrying out your duties properly.\So, how's the peace treaty coming along?\Treaty Nearing Finalization At Long Last.\Something along those lines.\Thanks to this treaty, the restoration of diplomatic relations between our Kingdom...\So, this marathon of a war is finally gonna end, huh? response:	Civilian interaction will become commonplace,
context: What a hard worker you are!\I was just worried about whether or not you're carrying out your duties properly.\So, how's the peace treaty coming along?\Treaty Nearing Finalization At Long Last.\Something along those lines.\Thanks to this treaty, the restoration of diplomatic relations between our Kingdom...\So, this marathon of a war is finally gonna end, huh?\Civilian interaction will become commonplace, response:	We'll see the birth of a nation that's prosperous in the truest sense of the word.
context: I was just worried about whether or not you're carrying out your duties properly.\So, how's the peace treaty coming along?\Treaty Nearing Finalization At Long Last.\Something along those lines.\Thanks to this treaty, the restoration of diplomatic relations between our Kingdom...\So, this marathon of a war is finally gonna end, huh?\Civilian interaction will become commonplace,\We'll see the birth of a nation that's prosperous in the truest sense of the word. response:	Not a nation where only a select few prosper.
context: So, how's the peace treaty coming along?\Treaty Nearing Finalization At Long Last.\Something along those lines.\Thanks to this treaty, the restoration of diplomatic relations between our Kingdom...\So, this marathon of a war is finally gonna end, huh?\Civilian interaction will become commonplace,\We'll see the birth of a nation that's prosperous in the truest sense of the word.\Not a nation where only a select few prosper. response:	You know?
context: Treaty Nearing Finalization At Long Last.\Something along those lines.\Thanks to this treaty, the restoration of diplomatic relations between our Kingdom...\So, this marathon of a war is finally gonna end, huh?\Civilian interaction will become commonplace,\We'll see the birth of a nation that's prosperous in the truest sense of the word.\Not a nation where only a select few prosper.\You know? response:	There's no telling when the times will change.
context: Something along those lines.\Thanks to this treaty, the restoration of diplomatic relations between our Kingdom...\So, this marathon of a war is finally gonna end, huh?\Civilian interaction will become commonplace,\We'll see the birth of a nation that's prosperous in the truest sense of the word.\Not a nation where only a select few prosper.\You know?\There's no telling when the times will change. response:	Even so, I want to believe in them.
context: Thanks to this treaty, the restoration of diplomatic relations between our Kingdom...\So, this marathon of a war is finally gonna end, huh?\Civilian interaction will become commonplace,\We'll see the birth of a nation that's prosperous in the truest sense of the word.\Not a nation where only a select few prosper.\You know?\There's no telling when the times will change.\Even so, I want to believe in them. response:	I want to believe in the people who chose THIS solution at THIS time.
context: So, this marathon of a war is finally gonna end, huh?\Civilian interaction will become commonplace,\We'll see the birth of a nation that's prosperous in the truest sense of the word.\Not a nation where only a select few prosper.\You know?\There's no telling when the times will change.\Even so, I want to believe in them.\I want to believe in the people who chose THIS solution at THIS time. response:	And that includes you.
context: Civilian interaction will become commonplace,\We'll see the birth of a nation that's prosperous in the truest sense of the word.\Not a nation where only a select few prosper.\You know?\There's no telling when the times will change.\Even so, I want to believe in them.\I want to believe in the people who chose THIS solution at THIS time.\And that includes you. response:	Me, I just go with the flow with those times.
context: We'll see the birth of a nation that's prosperous in the truest sense of the word.\Not a nation where only a select few prosper.\You know?\There's no telling when the times will change.\Even so, I want to believe in them.\I want to believe in the people who chose THIS solution at THIS time.\And that includes you.\Me, I just go with the flow with those times. response:	Well, let's leave the question of the truth of that statement for another time, okay?
