context: Sorry to call you here out of the blue. response:	It's okay...
context: Sorry to call you here out of the blue.\It's okay... response:	So, did you want something?
context: Sorry to call you here out of the blue.\It's okay...\So, did you want something? response:	The truth is, Onii-san...
context: Sorry to call you here out of the blue.\It's okay...\So, did you want something?\The truth is, Onii-san... response:	I need your help.
context: Sorry to call you here out of the blue.\It's okay...\So, did you want something?\The truth is, Onii-san...\I need your help. response:	If it's a present from you, she'd be happy no matter what you gave her.
context: Sorry to call you here out of the blue.\It's okay...\So, did you want something?\The truth is, Onii-san...\I need your help.\If it's a present from you, she'd be happy no matter what you gave her. response:	Well...
context: Sorry to call you here out of the blue.\It's okay...\So, did you want something?\The truth is, Onii-san...\I need your help.\If it's a present from you, she'd be happy no matter what you gave her.\Well... response:	That's true...
context: Sorry to call you here out of the blue.\It's okay...\So, did you want something?\The truth is, Onii-san...\I need your help.\If it's a present from you, she'd be happy no matter what you gave her.\Well...\That's true... response:	And why would I know what a middle school girl would like, anyway?
context: It's okay...\So, did you want something?\The truth is, Onii-san...\I need your help.\If it's a present from you, she'd be happy no matter what you gave her.\Well...\That's true...\And why would I know what a middle school girl would like, anyway? response:	Anything you'd pick would be way better.
context: So, did you want something?\The truth is, Onii-san...\I need your help.\If it's a present from you, she'd be happy no matter what you gave her.\Well...\That's true...\And why would I know what a middle school girl would like, anyway?\Anything you'd pick would be way better. response:	But then...
context: The truth is, Onii-san...\I need your help.\If it's a present from you, she'd be happy no matter what you gave her.\Well...\That's true...\And why would I know what a middle school girl would like, anyway?\Anything you'd pick would be way better.\But then... response:	It wouldn't be what she wants the most.
context: I need your help.\If it's a present from you, she'd be happy no matter what you gave her.\Well...\That's true...\And why would I know what a middle school girl would like, anyway?\Anything you'd pick would be way better.\But then...\It wouldn't be what she wants the most. response:	What?
context: If it's a present from you, she'd be happy no matter what you gave her.\Well...\That's true...\And why would I know what a middle school girl would like, anyway?\Anything you'd pick would be way better.\But then...\It wouldn't be what she wants the most.\What? response:	What'd you say?
