context: Contact with DRAGONs established. response:	What is this?
context: Contact with DRAGONs established.\What is this? response:	Coco! Coco!
context: Contact with DRAGONs established.\What is this?\Coco! Coco! response:	Villkiss Awakens
context: Contact with DRAGONs established.\What is this?\Coco! Coco!\Villkiss Awakens response:	Enemy signals captured. One Galleon-class, 22 Scuna-class.
context: Contact with DRAGONs established.\What is this?\Coco! Coco!\Villkiss Awakens\Enemy signals captured. One Galleon-class, 22 Scuna-class. response:	Twenty-two?!
context: Contact with DRAGONs established.\What is this?\Coco! Coco!\Villkiss Awakens\Enemy signals captured. One Galleon-class, 22 Scuna-class.\Twenty-two?! response:	Dammit, they keep creeping out.
context: Contact with DRAGONs established.\What is this?\Coco! Coco!\Villkiss Awakens\Enemy signals captured. One Galleon-class, 22 Scuna-class.\Twenty-two?!\Dammit, they keep creeping out. response:	Zola here. Everyone, listen up.
context: Contact with DRAGONs established.\What is this?\Coco! Coco!\Villkiss Awakens\Enemy signals captured. One Galleon-class, 22 Scuna-class.\Twenty-two?!\Dammit, they keep creeping out.\Zola here. Everyone, listen up. response:	Beginner training is on hold.
context: What is this?\Coco! Coco!\Villkiss Awakens\Enemy signals captured. One Galleon-class, 22 Scuna-class.\Twenty-two?!\Dammit, they keep creeping out.\Zola here. Everyone, listen up.\Beginner training is on hold. response:	Destroy the flies and establish air superiority.
context: Coco! Coco!\Villkiss Awakens\Enemy signals captured. One Galleon-class, 22 Scuna-class.\Twenty-two?!\Dammit, they keep creeping out.\Zola here. Everyone, listen up.\Beginner training is on hold.\Destroy the flies and establish air superiority. response:	All units, attack formation.
context: Villkiss Awakens\Enemy signals captured. One Galleon-class, 22 Scuna-class.\Twenty-two?!\Dammit, they keep creeping out.\Zola here. Everyone, listen up.\Beginner training is on hold.\Destroy the flies and establish air superiority.\All units, attack formation. response:	Use aerial tactical formation.
context: Enemy signals captured. One Galleon-class, 22 Scuna-class.\Twenty-two?!\Dammit, they keep creeping out.\Zola here. Everyone, listen up.\Beginner training is on hold.\Destroy the flies and establish air superiority.\All units, attack formation.\Use aerial tactical formation. response:	Yes, ma'am.
context: Twenty-two?!\Dammit, they keep creeping out.\Zola here. Everyone, listen up.\Beginner training is on hold.\Destroy the flies and establish air superiority.\All units, attack formation.\Use aerial tactical formation.\Yes, ma'am. response:	Shall I take care of the deserter?
context: Dammit, they keep creeping out.\Zola here. Everyone, listen up.\Beginner training is on hold.\Destroy the flies and establish air superiority.\All units, attack formation.\Use aerial tactical formation.\Yes, ma'am.\Shall I take care of the deserter? response:	Do it later.
context: Zola here. Everyone, listen up.\Beginner training is on hold.\Destroy the flies and establish air superiority.\All units, attack formation.\Use aerial tactical formation.\Yes, ma'am.\Shall I take care of the deserter?\Do it later. response:	Yes, ma'am.
context: Beginner training is on hold.\Destroy the flies and establish air superiority.\All units, attack formation.\Use aerial tactical formation.\Yes, ma'am.\Shall I take care of the deserter?\Do it later.\Yes, ma'am. response:	C-Captain, what about us?
context: Destroy the flies and establish air superiority.\All units, attack formation.\Use aerial tactical formation.\Yes, ma'am.\Shall I take care of the deserter?\Do it later.\Yes, ma'am.\C-Captain, what about us? response:	Stay alive until we take care of this.
context: All units, attack formation.\Use aerial tactical formation.\Yes, ma'am.\Shall I take care of the deserter?\Do it later.\Yes, ma'am.\C-Captain, what about us?\Stay alive until we take care of this. response:	All units, open fire.
context: Use aerial tactical formation.\Yes, ma'am.\Shall I take care of the deserter?\Do it later.\Yes, ma'am.\C-Captain, what about us?\Stay alive until we take care of this.\All units, open fire. response:	Captain!
context: Yes, ma'am.\Shall I take care of the deserter?\Do it later.\Yes, ma'am.\C-Captain, what about us?\Stay alive until we take care of this.\All units, open fire.\Captain! response:	Ange, where are you going?
context: Shall I take care of the deserter?\Do it later.\Yes, ma'am.\C-Captain, what about us?\Stay alive until we take care of this.\All units, open fire.\Captain!\Ange, where are you going? response:	I'm going home to the Misurugi Empire.
context: Do it later.\Yes, ma'am.\C-Captain, what about us?\Stay alive until we take care of this.\All units, open fire.\Captain!\Ange, where are you going?\I'm going home to the Misurugi Empire. response:	Are you serious?
context: Yes, ma'am.\C-Captain, what about us?\Stay alive until we take care of this.\All units, open fire.\Captain!\Ange, where are you going?\I'm going home to the Misurugi Empire.\Are you serious? response:	You only have enough fuel for one battle.
context: C-Captain, what about us?\Stay alive until we take care of this.\All units, open fire.\Captain!\Ange, where are you going?\I'm going home to the Misurugi Empire.\Are you serious?\You only have enough fuel for one battle. response:	I don't know where your country is, but there's no way you'll make it.
context: Stay alive until we take care of this.\All units, open fire.\Captain!\Ange, where are you going?\I'm going home to the Misurugi Empire.\Are you serious?\You only have enough fuel for one battle.\I don't know where your country is, but there's no way you'll make it. response:	I don't care!
context: All units, open fire.\Captain!\Ange, where are you going?\I'm going home to the Misurugi Empire.\Are you serious?\You only have enough fuel for one battle.\I don't know where your country is, but there's no way you'll make it.\I don't care! response:	If that means I won't have to go back...
context: Captain!\Ange, where are you going?\I'm going home to the Misurugi Empire.\Are you serious?\You only have enough fuel for one battle.\I don't know where your country is, but there's no way you'll make it.\I don't care!\If that means I won't have to go back... response:	What am I supposed to do?
context: Ange, where are you going?\I'm going home to the Misurugi Empire.\Are you serious?\You only have enough fuel for one battle.\I don't know where your country is, but there's no way you'll make it.\I don't care!\If that means I won't have to go back...\What am I supposed to do? response:	W-Wait!
context: I'm going home to the Misurugi Empire.\Are you serious?\You only have enough fuel for one battle.\I don't know where your country is, but there's no way you'll make it.\I don't care!\If that means I won't have to go back...\What am I supposed to do?\W-Wait! response:	Coco.
