context: And we broke response:	Everything that was right
context: And we broke\Everything that was right response:	We both enjoyed a good fight
context: And we broke\Everything that was right\We both enjoyed a good fight response:	And we sewed
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed response:	All the holes we had to breathe
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe response:	To make the other one leave
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave response:	And I loved
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave\And I loved response:	The way you looked at me
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me response:	And I miss
context: Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me\And I miss response:	The way you made me feel
context: We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me\And I miss\The way you made me feel response:	When we were alone
context: And we sewed\All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me\And I miss\The way you made me feel\When we were alone response:	When we were alone
context: All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me\And I miss\The way you made me feel\When we were alone\When we were alone response:	And I'll shiver like I used to
context: To make the other one leave\And I loved\The way you looked at me\And I miss\The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to response:	And I'll leave him just for you
context: And I loved\The way you looked at me\And I miss\The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you response:	And I'll shiver like I used to
context: The way you looked at me\And I miss\The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to response:	Mushi-Shi
context: And I miss\The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi response:	Mushi-Shi
context: The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi response:	Just for you
context: When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you response:	Like I used to
context: When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you\Like I used to response:	The Hidden Cove
context: And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you\Like I used to\The Hidden Cove response:	Miss Yura!
context: And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you\Like I used to\The Hidden Cove\Miss Yura! response:	Everything's going to be okay.
context: And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you\Like I used to\The Hidden Cove\Miss Yura!\Everything's going to be okay. response:	Just stay calm and keep still, and it will pass before you know it.
context: Mushi-Shi\Mushi-Shi\Just for you\Like I used to\The Hidden Cove\Miss Yura!\Everything's going to be okay.\Just stay calm and keep still, and it will pass before you know it. response:	Hey, Sumi?
context: Mushi-Shi\Just for you\Like I used to\The Hidden Cove\Miss Yura!\Everything's going to be okay.\Just stay calm and keep still, and it will pass before you know it.\Hey, Sumi? response:	How did you know that I was in pain?
context: Just for you\Like I used to\The Hidden Cove\Miss Yura!\Everything's going to be okay.\Just stay calm and keep still, and it will pass before you know it.\Hey, Sumi?\How did you know that I was in pain? response:	I was home, and I suddenly heard your voice outside the window.
context: Like I used to\The Hidden Cove\Miss Yura!\Everything's going to be okay.\Just stay calm and keep still, and it will pass before you know it.\Hey, Sumi?\How did you know that I was in pain?\I was home, and I suddenly heard your voice outside the window. response:	You were saying, Help me! Help me!
context: The Hidden Cove\Miss Yura!\Everything's going to be okay.\Just stay calm and keep still, and it will pass before you know it.\Hey, Sumi?\How did you know that I was in pain?\I was home, and I suddenly heard your voice outside the window.\You were saying, Help me! Help me! response:	So I followed your voice, and there you were.
context: Miss Yura!\Everything's going to be okay.\Just stay calm and keep still, and it will pass before you know it.\Hey, Sumi?\How did you know that I was in pain?\I was home, and I suddenly heard your voice outside the window.\You were saying, Help me! Help me!\So I followed your voice, and there you were. response:	Really?
context: Everything's going to be okay.\Just stay calm and keep still, and it will pass before you know it.\Hey, Sumi?\How did you know that I was in pain?\I was home, and I suddenly heard your voice outside the window.\You were saying, Help me! Help me!\So I followed your voice, and there you were.\Really? response:	Wow...
context: Just stay calm and keep still, and it will pass before you know it.\Hey, Sumi?\How did you know that I was in pain?\I was home, and I suddenly heard your voice outside the window.\You were saying, Help me! Help me!\So I followed your voice, and there you were.\Really?\Wow... response:	In my head, I really was saying, Sumi, help me!
context: Hey, Sumi?\How did you know that I was in pain?\I was home, and I suddenly heard your voice outside the window.\You were saying, Help me! Help me!\So I followed your voice, and there you were.\Really?\Wow...\In my head, I really was saying, Sumi, help me! response:	Well then, whenever the pain comes back, just call me again.
context: How did you know that I was in pain?\I was home, and I suddenly heard your voice outside the window.\You were saying, Help me! Help me!\So I followed your voice, and there you were.\Really?\Wow...\In my head, I really was saying, Sumi, help me!\Well then, whenever the pain comes back, just call me again. response:	Okay.
context: I was home, and I suddenly heard your voice outside the window.\You were saying, Help me! Help me!\So I followed your voice, and there you were.\Really?\Wow...\In my head, I really was saying, Sumi, help me!\Well then, whenever the pain comes back, just call me again.\Okay. response:	Hey, Sumi?
context: You were saying, Help me! Help me!\So I followed your voice, and there you were.\Really?\Wow...\In my head, I really was saying, Sumi, help me!\Well then, whenever the pain comes back, just call me again.\Okay.\Hey, Sumi? response:	Please don't ever leave.
context: So I followed your voice, and there you were.\Really?\Wow...\In my head, I really was saying, Sumi, help me!\Well then, whenever the pain comes back, just call me again.\Okay.\Hey, Sumi?\Please don't ever leave. response:	Please don't ever go somewhere far away.
context: Really?\Wow...\In my head, I really was saying, Sumi, help me!\Well then, whenever the pain comes back, just call me again.\Okay.\Hey, Sumi?\Please don't ever leave.\Please don't ever go somewhere far away. response:	I saw your daughter from the canal and noticed something unusual about her.
context: Wow...\In my head, I really was saying, Sumi, help me!\Well then, whenever the pain comes back, just call me again.\Okay.\Hey, Sumi?\Please don't ever leave.\Please don't ever go somewhere far away.\I saw your daughter from the canal and noticed something unusual about her. response:	Tell me...
context: In my head, I really was saying, Sumi, help me!\Well then, whenever the pain comes back, just call me again.\Okay.\Hey, Sumi?\Please don't ever leave.\Please don't ever go somewhere far away.\I saw your daughter from the canal and noticed something unusual about her.\Tell me... response:	Does your daughter have a peculiar habit?
context: Well then, whenever the pain comes back, just call me again.\Okay.\Hey, Sumi?\Please don't ever leave.\Please don't ever go somewhere far away.\I saw your daughter from the canal and noticed something unusual about her.\Tell me...\Does your daughter have a peculiar habit? response:	A habit?
context: Okay.\Hey, Sumi?\Please don't ever leave.\Please don't ever go somewhere far away.\I saw your daughter from the canal and noticed something unusual about her.\Tell me...\Does your daughter have a peculiar habit?\A habit? response:	What do you mean?
context: Hey, Sumi?\Please don't ever leave.\Please don't ever go somewhere far away.\I saw your daughter from the canal and noticed something unusual about her.\Tell me...\Does your daughter have a peculiar habit?\A habit?\What do you mean? response:	For example, one where she loses all her senses for a while
context: Please don't ever leave.\Please don't ever go somewhere far away.\I saw your daughter from the canal and noticed something unusual about her.\Tell me...\Does your daughter have a peculiar habit?\A habit?\What do you mean?\For example, one where she loses all her senses for a while response:	and seems to become a mere shell of herself.
context: Please don't ever go somewhere far away.\I saw your daughter from the canal and noticed something unusual about her.\Tell me...\Does your daughter have a peculiar habit?\A habit?\What do you mean?\For example, one where she loses all her senses for a while\and seems to become a mere shell of herself. response:	That kind of a habit.
context: I saw your daughter from the canal and noticed something unusual about her.\Tell me...\Does your daughter have a peculiar habit?\A habit?\What do you mean?\For example, one where she loses all her senses for a while\and seems to become a mere shell of herself.\That kind of a habit. response:	If left unchecked,
context: Tell me...\Does your daughter have a peculiar habit?\A habit?\What do you mean?\For example, one where she loses all her senses for a while\and seems to become a mere shell of herself.\That kind of a habit.\If left unchecked, response:	this habit may become troublesome.
context: Does your daughter have a peculiar habit?\A habit?\What do you mean?\For example, one where she loses all her senses for a while\and seems to become a mere shell of herself.\That kind of a habit.\If left unchecked,\this habit may become troublesome. response:	Yura.
context: A habit?\What do you mean?\For example, one where she loses all her senses for a while\and seems to become a mere shell of herself.\That kind of a habit.\If left unchecked,\this habit may become troublesome.\Yura. response:	Yura!
context: What do you mean?\For example, one where she loses all her senses for a while\and seems to become a mere shell of herself.\That kind of a habit.\If left unchecked,\this habit may become troublesome.\Yura.\Yura! response:	You're finally back.
context: For example, one where she loses all her senses for a while\and seems to become a mere shell of herself.\That kind of a habit.\If left unchecked,\this habit may become troublesome.\Yura.\Yura!\You're finally back. response:	What do you want?
context: and seems to become a mere shell of herself.\That kind of a habit.\If left unchecked,\this habit may become troublesome.\Yura.\Yura!\You're finally back.\What do you want? response:	This man says he can fix that habit of yours.
context: That kind of a habit.\If left unchecked,\this habit may become troublesome.\Yura.\Yura!\You're finally back.\What do you want?\This man says he can fix that habit of yours. response:	I'm Ginko, a mushi-shi.
context: If left unchecked,\this habit may become troublesome.\Yura.\Yura!\You're finally back.\What do you want?\This man says he can fix that habit of yours.\I'm Ginko, a mushi-shi. response:	I never asked you for help.
context: this habit may become troublesome.\Yura.\Yura!\You're finally back.\What do you want?\This man says he can fix that habit of yours.\I'm Ginko, a mushi-shi.\I never asked you for help. response:	Get out.
context: Yura.\Yura!\You're finally back.\What do you want?\This man says he can fix that habit of yours.\I'm Ginko, a mushi-shi.\I never asked you for help.\Get out. response:	I was talking to Sumi.
context: Yura!\You're finally back.\What do you want?\This man says he can fix that habit of yours.\I'm Ginko, a mushi-shi.\I never asked you for help.\Get out.\I was talking to Sumi. response:	That nonsense again?
context: You're finally back.\What do you want?\This man says he can fix that habit of yours.\I'm Ginko, a mushi-shi.\I never asked you for help.\Get out.\I was talking to Sumi.\That nonsense again? response:	Stop being ridiculous.
context: What do you want?\This man says he can fix that habit of yours.\I'm Ginko, a mushi-shi.\I never asked you for help.\Get out.\I was talking to Sumi.\That nonsense again?\Stop being ridiculous. response:	It's time to let Sumi go, already.
context: This man says he can fix that habit of yours.\I'm Ginko, a mushi-shi.\I never asked you for help.\Get out.\I was talking to Sumi.\That nonsense again?\Stop being ridiculous.\It's time to let Sumi go, already. response:	She quit working for us a long time ago.
context: I'm Ginko, a mushi-shi.\I never asked you for help.\Get out.\I was talking to Sumi.\That nonsense again?\Stop being ridiculous.\It's time to let Sumi go, already.\She quit working for us a long time ago. response:	But despite the distance between us now,
context: I never asked you for help.\Get out.\I was talking to Sumi.\That nonsense again?\Stop being ridiculous.\It's time to let Sumi go, already.\She quit working for us a long time ago.\But despite the distance between us now, response:	Sumi still senses when I'm unwell and tells me, Everything's going to be okay.
