context: That will be 8500 yen for repairs. response:	Gotta get a part-time job.
context: That will be 8500 yen for repairs.\Gotta get a part-time job. response:	Hold on! Someone!
context: That will be 8500 yen for repairs.\Gotta get a part-time job.\Hold on! Someone! response:	A history of the couple's romance that starts from the first kiss
context: That will be 8500 yen for repairs.\Gotta get a part-time job.\Hold on! Someone!\A history of the couple's romance that starts from the first kiss response:	You, the one who cast magic on this destiny, suddenly appeared
context: That will be 8500 yen for repairs.\Gotta get a part-time job.\Hold on! Someone!\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared response:	The sky where two moons never fade away
context: That will be 8500 yen for repairs.\Gotta get a part-time job.\Hold on! Someone!\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away response:	That's an impossibility, right?
context: That will be 8500 yen for repairs.\Gotta get a part-time job.\Hold on! Someone!\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away\That's an impossibility, right? response:	This is the first time I've felt anything like this
context: That will be 8500 yen for repairs.\Gotta get a part-time job.\Hold on! Someone!\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away\That's an impossibility, right?\This is the first time I've felt anything like this response:	I'm feeling more and more at ease with this place
context: Gotta get a part-time job.\Hold on! Someone!\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away\That's an impossibility, right?\This is the first time I've felt anything like this\I'm feeling more and more at ease with this place response:	Even if you trip and become depressed
context: Hold on! Someone!\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away\That's an impossibility, right?\This is the first time I've felt anything like this\I'm feeling more and more at ease with this place\Even if you trip and become depressed response:	I will always hold you tight with a squeeze
context: A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away\That's an impossibility, right?\This is the first time I've felt anything like this\I'm feeling more and more at ease with this place\Even if you trip and become depressed\I will always hold you tight with a squeeze response:	The story where we met that day stays hot with a sweet kiss
