context: Long have I awaited this moment, human filth. response:	With the Subterranean and Deep Sea kings gone,
context: Long have I awaited this moment, human filth.\With the Subterranean and Deep Sea kings gone, response:	the Terror Lizard Clan can at last reclaim rulership of the Earth!
context: Long have I awaited this moment, human filth.\With the Subterranean and Deep Sea kings gone,\the Terror Lizard Clan can at last reclaim rulership of the Earth! response:	Now leading target towards point Bravo.
context: Long have I awaited this moment, human filth.\With the Subterranean and Deep Sea kings gone,\the Terror Lizard Clan can at last reclaim rulership of the Earth!\Now leading target towards point Bravo. response:	Roger.
context: Long have I awaited this moment, human filth.\With the Subterranean and Deep Sea kings gone,\the Terror Lizard Clan can at last reclaim rulership of the Earth!\Now leading target towards point Bravo.\Roger. response:	We are inbound and on schedule.
context: Long have I awaited this moment, human filth.\With the Subterranean and Deep Sea kings gone,\the Terror Lizard Clan can at last reclaim rulership of the Earth!\Now leading target towards point Bravo.\Roger.\We are inbound and on schedule. response:	We'll be on top of Bravo shortly.
context: Long have I awaited this moment, human filth.\With the Subterranean and Deep Sea kings gone,\the Terror Lizard Clan can at last reclaim rulership of the Earth!\Now leading target towards point Bravo.\Roger.\We are inbound and on schedule.\We'll be on top of Bravo shortly. response:	UNPARALLELED PERIL
context: Long have I awaited this moment, human filth.\With the Subterranean and Deep Sea kings gone,\the Terror Lizard Clan can at last reclaim rulership of the Earth!\Now leading target towards point Bravo.\Roger.\We are inbound and on schedule.\We'll be on top of Bravo shortly.\UNPARALLELED PERIL response:	And who are you?
context: With the Subterranean and Deep Sea kings gone,\the Terror Lizard Clan can at last reclaim rulership of the Earth!\Now leading target towards point Bravo.\Roger.\We are inbound and on schedule.\We'll be on top of Bravo shortly.\UNPARALLELED PERIL\And who are you? response:	Hello? What is it?
context: the Terror Lizard Clan can at last reclaim rulership of the Earth!\Now leading target towards point Bravo.\Roger.\We are inbound and on schedule.\We'll be on top of Bravo shortly.\UNPARALLELED PERIL\And who are you?\Hello? What is it? response:	What do you mean, come back?!
context: Now leading target towards point Bravo.\Roger.\We are inbound and on schedule.\We'll be on top of Bravo shortly.\UNPARALLELED PERIL\And who are you?\Hello? What is it?\What do you mean, come back?! response:	You're the one who said some weirdo monster was waking up
context: Roger.\We are inbound and on schedule.\We'll be on top of Bravo shortly.\UNPARALLELED PERIL\And who are you?\Hello? What is it?\What do you mean, come back?!\You're the one who said some weirdo monster was waking up response:	and flew me out here!
context: We are inbound and on schedule.\We'll be on top of Bravo shortly.\UNPARALLELED PERIL\And who are you?\Hello? What is it?\What do you mean, come back?!\You're the one who said some weirdo monster was waking up\and flew me out here! response:	Weirdo...?
