context: Papa fell down when he was on GALAX. response:	He's been sleeping in the hospital ever since.
context: Papa fell down when he was on GALAX.\He's been sleeping in the hospital ever since. response:	It'd be sad if he didn't have a grave when he dies, right?
context: Papa fell down when he was on GALAX.\He's been sleeping in the hospital ever since.\It'd be sad if he didn't have a grave when he dies, right? response:	Don't worry.
context: Papa fell down when he was on GALAX.\He's been sleeping in the hospital ever since.\It'd be sad if he didn't have a grave when he dies, right?\Don't worry. response:	Your dad won't die.
context: Papa fell down when he was on GALAX.\He's been sleeping in the hospital ever since.\It'd be sad if he didn't have a grave when he dies, right?\Don't worry.\Your dad won't die. response:	Really?
context: Papa fell down when he was on GALAX.\He's been sleeping in the hospital ever since.\It'd be sad if he didn't have a grave when he dies, right?\Don't worry.\Your dad won't die.\Really? response:	Yeah.
context: Papa fell down when he was on GALAX.\He's been sleeping in the hospital ever since.\It'd be sad if he didn't have a grave when he dies, right?\Don't worry.\Your dad won't die.\Really?\Yeah. response:	So you should cheer him on and tell him to hang in there.
context: Papa fell down when he was on GALAX.\He's been sleeping in the hospital ever since.\It'd be sad if he didn't have a grave when he dies, right?\Don't worry.\Your dad won't die.\Really?\Yeah.\So you should cheer him on and tell him to hang in there. response:	Okay! I will.
context: He's been sleeping in the hospital ever since.\It'd be sad if he didn't have a grave when he dies, right?\Don't worry.\Your dad won't die.\Really?\Yeah.\So you should cheer him on and tell him to hang in there.\Okay! I will. response:	Oh, LOAD-kun!
context: It'd be sad if he didn't have a grave when he dies, right?\Don't worry.\Your dad won't die.\Really?\Yeah.\So you should cheer him on and tell him to hang in there.\Okay! I will.\Oh, LOAD-kun! response:	Found you!
context: Don't worry.\Your dad won't die.\Really?\Yeah.\So you should cheer him on and tell him to hang in there.\Okay! I will.\Oh, LOAD-kun!\Found you! response:	I've got you now!
context: Your dad won't die.\Really?\Yeah.\So you should cheer him on and tell him to hang in there.\Okay! I will.\Oh, LOAD-kun!\Found you!\I've got you now! response:	H-Hey...
context: Really?\Yeah.\So you should cheer him on and tell him to hang in there.\Okay! I will.\Oh, LOAD-kun!\Found you!\I've got you now!\H-Hey... response:	This is LOAD-kun.
context: Yeah.\So you should cheer him on and tell him to hang in there.\Okay! I will.\Oh, LOAD-kun!\Found you!\I've got you now!\H-Hey...\This is LOAD-kun. response:	Isn't he a good-looking guy?
context: So you should cheer him on and tell him to hang in there.\Okay! I will.\Oh, LOAD-kun!\Found you!\I've got you now!\H-Hey...\This is LOAD-kun.\Isn't he a good-looking guy? response:	G-G-Guy?
context: Okay! I will.\Oh, LOAD-kun!\Found you!\I've got you now!\H-Hey...\This is LOAD-kun.\Isn't he a good-looking guy?\G-G-Guy? response:	Way too cute!
context: Oh, LOAD-kun!\Found you!\I've got you now!\H-Hey...\This is LOAD-kun.\Isn't he a good-looking guy?\G-G-Guy?\Way too cute! response:	G-G-Guy?
