context: I am Amon Kotaro, newly assigned to Control Division One as of today! response:	Pleased to make your acquaintance!
context: I am Amon Kotaro, newly assigned to Control Division One as of today!\Pleased to make your acquaintance! response:	This year's newbies are quite strapping, huh?
context: I am Amon Kotaro, newly assigned to Control Division One as of today!\Pleased to make your acquaintance!\This year's newbies are quite strapping, huh? response:	S-Special Investigator Arima!
context: I am Amon Kotaro, newly assigned to Control Division One as of today!\Pleased to make your acquaintance!\This year's newbies are quite strapping, huh?\S-Special Investigator Arima! response:	I heard about you from your teachers. It's a pleasure, Amon.
context: I am Amon Kotaro, newly assigned to Control Division One as of today!\Pleased to make your acquaintance!\This year's newbies are quite strapping, huh?\S-Special Investigator Arima!\I heard about you from your teachers. It's a pleasure, Amon. response:	I-It's a pleasure to make your acquaintance!
context: I am Amon Kotaro, newly assigned to Control Division One as of today!\Pleased to make your acquaintance!\This year's newbies are quite strapping, huh?\S-Special Investigator Arima!\I heard about you from your teachers. It's a pleasure, Amon.\I-It's a pleasure to make your acquaintance! response:	I'm going to place you under Mr. Mado.
context: I am Amon Kotaro, newly assigned to Control Division One as of today!\Pleased to make your acquaintance!\This year's newbies are quite strapping, huh?\S-Special Investigator Arima!\I heard about you from your teachers. It's a pleasure, Amon.\I-It's a pleasure to make your acquaintance!\I'm going to place you under Mr. Mado. response:	Yes, sir.
context: I am Amon Kotaro, newly assigned to Control Division One as of today!\Pleased to make your acquaintance!\This year's newbies are quite strapping, huh?\S-Special Investigator Arima!\I heard about you from your teachers. It's a pleasure, Amon.\I-It's a pleasure to make your acquaintance!\I'm going to place you under Mr. Mado.\Yes, sir. response:	Mr. Mado, huh? And you, a newbie. Tough break.
context: Pleased to make your acquaintance!\This year's newbies are quite strapping, huh?\S-Special Investigator Arima!\I heard about you from your teachers. It's a pleasure, Amon.\I-It's a pleasure to make your acquaintance!\I'm going to place you under Mr. Mado.\Yes, sir.\Mr. Mado, huh? And you, a newbie. Tough break. response:	He gets a little crazy, so be sure not to let him push you around.
context: This year's newbies are quite strapping, huh?\S-Special Investigator Arima!\I heard about you from your teachers. It's a pleasure, Amon.\I-It's a pleasure to make your acquaintance!\I'm going to place you under Mr. Mado.\Yes, sir.\Mr. Mado, huh? And you, a newbie. Tough break.\He gets a little crazy, so be sure not to let him push you around. response:	Mr. Mado, I'm going to have you partner up with him starting today.
context: S-Special Investigator Arima!\I heard about you from your teachers. It's a pleasure, Amon.\I-It's a pleasure to make your acquaintance!\I'm going to place you under Mr. Mado.\Yes, sir.\Mr. Mado, huh? And you, a newbie. Tough break.\He gets a little crazy, so be sure not to let him push you around.\Mr. Mado, I'm going to have you partner up with him starting today. response:	Oh? All right.
