context: Beer! Get your beer! response:	Alright, it's that time of year!
context: Beer! Get your beer!\Alright, it's that time of year! response:	The annual magic festival...
context: Beer! Get your beer!\Alright, it's that time of year!\The annual magic festival... response:	The Grand Magic Games!
context: Beer! Get your beer!\Alright, it's that time of year!\The annual magic festival...\The Grand Magic Games! response:	That's some cheering.
context: Beer! Get your beer!\Alright, it's that time of year!\The annual magic festival...\The Grand Magic Games!\That's some cheering. response:	I didn't realize there'd be so many people.
context: Beer! Get your beer!\Alright, it's that time of year!\The annual magic festival...\The Grand Magic Games!\That's some cheering.\I didn't realize there'd be so many people. response:	Both Fiore wizards
context: Beer! Get your beer!\Alright, it's that time of year!\The annual magic festival...\The Grand Magic Games!\That's some cheering.\I didn't realize there'd be so many people.\Both Fiore wizards response:	and a ton of regular spectators, it seems.
context: Beer! Get your beer!\Alright, it's that time of year!\The annual magic festival...\The Grand Magic Games!\That's some cheering.\I didn't realize there'd be so many people.\Both Fiore wizards\and a ton of regular spectators, it seems. response:	Y'know, I really don't like this outfit.
context: Alright, it's that time of year!\The annual magic festival...\The Grand Magic Games!\That's some cheering.\I didn't realize there'd be so many people.\Both Fiore wizards\and a ton of regular spectators, it seems.\Y'know, I really don't like this outfit. response:	It's too late to whine about it now!
context: The annual magic festival...\The Grand Magic Games!\That's some cheering.\I didn't realize there'd be so many people.\Both Fiore wizards\and a ton of regular spectators, it seems.\Y'know, I really don't like this outfit.\It's too late to whine about it now! response:	Master told us to wear matching team colors, right?
context: The Grand Magic Games!\That's some cheering.\I didn't realize there'd be so many people.\Both Fiore wizards\and a ton of regular spectators, it seems.\Y'know, I really don't like this outfit.\It's too late to whine about it now!\Master told us to wear matching team colors, right? response:	I like mine. It's cute.
context: That's some cheering.\I didn't realize there'd be so many people.\Both Fiore wizards\and a ton of regular spectators, it seems.\Y'know, I really don't like this outfit.\It's too late to whine about it now!\Master told us to wear matching team colors, right?\I like mine. It's cute. response:	Yep. Me too.
context: I didn't realize there'd be so many people.\Both Fiore wizards\and a ton of regular spectators, it seems.\Y'know, I really don't like this outfit.\It's too late to whine about it now!\Master told us to wear matching team colors, right?\I like mine. It's cute.\Yep. Me too. response:	Say that after you put clothes on!
context: Both Fiore wizards\and a ton of regular spectators, it seems.\Y'know, I really don't like this outfit.\It's too late to whine about it now!\Master told us to wear matching team colors, right?\I like mine. It's cute.\Yep. Me too.\Say that after you put clothes on! response:	I don't believe this,
context: and a ton of regular spectators, it seems.\Y'know, I really don't like this outfit.\It's too late to whine about it now!\Master told us to wear matching team colors, right?\I like mine. It's cute.\Yep. Me too.\Say that after you put clothes on!\I don't believe this, response:	but I'm supposed to put this on...?
context: Y'know, I really don't like this outfit.\It's too late to whine about it now!\Master told us to wear matching team colors, right?\I like mine. It's cute.\Yep. Me too.\Say that after you put clothes on!\I don't believe this,\but I'm supposed to put this on...? response:	That's great!
context: It's too late to whine about it now!\Master told us to wear matching team colors, right?\I like mine. It's cute.\Yep. Me too.\Say that after you put clothes on!\I don't believe this,\but I'm supposed to put this on...?\That's great! response:	You won't fit into Wendy's outfit, huh?
context: Master told us to wear matching team colors, right?\I like mine. It's cute.\Yep. Me too.\Say that after you put clothes on!\I don't believe this,\but I'm supposed to put this on...?\That's great!\You won't fit into Wendy's outfit, huh? response:	The problem is your body's gotten too big.
context: I like mine. It's cute.\Yep. Me too.\Say that after you put clothes on!\I don't believe this,\but I'm supposed to put this on...?\That's great!\You won't fit into Wendy's outfit, huh?\The problem is your body's gotten too big. response:	I was jazzed to participate in this,
context: Yep. Me too.\Say that after you put clothes on!\I don't believe this,\but I'm supposed to put this on...?\That's great!\You won't fit into Wendy's outfit, huh?\The problem is your body's gotten too big.\I was jazzed to participate in this, response:	but is Wendy okay?
context: Say that after you put clothes on!\I don't believe this,\but I'm supposed to put this on...?\That's great!\You won't fit into Wendy's outfit, huh?\The problem is your body's gotten too big.\I was jazzed to participate in this,\but is Wendy okay? response:	Wendy!
