context: PANTPANTPANT response:	ED
context: PANTPANTPANT\ED response:	The brilliant glow of this sky, does it carry right into your heart?
context: PANTPANTPANT\ED\The brilliant glow of this sky, does it carry right into your heart? response:	The melody you heard in your dream, it plays like the silence
context: PANTPANTPANT\ED\The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence response:	Even if your hands are still far from that dream,
context: PANTPANTPANT\ED\The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream, response:	Come now and remember that kindly voice,
context: PANTPANTPANT\ED\The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream,\Come now and remember that kindly voice, response:	Someone was there singing for you, singing those chords of happiness
context: PANTPANTPANT\ED\The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream,\Come now and remember that kindly voice,\Someone was there singing for you, singing those chords of happiness response:	Sound of the sky, echo on high, break through that overwhelming sadness
context: PANTPANTPANT\ED\The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream,\Come now and remember that kindly voice,\Someone was there singing for you, singing those chords of happiness\Sound of the sky, echo on high, break through that overwhelming sadness response:	Everything that shines in your eyes
context: ED\The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream,\Come now and remember that kindly voice,\Someone was there singing for you, singing those chords of happiness\Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes response:	Is part of the real world
context: The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream,\Come now and remember that kindly voice,\Someone was there singing for you, singing those chords of happiness\Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes\Is part of the real world response:	Even your tears can't leave you here to stay forever
context: The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream,\Come now and remember that kindly voice,\Someone was there singing for you, singing those chords of happiness\Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes\Is part of the real world\Even your tears can't leave you here to stay forever response:	In this light pouring down onto you, play tomorrow's song
context: Even if your hands are still far from that dream,\Come now and remember that kindly voice,\Someone was there singing for you, singing those chords of happiness\Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes\Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song response:	Just what am I doing wrong?
context: Come now and remember that kindly voice,\Someone was there singing for you, singing those chords of happiness\Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes\Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\Just what am I doing wrong? response:	Really.
context: Someone was there singing for you, singing those chords of happiness\Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes\Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\Just what am I doing wrong?\Really. response:	Noel?
context: Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes\Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\Just what am I doing wrong?\Really.\Noel? response:	The Rainy Sky - A Glass Rainbow
context: Everything that shines in your eyes\Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\Just what am I doing wrong?\Really.\Noel?\The Rainy Sky - A Glass Rainbow response:	Do you have your wallet?
context: Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\Just what am I doing wrong?\Really.\Noel?\The Rainy Sky - A Glass Rainbow\Do you have your wallet? response:	Yes, sir!
context: Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\Just what am I doing wrong?\Really.\Noel?\The Rainy Sky - A Glass Rainbow\Do you have your wallet?\Yes, sir! response:	And your dog tag?
context: In this light pouring down onto you, play tomorrow's song\Just what am I doing wrong?\Really.\Noel?\The Rainy Sky - A Glass Rainbow\Do you have your wallet?\Yes, sir!\And your dog tag? response:	Yes, sir!
context: Just what am I doing wrong?\Really.\Noel?\The Rainy Sky - A Glass Rainbow\Do you have your wallet?\Yes, sir!\And your dog tag?\Yes, sir! response:	Handkerchief?
context: Really.\Noel?\The Rainy Sky - A Glass Rainbow\Do you have your wallet?\Yes, sir!\And your dog tag?\Yes, sir!\Handkerchief? response:	Yes, sir!
context: Noel?\The Rainy Sky - A Glass Rainbow\Do you have your wallet?\Yes, sir!\And your dog tag?\Yes, sir!\Handkerchief?\Yes, sir! response:	Tissues?
context: The Rainy Sky - A Glass Rainbow\Do you have your wallet?\Yes, sir!\And your dog tag?\Yes, sir!\Handkerchief?\Yes, sir!\Tissues? response:	Yes, sir!
context: Do you have your wallet?\Yes, sir!\And your dog tag?\Yes, sir!\Handkerchief?\Yes, sir!\Tissues?\Yes, sir! response:	Map?
context: Yes, sir!\And your dog tag?\Yes, sir!\Handkerchief?\Yes, sir!\Tissues?\Yes, sir!\Map? response:	Yes, sir!
context: And your dog tag?\Yes, sir!\Handkerchief?\Yes, sir!\Tissues?\Yes, sir!\Map?\Yes, sir! response:	Compass?
context: Yes, sir!\Handkerchief?\Yes, sir!\Tissues?\Yes, sir!\Map?\Yes, sir!\Compass? response:	Yes, sir!
context: Handkerchief?\Yes, sir!\Tissues?\Yes, sir!\Map?\Yes, sir!\Compass?\Yes, sir! response:	Emergency rations?
context: Yes, sir!\Tissues?\Yes, sir!\Map?\Yes, sir!\Compass?\Yes, sir!\Emergency rations? response:	Yes, sir!
context: Tissues?\Yes, sir!\Map?\Yes, sir!\Compass?\Yes, sir!\Emergency rations?\Yes, sir! response:	Helmet?
context: Yes, sir!\Map?\Yes, sir!\Compass?\Yes, sir!\Emergency rations?\Yes, sir!\Helmet? response:	Yes, sir!
context: Map?\Yes, sir!\Compass?\Yes, sir!\Emergency rations?\Yes, sir!\Helmet?\Yes, sir! response:	Handgun?
context: Yes, sir!\Compass?\Yes, sir!\Emergency rations?\Yes, sir!\Helmet?\Yes, sir!\Handgun? response:	Hand grenades?
context: Compass?\Yes, sir!\Emergency rations?\Yes, sir!\Helmet?\Yes, sir!\Handgun?\Hand grenades? response:	She's kidding, Kanata.
context: Yes, sir!\Emergency rations?\Yes, sir!\Helmet?\Yes, sir!\Handgun?\Hand grenades?\She's kidding, Kanata. response:	Come on, you scared me!
context: Emergency rations?\Yes, sir!\Helmet?\Yes, sir!\Handgun?\Hand grenades?\She's kidding, Kanata.\Come on, you scared me! response:	If you thought about it for a second, you would have known.
context: Yes, sir!\Helmet?\Yes, sir!\Handgun?\Hand grenades?\She's kidding, Kanata.\Come on, you scared me!\If you thought about it for a second, you would have known. response:	That wasn't funny, Rio.
context: Helmet?\Yes, sir!\Handgun?\Hand grenades?\She's kidding, Kanata.\Come on, you scared me!\If you thought about it for a second, you would have known.\That wasn't funny, Rio. response:	Those two have been getting along really well recently.
context: Yes, sir!\Handgun?\Hand grenades?\She's kidding, Kanata.\Come on, you scared me!\If you thought about it for a second, you would have known.\That wasn't funny, Rio.\Those two have been getting along really well recently. response:	Rio is just like an anxious mother.
context: Handgun?\Hand grenades?\She's kidding, Kanata.\Come on, you scared me!\If you thought about it for a second, you would have known.\That wasn't funny, Rio.\Those two have been getting along really well recently.\Rio is just like an anxious mother. response:	Here's the list for today.
context: Hand grenades?\She's kidding, Kanata.\Come on, you scared me!\If you thought about it for a second, you would have known.\That wasn't funny, Rio.\Those two have been getting along really well recently.\Rio is just like an anxious mother.\Here's the list for today. response:	Listen up.
context: She's kidding, Kanata.\Come on, you scared me!\If you thought about it for a second, you would have known.\That wasn't funny, Rio.\Those two have been getting along really well recently.\Rio is just like an anxious mother.\Here's the list for today.\Listen up. response:	Your mission is to enter town and purchase the items on that list.
context: Come on, you scared me!\If you thought about it for a second, you would have known.\That wasn't funny, Rio.\Those two have been getting along really well recently.\Rio is just like an anxious mother.\Here's the list for today.\Listen up.\Your mission is to enter town and purchase the items on that list. response:	Understood?
context: If you thought about it for a second, you would have known.\That wasn't funny, Rio.\Those two have been getting along really well recently.\Rio is just like an anxious mother.\Here's the list for today.\Listen up.\Your mission is to enter town and purchase the items on that list.\Understood? response:	Yes, sir!
context: That wasn't funny, Rio.\Those two have been getting along really well recently.\Rio is just like an anxious mother.\Here's the list for today.\Listen up.\Your mission is to enter town and purchase the items on that list.\Understood?\Yes, sir! response:	Well then, drive safely.
context: Those two have been getting along really well recently.\Rio is just like an anxious mother.\Here's the list for today.\Listen up.\Your mission is to enter town and purchase the items on that list.\Understood?\Yes, sir!\Well then, drive safely. response:	Commencing operation.
context: Rio is just like an anxious mother.\Here's the list for today.\Listen up.\Your mission is to enter town and purchase the items on that list.\Understood?\Yes, sir!\Well then, drive safely.\Commencing operation. response:	Hurry back now!
context: Here's the list for today.\Listen up.\Your mission is to enter town and purchase the items on that list.\Understood?\Yes, sir!\Well then, drive safely.\Commencing operation.\Hurry back now! response:	We're having pot-au-feu for dinner!
context: Listen up.\Your mission is to enter town and purchase the items on that list.\Understood?\Yes, sir!\Well then, drive safely.\Commencing operation.\Hurry back now!\We're having pot-au-feu for dinner! response:	Come straight home, okay!
context: Your mission is to enter town and purchase the items on that list.\Understood?\Yes, sir!\Well then, drive safely.\Commencing operation.\Hurry back now!\We're having pot-au-feu for dinner!\Come straight home, okay! response:	Just like a mother.
context: Understood?\Yes, sir!\Well then, drive safely.\Commencing operation.\Hurry back now!\We're having pot-au-feu for dinner!\Come straight home, okay!\Just like a mother. response:	This the first time we've gone into town together, isn't it, Noel?
context: Yes, sir!\Well then, drive safely.\Commencing operation.\Hurry back now!\We're having pot-au-feu for dinner!\Come straight home, okay!\Just like a mother.\This the first time we've gone into town together, isn't it, Noel? response:	Though...
context: Well then, drive safely.\Commencing operation.\Hurry back now!\We're having pot-au-feu for dinner!\Come straight home, okay!\Just like a mother.\This the first time we've gone into town together, isn't it, Noel?\Though... response:	This is basically my first time going to town...
context: Commencing operation.\Hurry back now!\We're having pot-au-feu for dinner!\Come straight home, okay!\Just like a mother.\This the first time we've gone into town together, isn't it, Noel?\Though...\This is basically my first time going to town... response:	Wow!
context: Hurry back now!\We're having pot-au-feu for dinner!\Come straight home, okay!\Just like a mother.\This the first time we've gone into town together, isn't it, Noel?\Though...\This is basically my first time going to town...\Wow! response:	Oh! What's that?
context: We're having pot-au-feu for dinner!\Come straight home, okay!\Just like a mother.\This the first time we've gone into town together, isn't it, Noel?\Though...\This is basically my first time going to town...\Wow!\Oh! What's that? response:	It was completely different during the festival.
context: Come straight home, okay!\Just like a mother.\This the first time we've gone into town together, isn't it, Noel?\Though...\This is basically my first time going to town...\Wow!\Oh! What's that?\It was completely different during the festival. response:	Now it's a calm, quiet town.
context: Just like a mother.\This the first time we've gone into town together, isn't it, Noel?\Though...\This is basically my first time going to town...\Wow!\Oh! What's that?\It was completely different during the festival.\Now it's a calm, quiet town. response:	Ouch...
