context: Shit! response:	You fought quite well, considering your wounds.
context: Shit!\You fought quite well, considering your wounds. response:	They must have realized it the moment they set eyes on each other.
context: Shit!\You fought quite well, considering your wounds.\They must have realized it the moment they set eyes on each other. response:	That this destiny had awaited them since long before they had even met.
context: Shit!\You fought quite well, considering your wounds.\They must have realized it the moment they set eyes on each other.\That this destiny had awaited them since long before they had even met. response:	They were not like mere ships passing in the night.
context: Shit!\You fought quite well, considering your wounds.\They must have realized it the moment they set eyes on each other.\That this destiny had awaited them since long before they had even met.\They were not like mere ships passing in the night. response:	They understood each other better than anyone else,
context: Shit!\You fought quite well, considering your wounds.\They must have realized it the moment they set eyes on each other.\That this destiny had awaited them since long before they had even met.\They were not like mere ships passing in the night.\They understood each other better than anyone else, response:	and each was focused solely on the other.
context: Shit!\You fought quite well, considering your wounds.\They must have realized it the moment they set eyes on each other.\That this destiny had awaited them since long before they had even met.\They were not like mere ships passing in the night.\They understood each other better than anyone else,\and each was focused solely on the other. response:	You are Kougami Shinya.
context: Shit!\You fought quite well, considering your wounds.\They must have realized it the moment they set eyes on each other.\That this destiny had awaited them since long before they had even met.\They were not like mere ships passing in the night.\They understood each other better than anyone else,\and each was focused solely on the other.\You are Kougami Shinya. response:	You are Makishima Shougo!
context: You fought quite well, considering your wounds.\They must have realized it the moment they set eyes on each other.\That this destiny had awaited them since long before they had even met.\They were not like mere ships passing in the night.\They understood each other better than anyone else,\and each was focused solely on the other.\You are Kougami Shinya.\You are Makishima Shougo! response:	01: Crime Coefficient
context: They must have realized it the moment they set eyes on each other.\That this destiny had awaited them since long before they had even met.\They were not like mere ships passing in the night.\They understood each other better than anyone else,\and each was focused solely on the other.\You are Kougami Shinya.\You are Makishima Shougo!\01: Crime Coefficient response:	This is the Criminal Investigation Department, part of the Public Safety Bureau.
context: That this destiny had awaited them since long before they had even met.\They were not like mere ships passing in the night.\They understood each other better than anyone else,\and each was focused solely on the other.\You are Kougami Shinya.\You are Makishima Shougo!\01: Crime Coefficient\This is the Criminal Investigation Department, part of the Public Safety Bureau. response:	Access to this block is currently restricted to ensure safety.
context: They were not like mere ships passing in the night.\They understood each other better than anyone else,\and each was focused solely on the other.\You are Kougami Shinya.\You are Makishima Shougo!\01: Crime Coefficient\This is the Criminal Investigation Department, part of the Public Safety Bureau.\Access to this block is currently restricted to ensure safety. response:	All residents of this neighborhood are expected to evacuate immediately.
context: They understood each other better than anyone else,\and each was focused solely on the other.\You are Kougami Shinya.\You are Makishima Shougo!\01: Crime Coefficient\This is the Criminal Investigation Department, part of the Public Safety Bureau.\Access to this block is currently restricted to ensure safety.\All residents of this neighborhood are expected to evacuate immediately. response:	I repeat.
context: and each was focused solely on the other.\You are Kougami Shinya.\You are Makishima Shougo!\01: Crime Coefficient\This is the Criminal Investigation Department, part of the Public Safety Bureau.\Access to this block is currently restricted to ensure safety.\All residents of this neighborhood are expected to evacuate immediately.\I repeat. response:	This is the Criminal Investigation Department, part of the Public Safety Bureau.
context: You are Kougami Shinya.\You are Makishima Shougo!\01: Crime Coefficient\This is the Criminal Investigation Department, part of the Public Safety Bureau.\Access to this block is currently restricted to ensure safety.\All residents of this neighborhood are expected to evacuate immediately.\I repeat.\This is the Criminal Investigation Department, part of the Public Safety Bureau. response:	Access to this block is currently restricted to ensure safety.
context: You are Makishima Shougo!\01: Crime Coefficient\This is the Criminal Investigation Department, part of the Public Safety Bureau.\Access to this block is currently restricted to ensure safety.\All residents of this neighborhood are expected to evacuate immediately.\I repeat.\This is the Criminal Investigation Department, part of the Public Safety Bureau.\Access to this block is currently restricted to ensure safety. response:	I-I'm sorry!
context: 01: Crime Coefficient\This is the Criminal Investigation Department, part of the Public Safety Bureau.\Access to this block is currently restricted to ensure safety.\All residents of this neighborhood are expected to evacuate immediately.\I repeat.\This is the Criminal Investigation Department, part of the Public Safety Bureau.\Access to this block is currently restricted to ensure safety.\I-I'm sorry! response:	All residents of this neighborhood are expected to evacuate immediately.
context: This is the Criminal Investigation Department, part of the Public Safety Bureau.\Access to this block is currently restricted to ensure safety.\All residents of this neighborhood are expected to evacuate immediately.\I repeat.\This is the Criminal Investigation Department, part of the Public Safety Bureau.\Access to this block is currently restricted to ensure safety.\I-I'm sorry!\All residents of this neighborhood are expected to evacuate immediately. response:	Inspector
context: Access to this block is currently restricted to ensure safety.\All residents of this neighborhood are expected to evacuate immediately.\I repeat.\This is the Criminal Investigation Department, part of the Public Safety Bureau.\Access to this block is currently restricted to ensure safety.\I-I'm sorry!\All residents of this neighborhood are expected to evacuate immediately.\Inspector response:	Inspector
context: All residents of this neighborhood are expected to evacuate immediately.\I repeat.\This is the Criminal Investigation Department, part of the Public Safety Bureau.\Access to this block is currently restricted to ensure safety.\I-I'm sorry!\All residents of this neighborhood are expected to evacuate immediately.\Inspector\Inspector response:	Inspector
context: I repeat.\This is the Criminal Investigation Department, part of the Public Safety Bureau.\Access to this block is currently restricted to ensure safety.\I-I'm sorry!\All residents of this neighborhood are expected to evacuate immediately.\Inspector\Inspector\Inspector response:	Inspector
