context: The Rising of the Shield Hero response:	In the Midst of Turmoil
context: The Rising of the Shield Hero\In the Midst of Turmoil response:	I can't trust anything you say.
context: The Rising of the Shield Hero\In the Midst of Turmoil\I can't trust anything you say. response:	Get lost.
context: The Rising of the Shield Hero\In the Midst of Turmoil\I can't trust anything you say.\Get lost. response:	Please wait! You have to hear me out!
context: The Rising of the Shield Hero\In the Midst of Turmoil\I can't trust anything you say.\Get lost.\Please wait! You have to hear me out! response:	I don't have to listen to a word that comes out of you royals' filthy mouths.
context: The Rising of the Shield Hero\In the Midst of Turmoil\I can't trust anything you say.\Get lost.\Please wait! You have to hear me out!\I don't have to listen to a word that comes out of you royals' filthy mouths. response:	Melty-sama, His Majesty calls for you.
context: The Rising of the Shield Hero\In the Midst of Turmoil\I can't trust anything you say.\Get lost.\Please wait! You have to hear me out!\I don't have to listen to a word that comes out of you royals' filthy mouths.\Melty-sama, His Majesty calls for you. response:	Please come with me.
context: The Rising of the Shield Hero\In the Midst of Turmoil\I can't trust anything you say.\Get lost.\Please wait! You have to hear me out!\I don't have to listen to a word that comes out of you royals' filthy mouths.\Melty-sama, His Majesty calls for you.\Please come with me. response:	Very well.
context: In the Midst of Turmoil\I can't trust anything you say.\Get lost.\Please wait! You have to hear me out!\I don't have to listen to a word that comes out of you royals' filthy mouths.\Melty-sama, His Majesty calls for you.\Please come with me.\Very well. response:	Bye, Filo-chan.
context: I can't trust anything you say.\Get lost.\Please wait! You have to hear me out!\I don't have to listen to a word that comes out of you royals' filthy mouths.\Melty-sama, His Majesty calls for you.\Please come with me.\Very well.\Bye, Filo-chan. response:	Mel-chan...
context: Get lost.\Please wait! You have to hear me out!\I don't have to listen to a word that comes out of you royals' filthy mouths.\Melty-sama, His Majesty calls for you.\Please come with me.\Very well.\Bye, Filo-chan.\Mel-chan... response:	Filo.
context: Please wait! You have to hear me out!\I don't have to listen to a word that comes out of you royals' filthy mouths.\Melty-sama, His Majesty calls for you.\Please come with me.\Very well.\Bye, Filo-chan.\Mel-chan...\Filo. response:	Melty, I need you to do something for me.
context: I don't have to listen to a word that comes out of you royals' filthy mouths.\Melty-sama, His Majesty calls for you.\Please come with me.\Very well.\Bye, Filo-chan.\Mel-chan...\Filo.\Melty, I need you to do something for me. response:	Of course.
context: Melty-sama, His Majesty calls for you.\Please come with me.\Very well.\Bye, Filo-chan.\Mel-chan...\Filo.\Melty, I need you to do something for me.\Of course. response:	Return to the capital
context: Please come with me.\Very well.\Bye, Filo-chan.\Mel-chan...\Filo.\Melty, I need you to do something for me.\Of course.\Return to the capital response:	and admonish the king for his unjust treatment of the Shield Hero.
context: Very well.\Bye, Filo-chan.\Mel-chan...\Filo.\Melty, I need you to do something for me.\Of course.\Return to the capital\and admonish the king for his unjust treatment of the Shield Hero. response:	Ordinarily, I would go myself, but...
context: Bye, Filo-chan.\Mel-chan...\Filo.\Melty, I need you to do something for me.\Of course.\Return to the capital\and admonish the king for his unjust treatment of the Shield Hero.\Ordinarily, I would go myself, but... response:	You can count on me, Mother.
context: Mel-chan...\Filo.\Melty, I need you to do something for me.\Of course.\Return to the capital\and admonish the king for his unjust treatment of the Shield Hero.\Ordinarily, I would go myself, but...\You can count on me, Mother. response:	Couldn't you at least have given her a chance to speak?
context: Filo.\Melty, I need you to do something for me.\Of course.\Return to the capital\and admonish the king for his unjust treatment of the Shield Hero.\Ordinarily, I would go myself, but...\You can count on me, Mother.\Couldn't you at least have given her a chance to speak? response:	She's right, kid.
context: Melty, I need you to do something for me.\Of course.\Return to the capital\and admonish the king for his unjust treatment of the Shield Hero.\Ordinarily, I would go myself, but...\You can count on me, Mother.\Couldn't you at least have given her a chance to speak?\She's right, kid. response:	Hey, Master.
