context: I understand it in my head, but why can't I move? response:	I say I have no reason to win, but why is it so painful when I lose?
context: I understand it in my head, but why can't I move?\I say I have no reason to win, but why is it so painful when I lose? response:	It's always a half-measure...
context: I understand it in my head, but why can't I move?\I say I have no reason to win, but why is it so painful when I lose?\It's always a half-measure... response:	Child of God (Part Three) Continued
context: I understand it in my head, but why can't I move?\I say I have no reason to win, but why is it so painful when I lose?\It's always a half-measure...\Child of God (Part Three) Continued response:	Stare
context: I understand it in my head, but why can't I move?\I say I have no reason to win, but why is it so painful when I lose?\It's always a half-measure...\Child of God (Part Three) Continued\Stare response:	He's staring at me. He's totally staring at me!
context: I understand it in my head, but why can't I move?\I say I have no reason to win, but why is it so painful when I lose?\It's always a half-measure...\Child of God (Part Three) Continued\Stare\He's staring at me. He's totally staring at me! response:	He's huge... I'm scared!
context: I understand it in my head, but why can't I move?\I say I have no reason to win, but why is it so painful when I lose?\It's always a half-measure...\Child of God (Part Three) Continued\Stare\He's staring at me. He's totally staring at me!\He's huge... I'm scared! response:	Um... What's your name?
context: I understand it in my head, but why can't I move?\I say I have no reason to win, but why is it so painful when I lose?\It's always a half-measure...\Child of God (Part Three) Continued\Stare\He's staring at me. He's totally staring at me!\He's huge... I'm scared!\Um... What's your name? response:	U-Um... I'm Kiriyama.
context: I say I have no reason to win, but why is it so painful when I lose?\It's always a half-measure...\Child of God (Part Three) Continued\Stare\He's staring at me. He's totally staring at me!\He's huge... I'm scared!\Um... What's your name?\U-Um... I'm Kiriyama. response:	And your first name?
context: It's always a half-measure...\Child of God (Part Three) Continued\Stare\He's staring at me. He's totally staring at me!\He's huge... I'm scared!\Um... What's your name?\U-Um... I'm Kiriyama.\And your first name? response:	It's Rei. Rei Kiriyama.
context: Child of God (Part Three) Continued\Stare\He's staring at me. He's totally staring at me!\He's huge... I'm scared!\Um... What's your name?\U-Um... I'm Kiriyama.\And your first name?\It's Rei. Rei Kiriyama. response:	I thought so. You became a professional shogi player in middle school.
context: Stare\He's staring at me. He's totally staring at me!\He's huge... I'm scared!\Um... What's your name?\U-Um... I'm Kiriyama.\And your first name?\It's Rei. Rei Kiriyama.\I thought so. You became a professional shogi player in middle school. response:	Nice to meet you. I'm Yuusuke Takahashi.
context: He's staring at me. He's totally staring at me!\He's huge... I'm scared!\Um... What's your name?\U-Um... I'm Kiriyama.\And your first name?\It's Rei. Rei Kiriyama.\I thought so. You became a professional shogi player in middle school.\Nice to meet you. I'm Yuusuke Takahashi. response:	I play baseball and hope to become a professional in the future.
context: He's huge... I'm scared!\Um... What's your name?\U-Um... I'm Kiriyama.\And your first name?\It's Rei. Rei Kiriyama.\I thought so. You became a professional shogi player in middle school.\Nice to meet you. I'm Yuusuke Takahashi.\I play baseball and hope to become a professional in the future. response:	I wasn't sure if I should rely on a baseball referral to enter a local high school,
context: Um... What's your name?\U-Um... I'm Kiriyama.\And your first name?\It's Rei. Rei Kiriyama.\I thought so. You became a professional shogi player in middle school.\Nice to meet you. I'm Yuusuke Takahashi.\I play baseball and hope to become a professional in the future.\I wasn't sure if I should rely on a baseball referral to enter a local high school, response:	or go to a rural school that has a chance at entering the national high school championship.
context: U-Um... I'm Kiriyama.\And your first name?\It's Rei. Rei Kiriyama.\I thought so. You became a professional shogi player in middle school.\Nice to meet you. I'm Yuusuke Takahashi.\I play baseball and hope to become a professional in the future.\I wasn't sure if I should rely on a baseball referral to enter a local high school,\or go to a rural school that has a chance at entering the national high school championship. response:	Then, my dad told me about you.
context: And your first name?\It's Rei. Rei Kiriyama.\I thought so. You became a professional shogi player in middle school.\Nice to meet you. I'm Yuusuke Takahashi.\I play baseball and hope to become a professional in the future.\I wasn't sure if I should rely on a baseball referral to enter a local high school,\or go to a rural school that has a chance at entering the national high school championship.\Then, my dad told me about you. response:	In this world, there are kids like this
context: It's Rei. Rei Kiriyama.\I thought so. You became a professional shogi player in middle school.\Nice to meet you. I'm Yuusuke Takahashi.\I play baseball and hope to become a professional in the future.\I wasn't sure if I should rely on a baseball referral to enter a local high school,\or go to a rural school that has a chance at entering the national high school championship.\Then, my dad told me about you.\In this world, there are kids like this response:	who decided his own path in middle school and then became a professional.
context: I thought so. You became a professional shogi player in middle school.\Nice to meet you. I'm Yuusuke Takahashi.\I play baseball and hope to become a professional in the future.\I wasn't sure if I should rely on a baseball referral to enter a local high school,\or go to a rural school that has a chance at entering the national high school championship.\Then, my dad told me about you.\In this world, there are kids like this\who decided his own path in middle school and then became a professional. response:	If you want to become a professional, you need to be courageous and make a decision.
context: Nice to meet you. I'm Yuusuke Takahashi.\I play baseball and hope to become a professional in the future.\I wasn't sure if I should rely on a baseball referral to enter a local high school,\or go to a rural school that has a chance at entering the national high school championship.\Then, my dad told me about you.\In this world, there are kids like this\who decided his own path in middle school and then became a professional.\If you want to become a professional, you need to be courageous and make a decision. response:	So I decided to go to a high school in Shikoku.
context: I play baseball and hope to become a professional in the future.\I wasn't sure if I should rely on a baseball referral to enter a local high school,\or go to a rural school that has a chance at entering the national high school championship.\Then, my dad told me about you.\In this world, there are kids like this\who decided his own path in middle school and then became a professional.\If you want to become a professional, you need to be courageous and make a decision.\So I decided to go to a high school in Shikoku. response:	A coach who helped me at a junior tournament invited me there.
context: I wasn't sure if I should rely on a baseball referral to enter a local high school,\or go to a rural school that has a chance at entering the national high school championship.\Then, my dad told me about you.\In this world, there are kids like this\who decided his own path in middle school and then became a professional.\If you want to become a professional, you need to be courageous and make a decision.\So I decided to go to a high school in Shikoku.\A coach who helped me at a junior tournament invited me there. response:	But I wanted to ask you.
context: or go to a rural school that has a chance at entering the national high school championship.\Then, my dad told me about you.\In this world, there are kids like this\who decided his own path in middle school and then became a professional.\If you want to become a professional, you need to be courageous and make a decision.\So I decided to go to a high school in Shikoku.\A coach who helped me at a junior tournament invited me there.\But I wanted to ask you. response:	Mr. Kiriyama, after becoming a professional, you went back to high school a year later.
context: Then, my dad told me about you.\In this world, there are kids like this\who decided his own path in middle school and then became a professional.\If you want to become a professional, you need to be courageous and make a decision.\So I decided to go to a high school in Shikoku.\A coach who helped me at a junior tournament invited me there.\But I wanted to ask you.\Mr. Kiriyama, after becoming a professional, you went back to high school a year later. response:	Um... Why did you do that?
context: In this world, there are kids like this\who decided his own path in middle school and then became a professional.\If you want to become a professional, you need to be courageous and make a decision.\So I decided to go to a high school in Shikoku.\A coach who helped me at a junior tournament invited me there.\But I wanted to ask you.\Mr. Kiriyama, after becoming a professional, you went back to high school a year later.\Um... Why did you do that? response:	Looking at his serious expression,
context: who decided his own path in middle school and then became a professional.\If you want to become a professional, you need to be courageous and make a decision.\So I decided to go to a high school in Shikoku.\A coach who helped me at a junior tournament invited me there.\But I wanted to ask you.\Mr. Kiriyama, after becoming a professional, you went back to high school a year later.\Um... Why did you do that?\Looking at his serious expression, response:	This was a question that needed more than a superficial answer. It needed sincere words.
context: If you want to become a professional, you need to be courageous and make a decision.\So I decided to go to a high school in Shikoku.\A coach who helped me at a junior tournament invited me there.\But I wanted to ask you.\Mr. Kiriyama, after becoming a professional, you went back to high school a year later.\Um... Why did you do that?\Looking at his serious expression,\This was a question that needed more than a superficial answer. It needed sincere words. response:	I realized that.
context: So I decided to go to a high school in Shikoku.\A coach who helped me at a junior tournament invited me there.\But I wanted to ask you.\Mr. Kiriyama, after becoming a professional, you went back to high school a year later.\Um... Why did you do that?\Looking at his serious expression,\This was a question that needed more than a superficial answer. It needed sincere words.\I realized that. response:	But...
context: A coach who helped me at a junior tournament invited me there.\But I wanted to ask you.\Mr. Kiriyama, after becoming a professional, you went back to high school a year later.\Um... Why did you do that?\Looking at his serious expression,\This was a question that needed more than a superficial answer. It needed sincere words.\I realized that.\But... response:	Um...
context: But I wanted to ask you.\Mr. Kiriyama, after becoming a professional, you went back to high school a year later.\Um... Why did you do that?\Looking at his serious expression,\This was a question that needed more than a superficial answer. It needed sincere words.\I realized that.\But...\Um... response:	I really only specialize in shogi.
context: Mr. Kiriyama, after becoming a professional, you went back to high school a year later.\Um... Why did you do that?\Looking at his serious expression,\This was a question that needed more than a superficial answer. It needed sincere words.\I realized that.\But...\Um...\I really only specialize in shogi. response:	I'm not really good at socializing.
context: Um... Why did you do that?\Looking at his serious expression,\This was a question that needed more than a superficial answer. It needed sincere words.\I realized that.\But...\Um...\I really only specialize in shogi.\I'm not really good at socializing. response:	I like studying, but I couldn't fit in at school.
context: Looking at his serious expression,\This was a question that needed more than a superficial answer. It needed sincere words.\I realized that.\But...\Um...\I really only specialize in shogi.\I'm not really good at socializing.\I like studying, but I couldn't fit in at school. response:	I don't regret deciding on the direction of my life so early.
context: This was a question that needed more than a superficial answer. It needed sincere words.\I realized that.\But...\Um...\I really only specialize in shogi.\I'm not really good at socializing.\I like studying, but I couldn't fit in at school.\I don't regret deciding on the direction of my life so early. response:	But...
context: I realized that.\But...\Um...\I really only specialize in shogi.\I'm not really good at socializing.\I like studying, but I couldn't fit in at school.\I don't regret deciding on the direction of my life so early.\But... response:	I think I wanted memories of not running away.
context: But...\Um...\I really only specialize in shogi.\I'm not really good at socializing.\I like studying, but I couldn't fit in at school.\I don't regret deciding on the direction of my life so early.\But...\I think I wanted memories of not running away. response:	Probably.
context: Um...\I really only specialize in shogi.\I'm not really good at socializing.\I like studying, but I couldn't fit in at school.\I don't regret deciding on the direction of my life so early.\But...\I think I wanted memories of not running away.\Probably. response:	N-Now I'm getting embarrassed!
context: I really only specialize in shogi.\I'm not really good at socializing.\I like studying, but I couldn't fit in at school.\I don't regret deciding on the direction of my life so early.\But...\I think I wanted memories of not running away.\Probably.\N-Now I'm getting embarrassed! response:	Why am I giving such a speech?
context: I'm not really good at socializing.\I like studying, but I couldn't fit in at school.\I don't regret deciding on the direction of my life so early.\But...\I think I wanted memories of not running away.\Probably.\N-Now I'm getting embarrassed!\Why am I giving such a speech? response:	He's a middle school student whom I just met.
context: I like studying, but I couldn't fit in at school.\I don't regret deciding on the direction of my life so early.\But...\I think I wanted memories of not running away.\Probably.\N-Now I'm getting embarrassed!\Why am I giving such a speech?\He's a middle school student whom I just met. response:	Blush
context: I don't regret deciding on the direction of my life so early.\But...\I think I wanted memories of not running away.\Probably.\N-Now I'm getting embarrassed!\Why am I giving such a speech?\He's a middle school student whom I just met.\Blush response:	I see.
context: But...\I think I wanted memories of not running away.\Probably.\N-Now I'm getting embarrassed!\Why am I giving such a speech?\He's a middle school student whom I just met.\Blush\I see. response:	Only I will know my own memories of running away and slacking off.
context: I think I wanted memories of not running away.\Probably.\N-Now I'm getting embarrassed!\Why am I giving such a speech?\He's a middle school student whom I just met.\Blush\I see.\Only I will know my own memories of running away and slacking off. response:	But at critical moments, my coach often tells me to believe in myself.
