context: Hey, Myoga... I hope you're not deceiving me. response:	Has this Inu-whatever really mastered the Tetsusaiga?
context: Hey, Myoga... I hope you're not deceiving me.\Has this Inu-whatever really mastered the Tetsusaiga? response:	His name is Master Inuyasha.
context: Hey, Myoga... I hope you're not deceiving me.\Has this Inu-whatever really mastered the Tetsusaiga?\His name is Master Inuyasha. response:	Inuyasha? Oh, I remember.
context: Hey, Myoga... I hope you're not deceiving me.\Has this Inu-whatever really mastered the Tetsusaiga?\His name is Master Inuyasha.\Inuyasha? Oh, I remember. response:	The son of the Dog General...
context: Hey, Myoga... I hope you're not deceiving me.\Has this Inu-whatever really mastered the Tetsusaiga?\His name is Master Inuyasha.\Inuyasha? Oh, I remember.\The son of the Dog General... response:	who gave me his fang from which to forge the sword.
context: Hey, Myoga... I hope you're not deceiving me.\Has this Inu-whatever really mastered the Tetsusaiga?\His name is Master Inuyasha.\Inuyasha? Oh, I remember.\The son of the Dog General...\who gave me his fang from which to forge the sword. response:	Is he the younger of the two doltish brothers?
context: Hey, Myoga... I hope you're not deceiving me.\Has this Inu-whatever really mastered the Tetsusaiga?\His name is Master Inuyasha.\Inuyasha? Oh, I remember.\The son of the Dog General...\who gave me his fang from which to forge the sword.\Is he the younger of the two doltish brothers? response:	Watch your mouth.
context: Hey, Myoga... I hope you're not deceiving me.\Has this Inu-whatever really mastered the Tetsusaiga?\His name is Master Inuyasha.\Inuyasha? Oh, I remember.\The son of the Dog General...\who gave me his fang from which to forge the sword.\Is he the younger of the two doltish brothers?\Watch your mouth. response:	It happened only once...
context: Has this Inu-whatever really mastered the Tetsusaiga?\His name is Master Inuyasha.\Inuyasha? Oh, I remember.\The son of the Dog General...\who gave me his fang from which to forge the sword.\Is he the younger of the two doltish brothers?\Watch your mouth.\It happened only once... response:	but with one swing, he killed a hundred demons.
context: His name is Master Inuyasha.\Inuyasha? Oh, I remember.\The son of the Dog General...\who gave me his fang from which to forge the sword.\Is he the younger of the two doltish brothers?\Watch your mouth.\It happened only once...\but with one swing, he killed a hundred demons. response:	Being accused of abandoning you...
context: Inuyasha? Oh, I remember.\The son of the Dog General...\who gave me his fang from which to forge the sword.\Is he the younger of the two doltish brothers?\Watch your mouth.\It happened only once...\but with one swing, he killed a hundred demons.\Being accused of abandoning you... response:	isn't something I'll enjoy...
context: The son of the Dog General...\who gave me his fang from which to forge the sword.\Is he the younger of the two doltish brothers?\Watch your mouth.\It happened only once...\but with one swing, he killed a hundred demons.\Being accused of abandoning you...\isn't something I'll enjoy... response:	waking up to in the morning!
context: who gave me his fang from which to forge the sword.\Is he the younger of the two doltish brothers?\Watch your mouth.\It happened only once...\but with one swing, he killed a hundred demons.\Being accused of abandoning you...\isn't something I'll enjoy...\waking up to in the morning! response:	But there's been nothing ever since.
context: Is he the younger of the two doltish brothers?\Watch your mouth.\It happened only once...\but with one swing, he killed a hundred demons.\Being accused of abandoning you...\isn't something I'll enjoy...\waking up to in the morning!\But there's been nothing ever since. response:	And I'm stumped as to what to do next.
context: Watch your mouth.\It happened only once...\but with one swing, he killed a hundred demons.\Being accused of abandoning you...\isn't something I'll enjoy...\waking up to in the morning!\But there's been nothing ever since.\And I'm stumped as to what to do next. response:	Well then... maybe I should just test him...
context: It happened only once...\but with one swing, he killed a hundred demons.\Being accused of abandoning you...\isn't something I'll enjoy...\waking up to in the morning!\But there's been nothing ever since.\And I'm stumped as to what to do next.\Well then... maybe I should just test him... response:	to see whether he's deserving of the famous Tetsusaiga which I forged.
