context: I met that boring man response:	when I was going to community college.
context: I met that boring man\when I was going to community college. response:	He went to a pretty upper-rank college in the area,
context: I met that boring man\when I was going to community college.\He went to a pretty upper-rank college in the area, response:	and my friends were envious because he was quiet and cool,
context: I met that boring man\when I was going to community college.\He went to a pretty upper-rank college in the area,\and my friends were envious because he was quiet and cool, response:	so I went out with him to feel superior.
context: I met that boring man\when I was going to community college.\He went to a pretty upper-rank college in the area,\and my friends were envious because he was quiet and cool,\so I went out with him to feel superior. response:	We had a child.
context: I met that boring man\when I was going to community college.\He went to a pretty upper-rank college in the area,\and my friends were envious because he was quiet and cool,\so I went out with him to feel superior.\We had a child. response:	I see. Because it's three times the speed, the picture quality's...
context: I met that boring man\when I was going to community college.\He went to a pretty upper-rank college in the area,\and my friends were envious because he was quiet and cool,\so I went out with him to feel superior.\We had a child.\I see. Because it's three times the speed, the picture quality's... response:	Hey, Hayato. No hello for your mother?
context: I met that boring man\when I was going to community college.\He went to a pretty upper-rank college in the area,\and my friends were envious because he was quiet and cool,\so I went out with him to feel superior.\We had a child.\I see. Because it's three times the speed, the picture quality's...\Hey, Hayato. No hello for your mother? response:	Hi.
context: when I was going to community college.\He went to a pretty upper-rank college in the area,\and my friends were envious because he was quiet and cool,\so I went out with him to feel superior.\We had a child.\I see. Because it's three times the speed, the picture quality's...\Hey, Hayato. No hello for your mother?\Hi. response:	My husband's not a bad man.
context: He went to a pretty upper-rank college in the area,\and my friends were envious because he was quiet and cool,\so I went out with him to feel superior.\We had a child.\I see. Because it's three times the speed, the picture quality's...\Hey, Hayato. No hello for your mother?\Hi.\My husband's not a bad man. response:	It's not as if he drinks a lot,
context: and my friends were envious because he was quiet and cool,\so I went out with him to feel superior.\We had a child.\I see. Because it's three times the speed, the picture quality's...\Hey, Hayato. No hello for your mother?\Hi.\My husband's not a bad man.\It's not as if he drinks a lot, response:	and even though he doesn't earn much,
context: so I went out with him to feel superior.\We had a child.\I see. Because it's three times the speed, the picture quality's...\Hey, Hayato. No hello for your mother?\Hi.\My husband's not a bad man.\It's not as if he drinks a lot,\and even though he doesn't earn much, response:	he always goes to work.
context: We had a child.\I see. Because it's three times the speed, the picture quality's...\Hey, Hayato. No hello for your mother?\Hi.\My husband's not a bad man.\It's not as if he drinks a lot,\and even though he doesn't earn much,\he always goes to work. response:	Kosaku Kawajiri Shinobu Hayato
context: I see. Because it's three times the speed, the picture quality's...\Hey, Hayato. No hello for your mother?\Hi.\My husband's not a bad man.\It's not as if he drinks a lot,\and even though he doesn't earn much,\he always goes to work.\Kosaku Kawajiri Shinobu Hayato response:	But...
context: Hey, Hayato. No hello for your mother?\Hi.\My husband's not a bad man.\It's not as if he drinks a lot,\and even though he doesn't earn much,\he always goes to work.\Kosaku Kawajiri Shinobu Hayato\But... response:	I'm a woman who married without ever knowing love.
context: Hi.\My husband's not a bad man.\It's not as if he drinks a lot,\and even though he doesn't earn much,\he always goes to work.\Kosaku Kawajiri Shinobu Hayato\But...\I'm a woman who married without ever knowing love. response:	Hmph. He's home.
context: My husband's not a bad man.\It's not as if he drinks a lot,\and even though he doesn't earn much,\he always goes to work.\Kosaku Kawajiri Shinobu Hayato\But...\I'm a woman who married without ever knowing love.\Hmph. He's home. response:	He only knows the words food, bath, and sleep.
context: It's not as if he drinks a lot,\and even though he doesn't earn much,\he always goes to work.\Kosaku Kawajiri Shinobu Hayato\But...\I'm a woman who married without ever knowing love.\Hmph. He's home.\He only knows the words food, bath, and sleep. response:	That boring man...
context: and even though he doesn't earn much,\he always goes to work.\Kosaku Kawajiri Shinobu Hayato\But...\I'm a woman who married without ever knowing love.\Hmph. He's home.\He only knows the words food, bath, and sleep.\That boring man... response:	I'm home.
context: he always goes to work.\Kosaku Kawajiri Shinobu Hayato\But...\I'm a woman who married without ever knowing love.\Hmph. He's home.\He only knows the words food, bath, and sleep.\That boring man...\I'm home. response:	Where's dinner?
context: Kosaku Kawajiri Shinobu Hayato\But...\I'm a woman who married without ever knowing love.\Hmph. He's home.\He only knows the words food, bath, and sleep.\That boring man...\I'm home.\Where's dinner? response:	Oh, you're home? I didn't even notice.
context: But...\I'm a woman who married without ever knowing love.\Hmph. He's home.\He only knows the words food, bath, and sleep.\That boring man...\I'm home.\Where's dinner?\Oh, you're home? I didn't even notice. response:	I was really busy today, so that's all there is.
