context: Interviews with Monster Girls response:	Thank you for taking the time to visit.
context: Interviews with Monster Girls\Thank you for taking the time to visit. response:	Takanashi
context: Interviews with Monster Girls\Thank you for taking the time to visit.\Takanashi response:	My daughters have told me about you,
context: Interviews with Monster Girls\Thank you for taking the time to visit.\Takanashi\My daughters have told me about you, response:	and I was hoping for a chance to talk to you.
context: Interviews with Monster Girls\Thank you for taking the time to visit.\Takanashi\My daughters have told me about you,\and I was hoping for a chance to talk to you. response:	The Takanashi Sisters Are Undeniable
context: Interviews with Monster Girls\Thank you for taking the time to visit.\Takanashi\My daughters have told me about you,\and I was hoping for a chance to talk to you.\The Takanashi Sisters Are Undeniable response:	Oh, no... I'm the one who's grateful.
context: Interviews with Monster Girls\Thank you for taking the time to visit.\Takanashi\My daughters have told me about you,\and I was hoping for a chance to talk to you.\The Takanashi Sisters Are Undeniable\Oh, no... I'm the one who's grateful. response:	Thank you for inviting me over.
context: Interviews with Monster Girls\Thank you for taking the time to visit.\Takanashi\My daughters have told me about you,\and I was hoping for a chance to talk to you.\The Takanashi Sisters Are Undeniable\Oh, no... I'm the one who's grateful.\Thank you for inviting me over. response:	My wife is the bread winner in our family,
context: Thank you for taking the time to visit.\Takanashi\My daughters have told me about you,\and I was hoping for a chance to talk to you.\The Takanashi Sisters Are Undeniable\Oh, no... I'm the one who's grateful.\Thank you for inviting me over.\My wife is the bread winner in our family, response:	so I'm in charge of the housework.
context: Takanashi\My daughters have told me about you,\and I was hoping for a chance to talk to you.\The Takanashi Sisters Are Undeniable\Oh, no... I'm the one who's grateful.\Thank you for inviting me over.\My wife is the bread winner in our family,\so I'm in charge of the housework. response:	Oh, is that right?
context: My daughters have told me about you,\and I was hoping for a chance to talk to you.\The Takanashi Sisters Are Undeniable\Oh, no... I'm the one who's grateful.\Thank you for inviting me over.\My wife is the bread winner in our family,\so I'm in charge of the housework.\Oh, is that right? response:	At one time, both of us had jobs.
