context: Give alien weapons to Earth! response:	Give them to Earth!
context: Give alien weapons to Earth!\Give them to Earth! response:	The cries to repel alien forces and
context: Give alien weapons to Earth!\Give them to Earth!\The cries to repel alien forces and response:	strengthen Earth defenses have been intensifying.
context: Give alien weapons to Earth!\Give them to Earth!\The cries to repel alien forces and\strengthen Earth defenses have been intensifying. response:	That would lead to the path of destruction.
context: Give alien weapons to Earth!\Give them to Earth!\The cries to repel alien forces and\strengthen Earth defenses have been intensifying.\That would lead to the path of destruction. response:	Until now, the masses have
context: Give alien weapons to Earth!\Give them to Earth!\The cries to repel alien forces and\strengthen Earth defenses have been intensifying.\That would lead to the path of destruction.\Until now, the masses have response:	considered this war someone else's problem.
context: Give alien weapons to Earth!\Give them to Earth!\The cries to repel alien forces and\strengthen Earth defenses have been intensifying.\That would lead to the path of destruction.\Until now, the masses have\considered this war someone else's problem. response:	We will mass produce AHSMB units on the Rhinos' production line.
context: Give alien weapons to Earth!\Give them to Earth!\The cries to repel alien forces and\strengthen Earth defenses have been intensifying.\That would lead to the path of destruction.\Until now, the masses have\considered this war someone else's problem.\We will mass produce AHSMB units on the Rhinos' production line. response:	Is that why you disclosed information regarding the Rhinos units?
context: Give them to Earth!\The cries to repel alien forces and\strengthen Earth defenses have been intensifying.\That would lead to the path of destruction.\Until now, the masses have\considered this war someone else's problem.\We will mass produce AHSMB units on the Rhinos' production line.\Is that why you disclosed information regarding the Rhinos units? response:	Deep Recon
context: The cries to repel alien forces and\strengthen Earth defenses have been intensifying.\That would lead to the path of destruction.\Until now, the masses have\considered this war someone else's problem.\We will mass produce AHSMB units on the Rhinos' production line.\Is that why you disclosed information regarding the Rhinos units?\Deep Recon response:	Dang! So, would defeating a Lega-whatever in a game
context: strengthen Earth defenses have been intensifying.\That would lead to the path of destruction.\Until now, the masses have\considered this war someone else's problem.\We will mass produce AHSMB units on the Rhinos' production line.\Is that why you disclosed information regarding the Rhinos units?\Deep Recon\Dang! So, would defeating a Lega-whatever in a game response:	be like vanquishing a midboss?
context: That would lead to the path of destruction.\Until now, the masses have\considered this war someone else's problem.\We will mass produce AHSMB units on the Rhinos' production line.\Is that why you disclosed information regarding the Rhinos units?\Deep Recon\Dang! So, would defeating a Lega-whatever in a game\be like vanquishing a midboss? response:	Wasn't he a Legatus?
context: Until now, the masses have\considered this war someone else's problem.\We will mass produce AHSMB units on the Rhinos' production line.\Is that why you disclosed information regarding the Rhinos units?\Deep Recon\Dang! So, would defeating a Lega-whatever in a game\be like vanquishing a midboss?\Wasn't he a Legatus? response:	It's their Military Commander equivalent.
context: considered this war someone else's problem.\We will mass produce AHSMB units on the Rhinos' production line.\Is that why you disclosed information regarding the Rhinos units?\Deep Recon\Dang! So, would defeating a Lega-whatever in a game\be like vanquishing a midboss?\Wasn't he a Legatus?\It's their Military Commander equivalent. response:	Is a Military Commander high ranking?
context: We will mass produce AHSMB units on the Rhinos' production line.\Is that why you disclosed information regarding the Rhinos units?\Deep Recon\Dang! So, would defeating a Lega-whatever in a game\be like vanquishing a midboss?\Wasn't he a Legatus?\It's their Military Commander equivalent.\Is a Military Commander high ranking? response:	Shouldn't he be?
context: Is that why you disclosed information regarding the Rhinos units?\Deep Recon\Dang! So, would defeating a Lega-whatever in a game\be like vanquishing a midboss?\Wasn't he a Legatus?\It's their Military Commander equivalent.\Is a Military Commander high ranking?\Shouldn't he be? response:	Then isn't it about time we shed our title as the Fail Five?
context: Deep Recon\Dang! So, would defeating a Lega-whatever in a game\be like vanquishing a midboss?\Wasn't he a Legatus?\It's their Military Commander equivalent.\Is a Military Commander high ranking?\Shouldn't he be?\Then isn't it about time we shed our title as the Fail Five? response:	Not if each midboss trashes all of our units.
context: Dang! So, would defeating a Lega-whatever in a game\be like vanquishing a midboss?\Wasn't he a Legatus?\It's their Military Commander equivalent.\Is a Military Commander high ranking?\Shouldn't he be?\Then isn't it about time we shed our title as the Fail Five?\Not if each midboss trashes all of our units. response:	Repairs are only 28 done for mine...
context: be like vanquishing a midboss?\Wasn't he a Legatus?\It's their Military Commander equivalent.\Is a Military Commander high ranking?\Shouldn't he be?\Then isn't it about time we shed our title as the Fail Five?\Not if each midboss trashes all of our units.\Repairs are only 28 done for mine... response:	Mine is in similar shape.
context: Wasn't he a Legatus?\It's their Military Commander equivalent.\Is a Military Commander high ranking?\Shouldn't he be?\Then isn't it about time we shed our title as the Fail Five?\Not if each midboss trashes all of our units.\Repairs are only 28 done for mine...\Mine is in similar shape. response:	You two have it good!
context: It's their Military Commander equivalent.\Is a Military Commander high ranking?\Shouldn't he be?\Then isn't it about time we shed our title as the Fail Five?\Not if each midboss trashes all of our units.\Repairs are only 28 done for mine...\Mine is in similar shape.\You two have it good! response:	They said mine's smashed like a water flea.
context: Is a Military Commander high ranking?\Shouldn't he be?\Then isn't it about time we shed our title as the Fail Five?\Not if each midboss trashes all of our units.\Repairs are only 28 done for mine...\Mine is in similar shape.\You two have it good!\They said mine's smashed like a water flea. response:	What's a water flea?
context: Shouldn't he be?\Then isn't it about time we shed our title as the Fail Five?\Not if each midboss trashes all of our units.\Repairs are only 28 done for mine...\Mine is in similar shape.\You two have it good!\They said mine's smashed like a water flea.\What's a water flea? response:	A crustacean of the Branchiopoda class,
context: Then isn't it about time we shed our title as the Fail Five?\Not if each midboss trashes all of our units.\Repairs are only 28 done for mine...\Mine is in similar shape.\You two have it good!\They said mine's smashed like a water flea.\What's a water flea?\A crustacean of the Branchiopoda class, response:	Diplostraca order, Cladocera suborder,
