context: A whole colony of Demon Bats! response:	They're the Demon Bats!
context: A whole colony of Demon Bats!\They're the Demon Bats! response:	They're heading for the village!
context: A whole colony of Demon Bats!\They're the Demon Bats!\They're heading for the village! response:	Huh?!
context: A whole colony of Demon Bats!\They're the Demon Bats!\They're heading for the village!\Huh?! response:	Hey you guys!
context: A whole colony of Demon Bats!\They're the Demon Bats!\They're heading for the village!\Huh?!\Hey you guys! response:	What're you gawking at! Let's go!
context: A whole colony of Demon Bats!\They're the Demon Bats!\They're heading for the village!\Huh?!\Hey you guys!\What're you gawking at! Let's go! response:	Help!
context: A whole colony of Demon Bats!\They're the Demon Bats!\They're heading for the village!\Huh?!\Hey you guys!\What're you gawking at! Let's go!\Help! response:	The village...
context: A whole colony of Demon Bats!\They're the Demon Bats!\They're heading for the village!\Huh?!\Hey you guys!\What're you gawking at! Let's go!\Help!\The village... response:	Don't grieve over them, Shiori.
context: They're the Demon Bats!\They're heading for the village!\Huh?!\Hey you guys!\What're you gawking at! Let's go!\Help!\The village...\Don't grieve over them, Shiori. response:	They're the ones who harassed you and your mother.
context: They're heading for the village!\Huh?!\Hey you guys!\What're you gawking at! Let's go!\Help!\The village...\Don't grieve over them, Shiori.\They're the ones who harassed you and your mother. response:	Don't worry.
context: Huh?!\Hey you guys!\What're you gawking at! Let's go!\Help!\The village...\Don't grieve over them, Shiori.\They're the ones who harassed you and your mother.\Don't worry. response:	If you protect me with the barrier,
context: Hey you guys!\What're you gawking at! Let's go!\Help!\The village...\Don't grieve over them, Shiori.\They're the ones who harassed you and your mother.\Don't worry.\If you protect me with the barrier, response:	I will spare your mother's life.
context: What're you gawking at! Let's go!\Help!\The village...\Don't grieve over them, Shiori.\They're the ones who harassed you and your mother.\Don't worry.\If you protect me with the barrier,\I will spare your mother's life. response:	No need to hold back.
context: Help!\The village...\Don't grieve over them, Shiori.\They're the ones who harassed you and your mother.\Don't worry.\If you protect me with the barrier,\I will spare your mother's life.\No need to hold back. response:	Annihilate the entire village!
