context: By joining our revolt, Princess, you will strengthen our solidarity. response:	There will be a victory prayer service today at the new Royal Cathedral.
context: By joining our revolt, Princess, you will strengthen our solidarity.\There will be a victory prayer service today at the new Royal Cathedral. response:	Key members of the royal family and various lords and ladies will be in attendance.
context: By joining our revolt, Princess, you will strengthen our solidarity.\There will be a victory prayer service today at the new Royal Cathedral.\Key members of the royal family and various lords and ladies will be in attendance. response:	Of course that includes Her Majesty the Queen.
context: By joining our revolt, Princess, you will strengthen our solidarity.\There will be a victory prayer service today at the new Royal Cathedral.\Key members of the royal family and various lords and ladies will be in attendance.\Of course that includes Her Majesty the Queen. response:	We will wait for the ceremony to begin,
context: By joining our revolt, Princess, you will strengthen our solidarity.\There will be a victory prayer service today at the new Royal Cathedral.\Key members of the royal family and various lords and ladies will be in attendance.\Of course that includes Her Majesty the Queen.\We will wait for the ceremony to begin, response:	and then drop the cathedral's ceiling.
context: By joining our revolt, Princess, you will strengthen our solidarity.\There will be a victory prayer service today at the new Royal Cathedral.\Key members of the royal family and various lords and ladies will be in attendance.\Of course that includes Her Majesty the Queen.\We will wait for the ceremony to begin,\and then drop the cathedral's ceiling. response:	The ceiling?
context: By joining our revolt, Princess, you will strengthen our solidarity.\There will be a victory prayer service today at the new Royal Cathedral.\Key members of the royal family and various lords and ladies will be in attendance.\Of course that includes Her Majesty the Queen.\We will wait for the ceremony to begin,\and then drop the cathedral's ceiling.\The ceiling? response:	It's exactly what it sounds like.
context: By joining our revolt, Princess, you will strengthen our solidarity.\There will be a victory prayer service today at the new Royal Cathedral.\Key members of the royal family and various lords and ladies will be in attendance.\Of course that includes Her Majesty the Queen.\We will wait for the ceremony to begin,\and then drop the cathedral's ceiling.\The ceiling?\It's exactly what it sounds like. response:	Many of the laborers who built the cathedral are fellow believers in our cause.
context: There will be a victory prayer service today at the new Royal Cathedral.\Key members of the royal family and various lords and ladies will be in attendance.\Of course that includes Her Majesty the Queen.\We will wait for the ceremony to begin,\and then drop the cathedral's ceiling.\The ceiling?\It's exactly what it sounds like.\Many of the laborers who built the cathedral are fellow believers in our cause. response:	The colonies are ruled by the Kingdom, and their people make up most of the workforce,
context: Key members of the royal family and various lords and ladies will be in attendance.\Of course that includes Her Majesty the Queen.\We will wait for the ceremony to begin,\and then drop the cathedral's ceiling.\The ceiling?\It's exactly what it sounds like.\Many of the laborers who built the cathedral are fellow believers in our cause.\The colonies are ruled by the Kingdom, and their people make up most of the workforce, response:	but they are only granted the bare minimum of human rights.
context: Of course that includes Her Majesty the Queen.\We will wait for the ceremony to begin,\and then drop the cathedral's ceiling.\The ceiling?\It's exactly what it sounds like.\Many of the laborers who built the cathedral are fellow believers in our cause.\The colonies are ruled by the Kingdom, and their people make up most of the workforce,\but they are only granted the bare minimum of human rights. response:	Their outrage was inevitable.
context: We will wait for the ceremony to begin,\and then drop the cathedral's ceiling.\The ceiling?\It's exactly what it sounds like.\Many of the laborers who built the cathedral are fellow believers in our cause.\The colonies are ruled by the Kingdom, and their people make up most of the workforce,\but they are only granted the bare minimum of human rights.\Their outrage was inevitable. response:	Princess Charlotte, I swear this revolution will succeed.
context: and then drop the cathedral's ceiling.\The ceiling?\It's exactly what it sounds like.\Many of the laborers who built the cathedral are fellow believers in our cause.\The colonies are ruled by the Kingdom, and their people make up most of the workforce,\but they are only granted the bare minimum of human rights.\Their outrage was inevitable.\Princess Charlotte, I swear this revolution will succeed. response:	Immigration, poverty, classism.
context: The ceiling?\It's exactly what it sounds like.\Many of the laborers who built the cathedral are fellow believers in our cause.\The colonies are ruled by the Kingdom, and their people make up most of the workforce,\but they are only granted the bare minimum of human rights.\Their outrage was inevitable.\Princess Charlotte, I swear this revolution will succeed.\Immigration, poverty, classism. response:	Those are the reasons you fight.
context: It's exactly what it sounds like.\Many of the laborers who built the cathedral are fellow believers in our cause.\The colonies are ruled by the Kingdom, and their people make up most of the workforce,\but they are only granted the bare minimum of human rights.\Their outrage was inevitable.\Princess Charlotte, I swear this revolution will succeed.\Immigration, poverty, classism.\Those are the reasons you fight. response:	But I can't let you do it.
context: Many of the laborers who built the cathedral are fellow believers in our cause.\The colonies are ruled by the Kingdom, and their people make up most of the workforce,\but they are only granted the bare minimum of human rights.\Their outrage was inevitable.\Princess Charlotte, I swear this revolution will succeed.\Immigration, poverty, classism.\Those are the reasons you fight.\But I can't let you do it. response:	Not a revolution.
