context: They're going to choose the Moon Princess response:	by her looks, athletic ability and gracefulness?!
context: They're going to choose the Moon Princess\by her looks, athletic ability and gracefulness?! response:	So, what about me?! I'm stuck in all this snow!
context: They're going to choose the Moon Princess\by her looks, athletic ability and gracefulness?!\So, what about me?! I'm stuck in all this snow! response:	A girl's not supposed to let her hips get cold, you know?!
context: They're going to choose the Moon Princess\by her looks, athletic ability and gracefulness?!\So, what about me?! I'm stuck in all this snow!\A girl's not supposed to let her hips get cold, you know?! response:	In the name of the moon, Sailor Moon will punish you!
context: They're going to choose the Moon Princess\by her looks, athletic ability and gracefulness?!\So, what about me?! I'm stuck in all this snow!\A girl's not supposed to let her hips get cold, you know?!\In the name of the moon, Sailor Moon will punish you! response:	Gomen ne sunao ja nakute yume no naka nara ieru
context: They're going to choose the Moon Princess\by her looks, athletic ability and gracefulness?!\So, what about me?! I'm stuck in all this snow!\A girl's not supposed to let her hips get cold, you know?!\In the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru response:	Shikou kairo wa short sunzen ima sugu aitai yo
context: They're going to choose the Moon Princess\by her looks, athletic ability and gracefulness?!\So, what about me?! I'm stuck in all this snow!\A girl's not supposed to let her hips get cold, you know?!\In the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo response:	Nakitakunaru you na moonlight denwa mo dekinai midnight
context: They're going to choose the Moon Princess\by her looks, athletic ability and gracefulness?!\So, what about me?! I'm stuck in all this snow!\A girl's not supposed to let her hips get cold, you know?!\In the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight response:	Datte junjou dou shiyou heart wa mangekyou
context: by her looks, athletic ability and gracefulness?!\So, what about me?! I'm stuck in all this snow!\A girl's not supposed to let her hips get cold, you know?!\In the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou response:	Tsuki no hikari ni michibikare
context: So, what about me?! I'm stuck in all this snow!\A girl's not supposed to let her hips get cold, you know?!\In the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare response:	Nando mo meguriau
context: A girl's not supposed to let her hips get cold, you know?!\In the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau response:	Seiza no matataki kazoe uranau koi no yukue
context: In the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue response:	Onaji kuni ni umareta no miracle romance
context: Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance response:	Shinjite iru no miracle romance
context: Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance response:	The Snow! The Mountains! Our Friendship! And Of Course, a Monster, Too
context: Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\The Snow! The Mountains! Our Friendship! And Of Course, a Monster, Too response:	Hey, everyone, let's go!
context: Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\The Snow! The Mountains! Our Friendship! And Of Course, a Monster, Too\Hey, everyone, let's go! response:	It says here that one of the events is called
context: Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\The Snow! The Mountains! Our Friendship! And Of Course, a Monster, Too\Hey, everyone, let's go!\It says here that one of the events is called response:	the Moon Princess Contest!
context: Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\The Snow! The Mountains! Our Friendship! And Of Course, a Monster, Too\Hey, everyone, let's go!\It says here that one of the events is called\the Moon Princess Contest! response:	Moon Princess Contest?
context: Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\The Snow! The Mountains! Our Friendship! And Of Course, a Monster, Too\Hey, everyone, let's go!\It says here that one of the events is called\the Moon Princess Contest!\Moon Princess Contest? response:	That's right!
context: Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\The Snow! The Mountains! Our Friendship! And Of Course, a Monster, Too\Hey, everyone, let's go!\It says here that one of the events is called\the Moon Princess Contest!\Moon Princess Contest?\That's right! response:	Don't you think this contest was practically made for me?!
context: Shinjite iru no miracle romance\The Snow! The Mountains! Our Friendship! And Of Course, a Monster, Too\Hey, everyone, let's go!\It says here that one of the events is called\the Moon Princess Contest!\Moon Princess Contest?\That's right!\Don't you think this contest was practically made for me?! response:	Let me see.
context: The Snow! The Mountains! Our Friendship! And Of Course, a Monster, Too\Hey, everyone, let's go!\It says here that one of the events is called\the Moon Princess Contest!\Moon Princess Contest?\That's right!\Don't you think this contest was practically made for me?!\Let me see. response:	Wow! The award ceremony at Moonlight Course
context: Hey, everyone, let's go!\It says here that one of the events is called\the Moon Princess Contest!\Moon Princess Contest?\That's right!\Don't you think this contest was practically made for me?!\Let me see.\Wow! The award ceremony at Moonlight Course response:	Moon Princess Contest Wow! The award ceremony at Moonlight Course
context: It says here that one of the events is called\the Moon Princess Contest!\Moon Princess Contest?\That's right!\Don't you think this contest was practically made for me?!\Let me see.\Wow! The award ceremony at Moonlight Course\Moon Princess Contest Wow! The award ceremony at Moonlight Course response:	Moon Princess Contest Executive Committee will be held in the moonlight.
context: the Moon Princess Contest!\Moon Princess Contest?\That's right!\Don't you think this contest was practically made for me?!\Let me see.\Wow! The award ceremony at Moonlight Course\Moon Princess Contest Wow! The award ceremony at Moonlight Course\Moon Princess Contest Executive Committee will be held in the moonlight. response:	Will be held in the moonlight.
context: Moon Princess Contest?\That's right!\Don't you think this contest was practically made for me?!\Let me see.\Wow! The award ceremony at Moonlight Course\Moon Princess Contest Wow! The award ceremony at Moonlight Course\Moon Princess Contest Executive Committee will be held in the moonlight.\Will be held in the moonlight. response:	Oh...
context: That's right!\Don't you think this contest was practically made for me?!\Let me see.\Wow! The award ceremony at Moonlight Course\Moon Princess Contest Wow! The award ceremony at Moonlight Course\Moon Princess Contest Executive Committee will be held in the moonlight.\Will be held in the moonlight.\Oh... response:	Moon Princess
context: Don't you think this contest was practically made for me?!\Let me see.\Wow! The award ceremony at Moonlight Course\Moon Princess Contest Wow! The award ceremony at Moonlight Course\Moon Princess Contest Executive Committee will be held in the moonlight.\Will be held in the moonlight.\Oh...\Moon Princess response:	It sure does sound romantic.
context: Let me see.\Wow! The award ceremony at Moonlight Course\Moon Princess Contest Wow! The award ceremony at Moonlight Course\Moon Princess Contest Executive Committee will be held in the moonlight.\Will be held in the moonlight.\Oh...\Moon Princess\It sure does sound romantic. response:	Don't you think so?!
context: Wow! The award ceremony at Moonlight Course\Moon Princess Contest Wow! The award ceremony at Moonlight Course\Moon Princess Contest Executive Committee will be held in the moonlight.\Will be held in the moonlight.\Oh...\Moon Princess\It sure does sound romantic.\Don't you think so?! response:	We don't mind, but won't Luna make a fuss about it again?
context: Moon Princess Contest Wow! The award ceremony at Moonlight Course\Moon Princess Contest Executive Committee will be held in the moonlight.\Will be held in the moonlight.\Oh...\Moon Princess\It sure does sound romantic.\Don't you think so?!\We don't mind, but won't Luna make a fuss about it again? response:	You don't have to worry about that. We'll just tell Luna
