context: Lady Marrine. response:	I've received word that Sayid, the King of Dartania, has died,
context: Lady Marrine.\I've received word that Sayid, the King of Dartania, has died, response:	and his son, Milza, has succeeded him.
context: Lady Marrine.\I've received word that Sayid, the King of Dartania, has died,\and his son, Milza, has succeeded him. response:	Meaning Lord Milza has kept his vow.
context: Lady Marrine.\I've received word that Sayid, the King of Dartania, has died,\and his son, Milza, has succeeded him.\Meaning Lord Milza has kept his vow. response:	Let's begin!
context: Lady Marrine.\I've received word that Sayid, the King of Dartania, has died,\and his son, Milza, has succeeded him.\Meaning Lord Milza has kept his vow.\Let's begin! response:	As you wish.
context: Lady Marrine.\I've received word that Sayid, the King of Dartania, has died,\and his son, Milza, has succeeded him.\Meaning Lord Milza has kept his vow.\Let's begin!\As you wish. response:	Just as you predicted, Lady Zelma! The Waldlind forces are on the attack!
context: Lady Marrine.\I've received word that Sayid, the King of Dartania, has died,\and his son, Milza, has succeeded him.\Meaning Lord Milza has kept his vow.\Let's begin!\As you wish.\Just as you predicted, Lady Zelma! The Waldlind forces are on the attack! response:	We've already summoned Mist, and hid the roads leading to the village.
context: Lady Marrine.\I've received word that Sayid, the King of Dartania, has died,\and his son, Milza, has succeeded him.\Meaning Lord Milza has kept his vow.\Let's begin!\As you wish.\Just as you predicted, Lady Zelma! The Waldlind forces are on the attack!\We've already summoned Mist, and hid the roads leading to the village. response:	That should be good enough.
context: I've received word that Sayid, the King of Dartania, has died,\and his son, Milza, has succeeded him.\Meaning Lord Milza has kept his vow.\Let's begin!\As you wish.\Just as you predicted, Lady Zelma! The Waldlind forces are on the attack!\We've already summoned Mist, and hid the roads leading to the village.\That should be good enough. response:	Since all we need is for Waldlind to head straight for that boy's castle.
context: and his son, Milza, has succeeded him.\Meaning Lord Milza has kept his vow.\Let's begin!\As you wish.\Just as you predicted, Lady Zelma! The Waldlind forces are on the attack!\We've already summoned Mist, and hid the roads leading to the village.\That should be good enough.\Since all we need is for Waldlind to head straight for that boy's castle. response:	Our job is to be Wolf Stalkers.
context: Meaning Lord Milza has kept his vow.\Let's begin!\As you wish.\Just as you predicted, Lady Zelma! The Waldlind forces are on the attack!\We've already summoned Mist, and hid the roads leading to the village.\That should be good enough.\Since all we need is for Waldlind to head straight for that boy's castle.\Our job is to be Wolf Stalkers. response:	Stay on their tails and never take your eyes off them!
context: Let's begin!\As you wish.\Just as you predicted, Lady Zelma! The Waldlind forces are on the attack!\We've already summoned Mist, and hid the roads leading to the village.\That should be good enough.\Since all we need is for Waldlind to head straight for that boy's castle.\Our job is to be Wolf Stalkers.\Stay on their tails and never take your eyes off them! response:	Even if they let their guard down, don't assault them, no matter what.
context: As you wish.\Just as you predicted, Lady Zelma! The Waldlind forces are on the attack!\We've already summoned Mist, and hid the roads leading to the village.\That should be good enough.\Since all we need is for Waldlind to head straight for that boy's castle.\Our job is to be Wolf Stalkers.\Stay on their tails and never take your eyes off them!\Even if they let their guard down, don't assault them, no matter what. response:	Go!
context: Just as you predicted, Lady Zelma! The Waldlind forces are on the attack!\We've already summoned Mist, and hid the roads leading to the village.\That should be good enough.\Since all we need is for Waldlind to head straight for that boy's castle.\Our job is to be Wolf Stalkers.\Stay on their tails and never take your eyes off them!\Even if they let their guard down, don't assault them, no matter what.\Go! response:	Zeed, Flint...
context: We've already summoned Mist, and hid the roads leading to the village.\That should be good enough.\Since all we need is for Waldlind to head straight for that boy's castle.\Our job is to be Wolf Stalkers.\Stay on their tails and never take your eyes off them!\Even if they let their guard down, don't assault them, no matter what.\Go!\Zeed, Flint... response:	From here on out, I'm counting on you to look after everyone.
context: That should be good enough.\Since all we need is for Waldlind to head straight for that boy's castle.\Our job is to be Wolf Stalkers.\Stay on their tails and never take your eyes off them!\Even if they let their guard down, don't assault them, no matter what.\Go!\Zeed, Flint...\From here on out, I'm counting on you to look after everyone. response:	What's this all of a sudden?
context: Since all we need is for Waldlind to head straight for that boy's castle.\Our job is to be Wolf Stalkers.\Stay on their tails and never take your eyes off them!\Even if they let their guard down, don't assault them, no matter what.\Go!\Zeed, Flint...\From here on out, I'm counting on you to look after everyone.\What's this all of a sudden? response:	I'll be setting off in search of Dimitrie.
context: Our job is to be Wolf Stalkers.\Stay on their tails and never take your eyes off them!\Even if they let their guard down, don't assault them, no matter what.\Go!\Zeed, Flint...\From here on out, I'm counting on you to look after everyone.\What's this all of a sudden?\I'll be setting off in search of Dimitrie. response:	Brother...
context: Stay on their tails and never take your eyes off them!\Even if they let their guard down, don't assault them, no matter what.\Go!\Zeed, Flint...\From here on out, I'm counting on you to look after everyone.\What's this all of a sudden?\I'll be setting off in search of Dimitrie.\Brother... response:	It's been seven days since my cousin breached our borders by crossing the Dornir River,
context: Even if they let their guard down, don't assault them, no matter what.\Go!\Zeed, Flint...\From here on out, I'm counting on you to look after everyone.\What's this all of a sudden?\I'll be setting off in search of Dimitrie.\Brother...\It's been seven days since my cousin breached our borders by crossing the Dornir River, response:	but after establishing her stronghold, she hasn't budged.
context: Go!\Zeed, Flint...\From here on out, I'm counting on you to look after everyone.\What's this all of a sudden?\I'll be setting off in search of Dimitrie.\Brother...\It's been seven days since my cousin breached our borders by crossing the Dornir River,\but after establishing her stronghold, she hasn't budged. response:	I don't know what her next move might be,
context: Zeed, Flint...\From here on out, I'm counting on you to look after everyone.\What's this all of a sudden?\I'll be setting off in search of Dimitrie.\Brother...\It's been seven days since my cousin breached our borders by crossing the Dornir River,\but after establishing her stronghold, she hasn't budged.\I don't know what her next move might be, response:	but I will request aid from Lord Selge of Regalia, and Solon, King of Kilhis.
context: From here on out, I'm counting on you to look after everyone.\What's this all of a sudden?\I'll be setting off in search of Dimitrie.\Brother...\It's been seven days since my cousin breached our borders by crossing the Dornir River,\but after establishing her stronghold, she hasn't budged.\I don't know what her next move might be,\but I will request aid from Lord Selge of Regalia, and Solon, King of Kilhis. response:	As for Edokia, Queen of Halan, I'll ask for her to send the Palace of the Sea.
context: What's this all of a sudden?\I'll be setting off in search of Dimitrie.\Brother...\It's been seven days since my cousin breached our borders by crossing the Dornir River,\but after establishing her stronghold, she hasn't budged.\I don't know what her next move might be,\but I will request aid from Lord Selge of Regalia, and Solon, King of Kilhis.\As for Edokia, Queen of Halan, I'll ask for her to send the Palace of the Sea. response:	Right.
context: I'll be setting off in search of Dimitrie.\Brother...\It's been seven days since my cousin breached our borders by crossing the Dornir River,\but after establishing her stronghold, she hasn't budged.\I don't know what her next move might be,\but I will request aid from Lord Selge of Regalia, and Solon, King of Kilhis.\As for Edokia, Queen of Halan, I'll ask for her to send the Palace of the Sea.\Right. response:	Also...
context: Brother...\It's been seven days since my cousin breached our borders by crossing the Dornir River,\but after establishing her stronghold, she hasn't budged.\I don't know what her next move might be,\but I will request aid from Lord Selge of Regalia, and Solon, King of Kilhis.\As for Edokia, Queen of Halan, I'll ask for her to send the Palace of the Sea.\Right.\Also... response:	Regarding Lord Lassic, who now rules Sievis and Forbes,
context: It's been seven days since my cousin breached our borders by crossing the Dornir River,\but after establishing her stronghold, she hasn't budged.\I don't know what her next move might be,\but I will request aid from Lord Selge of Regalia, and Solon, King of Kilhis.\As for Edokia, Queen of Halan, I'll ask for her to send the Palace of the Sea.\Right.\Also...\Regarding Lord Lassic, who now rules Sievis and Forbes, response:	Give him my order to invade Ozerl.
context: but after establishing her stronghold, she hasn't budged.\I don't know what her next move might be,\but I will request aid from Lord Selge of Regalia, and Solon, King of Kilhis.\As for Edokia, Queen of Halan, I'll ask for her to send the Palace of the Sea.\Right.\Also...\Regarding Lord Lassic, who now rules Sievis and Forbes,\Give him my order to invade Ozerl. response:	Being constantly attacked has to be irritating.
context: I don't know what her next move might be,\but I will request aid from Lord Selge of Regalia, and Solon, King of Kilhis.\As for Edokia, Queen of Halan, I'll ask for her to send the Palace of the Sea.\Right.\Also...\Regarding Lord Lassic, who now rules Sievis and Forbes,\Give him my order to invade Ozerl.\Being constantly attacked has to be irritating. response:	Let's give him a chance to wreak as much havoc as he wants.
context: but I will request aid from Lord Selge of Regalia, and Solon, King of Kilhis.\As for Edokia, Queen of Halan, I'll ask for her to send the Palace of the Sea.\Right.\Also...\Regarding Lord Lassic, who now rules Sievis and Forbes,\Give him my order to invade Ozerl.\Being constantly attacked has to be irritating.\Let's give him a chance to wreak as much havoc as he wants. response:	What would you like to do about Theo Cornaro of the Forest of Eternal Darkness?
context: As for Edokia, Queen of Halan, I'll ask for her to send the Palace of the Sea.\Right.\Also...\Regarding Lord Lassic, who now rules Sievis and Forbes,\Give him my order to invade Ozerl.\Being constantly attacked has to be irritating.\Let's give him a chance to wreak as much havoc as he wants.\What would you like to do about Theo Cornaro of the Forest of Eternal Darkness? response:	The Bultava forces are heading towards Theo's castle.
context: Right.\Also...\Regarding Lord Lassic, who now rules Sievis and Forbes,\Give him my order to invade Ozerl.\Being constantly attacked has to be irritating.\Let's give him a chance to wreak as much havoc as he wants.\What would you like to do about Theo Cornaro of the Forest of Eternal Darkness?\The Bultava forces are heading towards Theo's castle. response:	Tell him my order is to join the battle there.
context: Also...\Regarding Lord Lassic, who now rules Sievis and Forbes,\Give him my order to invade Ozerl.\Being constantly attacked has to be irritating.\Let's give him a chance to wreak as much havoc as he wants.\What would you like to do about Theo Cornaro of the Forest of Eternal Darkness?\The Bultava forces are heading towards Theo's castle.\Tell him my order is to join the battle there. response:	Understood.
