context: We made it back alive. response:	We made it back alive...
context: We made it back alive.\We made it back alive... response:	But...
context: We made it back alive.\We made it back alive...\But... response:	can the Agency look past the thirty-five people she murdered?
context: We made it back alive.\We made it back alive...\But...\can the Agency look past the thirty-five people she murdered? response:	What am I going to do if she and the Agency are at odds with each other?
context: We made it back alive.\We made it back alive...\But...\can the Agency look past the thirty-five people she murdered?\What am I going to do if she and the Agency are at odds with each other? response:	Good morning.
context: We made it back alive.\We made it back alive...\But...\can the Agency look past the thirty-five people she murdered?\What am I going to do if she and the Agency are at odds with each other?\Good morning. response:	Can you turn around once for me?
context: We made it back alive.\We made it back alive...\But...\can the Agency look past the thirty-five people she murdered?\What am I going to do if she and the Agency are at odds with each other?\Good morning.\Can you turn around once for me? response:	So cute!
context: We made it back alive.\We made it back alive...\But...\can the Agency look past the thirty-five people she murdered?\What am I going to do if she and the Agency are at odds with each other?\Good morning.\Can you turn around once for me?\So cute! response:	What's going on?
context: We made it back alive...\But...\can the Agency look past the thirty-five people she murdered?\What am I going to do if she and the Agency are at odds with each other?\Good morning.\Can you turn around once for me?\So cute!\What's going on? response:	Well, she looks good in anything.
context: But...\can the Agency look past the thirty-five people she murdered?\What am I going to do if she and the Agency are at odds with each other?\Good morning.\Can you turn around once for me?\So cute!\What's going on?\Well, she looks good in anything. response:	No, that's not what I'm talking about...
context: can the Agency look past the thirty-five people she murdered?\What am I going to do if she and the Agency are at odds with each other?\Good morning.\Can you turn around once for me?\So cute!\What's going on?\Well, she looks good in anything.\No, that's not what I'm talking about... response:	Kunikida-san...
context: What am I going to do if she and the Agency are at odds with each other?\Good morning.\Can you turn around once for me?\So cute!\What's going on?\Well, she looks good in anything.\No, that's not what I'm talking about...\Kunikida-san... response:	Don't look at me like that.
context: Good morning.\Can you turn around once for me?\So cute!\What's going on?\Well, she looks good in anything.\No, that's not what I'm talking about...\Kunikida-san...\Don't look at me like that. response:	I tried to stop them, too.
context: Can you turn around once for me?\So cute!\What's going on?\Well, she looks good in anything.\No, that's not what I'm talking about...\Kunikida-san...\Don't look at me like that.\I tried to stop them, too. response:	I wonder if this is going to work out.
context: So cute!\What's going on?\Well, she looks good in anything.\No, that's not what I'm talking about...\Kunikida-san...\Don't look at me like that.\I tried to stop them, too.\I wonder if this is going to work out. response:	Maybe it's not such a good idea.
context: What's going on?\Well, she looks good in anything.\No, that's not what I'm talking about...\Kunikida-san...\Don't look at me like that.\I tried to stop them, too.\I wonder if this is going to work out.\Maybe it's not such a good idea. response:	Even if everyone else is okay with it,
context: Well, she looks good in anything.\No, that's not what I'm talking about...\Kunikida-san...\Don't look at me like that.\I tried to stop them, too.\I wonder if this is going to work out.\Maybe it's not such a good idea.\Even if everyone else is okay with it, response:	Rampo-san might be a stickler about the rules...
context: No, that's not what I'm talking about...\Kunikida-san...\Don't look at me like that.\I tried to stop them, too.\I wonder if this is going to work out.\Maybe it's not such a good idea.\Even if everyone else is okay with it,\Rampo-san might be a stickler about the rules... response:	Oh, don't worry about that.
context: Kunikida-san...\Don't look at me like that.\I tried to stop them, too.\I wonder if this is going to work out.\Maybe it's not such a good idea.\Even if everyone else is okay with it,\Rampo-san might be a stickler about the rules...\Oh, don't worry about that. response:	I'm back!
context: Don't look at me like that.\I tried to stop them, too.\I wonder if this is going to work out.\Maybe it's not such a good idea.\Even if everyone else is okay with it,\Rampo-san might be a stickler about the rules...\Oh, don't worry about that.\I'm back! response:	I bought some!
context: I tried to stop them, too.\I wonder if this is going to work out.\Maybe it's not such a good idea.\Even if everyone else is okay with it,\Rampo-san might be a stickler about the rules...\Oh, don't worry about that.\I'm back!\I bought some! response:	Rampo-san's into it the most.
context: I wonder if this is going to work out.\Maybe it's not such a good idea.\Even if everyone else is okay with it,\Rampo-san might be a stickler about the rules...\Oh, don't worry about that.\I'm back!\I bought some!\Rampo-san's into it the most. response:	Mixy Mixy Mixy Mix Grape Flavor
context: Maybe it's not such a good idea.\Even if everyone else is okay with it,\Rampo-san might be a stickler about the rules...\Oh, don't worry about that.\I'm back!\I bought some!\Rampo-san's into it the most.\Mixy Mixy Mixy Mix Grape Flavor response:	This is the snack I told you about earlier.
context: Even if everyone else is okay with it,\Rampo-san might be a stickler about the rules...\Oh, don't worry about that.\I'm back!\I bought some!\Rampo-san's into it the most.\Mixy Mixy Mixy Mix Grape Flavor\This is the snack I told you about earlier. response:	It changes color when you mix it.
context: Rampo-san might be a stickler about the rules...\Oh, don't worry about that.\I'm back!\I bought some!\Rampo-san's into it the most.\Mixy Mixy Mixy Mix Grape Flavor\This is the snack I told you about earlier.\It changes color when you mix it. response:	Go ahead, mix it.
