context: Fixed Synced by bozxphd.Enjoy The Flick response:	Dropping troops at rally point.
context: Fixed Synced by bozxphd.Enjoy The Flick\Dropping troops at rally point. response:	We are given two hours!
context: Fixed Synced by bozxphd.Enjoy The Flick\Dropping troops at rally point.\We are given two hours! response:	If we fail this mission within that time,
context: Fixed Synced by bozxphd.Enjoy The Flick\Dropping troops at rally point.\We are given two hours!\If we fail this mission within that time, response:	our survival will be at stake.
context: Fixed Synced by bozxphd.Enjoy The Flick\Dropping troops at rally point.\We are given two hours!\If we fail this mission within that time,\our survival will be at stake. response:	We will make sure that the head unit will be able to attack with the new missile!
context: Fixed Synced by bozxphd.Enjoy The Flick\Dropping troops at rally point.\We are given two hours!\If we fail this mission within that time,\our survival will be at stake.\We will make sure that the head unit will be able to attack with the new missile! response:	Ready!
context: Fixed Synced by bozxphd.Enjoy The Flick\Dropping troops at rally point.\We are given two hours!\If we fail this mission within that time,\our survival will be at stake.\We will make sure that the head unit will be able to attack with the new missile!\Ready! response:	Go! Go! Go! Go! Go! Go! Go! Go! Go! Go!
context: Fixed Synced by bozxphd.Enjoy The Flick\Dropping troops at rally point.\We are given two hours!\If we fail this mission within that time,\our survival will be at stake.\We will make sure that the head unit will be able to attack with the new missile!\Ready!\Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! response:	All units have landed. Incoming transmissions from the units.
context: Dropping troops at rally point.\We are given two hours!\If we fail this mission within that time,\our survival will be at stake.\We will make sure that the head unit will be able to attack with the new missile!\Ready!\Go! Go! Go! Go! Go! Go! Go! Go! Go! Go!\All units have landed. Incoming transmissions from the units. response:	Five meters till they reach the target.
context: We are given two hours!\If we fail this mission within that time,\our survival will be at stake.\We will make sure that the head unit will be able to attack with the new missile!\Ready!\Go! Go! Go! Go! Go! Go! Go! Go! Go! Go!\All units have landed. Incoming transmissions from the units.\Five meters till they reach the target. response:	Three meters.
context: If we fail this mission within that time,\our survival will be at stake.\We will make sure that the head unit will be able to attack with the new missile!\Ready!\Go! Go! Go! Go! Go! Go! Go! Go! Go! Go!\All units have landed. Incoming transmissions from the units.\Five meters till they reach the target.\Three meters. response:	Two.
context: our survival will be at stake.\We will make sure that the head unit will be able to attack with the new missile!\Ready!\Go! Go! Go! Go! Go! Go! Go! Go! Go! Go!\All units have landed. Incoming transmissions from the units.\Five meters till they reach the target.\Three meters.\Two. response:	One.
context: We will make sure that the head unit will be able to attack with the new missile!\Ready!\Go! Go! Go! Go! Go! Go! Go! Go! Go! Go!\All units have landed. Incoming transmissions from the units.\Five meters till they reach the target.\Three meters.\Two.\One. response:	Hey! Cease fire!
