context: There you go, making that face again, response:	biting onto your lips.
context: There you go, making that face again,\biting onto your lips. response:	You're hiding your weak side,
context: There you go, making that face again,\biting onto your lips.\You're hiding your weak side, response:	but deep in those eyes,
context: There you go, making that face again,\biting onto your lips.\You're hiding your weak side,\but deep in those eyes, response:	I can see you cowering.
context: There you go, making that face again,\biting onto your lips.\You're hiding your weak side,\but deep in those eyes,\I can see you cowering. response:	If you had a true heart,
context: There you go, making that face again,\biting onto your lips.\You're hiding your weak side,\but deep in those eyes,\I can see you cowering.\If you had a true heart, response:	you would care, cry, call for someone and worry.
context: There you go, making that face again,\biting onto your lips.\You're hiding your weak side,\but deep in those eyes,\I can see you cowering.\If you had a true heart,\you would care, cry, call for someone and worry. response:	Why are you holding onto the pain?
context: There you go, making that face again,\biting onto your lips.\You're hiding your weak side,\but deep in those eyes,\I can see you cowering.\If you had a true heart,\you would care, cry, call for someone and worry.\Why are you holding onto the pain? response:	Share some of it with me.
context: biting onto your lips.\You're hiding your weak side,\but deep in those eyes,\I can see you cowering.\If you had a true heart,\you would care, cry, call for someone and worry.\Why are you holding onto the pain?\Share some of it with me. response:	If you don't think it's possible right away,
context: You're hiding your weak side,\but deep in those eyes,\I can see you cowering.\If you had a true heart,\you would care, cry, call for someone and worry.\Why are you holding onto the pain?\Share some of it with me.\If you don't think it's possible right away, response:	you can do it slowly, bit by bit.
context: but deep in those eyes,\I can see you cowering.\If you had a true heart,\you would care, cry, call for someone and worry.\Why are you holding onto the pain?\Share some of it with me.\If you don't think it's possible right away,\you can do it slowly, bit by bit. response:	We don't have wings,
context: I can see you cowering.\If you had a true heart,\you would care, cry, call for someone and worry.\Why are you holding onto the pain?\Share some of it with me.\If you don't think it's possible right away,\you can do it slowly, bit by bit.\We don't have wings, response:	but I'm sure we're only finding times that we can't fly.
context: If you had a true heart,\you would care, cry, call for someone and worry.\Why are you holding onto the pain?\Share some of it with me.\If you don't think it's possible right away,\you can do it slowly, bit by bit.\We don't have wings,\but I'm sure we're only finding times that we can't fly. response:	I'll call for you to the limits of my voice
context: you would care, cry, call for someone and worry.\Why are you holding onto the pain?\Share some of it with me.\If you don't think it's possible right away,\you can do it slowly, bit by bit.\We don't have wings,\but I'm sure we're only finding times that we can't fly.\I'll call for you to the limits of my voice response:	so that you won't get lost.
context: Why are you holding onto the pain?\Share some of it with me.\If you don't think it's possible right away,\you can do it slowly, bit by bit.\We don't have wings,\but I'm sure we're only finding times that we can't fly.\I'll call for you to the limits of my voice\so that you won't get lost. response:	Soar up to the sky with your gentle heart,
context: Share some of it with me.\If you don't think it's possible right away,\you can do it slowly, bit by bit.\We don't have wings,\but I'm sure we're only finding times that we can't fly.\I'll call for you to the limits of my voice\so that you won't get lost.\Soar up to the sky with your gentle heart, response:	ride on that wind, and get it all at once.
context: If you don't think it's possible right away,\you can do it slowly, bit by bit.\We don't have wings,\but I'm sure we're only finding times that we can't fly.\I'll call for you to the limits of my voice\so that you won't get lost.\Soar up to the sky with your gentle heart,\ride on that wind, and get it all at once. response:	Why can I see those things?
context: you can do it slowly, bit by bit.\We don't have wings,\but I'm sure we're only finding times that we can't fly.\I'll call for you to the limits of my voice\so that you won't get lost.\Soar up to the sky with your gentle heart,\ride on that wind, and get it all at once.\Why can I see those things? response:	Am I a weirdo?
context: We don't have wings,\but I'm sure we're only finding times that we can't fly.\I'll call for you to the limits of my voice\so that you won't get lost.\Soar up to the sky with your gentle heart,\ride on that wind, and get it all at once.\Why can I see those things?\Am I a weirdo? response:	What's wrong?
context: but I'm sure we're only finding times that we can't fly.\I'll call for you to the limits of my voice\so that you won't get lost.\Soar up to the sky with your gentle heart,\ride on that wind, and get it all at once.\Why can I see those things?\Am I a weirdo?\What's wrong? response:	Do you feel sick?
context: I'll call for you to the limits of my voice\so that you won't get lost.\Soar up to the sky with your gentle heart,\ride on that wind, and get it all at once.\Why can I see those things?\Am I a weirdo?\What's wrong?\Do you feel sick? response:	Oh?
context: so that you won't get lost.\Soar up to the sky with your gentle heart,\ride on that wind, and get it all at once.\Why can I see those things?\Am I a weirdo?\What's wrong?\Do you feel sick?\Oh? response:	You live around here, don't you?
context: Soar up to the sky with your gentle heart,\ride on that wind, and get it all at once.\Why can I see those things?\Am I a weirdo?\What's wrong?\Do you feel sick?\Oh?\You live around here, don't you? response:	You're always alone, right?
context: ride on that wind, and get it all at once.\Why can I see those things?\Am I a weirdo?\What's wrong?\Do you feel sick?\Oh?\You live around here, don't you?\You're always alone, right? response:	I see you around often.
context: Why can I see those things?\Am I a weirdo?\What's wrong?\Do you feel sick?\Oh?\You live around here, don't you?\You're always alone, right?\I see you around often. response:	Hey.
context: Am I a weirdo?\What's wrong?\Do you feel sick?\Oh?\You live around here, don't you?\You're always alone, right?\I see you around often.\Hey. response:	Could it be...
context: What's wrong?\Do you feel sick?\Oh?\You live around here, don't you?\You're always alone, right?\I see you around often.\Hey.\Could it be... response:	You can see them too?
context: Do you feel sick?\Oh?\You live around here, don't you?\You're always alone, right?\I see you around often.\Hey.\Could it be...\You can see them too? response:	Those strange things.
context: Oh?\You live around here, don't you?\You're always alone, right?\I see you around often.\Hey.\Could it be...\You can see them too?\Those strange things. response:	Hey, you.
