context: Um... response:	Experiment Result: Human is dead,
context: Um...\Experiment Result: Human is dead, response:	mismatch.
context: Um...\Experiment Result: Human is dead,\mismatch. response:	Human is dead?
context: Um...\Experiment Result: Human is dead,\mismatch.\Human is dead? response:	Yeah.
context: Um...\Experiment Result: Human is dead,\mismatch.\Human is dead?\Yeah. response:	Someone...
context: Um...\Experiment Result: Human is dead,\mismatch.\Human is dead?\Yeah.\Someone... response:	I think so. Probably.
context: Um...\Experiment Result: Human is dead,\mismatch.\Human is dead?\Yeah.\Someone...\I think so. Probably. response:	What does it say after that?
context: Um...\Experiment Result: Human is dead,\mismatch.\Human is dead?\Yeah.\Someone...\I think so. Probably.\What does it say after that? response:	The details are in Jellyman's Report 143.
context: Experiment Result: Human is dead,\mismatch.\Human is dead?\Yeah.\Someone...\I think so. Probably.\What does it say after that?\The details are in Jellyman's Report 143. response:	Jellyman's Report?
context: mismatch.\Human is dead?\Yeah.\Someone...\I think so. Probably.\What does it say after that?\The details are in Jellyman's Report 143.\Jellyman's Report? response:	What's that?
context: Human is dead?\Yeah.\Someone...\I think so. Probably.\What does it say after that?\The details are in Jellyman's Report 143.\Jellyman's Report?\What's that? response:	How should I know?
context: Yeah.\Someone...\I think so. Probably.\What does it say after that?\The details are in Jellyman's Report 143.\Jellyman's Report?\What's that?\How should I know? response:	But there's a weird database on this server.
context: Someone...\I think so. Probably.\What does it say after that?\The details are in Jellyman's Report 143.\Jellyman's Report?\What's that?\How should I know?\But there's a weird database on this server. response:	What is this?
context: I think so. Probably.\What does it say after that?\The details are in Jellyman's Report 143.\Jellyman's Report?\What's that?\How should I know?\But there's a weird database on this server.\What is this? response:	Some kind of program code, I think.
context: What does it say after that?\The details are in Jellyman's Report 143.\Jellyman's Report?\What's that?\How should I know?\But there's a weird database on this server.\What is this?\Some kind of program code, I think. response:	An Introduction to Character Code Engineering
context: The details are in Jellyman's Report 143.\Jellyman's Report?\What's that?\How should I know?\But there's a weird database on this server.\What is this?\Some kind of program code, I think.\An Introduction to Character Code Engineering response:	I don't get it!
context: Jellyman's Report?\What's that?\How should I know?\But there's a weird database on this server.\What is this?\Some kind of program code, I think.\An Introduction to Character Code Engineering\I don't get it! response:	Daru-kun?
context: What's that?\How should I know?\But there's a weird database on this server.\What is this?\Some kind of program code, I think.\An Introduction to Character Code Engineering\I don't get it!\Daru-kun? response:	This doesn't make any sense!
context: How should I know?\But there's a weird database on this server.\What is this?\Some kind of program code, I think.\An Introduction to Character Code Engineering\I don't get it!\Daru-kun?\This doesn't make any sense! response:	Die! Damn it!
context: But there's a weird database on this server.\What is this?\Some kind of program code, I think.\An Introduction to Character Code Engineering\I don't get it!\Daru-kun?\This doesn't make any sense!\Die! Damn it! response:	We should stop.
