context: Japanese language: Zero. response:	Math: Zero.
context: Japanese language: Zero.\Math: Zero. response:	Geography and history: Zero.
context: Japanese language: Zero.\Math: Zero.\Geography and history: Zero. response:	You have a real knack for stupidity, don't you?
context: Japanese language: Zero.\Math: Zero.\Geography and history: Zero.\You have a real knack for stupidity, don't you? response:	You're mean.
context: Japanese language: Zero.\Math: Zero.\Geography and history: Zero.\You have a real knack for stupidity, don't you?\You're mean. response:	How did you score a zero in English when you've lived in England?!
context: Japanese language: Zero.\Math: Zero.\Geography and history: Zero.\You have a real knack for stupidity, don't you?\You're mean.\How did you score a zero in English when you've lived in England?! response:	English
context: Japanese language: Zero.\Math: Zero.\Geography and history: Zero.\You have a real knack for stupidity, don't you?\You're mean.\How did you score a zero in English when you've lived in England?!\English response:	What exactly have you been studying up till now?!
context: Japanese language: Zero.\Math: Zero.\Geography and history: Zero.\You have a real knack for stupidity, don't you?\You're mean.\How did you score a zero in English when you've lived in England?!\English\What exactly have you been studying up till now?! response:	Art.
context: Math: Zero.\Geography and history: Zero.\You have a real knack for stupidity, don't you?\You're mean.\How did you score a zero in English when you've lived in England?!\English\What exactly have you been studying up till now?!\Art. response:	What about math and science?
context: Geography and history: Zero.\You have a real knack for stupidity, don't you?\You're mean.\How did you score a zero in English when you've lived in England?!\English\What exactly have you been studying up till now?!\Art.\What about math and science? response:	I've never studied those.
context: You have a real knack for stupidity, don't you?\You're mean.\How did you score a zero in English when you've lived in England?!\English\What exactly have you been studying up till now?!\Art.\What about math and science?\I've never studied those. response:	There's no saving this one...
context: You're mean.\How did you score a zero in English when you've lived in England?!\English\What exactly have you been studying up till now?!\Art.\What about math and science?\I've never studied those.\There's no saving this one... response:	Looks like you've got it rough right from the first day of summer break.
context: How did you score a zero in English when you've lived in England?!\English\What exactly have you been studying up till now?!\Art.\What about math and science?\I've never studied those.\There's no saving this one...\Looks like you've got it rough right from the first day of summer break. response:	Jin-san, help me!
context: English\What exactly have you been studying up till now?!\Art.\What about math and science?\I've never studied those.\There's no saving this one...\Looks like you've got it rough right from the first day of summer break.\Jin-san, help me! response:	Her makeup exams are tomorrow,
context: What exactly have you been studying up till now?!\Art.\What about math and science?\I've never studied those.\There's no saving this one...\Looks like you've got it rough right from the first day of summer break.\Jin-san, help me!\Her makeup exams are tomorrow, response:	but she's not ready at all!
