context: Ah, yes, that way, please. response:	Be careful.
context: Ah, yes, that way, please.\Be careful. response:	The Chicago-to-New York transcontinental express, Flying Pussyfoot.
context: Ah, yes, that way, please.\Be careful.\The Chicago-to-New York transcontinental express, Flying Pussyfoot. response:	It's a mobile ornament, built by Nebula.
context: Ah, yes, that way, please.\Be careful.\The Chicago-to-New York transcontinental express, Flying Pussyfoot.\It's a mobile ornament, built by Nebula. response:	Its design is taken from the English royal train,
context: Ah, yes, that way, please.\Be careful.\The Chicago-to-New York transcontinental express, Flying Pussyfoot.\It's a mobile ornament, built by Nebula.\Its design is taken from the English royal train, response:	and these first-class cars, which are usually in the rear,
context: Ah, yes, that way, please.\Be careful.\The Chicago-to-New York transcontinental express, Flying Pussyfoot.\It's a mobile ornament, built by Nebula.\Its design is taken from the English royal train,\and these first-class cars, which are usually in the rear, response:	are said to be up front because the sculpting complements all the ornamentation.
context: Ah, yes, that way, please.\Be careful.\The Chicago-to-New York transcontinental express, Flying Pussyfoot.\It's a mobile ornament, built by Nebula.\Its design is taken from the English royal train,\and these first-class cars, which are usually in the rear,\are said to be up front because the sculpting complements all the ornamentation. response:	Still, it does feel a little ostentatious, huh?
context: Ah, yes, that way, please.\Be careful.\The Chicago-to-New York transcontinental express, Flying Pussyfoot.\It's a mobile ornament, built by Nebula.\Its design is taken from the English royal train,\and these first-class cars, which are usually in the rear,\are said to be up front because the sculpting complements all the ornamentation.\Still, it does feel a little ostentatious, huh? response:	Let's not get on.
context: Be careful.\The Chicago-to-New York transcontinental express, Flying Pussyfoot.\It's a mobile ornament, built by Nebula.\Its design is taken from the English royal train,\and these first-class cars, which are usually in the rear,\are said to be up front because the sculpting complements all the ornamentation.\Still, it does feel a little ostentatious, huh?\Let's not get on. response:	Why not?
context: The Chicago-to-New York transcontinental express, Flying Pussyfoot.\It's a mobile ornament, built by Nebula.\Its design is taken from the English royal train,\and these first-class cars, which are usually in the rear,\are said to be up front because the sculpting complements all the ornamentation.\Still, it does feel a little ostentatious, huh?\Let's not get on.\Why not? response:	Something not right is going to happen. This train is cursed.
context: It's a mobile ornament, built by Nebula.\Its design is taken from the English royal train,\and these first-class cars, which are usually in the rear,\are said to be up front because the sculpting complements all the ornamentation.\Still, it does feel a little ostentatious, huh?\Let's not get on.\Why not?\Something not right is going to happen. This train is cursed. response:	Hey, now, is this the same sixth sense you always get?
