context: Ryu! response:	So much force!
context: Ryu!\So much force! response:	He saved it.
context: Ryu!\So much force!\He saved it. response:	Nice follow!
context: Ryu!\So much force!\He saved it.\Nice follow! response:	Call for the toss again,
context: Ryu!\So much force!\He saved it.\Nice follow!\Call for the toss again, response:	ace.
context: Ryu!\So much force!\He saved it.\Nice follow!\Call for the toss again,\ace. response:	Shimada-san
context: Ryu!\So much force!\He saved it.\Nice follow!\Call for the toss again,\ace.\Shimada-san response:	Suga!
context: Ryu!\So much force!\He saved it.\Nice follow!\Call for the toss again,\ace.\Shimada-san\Suga! response:	One more!
context: So much force!\He saved it.\Nice follow!\Call for the toss again,\ace.\Shimada-san\Suga!\One more! response:	Asahi.
context: He saved it.\Nice follow!\Call for the toss again,\ace.\Shimada-san\Suga!\One more!\Asahi. response:	Wow...
context: Nice follow!\Call for the toss again,\ace.\Shimada-san\Suga!\One more!\Asahi.\Wow... response:	What a sound! Like, kaboom.
context: Call for the toss again,\ace.\Shimada-san\Suga!\One more!\Asahi.\Wow...\What a sound! Like, kaboom. response:	Nice. Nice, Asahi.
context: ace.\Shimada-san\Suga!\One more!\Asahi.\Wow...\What a sound! Like, kaboom.\Nice. Nice, Asahi. response:	You too, Nishinoya.
context: Shimada-san\Suga!\One more!\Asahi.\Wow...\What a sound! Like, kaboom.\Nice. Nice, Asahi.\You too, Nishinoya. response:	You guys, too. Nice toss, Suga. Nice receive, Nishinoya.
context: Suga!\One more!\Asahi.\Wow...\What a sound! Like, kaboom.\Nice. Nice, Asahi.\You too, Nishinoya.\You guys, too. Nice toss, Suga. Nice receive, Nishinoya. response:	So that...
context: One more!\Asahi.\Wow...\What a sound! Like, kaboom.\Nice. Nice, Asahi.\You too, Nishinoya.\You guys, too. Nice toss, Suga. Nice receive, Nishinoya.\So that... response:	That's an ace.
context: Asahi.\Wow...\What a sound! Like, kaboom.\Nice. Nice, Asahi.\You too, Nishinoya.\You guys, too. Nice toss, Suga. Nice receive, Nishinoya.\So that...\That's an ace. response:	Hey.
context: Wow...\What a sound! Like, kaboom.\Nice. Nice, Asahi.\You too, Nishinoya.\You guys, too. Nice toss, Suga. Nice receive, Nishinoya.\So that...\That's an ace.\Hey. response:	You wanted to see the ace so much.
context: What a sound! Like, kaboom.\Nice. Nice, Asahi.\You too, Nishinoya.\You guys, too. Nice toss, Suga. Nice receive, Nishinoya.\So that...\That's an ace.\Hey.\You wanted to see the ace so much. response:	You'd better not be intimidated now.
context: Nice. Nice, Asahi.\You too, Nishinoya.\You guys, too. Nice toss, Suga. Nice receive, Nishinoya.\So that...\That's an ace.\Hey.\You wanted to see the ace so much.\You'd better not be intimidated now. response:	I'm not intimidated.
context: You too, Nishinoya.\You guys, too. Nice toss, Suga. Nice receive, Nishinoya.\So that...\That's an ace.\Hey.\You wanted to see the ace so much.\You'd better not be intimidated now.\I'm not intimidated. response:	I don't have his height or power,
context: You guys, too. Nice toss, Suga. Nice receive, Nishinoya.\So that...\That's an ace.\Hey.\You wanted to see the ace so much.\You'd better not be intimidated now.\I'm not intimidated.\I don't have his height or power, response:	but I can still fight.
context: So that...\That's an ace.\Hey.\You wanted to see the ace so much.\You'd better not be intimidated now.\I'm not intimidated.\I don't have his height or power,\but I can still fight. response:	It's my turn now.
context: That's an ace.\Hey.\You wanted to see the ace so much.\You'd better not be intimidated now.\I'm not intimidated.\I don't have his height or power,\but I can still fight.\It's my turn now. response:	Haikyu!!
context: Hey.\You wanted to see the ace so much.\You'd better not be intimidated now.\I'm not intimidated.\I don't have his height or power,\but I can still fight.\It's my turn now.\Haikyu!! response:	His palm is approximately wo centimeters thick.
context: You wanted to see the ace so much.\You'd better not be intimidated now.\I'm not intimidated.\I don't have his height or power,\but I can still fight.\It's my turn now.\Haikyu!!\His palm is approximately wo centimeters thick. response:	His peers' hands are twice that size,
context: You'd better not be intimidated now.\I'm not intimidated.\I don't have his height or power,\but I can still fight.\It's my turn now.\Haikyu!!\His palm is approximately wo centimeters thick.\His peers' hands are twice that size, response:	but those two centimeters separating the ball from the floor...
context: I'm not intimidated.\I don't have his height or power,\but I can still fight.\It's my turn now.\Haikyu!!\His palm is approximately wo centimeters thick.\His peers' hands are twice that size,\but those two centimeters separating the ball from the floor... response:	You didn't jump at all.
context: I don't have his height or power,\but I can still fight.\It's my turn now.\Haikyu!!\His palm is approximately wo centimeters thick.\His peers' hands are twice that size,\but those two centimeters separating the ball from the floor...\You didn't jump at all. response:	Episode 10: Yearning
context: but I can still fight.\It's my turn now.\Haikyu!!\His palm is approximately wo centimeters thick.\His peers' hands are twice that size,\but those two centimeters separating the ball from the floor...\You didn't jump at all.\Episode 10: Yearning response:	That's because you've been ditching for a month.
context: It's my turn now.\Haikyu!!\His palm is approximately wo centimeters thick.\His peers' hands are twice that size,\but those two centimeters separating the ball from the floor...\You didn't jump at all.\Episode 10: Yearning\That's because you've been ditching for a month. response:	Yeah... I'm sorry.
context: Haikyu!!\His palm is approximately wo centimeters thick.\His peers' hands are twice that size,\but those two centimeters separating the ball from the floor...\You didn't jump at all.\Episode 10: Yearning\That's because you've been ditching for a month.\Yeah... I'm sorry. response:	You're strict, Nishinoya.
context: His palm is approximately wo centimeters thick.\His peers' hands are twice that size,\but those two centimeters separating the ball from the floor...\You didn't jump at all.\Episode 10: Yearning\That's because you've been ditching for a month.\Yeah... I'm sorry.\You're strict, Nishinoya. response:	Daichi-san.
context: His peers' hands are twice that size,\but those two centimeters separating the ball from the floor...\You didn't jump at all.\Episode 10: Yearning\That's because you've been ditching for a month.\Yeah... I'm sorry.\You're strict, Nishinoya.\Daichi-san. response:	Asahi's back and on the neighborhood team with the veterans.
context: but those two centimeters separating the ball from the floor...\You didn't jump at all.\Episode 10: Yearning\That's because you've been ditching for a month.\Yeah... I'm sorry.\You're strict, Nishinoya.\Daichi-san.\Asahi's back and on the neighborhood team with the veterans. response:	We'd better step up our game.
context: You didn't jump at all.\Episode 10: Yearning\That's because you've been ditching for a month.\Yeah... I'm sorry.\You're strict, Nishinoya.\Daichi-san.\Asahi's back and on the neighborhood team with the veterans.\We'd better step up our game. response:	What are you saying, Daichi-san?
context: Episode 10: Yearning\That's because you've been ditching for a month.\Yeah... I'm sorry.\You're strict, Nishinoya.\Daichi-san.\Asahi's back and on the neighborhood team with the veterans.\We'd better step up our game.\What are you saying, Daichi-san? response:	We have me on our team.
context: That's because you've been ditching for a month.\Yeah... I'm sorry.\You're strict, Nishinoya.\Daichi-san.\Asahi's back and on the neighborhood team with the veterans.\We'd better step up our game.\What are you saying, Daichi-san?\We have me on our team. response:	We have me on our team.
context: Yeah... I'm sorry.\You're strict, Nishinoya.\Daichi-san.\Asahi's back and on the neighborhood team with the veterans.\We'd better step up our game.\What are you saying, Daichi-san?\We have me on our team.\We have me on our team. response:	Huh? What?
context: You're strict, Nishinoya.\Daichi-san.\Asahi's back and on the neighborhood team with the veterans.\We'd better step up our game.\What are you saying, Daichi-san?\We have me on our team.\We have me on our team.\Huh? What? response:	Don't talk over me, Hinata.
context: Daichi-san.\Asahi's back and on the neighborhood team with the veterans.\We'd better step up our game.\What are you saying, Daichi-san?\We have me on our team.\We have me on our team.\Huh? What?\Don't talk over me, Hinata. response:	I was saying something awesome and you wrecked it, jackass!
context: Asahi's back and on the neighborhood team with the veterans.\We'd better step up our game.\What are you saying, Daichi-san?\We have me on our team.\We have me on our team.\Huh? What?\Don't talk over me, Hinata.\I was saying something awesome and you wrecked it, jackass! response:	He's amazing. So was Nishinoya-kun's receive.
context: We'd better step up our game.\What are you saying, Daichi-san?\We have me on our team.\We have me on our team.\Huh? What?\Don't talk over me, Hinata.\I was saying something awesome and you wrecked it, jackass!\He's amazing. So was Nishinoya-kun's receive. response:	If he can save a ball that's been blocked, we can be invincible!
context: What are you saying, Daichi-san?\We have me on our team.\We have me on our team.\Huh? What?\Don't talk over me, Hinata.\I was saying something awesome and you wrecked it, jackass!\He's amazing. So was Nishinoya-kun's receive.\If he can save a ball that's been blocked, we can be invincible! response:	What are you talking about? It's impossible to save those every time.
context: We have me on our team.\We have me on our team.\Huh? What?\Don't talk over me, Hinata.\I was saying something awesome and you wrecked it, jackass!\He's amazing. So was Nishinoya-kun's receive.\If he can save a ball that's been blocked, we can be invincible!\What are you talking about? It's impossible to save those every time. response:	Huh?
context: We have me on our team.\Huh? What?\Don't talk over me, Hinata.\I was saying something awesome and you wrecked it, jackass!\He's amazing. So was Nishinoya-kun's receive.\If he can save a ball that's been blocked, we can be invincible!\What are you talking about? It's impossible to save those every time.\Huh? response:	We're talking about balls going at least 100kph,
context: Huh? What?\Don't talk over me, Hinata.\I was saying something awesome and you wrecked it, jackass!\He's amazing. So was Nishinoya-kun's receive.\If he can save a ball that's been blocked, we can be invincible!\What are you talking about? It's impossible to save those every time.\Huh?\We're talking about balls going at least 100kph, response:	traveling a distance of only two or three meters.
context: Don't talk over me, Hinata.\I was saying something awesome and you wrecked it, jackass!\He's amazing. So was Nishinoya-kun's receive.\If he can save a ball that's been blocked, we can be invincible!\What are you talking about? It's impossible to save those every time.\Huh?\We're talking about balls going at least 100kph,\traveling a distance of only two or three meters. response:	There's no way you can save them all.
context: I was saying something awesome and you wrecked it, jackass!\He's amazing. So was Nishinoya-kun's receive.\If he can save a ball that's been blocked, we can be invincible!\What are you talking about? It's impossible to save those every time.\Huh?\We're talking about balls going at least 100kph,\traveling a distance of only two or three meters.\There's no way you can save them all. response:	Oh...
context: He's amazing. So was Nishinoya-kun's receive.\If he can save a ball that's been blocked, we can be invincible!\What are you talking about? It's impossible to save those every time.\Huh?\We're talking about balls going at least 100kph,\traveling a distance of only two or three meters.\There's no way you can save them all.\Oh... response:	However...
context: If he can save a ball that's been blocked, we can be invincible!\What are you talking about? It's impossible to save those every time.\Huh?\We're talking about balls going at least 100kph,\traveling a distance of only two or three meters.\There's no way you can save them all.\Oh...\However... response:	It's important to know that getting blocked isn't the end.
context: What are you talking about? It's impossible to save those every time.\Huh?\We're talking about balls going at least 100kph,\traveling a distance of only two or three meters.\There's no way you can save them all.\Oh...\However...\It's important to know that getting blocked isn't the end. response:	I'll save them, one after another, so don't worry about getting blocked.
context: Huh?\We're talking about balls going at least 100kph,\traveling a distance of only two or three meters.\There's no way you can save them all.\Oh...\However...\It's important to know that getting blocked isn't the end.\I'll save them, one after another, so don't worry about getting blocked. response:	Knowing your teammates are there to back you up,
context: We're talking about balls going at least 100kph,\traveling a distance of only two or three meters.\There's no way you can save them all.\Oh...\However...\It's important to know that getting blocked isn't the end.\I'll save them, one after another, so don't worry about getting blocked.\Knowing your teammates are there to back you up, response:	Come on, he's an ace. Every one of his spikes will score.
