context: In the summer when I was 16, response:	I changed my brand of cigarettes to Seven Stars.
context: In the summer when I was 16,\I changed my brand of cigarettes to Seven Stars. response:	Because Ren smoked them.
context: In the summer when I was 16,\I changed my brand of cigarettes to Seven Stars.\Because Ren smoked them. response:	I increased the number of piercings to match his.
context: In the summer when I was 16,\I changed my brand of cigarettes to Seven Stars.\Because Ren smoked them.\I increased the number of piercings to match his. response:	And I wore matching boots.
context: In the summer when I was 16,\I changed my brand of cigarettes to Seven Stars.\Because Ren smoked them.\I increased the number of piercings to match his.\And I wore matching boots. response:	We slept in the same bed, and we dreamt the same dream.
context: In the summer when I was 16,\I changed my brand of cigarettes to Seven Stars.\Because Ren smoked them.\I increased the number of piercings to match his.\And I wore matching boots.\We slept in the same bed, and we dreamt the same dream. response:	Still, Ren left me behind.
context: In the summer when I was 16,\I changed my brand of cigarettes to Seven Stars.\Because Ren smoked them.\I increased the number of piercings to match his.\And I wore matching boots.\We slept in the same bed, and we dreamt the same dream.\Still, Ren left me behind. response:	Perhaps somewhere deep in my heart,
context: In the summer when I was 16,\I changed my brand of cigarettes to Seven Stars.\Because Ren smoked them.\I increased the number of piercings to match his.\And I wore matching boots.\We slept in the same bed, and we dreamt the same dream.\Still, Ren left me behind.\Perhaps somewhere deep in my heart, response:	I had not forgiven him for that.
context: I changed my brand of cigarettes to Seven Stars.\Because Ren smoked them.\I increased the number of piercings to match his.\And I wore matching boots.\We slept in the same bed, and we dreamt the same dream.\Still, Ren left me behind.\Perhaps somewhere deep in my heart,\I had not forgiven him for that. response:	The same way that I couldn't forgive my mother.
context: Because Ren smoked them.\I increased the number of piercings to match his.\And I wore matching boots.\We slept in the same bed, and we dreamt the same dream.\Still, Ren left me behind.\Perhaps somewhere deep in my heart,\I had not forgiven him for that.\The same way that I couldn't forgive my mother. response:	Blinking eyes call the wind
context: I increased the number of piercings to match his.\And I wore matching boots.\We slept in the same bed, and we dreamt the same dream.\Still, Ren left me behind.\Perhaps somewhere deep in my heart,\I had not forgiven him for that.\The same way that I couldn't forgive my mother.\Blinking eyes call the wind response:	A smile clears all the noise away
context: And I wore matching boots.\We slept in the same bed, and we dreamt the same dream.\Still, Ren left me behind.\Perhaps somewhere deep in my heart,\I had not forgiven him for that.\The same way that I couldn't forgive my mother.\Blinking eyes call the wind\A smile clears all the noise away response:	The angel in your eyes whispers
context: We slept in the same bed, and we dreamt the same dream.\Still, Ren left me behind.\Perhaps somewhere deep in my heart,\I had not forgiven him for that.\The same way that I couldn't forgive my mother.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers response:	Everything begins now
context: Still, Ren left me behind.\Perhaps somewhere deep in my heart,\I had not forgiven him for that.\The same way that I couldn't forgive my mother.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now response:	Can you feel it now Can you feel it now
context: Perhaps somewhere deep in my heart,\I had not forgiven him for that.\The same way that I couldn't forgive my mother.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now response:	It's like being caught in a wave
context: I had not forgiven him for that.\The same way that I couldn't forgive my mother.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave response:	Pulling on my heart Pulling on my heart
context: The same way that I couldn't forgive my mother.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart response:	Breath held, arms reaching out
context: Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out response:	Baby this world is different from yesterday's
context: A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's response:	You're the only one I can see
context: The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see response:	Baby my wish on a wing
context: Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing response:	This sky is torn
context: Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn response:	By a single overflowing word
context: It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word response:	I'm so weak. This is already my fifth one.
context: Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word\I'm so weak. This is already my fifth one. response:	I could only manage to quit for three months.
context: Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word\I'm so weak. This is already my fifth one.\I could only manage to quit for three months. response:	But, I need something to relax me.
context: Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word\I'm so weak. This is already my fifth one.\I could only manage to quit for three months.\But, I need something to relax me. response:	I wonder what happened to Nobu after that.
context: You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word\I'm so weak. This is already my fifth one.\I could only manage to quit for three months.\But, I need something to relax me.\I wonder what happened to Nobu after that. response:	I came down hard on him, saying some merciless things.
context: Baby my wish on a wing\This sky is torn\By a single overflowing word\I'm so weak. This is already my fifth one.\I could only manage to quit for three months.\But, I need something to relax me.\I wonder what happened to Nobu after that.\I came down hard on him, saying some merciless things. response:	I'll apologize to him when I see him at work.
context: This sky is torn\By a single overflowing word\I'm so weak. This is already my fifth one.\I could only manage to quit for three months.\But, I need something to relax me.\I wonder what happened to Nobu after that.\I came down hard on him, saying some merciless things.\I'll apologize to him when I see him at work. response:	But... will he come?
context: By a single overflowing word\I'm so weak. This is already my fifth one.\I could only manage to quit for three months.\But, I need something to relax me.\I wonder what happened to Nobu after that.\I came down hard on him, saying some merciless things.\I'll apologize to him when I see him at work.\But... will he come? response:	I'm so sleepy.
context: I'm so weak. This is already my fifth one.\I could only manage to quit for three months.\But, I need something to relax me.\I wonder what happened to Nobu after that.\I came down hard on him, saying some merciless things.\I'll apologize to him when I see him at work.\But... will he come?\I'm so sleepy. response:	I'm not in the mood to go to work.
context: I could only manage to quit for three months.\But, I need something to relax me.\I wonder what happened to Nobu after that.\I came down hard on him, saying some merciless things.\I'll apologize to him when I see him at work.\But... will he come?\I'm so sleepy.\I'm not in the mood to go to work. response:	But I hafta make a living.
context: But, I need something to relax me.\I wonder what happened to Nobu after that.\I came down hard on him, saying some merciless things.\I'll apologize to him when I see him at work.\But... will he come?\I'm so sleepy.\I'm not in the mood to go to work.\But I hafta make a living. response:	It does help to not hafta pay for studio time,
context: I wonder what happened to Nobu after that.\I came down hard on him, saying some merciless things.\I'll apologize to him when I see him at work.\But... will he come?\I'm so sleepy.\I'm not in the mood to go to work.\But I hafta make a living.\It does help to not hafta pay for studio time, response:	but how much longer is it gonna take
context: I came down hard on him, saying some merciless things.\I'll apologize to him when I see him at work.\But... will he come?\I'm so sleepy.\I'm not in the mood to go to work.\But I hafta make a living.\It does help to not hafta pay for studio time,\but how much longer is it gonna take response:	for things to start moving toward our debut?
context: I'll apologize to him when I see him at work.\But... will he come?\I'm so sleepy.\I'm not in the mood to go to work.\But I hafta make a living.\It does help to not hafta pay for studio time,\but how much longer is it gonna take\for things to start moving toward our debut? response:	I wonder if Hachi's asleep.
context: But... will he come?\I'm so sleepy.\I'm not in the mood to go to work.\But I hafta make a living.\It does help to not hafta pay for studio time,\but how much longer is it gonna take\for things to start moving toward our debut?\I wonder if Hachi's asleep. response:	Takumi's got recording, so he would've left by now.
context: I'm so sleepy.\I'm not in the mood to go to work.\But I hafta make a living.\It does help to not hafta pay for studio time,\but how much longer is it gonna take\for things to start moving toward our debut?\I wonder if Hachi's asleep.\Takumi's got recording, so he would've left by now. response:	Don't ignore me!
context: I'm not in the mood to go to work.\But I hafta make a living.\It does help to not hafta pay for studio time,\but how much longer is it gonna take\for things to start moving toward our debut?\I wonder if Hachi's asleep.\Takumi's got recording, so he would've left by now.\Don't ignore me! response:	Come here and have a seat.
context: But I hafta make a living.\It does help to not hafta pay for studio time,\but how much longer is it gonna take\for things to start moving toward our debut?\I wonder if Hachi's asleep.\Takumi's got recording, so he would've left by now.\Don't ignore me!\Come here and have a seat. response:	I have something important to discuss with you.
context: It does help to not hafta pay for studio time,\but how much longer is it gonna take\for things to start moving toward our debut?\I wonder if Hachi's asleep.\Takumi's got recording, so he would've left by now.\Don't ignore me!\Come here and have a seat.\I have something important to discuss with you. response:	I've gotta get changed and go to work.
context: but how much longer is it gonna take\for things to start moving toward our debut?\I wonder if Hachi's asleep.\Takumi's got recording, so he would've left by now.\Don't ignore me!\Come here and have a seat.\I have something important to discuss with you.\I've gotta get changed and go to work. response:	Then come out after you get changed.
context: for things to start moving toward our debut?\I wonder if Hachi's asleep.\Takumi's got recording, so he would've left by now.\Don't ignore me!\Come here and have a seat.\I have something important to discuss with you.\I've gotta get changed and go to work.\Then come out after you get changed. response:	It won't take much time.
context: I wonder if Hachi's asleep.\Takumi's got recording, so he would've left by now.\Don't ignore me!\Come here and have a seat.\I have something important to discuss with you.\I've gotta get changed and go to work.\Then come out after you get changed.\It won't take much time. response:	And put out that cigarette, okay? It's bad for the baby.
context: Takumi's got recording, so he would've left by now.\Don't ignore me!\Come here and have a seat.\I have something important to discuss with you.\I've gotta get changed and go to work.\Then come out after you get changed.\It won't take much time.\And put out that cigarette, okay? It's bad for the baby. response:	Calm down.
context: Don't ignore me!\Come here and have a seat.\I have something important to discuss with you.\I've gotta get changed and go to work.\Then come out after you get changed.\It won't take much time.\And put out that cigarette, okay? It's bad for the baby.\Calm down. response:	I've decided to watch over Hachi gently no matter what she decides to do.
context: Come here and have a seat.\I have something important to discuss with you.\I've gotta get changed and go to work.\Then come out after you get changed.\It won't take much time.\And put out that cigarette, okay? It's bad for the baby.\Calm down.\I've decided to watch over Hachi gently no matter what she decides to do. response:	You want something to drink?
context: I have something important to discuss with you.\I've gotta get changed and go to work.\Then come out after you get changed.\It won't take much time.\And put out that cigarette, okay? It's bad for the baby.\Calm down.\I've decided to watch over Hachi gently no matter what she decides to do.\You want something to drink? response:	We've decided to get married.
context: I've gotta get changed and go to work.\Then come out after you get changed.\It won't take much time.\And put out that cigarette, okay? It's bad for the baby.\Calm down.\I've decided to watch over Hachi gently no matter what she decides to do.\You want something to drink?\We've decided to get married. response:	Married?
