context: Higashinohashi High School response:	Well then, any suggestions for the cultural festival next month?
context: Higashinohashi High School\Well then, any suggestions for the cultural festival next month? response:	Suggest some ideas, please.
context: Higashinohashi High School\Well then, any suggestions for the cultural festival next month?\Suggest some ideas, please. response:	What?!
context: Higashinohashi High School\Well then, any suggestions for the cultural festival next month?\Suggest some ideas, please.\What?! response:	No way! I'd never do that.
context: Higashinohashi High School\Well then, any suggestions for the cultural festival next month?\Suggest some ideas, please.\What?!\No way! I'd never do that. response:	I agree! Totally agree!
context: Higashinohashi High School\Well then, any suggestions for the cultural festival next month?\Suggest some ideas, please.\What?!\No way! I'd never do that.\I agree! Totally agree! response:	What are the guys gonna do, then?!
context: Higashinohashi High School\Well then, any suggestions for the cultural festival next month?\Suggest some ideas, please.\What?!\No way! I'd never do that.\I agree! Totally agree!\What are the guys gonna do, then?! response:	The boys can work behind the scenes!
context: Higashinohashi High School\Well then, any suggestions for the cultural festival next month?\Suggest some ideas, please.\What?!\No way! I'd never do that.\I agree! Totally agree!\What are the guys gonna do, then?!\The boys can work behind the scenes! response:	Who really cares?
context: Well then, any suggestions for the cultural festival next month?\Suggest some ideas, please.\What?!\No way! I'd never do that.\I agree! Totally agree!\What are the guys gonna do, then?!\The boys can work behind the scenes!\Who really cares? response:	Right?
context: Suggest some ideas, please.\What?!\No way! I'd never do that.\I agree! Totally agree!\What are the guys gonna do, then?!\The boys can work behind the scenes!\Who really cares?\Right? response:	Don't give me that crap!
context: What?!\No way! I'd never do that.\I agree! Totally agree!\What are the guys gonna do, then?!\The boys can work behind the scenes!\Who really cares?\Right?\Don't give me that crap! response:	Yes! I agree with the maid cafe idea!
context: No way! I'd never do that.\I agree! Totally agree!\What are the guys gonna do, then?!\The boys can work behind the scenes!\Who really cares?\Right?\Don't give me that crap!\Yes! I agree with the maid cafe idea! response:	I think everyone in the class should dress up! I really want to see that!
context: I agree! Totally agree!\What are the guys gonna do, then?!\The boys can work behind the scenes!\Who really cares?\Right?\Don't give me that crap!\Yes! I agree with the maid cafe idea!\I think everyone in the class should dress up! I really want to see that! response:	Huh?!
context: What are the guys gonna do, then?!\The boys can work behind the scenes!\Who really cares?\Right?\Don't give me that crap!\Yes! I agree with the maid cafe idea!\I think everyone in the class should dress up! I really want to see that!\Huh?! response:	Huh?!
context: The boys can work behind the scenes!\Who really cares?\Right?\Don't give me that crap!\Yes! I agree with the maid cafe idea!\I think everyone in the class should dress up! I really want to see that!\Huh?!\Huh?! response:	Agree! Totally agree! Boy maids!
context: Who really cares?\Right?\Don't give me that crap!\Yes! I agree with the maid cafe idea!\I think everyone in the class should dress up! I really want to see that!\Huh?!\Huh?!\Agree! Totally agree! Boy maids! response:	Screw off! Who would benefit from that?
context: Right?\Don't give me that crap!\Yes! I agree with the maid cafe idea!\I think everyone in the class should dress up! I really want to see that!\Huh?!\Huh?!\Agree! Totally agree! Boy maids!\Screw off! Who would benefit from that? response:	Come on, it'll be fun!
context: Don't give me that crap!\Yes! I agree with the maid cafe idea!\I think everyone in the class should dress up! I really want to see that!\Huh?!\Huh?!\Agree! Totally agree! Boy maids!\Screw off! Who would benefit from that?\Come on, it'll be fun! response:	Topic
context: Yes! I agree with the maid cafe idea!\I think everyone in the class should dress up! I really want to see that!\Huh?!\Huh?!\Agree! Totally agree! Boy maids!\Screw off! Who would benefit from that?\Come on, it'll be fun!\Topic response:	Ideas for the cultural festival Cafe?
context: I think everyone in the class should dress up! I really want to see that!\Huh?!\Huh?!\Agree! Totally agree! Boy maids!\Screw off! Who would benefit from that?\Come on, it'll be fun!\Topic\Ideas for the cultural festival Cafe? response:	So, after much debate,
