context: Kishou... Kishou Yanagihara... response:	How long do you think you can remain in Class A?
context: Kishou... Kishou Yanagihara...\How long do you think you can remain in Class A? response:	Would you think about retiring if you were demoted from Class A?
context: Kishou... Kishou Yanagihara...\How long do you think you can remain in Class A?\Would you think about retiring if you were demoted from Class A? response:	What do you think about the up-and-coming youngsters?
context: Kishou... Kishou Yanagihara...\How long do you think you can remain in Class A?\Would you think about retiring if you were demoted from Class A?\What do you think about the up-and-coming youngsters? response:	I'm scared.
context: Kishou... Kishou Yanagihara...\How long do you think you can remain in Class A?\Would you think about retiring if you were demoted from Class A?\What do you think about the up-and-coming youngsters?\I'm scared. response:	If my work was taken away from me, what would be left?
context: Kishou... Kishou Yanagihara...\How long do you think you can remain in Class A?\Would you think about retiring if you were demoted from Class A?\What do you think about the up-and-coming youngsters?\I'm scared.\If my work was taken away from me, what would be left? response:	I'm scared, Saku.
context: Kishou... Kishou Yanagihara...\How long do you think you can remain in Class A?\Would you think about retiring if you were demoted from Class A?\What do you think about the up-and-coming youngsters?\I'm scared.\If my work was taken away from me, what would be left?\I'm scared, Saku. response:	I hear you, Gan.
context: Kishou... Kishou Yanagihara...\How long do you think you can remain in Class A?\Would you think about retiring if you were demoted from Class A?\What do you think about the up-and-coming youngsters?\I'm scared.\If my work was taken away from me, what would be left?\I'm scared, Saku.\I hear you, Gan. response:	I'm always thinking the same thing.
context: How long do you think you can remain in Class A?\Would you think about retiring if you were demoted from Class A?\What do you think about the up-and-coming youngsters?\I'm scared.\If my work was taken away from me, what would be left?\I'm scared, Saku.\I hear you, Gan.\I'm always thinking the same thing. response:	But I still don't have an answer.
context: Would you think about retiring if you were demoted from Class A?\What do you think about the up-and-coming youngsters?\I'm scared.\If my work was taken away from me, what would be left?\I'm scared, Saku.\I hear you, Gan.\I'm always thinking the same thing.\But I still don't have an answer. response:	However, if you're standing in a burnt field,
context: What do you think about the up-and-coming youngsters?\I'm scared.\If my work was taken away from me, what would be left?\I'm scared, Saku.\I hear you, Gan.\I'm always thinking the same thing.\But I still don't have an answer.\However, if you're standing in a burnt field, response:	I'm still...
context: I'm scared.\If my work was taken away from me, what would be left?\I'm scared, Saku.\I hear you, Gan.\I'm always thinking the same thing.\But I still don't have an answer.\However, if you're standing in a burnt field,\I'm still... response:	Well, shall we go?
context: If my work was taken away from me, what would be left?\I'm scared, Saku.\I hear you, Gan.\I'm always thinking the same thing.\But I still don't have an answer.\However, if you're standing in a burnt field,\I'm still...\Well, shall we go? response:	Winning...
context: I'm scared, Saku.\I hear you, Gan.\I'm always thinking the same thing.\But I still don't have an answer.\However, if you're standing in a burnt field,\I'm still...\Well, shall we go?\Winning... response:	and even losing aren't things that can ever be decided so easily.
context: I hear you, Gan.\I'm always thinking the same thing.\But I still don't have an answer.\However, if you're standing in a burnt field,\I'm still...\Well, shall we go?\Winning...\and even losing aren't things that can ever be decided so easily. response:	I'll become a human torch again today
context: I'm always thinking the same thing.\But I still don't have an answer.\However, if you're standing in a burnt field,\I'm still...\Well, shall we go?\Winning...\and even losing aren't things that can ever be decided so easily.\I'll become a human torch again today response:	and give full rein to my suffering.
context: But I still don't have an answer.\However, if you're standing in a burnt field,\I'm still...\Well, shall we go?\Winning...\and even losing aren't things that can ever be decided so easily.\I'll become a human torch again today\and give full rein to my suffering. response:	Burnt Field (Part 3)
context: However, if you're standing in a burnt field,\I'm still...\Well, shall we go?\Winning...\and even losing aren't things that can ever be decided so easily.\I'll become a human torch again today\and give full rein to my suffering.\Burnt Field (Part 3) response:	SILVER GENERAL
context: I'm still...\Well, shall we go?\Winning...\and even losing aren't things that can ever be decided so easily.\I'll become a human torch again today\and give full rein to my suffering.\Burnt Field (Part 3)\SILVER GENERAL response:	Silver to 1-2?
context: Well, shall we go?\Winning...\and even losing aren't things that can ever be decided so easily.\I'll become a human torch again today\and give full rein to my suffering.\Burnt Field (Part 3)\SILVER GENERAL\Silver to 1-2? response:	What about the bishop?
context: Winning...\and even losing aren't things that can ever be decided so easily.\I'll become a human torch again today\and give full rein to my suffering.\Burnt Field (Part 3)\SILVER GENERAL\Silver to 1-2?\What about the bishop? response:	The bishop isn't going to escape?
context: and even losing aren't things that can ever be decided so easily.\I'll become a human torch again today\and give full rein to my suffering.\Burnt Field (Part 3)\SILVER GENERAL\Silver to 1-2?\What about the bishop?\The bishop isn't going to escape? response:	I see!
context: I'll become a human torch again today\and give full rein to my suffering.\Burnt Field (Part 3)\SILVER GENERAL\Silver to 1-2?\What about the bishop?\The bishop isn't going to escape?\I see! response:	LANCE
context: and give full rein to my suffering.\Burnt Field (Part 3)\SILVER GENERAL\Silver to 1-2?\What about the bishop?\The bishop isn't going to escape?\I see!\LANCE response:	That's not it.
context: Burnt Field (Part 3)\SILVER GENERAL\Silver to 1-2?\What about the bishop?\The bishop isn't going to escape?\I see!\LANCE\That's not it. response:	Mr. Yanagihara is looking beyond that.
context: SILVER GENERAL\Silver to 1-2?\What about the bishop?\The bishop isn't going to escape?\I see!\LANCE\That's not it.\Mr. Yanagihara is looking beyond that. response:	It's Lance to 2-5.
context: Silver to 1-2?\What about the bishop?\The bishop isn't going to escape?\I see!\LANCE\That's not it.\Mr. Yanagihara is looking beyond that.\It's Lance to 2-5. response:	If he drops it there, I can't...
context: What about the bishop?\The bishop isn't going to escape?\I see!\LANCE\That's not it.\Mr. Yanagihara is looking beyond that.\It's Lance to 2-5.\If he drops it there, I can't... response:	defend!
context: The bishop isn't going to escape?\I see!\LANCE\That's not it.\Mr. Yanagihara is looking beyond that.\It's Lance to 2-5.\If he drops it there, I can't...\defend! response:	He's good.
context: I see!\LANCE\That's not it.\Mr. Yanagihara is looking beyond that.\It's Lance to 2-5.\If he drops it there, I can't...\defend!\He's good. response:	Eldest active player, no way!
context: LANCE\That's not it.\Mr. Yanagihara is looking beyond that.\It's Lance to 2-5.\If he drops it there, I can't...\defend!\He's good.\Eldest active player, no way! response:	There's no way.
context: That's not it.\Mr. Yanagihara is looking beyond that.\It's Lance to 2-5.\If he drops it there, I can't...\defend!\He's good.\Eldest active player, no way!\There's no way. response:	He can't be this good.
context: Mr. Yanagihara is looking beyond that.\It's Lance to 2-5.\If he drops it there, I can't...\defend!\He's good.\Eldest active player, no way!\There's no way.\He can't be this good. response:	What should I do?
context: It's Lance to 2-5.\If he drops it there, I can't...\defend!\He's good.\Eldest active player, no way!\There's no way.\He can't be this good.\What should I do? response:	What should I...
context: If he drops it there, I can't...\defend!\He's good.\Eldest active player, no way!\There's no way.\He can't be this good.\What should I do?\What should I... response:	There it is. Lance to 2-5!
context: defend!\He's good.\Eldest active player, no way!\There's no way.\He can't be this good.\What should I do?\What should I...\There it is. Lance to 2-5! response:	Brother, what will you do?
context: He's good.\Eldest active player, no way!\There's no way.\He can't be this good.\What should I do?\What should I...\There it is. Lance to 2-5!\Brother, what will you do? response:	Please!
context: Eldest active player, no way!\There's no way.\He can't be this good.\What should I do?\What should I...\There it is. Lance to 2-5!\Brother, what will you do?\Please! response:	Bishop to 1-4!
context: There's no way.\He can't be this good.\What should I do?\What should I...\There it is. Lance to 2-5!\Brother, what will you do?\Please!\Bishop to 1-4! response:	He defended with the Bishop he just captured?
context: He can't be this good.\What should I do?\What should I...\There it is. Lance to 2-5!\Brother, what will you do?\Please!\Bishop to 1-4!\He defended with the Bishop he just captured? response:	But this is...
