context: It appeared as though humanity would be destroyed by the demons. response:	But a single mage saved them all.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all. response:	He was called the Wizard King, and he became a legend.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend. response:	Asta and the others finally arrived at the Underwater Temple.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Asta and the others finally arrived at the Underwater Temple. response:	But once they got there...
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Asta and the others finally arrived at the Underwater Temple.\But once they got there... response:	You guys are after the magic stone, aren't you?
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Asta and the others finally arrived at the Underwater Temple.\But once they got there...\You guys are after the magic stone, aren't you? response:	If you want it, why don't we play a little game?
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Asta and the others finally arrived at the Underwater Temple.\But once they got there...\You guys are after the magic stone, aren't you?\If you want it, why don't we play a little game? response:	and nine temple mages were waiting for them!
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Asta and the others finally arrived at the Underwater Temple.\But once they got there...\You guys are after the magic stone, aren't you?\If you want it, why don't we play a little game?\and nine temple mages were waiting for them! response:	The high priest told Asta and the other Black Bulls, who were separated,
context: But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Asta and the others finally arrived at the Underwater Temple.\But once they got there...\You guys are after the magic stone, aren't you?\If you want it, why don't we play a little game?\and nine temple mages were waiting for them!\The high priest told Asta and the other Black Bulls, who were separated, response:	that if they wanted the magic stone, they must battle the temple mages, nine-on-nine.
context: He was called the Wizard King, and he became a legend.\Asta and the others finally arrived at the Underwater Temple.\But once they got there...\You guys are after the magic stone, aren't you?\If you want it, why don't we play a little game?\and nine temple mages were waiting for them!\The high priest told Asta and the other Black Bulls, who were separated,\that if they wanted the magic stone, they must battle the temple mages, nine-on-nine. response:	Victory goes to the first team to wipe out the other team,
context: Asta and the others finally arrived at the Underwater Temple.\But once they got there...\You guys are after the magic stone, aren't you?\If you want it, why don't we play a little game?\and nine temple mages were waiting for them!\The high priest told Asta and the other Black Bulls, who were separated,\that if they wanted the magic stone, they must battle the temple mages, nine-on-nine.\Victory goes to the first team to wipe out the other team, response:	or whichever team has the most members left in the end.
context: But once they got there...\You guys are after the magic stone, aren't you?\If you want it, why don't we play a little game?\and nine temple mages were waiting for them!\The high priest told Asta and the other Black Bulls, who were separated,\that if they wanted the magic stone, they must battle the temple mages, nine-on-nine.\Victory goes to the first team to wipe out the other team,\or whichever team has the most members left in the end. response:	Yay! This is awesome!
context: You guys are after the magic stone, aren't you?\If you want it, why don't we play a little game?\and nine temple mages were waiting for them!\The high priest told Asta and the other Black Bulls, who were separated,\that if they wanted the magic stone, they must battle the temple mages, nine-on-nine.\Victory goes to the first team to wipe out the other team,\or whichever team has the most members left in the end.\Yay! This is awesome! response:	A blood-soaked battle! I'm super pumped!
context: If you want it, why don't we play a little game?\and nine temple mages were waiting for them!\The high priest told Asta and the other Black Bulls, who were separated,\that if they wanted the magic stone, they must battle the temple mages, nine-on-nine.\Victory goes to the first team to wipe out the other team,\or whichever team has the most members left in the end.\Yay! This is awesome!\A blood-soaked battle! I'm super pumped! response:	Nine?
context: and nine temple mages were waiting for them!\The high priest told Asta and the other Black Bulls, who were separated,\that if they wanted the magic stone, they must battle the temple mages, nine-on-nine.\Victory goes to the first team to wipe out the other team,\or whichever team has the most members left in the end.\Yay! This is awesome!\A blood-soaked battle! I'm super pumped!\Nine? response:	There should be ten of us... We're missing one.
context: The high priest told Asta and the other Black Bulls, who were separated,\that if they wanted the magic stone, they must battle the temple mages, nine-on-nine.\Victory goes to the first team to wipe out the other team,\or whichever team has the most members left in the end.\Yay! This is awesome!\A blood-soaked battle! I'm super pumped!\Nine?\There should be ten of us... We're missing one. response:	That's so easy to understand!
context: that if they wanted the magic stone, they must battle the temple mages, nine-on-nine.\Victory goes to the first team to wipe out the other team,\or whichever team has the most members left in the end.\Yay! This is awesome!\A blood-soaked battle! I'm super pumped!\Nine?\There should be ten of us... We're missing one.\That's so easy to understand! response:	All right! Bring it on!
context: Victory goes to the first team to wipe out the other team,\or whichever team has the most members left in the end.\Yay! This is awesome!\A blood-soaked battle! I'm super pumped!\Nine?\There should be ten of us... We're missing one.\That's so easy to understand!\All right! Bring it on! response:	That's funny...
context: or whichever team has the most members left in the end.\Yay! This is awesome!\A blood-soaked battle! I'm super pumped!\Nine?\There should be ten of us... We're missing one.\That's so easy to understand!\All right! Bring it on!\That's funny... response:	I can't seem to sense any magic from you.
context: Yay! This is awesome!\A blood-soaked battle! I'm super pumped!\Nine?\There should be ten of us... We're missing one.\That's so easy to understand!\All right! Bring it on!\That's funny...\I can't seem to sense any magic from you. response:	Guess I picked a loser.
context: A blood-soaked battle! I'm super pumped!\Nine?\There should be ten of us... We're missing one.\That's so easy to understand!\All right! Bring it on!\That's funny...\I can't seem to sense any magic from you.\Guess I picked a loser. response:	Wanna find out if I'm actually a loser or not?
context: Nine?\There should be ten of us... We're missing one.\That's so easy to understand!\All right! Bring it on!\That's funny...\I can't seem to sense any magic from you.\Guess I picked a loser.\Wanna find out if I'm actually a loser or not? response:	Temple Battle Royale
context: There should be ten of us... We're missing one.\That's so easy to understand!\All right! Bring it on!\That's funny...\I can't seem to sense any magic from you.\Guess I picked a loser.\Wanna find out if I'm actually a loser or not?\Temple Battle Royale response:	Now, then, why don't we watch from here?
context: That's so easy to understand!\All right! Bring it on!\That's funny...\I can't seem to sense any magic from you.\Guess I picked a loser.\Wanna find out if I'm actually a loser or not?\Temple Battle Royale\Now, then, why don't we watch from here? response:	I've got plenty of food and drink!
context: All right! Bring it on!\That's funny...\I can't seem to sense any magic from you.\Guess I picked a loser.\Wanna find out if I'm actually a loser or not?\Temple Battle Royale\Now, then, why don't we watch from here?\I've got plenty of food and drink! response:	Hey, you old geezer, don't leave me out of the game!
context: That's funny...\I can't seem to sense any magic from you.\Guess I picked a loser.\Wanna find out if I'm actually a loser or not?\Temple Battle Royale\Now, then, why don't we watch from here?\I've got plenty of food and drink!\Hey, you old geezer, don't leave me out of the game! response:	I got all pumped up, but now I'm sad.
context: I can't seem to sense any magic from you.\Guess I picked a loser.\Wanna find out if I'm actually a loser or not?\Temple Battle Royale\Now, then, why don't we watch from here?\I've got plenty of food and drink!\Hey, you old geezer, don't leave me out of the game!\I got all pumped up, but now I'm sad. response:	You're a bit too strong.
context: Guess I picked a loser.\Wanna find out if I'm actually a loser or not?\Temple Battle Royale\Now, then, why don't we watch from here?\I've got plenty of food and drink!\Hey, you old geezer, don't leave me out of the game!\I got all pumped up, but now I'm sad.\You're a bit too strong. response:	All the people outside, as well as myself, are very excited for this game.
