context: It's no good if yer always lookin' up. response:	Wait patiently...
context: It's no good if yer always lookin' up.\Wait patiently... response:	And take it once it hits the ground.
context: It's no good if yer always lookin' up.\Wait patiently...\And take it once it hits the ground. response:	It's no good to always be looking up.
context: It's no good if yer always lookin' up.\Wait patiently...\And take it once it hits the ground.\It's no good to always be looking up. response:	Move patiently... at my own pace.
context: It's no good if yer always lookin' up.\Wait patiently...\And take it once it hits the ground.\It's no good to always be looking up.\Move patiently... at my own pace. response:	If I practice calligraphy steadily, without cutting corners on my work,
context: It's no good if yer always lookin' up.\Wait patiently...\And take it once it hits the ground.\It's no good to always be looking up.\Move patiently... at my own pace.\If I practice calligraphy steadily, without cutting corners on my work, response:	then, in time, I may find my own style.
context: It's no good if yer always lookin' up.\Wait patiently...\And take it once it hits the ground.\It's no good to always be looking up.\Move patiently... at my own pace.\If I practice calligraphy steadily, without cutting corners on my work,\then, in time, I may find my own style. response:	Still...
context: It's no good if yer always lookin' up.\Wait patiently...\And take it once it hits the ground.\It's no good to always be looking up.\Move patiently... at my own pace.\If I practice calligraphy steadily, without cutting corners on my work,\then, in time, I may find my own style.\Still... response:	Movie: Demon Geezer 2
context: Wait patiently...\And take it once it hits the ground.\It's no good to always be looking up.\Move patiently... at my own pace.\If I practice calligraphy steadily, without cutting corners on my work,\then, in time, I may find my own style.\Still...\Movie: Demon Geezer 2 response:	What kind of movie is this?
context: And take it once it hits the ground.\It's no good to always be looking up.\Move patiently... at my own pace.\If I practice calligraphy steadily, without cutting corners on my work,\then, in time, I may find my own style.\Still...\Movie: Demon Geezer 2\What kind of movie is this? response:	Tepid Tea Myopic Detective: Hot Springs Arc Movie: Demon Geezer 2
context: It's no good to always be looking up.\Move patiently... at my own pace.\If I practice calligraphy steadily, without cutting corners on my work,\then, in time, I may find my own style.\Still...\Movie: Demon Geezer 2\What kind of movie is this?\Tepid Tea Myopic Detective: Hot Springs Arc Movie: Demon Geezer 2 response:	OR Health Comes First Extra: 250 Life Lessons Learned from Pandas
context: Move patiently... at my own pace.\If I practice calligraphy steadily, without cutting corners on my work,\then, in time, I may find my own style.\Still...\Movie: Demon Geezer 2\What kind of movie is this?\Tepid Tea Myopic Detective: Hot Springs Arc Movie: Demon Geezer 2\OR Health Comes First Extra: 250 Life Lessons Learned from Pandas response:	It was popular enough to get a sequel?
context: If I practice calligraphy steadily, without cutting corners on my work,\then, in time, I may find my own style.\Still...\Movie: Demon Geezer 2\What kind of movie is this?\Tepid Tea Myopic Detective: Hot Springs Arc Movie: Demon Geezer 2\OR Health Comes First Extra: 250 Life Lessons Learned from Pandas\It was popular enough to get a sequel? response:	Okay.
context: then, in time, I may find my own style.\Still...\Movie: Demon Geezer 2\What kind of movie is this?\Tepid Tea Myopic Detective: Hot Springs Arc Movie: Demon Geezer 2\OR Health Comes First Extra: 250 Life Lessons Learned from Pandas\It was popular enough to get a sequel?\Okay. response:	Huh?
context: Still...\Movie: Demon Geezer 2\What kind of movie is this?\Tepid Tea Myopic Detective: Hot Springs Arc Movie: Demon Geezer 2\OR Health Comes First Extra: 250 Life Lessons Learned from Pandas\It was popular enough to get a sequel?\Okay.\Huh? response:	It's broken!
context: Movie: Demon Geezer 2\What kind of movie is this?\Tepid Tea Myopic Detective: Hot Springs Arc Movie: Demon Geezer 2\OR Health Comes First Extra: 250 Life Lessons Learned from Pandas\It was popular enough to get a sequel?\Okay.\Huh?\It's broken! response:	What'll I do now?!
context: What kind of movie is this?\Tepid Tea Myopic Detective: Hot Springs Arc Movie: Demon Geezer 2\OR Health Comes First Extra: 250 Life Lessons Learned from Pandas\It was popular enough to get a sequel?\Okay.\Huh?\It's broken!\What'll I do now?! response:	I doubt this island has a place that will fix computers.
context: Tepid Tea Myopic Detective: Hot Springs Arc Movie: Demon Geezer 2\OR Health Comes First Extra: 250 Life Lessons Learned from Pandas\It was popular enough to get a sequel?\Okay.\Huh?\It's broken!\What'll I do now?!\I doubt this island has a place that will fix computers. response:	Oh! Kawafuji!
context: OR Health Comes First Extra: 250 Life Lessons Learned from Pandas\It was popular enough to get a sequel?\Okay.\Huh?\It's broken!\What'll I do now?!\I doubt this island has a place that will fix computers.\Oh! Kawafuji! response:	Damn!
context: It was popular enough to get a sequel?\Okay.\Huh?\It's broken!\What'll I do now?!\I doubt this island has a place that will fix computers.\Oh! Kawafuji!\Damn! response:	It hasn't worked right since I dropped it in the ocean...
context: Okay.\Huh?\It's broken!\What'll I do now?!\I doubt this island has a place that will fix computers.\Oh! Kawafuji!\Damn!\It hasn't worked right since I dropped it in the ocean... response:	It's finally busted completely?
context: Huh?\It's broken!\What'll I do now?!\I doubt this island has a place that will fix computers.\Oh! Kawafuji!\Damn!\It hasn't worked right since I dropped it in the ocean...\It's finally busted completely? response:	No computer, no cell phone, no landline...
