context: In a pig's ass! response:	I was wrong about you, traitor!
context: In a pig's ass!\I was wrong about you, traitor! response:	Richie, wait!
context: In a pig's ass!\I was wrong about you, traitor!\Richie, wait! response:	Listen to me!
context: In a pig's ass!\I was wrong about you, traitor!\Richie, wait!\Listen to me! response:	Don't touch me! I don't want to listen to you!
context: In a pig's ass!\I was wrong about you, traitor!\Richie, wait!\Listen to me!\Don't touch me! I don't want to listen to you! response:	I don't need you anymore.
context: In a pig's ass!\I was wrong about you, traitor!\Richie, wait!\Listen to me!\Don't touch me! I don't want to listen to you!\I don't need you anymore. response:	What should I do?
context: In a pig's ass!\I was wrong about you, traitor!\Richie, wait!\Listen to me!\Don't touch me! I don't want to listen to you!\I don't need you anymore.\What should I do? response:	I forget what I was like before I met you
context: In a pig's ass!\I was wrong about you, traitor!\Richie, wait!\Listen to me!\Don't touch me! I don't want to listen to you!\I don't need you anymore.\What should I do?\I forget what I was like before I met you response:	The wind caresses my cheek
context: I was wrong about you, traitor!\Richie, wait!\Listen to me!\Don't touch me! I don't want to listen to you!\I don't need you anymore.\What should I do?\I forget what I was like before I met you\The wind caresses my cheek response:	JLullaby of BirdlandJ
context: Richie, wait!\Listen to me!\Don't touch me! I don't want to listen to you!\I don't need you anymore.\What should I do?\I forget what I was like before I met you\The wind caresses my cheek\JLullaby of BirdlandJ response:	Kick my heels going down the slope
context: Listen to me!\Don't touch me! I don't want to listen to you!\I don't need you anymore.\What should I do?\I forget what I was like before I met you\The wind caresses my cheek\JLullaby of BirdlandJ\Kick my heels going down the slope response:	As my worthless shadow grows
context: Don't touch me! I don't want to listen to you!\I don't need you anymore.\What should I do?\I forget what I was like before I met you\The wind caresses my cheek\JLullaby of BirdlandJ\Kick my heels going down the slope\As my worthless shadow grows response:	It's like an endless summer vacation
context: I don't need you anymore.\What should I do?\I forget what I was like before I met you\The wind caresses my cheek\JLullaby of BirdlandJ\Kick my heels going down the slope\As my worthless shadow grows\It's like an endless summer vacation response:	Feels like sneakin' into the swimming pool
context: What should I do?\I forget what I was like before I met you\The wind caresses my cheek\JLullaby of BirdlandJ\Kick my heels going down the slope\As my worthless shadow grows\It's like an endless summer vacation\Feels like sneakin' into the swimming pool response:	Hey, let's swim with our clothes on, jump in!!
context: I forget what I was like before I met you\The wind caresses my cheek\JLullaby of BirdlandJ\Kick my heels going down the slope\As my worthless shadow grows\It's like an endless summer vacation\Feels like sneakin' into the swimming pool\Hey, let's swim with our clothes on, jump in!! response:	A shocking seductive spiral
context: The wind caresses my cheek\JLullaby of BirdlandJ\Kick my heels going down the slope\As my worthless shadow grows\It's like an endless summer vacation\Feels like sneakin' into the swimming pool\Hey, let's swim with our clothes on, jump in!!\A shocking seductive spiral response:	This beat that pierces my heart is strange
context: JLullaby of BirdlandJ\Kick my heels going down the slope\As my worthless shadow grows\It's like an endless summer vacation\Feels like sneakin' into the swimming pool\Hey, let's swim with our clothes on, jump in!!\A shocking seductive spiral\This beat that pierces my heart is strange response:	(It flares up, then vanishes)
context: Kick my heels going down the slope\As my worthless shadow grows\It's like an endless summer vacation\Feels like sneakin' into the swimming pool\Hey, let's swim with our clothes on, jump in!!\A shocking seductive spiral\This beat that pierces my heart is strange\(It flares up, then vanishes) response:	Every miserable day is swell,
