context: TSUMUGU KINAGASE response:	What do you want?
context: TSUMUGU KINAGASE\What do you want? response:	I see that you've been looking after our flowers for us!
context: TSUMUGU KINAGASE\What do you want?\I see that you've been looking after our flowers for us! response:	GARDENING CLUB TERRANCE GENERAL MANAGER KUSANOSUKE YAGURUMA
context: TSUMUGU KINAGASE\What do you want?\I see that you've been looking after our flowers for us!\GARDENING CLUB TERRANCE GENERAL MANAGER KUSANOSUKE YAGURUMA response:	We thought we would offer a little thank-you.
context: TSUMUGU KINAGASE\What do you want?\I see that you've been looking after our flowers for us!\GARDENING CLUB TERRANCE GENERAL MANAGER KUSANOSUKE YAGURUMA\We thought we would offer a little thank-you. response:	Hey, this is a nonsmoking area!
context: TSUMUGU KINAGASE\What do you want?\I see that you've been looking after our flowers for us!\GARDENING CLUB TERRANCE GENERAL MANAGER KUSANOSUKE YAGURUMA\We thought we would offer a little thank-you.\Hey, this is a nonsmoking area! response:	People who rely on Life Fibers aren't entitled to complain.
context: TSUMUGU KINAGASE\What do you want?\I see that you've been looking after our flowers for us!\GARDENING CLUB TERRANCE GENERAL MANAGER KUSANOSUKE YAGURUMA\We thought we would offer a little thank-you.\Hey, this is a nonsmoking area!\People who rely on Life Fibers aren't entitled to complain. response:	How do you know about those?!
context: TSUMUGU KINAGASE\What do you want?\I see that you've been looking after our flowers for us!\GARDENING CLUB TERRANCE GENERAL MANAGER KUSANOSUKE YAGURUMA\We thought we would offer a little thank-you.\Hey, this is a nonsmoking area!\People who rely on Life Fibers aren't entitled to complain.\How do you know about those?! response:	I don't need to answer that, either.
context: What do you want?\I see that you've been looking after our flowers for us!\GARDENING CLUB TERRANCE GENERAL MANAGER KUSANOSUKE YAGURUMA\We thought we would offer a little thank-you.\Hey, this is a nonsmoking area!\People who rely on Life Fibers aren't entitled to complain.\How do you know about those?!\I don't need to answer that, either. response:	H-H-He threw a c-c-cigarette butt into the s-sacred flower bed!
context: I see that you've been looking after our flowers for us!\GARDENING CLUB TERRANCE GENERAL MANAGER KUSANOSUKE YAGURUMA\We thought we would offer a little thank-you.\Hey, this is a nonsmoking area!\People who rely on Life Fibers aren't entitled to complain.\How do you know about those?!\I don't need to answer that, either.\H-H-He threw a c-c-cigarette butt into the s-sacred flower bed! response:	You'll pay for that!
context: GARDENING CLUB TERRANCE GENERAL MANAGER KUSANOSUKE YAGURUMA\We thought we would offer a little thank-you.\Hey, this is a nonsmoking area!\People who rely on Life Fibers aren't entitled to complain.\How do you know about those?!\I don't need to answer that, either.\H-H-He threw a c-c-cigarette butt into the s-sacred flower bed!\You'll pay for that! response:	Gardening-spec, Green Thumb-enhancing Two-Star Goku Uniform!
context: We thought we would offer a little thank-you.\Hey, this is a nonsmoking area!\People who rely on Life Fibers aren't entitled to complain.\How do you know about those?!\I don't need to answer that, either.\H-H-He threw a c-c-cigarette butt into the s-sacred flower bed!\You'll pay for that!\Gardening-spec, Green Thumb-enhancing Two-Star Goku Uniform! response:	That's the name of the uniform that's going to bury you!
context: Hey, this is a nonsmoking area!\People who rely on Life Fibers aren't entitled to complain.\How do you know about those?!\I don't need to answer that, either.\H-H-He threw a c-c-cigarette butt into the s-sacred flower bed!\You'll pay for that!\Gardening-spec, Green Thumb-enhancing Two-Star Goku Uniform!\That's the name of the uniform that's going to bury you! response:	Fool! A mere gun is useless against a Goku Uniform!
context: People who rely on Life Fibers aren't entitled to complain.\How do you know about those?!\I don't need to answer that, either.\H-H-He threw a c-c-cigarette butt into the s-sacred flower bed!\You'll pay for that!\Gardening-spec, Green Thumb-enhancing Two-Star Goku Uniform!\That's the name of the uniform that's going to bury you!\Fool! A mere gun is useless against a Goku Uniform! response:	Eat him, my pretty!
context: How do you know about those?!\I don't need to answer that, either.\H-H-He threw a c-c-cigarette butt into the s-sacred flower bed!\You'll pay for that!\Gardening-spec, Green Thumb-enhancing Two-Star Goku Uniform!\That's the name of the uniform that's going to bury you!\Fool! A mere gun is useless against a Goku Uniform!\Eat him, my pretty! response:	I-Impossible!
context: I don't need to answer that, either.\H-H-He threw a c-c-cigarette butt into the s-sacred flower bed!\You'll pay for that!\Gardening-spec, Green Thumb-enhancing Two-Star Goku Uniform!\That's the name of the uniform that's going to bury you!\Fool! A mere gun is useless against a Goku Uniform!\Eat him, my pretty!\I-Impossible! response:	M-My power is being drained...
context: H-H-He threw a c-c-cigarette butt into the s-sacred flower bed!\You'll pay for that!\Gardening-spec, Green Thumb-enhancing Two-Star Goku Uniform!\That's the name of the uniform that's going to bury you!\Fool! A mere gun is useless against a Goku Uniform!\Eat him, my pretty!\I-Impossible!\M-My power is being drained... response:	Let me tell you two useful pieces of information.
context: You'll pay for that!\Gardening-spec, Green Thumb-enhancing Two-Star Goku Uniform!\That's the name of the uniform that's going to bury you!\Fool! A mere gun is useless against a Goku Uniform!\Eat him, my pretty!\I-Impossible!\M-My power is being drained...\Let me tell you two useful pieces of information. response:	One: I smoke whenever I want.
context: Gardening-spec, Green Thumb-enhancing Two-Star Goku Uniform!\That's the name of the uniform that's going to bury you!\Fool! A mere gun is useless against a Goku Uniform!\Eat him, my pretty!\I-Impossible!\M-My power is being drained...\Let me tell you two useful pieces of information.\One: I smoke whenever I want. response:	For pity's sake, spare me
context: That's the name of the uniform that's going to bury you!\Fool! A mere gun is useless against a Goku Uniform!\Eat him, my pretty!\I-Impossible!\M-My power is being drained...\Let me tell you two useful pieces of information.\One: I smoke whenever I want.\For pity's sake, spare me response:	Two.
context: Fool! A mere gun is useless against a Goku Uniform!\Eat him, my pretty!\I-Impossible!\M-My power is being drained...\Let me tell you two useful pieces of information.\One: I smoke whenever I want.\For pity's sake, spare me\Two. response:	I hate...
context: Eat him, my pretty!\I-Impossible!\M-My power is being drained...\Let me tell you two useful pieces of information.\One: I smoke whenever I want.\For pity's sake, spare me\Two.\I hate... response:	being interrupted!
context: I-Impossible!\M-My power is being drained...\Let me tell you two useful pieces of information.\One: I smoke whenever I want.\For pity's sake, spare me\Two.\I hate...\being interrupted! response:	EPISODE 5 HIKIGANE (TRIGGER)
context: M-My power is being drained...\Let me tell you two useful pieces of information.\One: I smoke whenever I want.\For pity's sake, spare me\Two.\I hate...\being interrupted!\EPISODE 5 HIKIGANE (TRIGGER) response:	Life Fiber Synchronization, Kamui Senketsu!
context: Let me tell you two useful pieces of information.\One: I smoke whenever I want.\For pity's sake, spare me\Two.\I hate...\being interrupted!\EPISODE 5 HIKIGANE (TRIGGER)\Life Fiber Synchronization, Kamui Senketsu! response:	Taking hostages, that's pretty low!
context: One: I smoke whenever I want.\For pity's sake, spare me\Two.\I hate...\being interrupted!\EPISODE 5 HIKIGANE (TRIGGER)\Life Fiber Synchronization, Kamui Senketsu!\Taking hostages, that's pretty low! response:	You're so cool, Ryuko!
context: For pity's sake, spare me\Two.\I hate...\being interrupted!\EPISODE 5 HIKIGANE (TRIGGER)\Life Fiber Synchronization, Kamui Senketsu!\Taking hostages, that's pretty low!\You're so cool, Ryuko! response:	Shut up! This girl isn't a hostage!
context: Two.\I hate...\being interrupted!\EPISODE 5 HIKIGANE (TRIGGER)\Life Fiber Synchronization, Kamui Senketsu!\Taking hostages, that's pretty low!\You're so cool, Ryuko!\Shut up! This girl isn't a hostage! response:	She is the Biology Club's prestigious Guinea Pig 1!
context: I hate...\being interrupted!\EPISODE 5 HIKIGANE (TRIGGER)\Life Fiber Synchronization, Kamui Senketsu!\Taking hostages, that's pretty low!\You're so cool, Ryuko!\Shut up! This girl isn't a hostage!\She is the Biology Club's prestigious Guinea Pig 1! response:	I-Impossible!
context: being interrupted!\EPISODE 5 HIKIGANE (TRIGGER)\Life Fiber Synchronization, Kamui Senketsu!\Taking hostages, that's pretty low!\You're so cool, Ryuko!\Shut up! This girl isn't a hostage!\She is the Biology Club's prestigious Guinea Pig 1!\I-Impossible! response:	Don't delude yourselves into thinking that you can
context: EPISODE 5 HIKIGANE (TRIGGER)\Life Fiber Synchronization, Kamui Senketsu!\Taking hostages, that's pretty low!\You're so cool, Ryuko!\Shut up! This girl isn't a hostage!\She is the Biology Club's prestigious Guinea Pig 1!\I-Impossible!\Don't delude yourselves into thinking that you can response:	beat me with tools you'd use on carp and frogs!
context: Life Fiber Synchronization, Kamui Senketsu!\Taking hostages, that's pretty low!\You're so cool, Ryuko!\Shut up! This girl isn't a hostage!\She is the Biology Club's prestigious Guinea Pig 1!\I-Impossible!\Don't delude yourselves into thinking that you can\beat me with tools you'd use on carp and frogs! response:	Finishing Move: Sen-I-Soshitsu!
context: Taking hostages, that's pretty low!\You're so cool, Ryuko!\Shut up! This girl isn't a hostage!\She is the Biology Club's prestigious Guinea Pig 1!\I-Impossible!\Don't delude yourselves into thinking that you can\beat me with tools you'd use on carp and frogs!\Finishing Move: Sen-I-Soshitsu! response:	SEN-I-SOSHITSU (FIBER LOST)
context: You're so cool, Ryuko!\Shut up! This girl isn't a hostage!\She is the Biology Club's prestigious Guinea Pig 1!\I-Impossible!\Don't delude yourselves into thinking that you can\beat me with tools you'd use on carp and frogs!\Finishing Move: Sen-I-Soshitsu!\SEN-I-SOSHITSU (FIBER LOST) response:	I guess that wraps it up.
context: Shut up! This girl isn't a hostage!\She is the Biology Club's prestigious Guinea Pig 1!\I-Impossible!\Don't delude yourselves into thinking that you can\beat me with tools you'd use on carp and frogs!\Finishing Move: Sen-I-Soshitsu!\SEN-I-SOSHITSU (FIBER LOST)\I guess that wraps it up. response:	Thanks, Ryuko!
context: She is the Biology Club's prestigious Guinea Pig 1!\I-Impossible!\Don't delude yourselves into thinking that you can\beat me with tools you'd use on carp and frogs!\Finishing Move: Sen-I-Soshitsu!\SEN-I-SOSHITSU (FIBER LOST)\I guess that wraps it up.\Thanks, Ryuko! response:	You can change the size of your scissor now, too!
context: I-Impossible!\Don't delude yourselves into thinking that you can\beat me with tools you'd use on carp and frogs!\Finishing Move: Sen-I-Soshitsu!\SEN-I-SOSHITSU (FIBER LOST)\I guess that wraps it up.\Thanks, Ryuko!\You can change the size of your scissor now, too! response:	Pretty much. It's no big deal.
context: Don't delude yourselves into thinking that you can\beat me with tools you'd use on carp and frogs!\Finishing Move: Sen-I-Soshitsu!\SEN-I-SOSHITSU (FIBER LOST)\I guess that wraps it up.\Thanks, Ryuko!\You can change the size of your scissor now, too!\Pretty much. It's no big deal. response:	Your blood has been salty lately.
context: beat me with tools you'd use on carp and frogs!\Finishing Move: Sen-I-Soshitsu!\SEN-I-SOSHITSU (FIBER LOST)\I guess that wraps it up.\Thanks, Ryuko!\You can change the size of your scissor now, too!\Pretty much. It's no big deal.\Your blood has been salty lately. response:	Don't you think you're getting a little cocky?
context: Finishing Move: Sen-I-Soshitsu!\SEN-I-SOSHITSU (FIBER LOST)\I guess that wraps it up.\Thanks, Ryuko!\You can change the size of your scissor now, too!\Pretty much. It's no big deal.\Your blood has been salty lately.\Don't you think you're getting a little cocky? response:	You can tell that from how my blood tastes?
context: SEN-I-SOSHITSU (FIBER LOST)\I guess that wraps it up.\Thanks, Ryuko!\You can change the size of your scissor now, too!\Pretty much. It's no big deal.\Your blood has been salty lately.\Don't you think you're getting a little cocky?\You can tell that from how my blood tastes? response:	I can immediately spot any change in your physiology.
